filename,local_time
KGRB20220601_094518_V06,20220601_044518
KGRB20220601_100441_V06,20220601_050441
KGRB20220601_101422_V06,20220601_051422
KGRB20220601_102403_V06,20220601_052403
KGRB20220601_103344_V06,20220601_053344
KGRB20220601_104324_V06,20220601_054324
KGRB20220601_110433_V06,20220601_060433
KGRB20220601_111413_V06,20220601_061413
KGRB20220601_112355_V06,20220601_062355
KGRB20220601_113337_V06,20220601_063337
KGRB20220602_094746_V06,20220602_044746
KGRB20220602_100709_V06,20220602_050709
KGRB20220602_101651_V06,20220602_051651
KGRB20220602_102632_V06,20220602_052632
KGRB20220602_103614_V06,20220602_053614
KGRB20220602_104556_V06,20220602_054556
KGRB20220602_110519_V06,20220602_060519
KGRB20220602_111651_V06,20220602_061651
KGRB20220602_112632_V06,20220602_062632
KGRB20220602_113615_V06,20220602_063615
KGRB20220603_094037_V06,20220603_044037
KGRB20220603_094459_V06,20220603_044459
KGRB20220603_094931_V06,20220603_044931
KGRB20220603_095402_V06,20220603_045402
KGRB20220603_100305_V06,20220603_050305
KGRB20220603_100737_V06,20220603_050737
KGRB20220603_101214_V06,20220603_051214
KGRB20220603_101652_V06,20220603_051652
KGRB20220603_102130_V06,20220603_052130
KGRB20220603_102608_V06,20220603_052608
KGRB20220603_103047_V06,20220603_053047
KGRB20220603_103526_V06,20220603_053526
KGRB20220603_103957_V06,20220603_053957
KGRB20220603_104434_V06,20220603_054434
KGRB20220603_104906_V06,20220603_054906
KGRB20220603_110347_V06,20220603_060347
KGRB20220603_111328_V06,20220603_061328
KGRB20220603_112451_V06,20220603_062451
KGRB20220603_113432_V06,20220603_063432
KGRB20220604_094608_V06,20220604_044608
KGRB20220604_100531_V06,20220604_050531
KGRB20220604_101514_V06,20220604_051514
KGRB20220604_102456_V06,20220604_052456
KGRB20220604_103438_V06,20220604_053438
KGRB20220604_104420_V06,20220604_054420
KGRB20220604_110343_V06,20220604_060343
KGRB20220604_111325_V06,20220604_061325
KGRB20220604_112306_V06,20220604_062306
KGRB20220604_113247_V06,20220604_063247
KGRB20220605_094135_V06,20220605_044135
KGRB20220605_094630_V06,20220605_044630
KGRB20220605_095111_V06,20220605_045111
KGRB20220605_100029_V06,20220605_050029
KGRB20220605_100506_V06,20220605_050506
KGRB20220605_100943_V06,20220605_050943
KGRB20220605_101435_V06,20220605_051435
KGRB20220605_101927_V06,20220605_051927
KGRB20220605_102435_V06,20220605_052435
KGRB20220605_102942_V06,20220605_052942
KGRB20220605_103449_V06,20220605_053449
KGRB20220605_104011_V06,20220605_054011
KGRB20220605_104518_V06,20220605_054518
KGRB20220605_105039_V06,20220605_055039
KGRB20220605_110123_V06,20220605_060123
KGRB20220605_110644_V06,20220605_060644
KGRB20220605_111206_V06,20220605_061206
KGRB20220605_111729_V06,20220605_061729
KGRB20220605_112250_V06,20220605_062250
KGRB20220605_112812_V06,20220605_062812
KGRB20220605_113319_V06,20220605_063319
KGRB20220605_113826_V06,20220605_063826
KGRB20220606_094202_V06,20220606_044202
KGRB20220606_094803_V06,20220606_044803
KGRB20220606_095403_V06,20220606_045403
KGRB20220606_100600_V06,20220606_050600
KGRB20220606_101201_V06,20220606_051201
KGRB20220606_101801_V06,20220606_051801
KGRB20220606_102408_V06,20220606_052408
KGRB20220606_103014_V06,20220606_053014
KGRB20220606_103619_V06,20220606_053619
KGRB20220606_104218_V06,20220606_054218
KGRB20220606_104818_V06,20220606_054818
KGRB20220606_105414_V06,20220606_055414
KGRB20220606_110602_V06,20220606_060602
KGRB20220606_111157_V06,20220606_061157
KGRB20220606_111752_V06,20220606_061752
KGRB20220606_112346_V06,20220606_062346
KGRB20220606_112941_V06,20220606_062941
KGRB20220606_113535_V06,20220606_063535
KGRB20220607_094438_V06,20220607_044438
KGRB20220607_100401_V06,20220607_050401
KGRB20220607_101343_V06,20220607_051343
KGRB20220607_102325_V06,20220607_052325
KGRB20220607_103306_V06,20220607_053306
KGRB20220607_104248_V06,20220607_054248
KGRB20220607_110214_V06,20220607_060214
KGRB20220607_111157_V06,20220607_061157
KGRB20220607_112139_V06,20220607_062139
KGRB20220607_113121_V06,20220607_063121
KGRB20220608_093837_V06,20220608_043837
KGRB20220608_094313_V06,20220608_044313
KGRB20220608_094751_V06,20220608_044751
KGRB20220608_095229_V06,20220608_045229
KGRB20220608_100143_V06,20220608_050143
KGRB20220608_100621_V06,20220608_050621
KGRB20220608_101058_V06,20220608_051058
KGRB20220608_101535_V06,20220608_051535
KGRB20220608_102014_V06,20220608_052014
KGRB20220608_102452_V06,20220608_052452
KGRB20220608_102930_V06,20220608_052930
KGRB20220608_103408_V06,20220608_053408
KGRB20220608_103839_V06,20220608_053839
KGRB20220608_104316_V06,20220608_054316
KGRB20220608_104755_V06,20220608_054755
KGRB20220608_105226_V06,20220608_055226
KGRB20220608_110129_V06,20220608_060129
KGRB20220608_110601_V06,20220608_060601
KGRB20220608_111032_V06,20220608_061032
KGRB20220608_111504_V06,20220608_061504
KGRB20220608_111935_V06,20220608_061935
KGRB20220608_112407_V06,20220608_062407
KGRB20220608_112853_V06,20220608_062853
KGRB20220608_113325_V06,20220608_063325
KGRB20220608_113757_V06,20220608_063757
KGRB20220609_094450_V06,20220609_044450
KGRB20220609_100413_V06,20220609_050413
KGRB20220609_101354_V06,20220609_051354
KGRB20220609_102336_V06,20220609_052336
KGRB20220609_103318_V06,20220609_053318
KGRB20220609_104300_V06,20220609_054300
KGRB20220609_110224_V06,20220609_060224
KGRB20220609_111206_V06,20220609_061206
KGRB20220609_112147_V06,20220609_062147
KGRB20220609_113129_V06,20220609_063129
KGRB20220610_093809_V06,20220610_043809
KGRB20220610_094804_V06,20220610_044804
