filename,local_time
KOKX20090601_085159_V03,20090601_045159
KOKX20090601_090139_V03,20090601_050139
KOKX20090601_091120_V03,20090601_051120
KOKX20090601_092100_V03,20090601_052100
KOKX20090601_093041_V03,20090601_053041
KOKX20090601_094021_V03,20090601_054021
KOKX20090601_095002_V03,20090601_055002
KOKX20090601_095943_V03,20090601_055943
KOKX20090601_100923_V03,20090601_060923
KOKX20090601_101904_V03,20090601_061904
KOKX20090601_102845_V03,20090601_062845
KOKX20090601_103825_V03,20090601_063825
KOKX20090601_104806_V03,20090601_064806
KOKX20090602_085659_V03,20090602_045659
KOKX20090602_090640_V03,20090602_050640
KOKX20090602_091620_V03,20090602_051620
KOKX20090602_092601_V03,20090602_052601
KOKX20090602_093541_V03,20090602_053541
KOKX20090602_094523_V03,20090602_054523
KOKX20090602_095504_V03,20090602_055504
KOKX20090602_100444_V03,20090602_060444
KOKX20090602_101425_V03,20090602_061425
KOKX20090602_102406_V03,20090602_062406
KOKX20090602_103348_V03,20090602_063348
KOKX20090602_104328_V03,20090602_064328
KOKX20090603_085356_V03,20090603_045356
KOKX20090603_085811_V03,20090603_045811
KOKX20090603_090227_V03,20090603_050227
KOKX20090603_090642_V03,20090603_050642
KOKX20090603_091057_V03,20090603_051057
KOKX20090603_091513_V03,20090603_051513
KOKX20090603_091928_V03,20090603_051928
KOKX20090603_092343_V03,20090603_052343
KOKX20090603_092759_V03,20090603_052759
KOKX20090603_093214_V03,20090603_053214
KOKX20090603_093629_V03,20090603_053629
KOKX20090603_094045_V03,20090603_054045
KOKX20090603_094501_V03,20090603_054501
KOKX20090603_094916_V03,20090603_054916
KOKX20090603_095333_V03,20090603_055333
KOKX20090603_095748_V03,20090603_055748
KOKX20090603_100203_V03,20090603_060203
KOKX20090603_100620_V03,20090603_060620
KOKX20090603_101037_V03,20090603_061037
KOKX20090603_101452_V03,20090603_061452
KOKX20090603_101907_V03,20090603_061907
KOKX20090603_102322_V03,20090603_062322
KOKX20090603_102738_V03,20090603_062738
KOKX20090603_103153_V03,20090603_063153
KOKX20090603_103608_V03,20090603_063608
KOKX20090603_104025_V03,20090603_064025
KOKX20090603_104442_V03,20090603_064442
KOKX20090603_104857_V03,20090603_064857
KOKX20090604_085611_V03,20090604_045611
KOKX20090604_090158_V03,20090604_050158
KOKX20090604_090746_V03,20090604_050746
KOKX20090604_091331_V03,20090604_051331
KOKX20090604_091916_V03,20090604_051916
KOKX20090604_092501_V03,20090604_052501
KOKX20090604_093047_V03,20090604_053047
KOKX20090604_093634_V03,20090604_053634
KOKX20090604_094219_V03,20090604_054219
KOKX20090604_094804_V03,20090604_054804
KOKX20090604_095349_V03,20090604_055349
KOKX20090604_095937_V03,20090604_055937
KOKX20090604_100522_V03,20090604_060522
KOKX20090604_101109_V03,20090604_061109
KOKX20090604_101656_V03,20090604_061656
KOKX20090604_102246_V03,20090604_062246
KOKX20090604_102830_V03,20090604_062830
KOKX20090604_103417_V03,20090604_063417
KOKX20090604_104003_V03,20090604_064003
KOKX20090604_104548_V03,20090604_064548
KOKX20090605_085122_V03,20090605_045122
KOKX20090605_085711_V03,20090605_045711
KOKX20090605_090256_V03,20090605_050256
KOKX20090605_090841_V03,20090605_050841
KOKX20090605_091426_V03,20090605_051426
KOKX20090605_092015_V03,20090605_052015
KOKX20090605_092600_V03,20090605_052600
KOKX20090605_093145_V03,20090605_053145
KOKX20090605_093734_V03,20090605_053734
KOKX20090605_094321_V03,20090605_054321
KOKX20090605_094906_V03,20090605_054906
KOKX20090605_095453_V03,20090605_055453
KOKX20090605_100042_V03,20090605_060042
KOKX20090605_100628_V03,20090605_060628
KOKX20090605_101214_V03,20090605_061214
KOKX20090605_101800_V03,20090605_061800
KOKX20090605_102345_V03,20090605_062345
