filename,local_time
KFWS20070601_102534,20070601_052534
KFWS20070601_103026,20070601_053026
KFWS20070601_103518,20070601_053518
KFWS20070601_104011,20070601_054011
KFWS20070601_104503,20070601_054503
KFWS20070601_104955,20070601_054955
KFWS20070601_105449,20070601_055449
KFWS20070601_110423,20070601_060423
KFWS20070601_111359,20070601_061359
KFWS20070601_112335,20070601_062335
KFWS20070601_113312,20070601_063312
KFWS20070601_114247,20070601_064247
KFWS20070601_115223,20070601_065223
KFWS20070601_120200,20070601_070200
KFWS20070601_121136,20070601_071136
KFWS20070601_122113,20070601_072113
KFWS20070601_123050,20070601_073050
KFWS20070601_124027,20070601_074027
KFWS20070601_125004,20070601_075004
KFWS20070602_102410,20070602_052410
KFWS20070602_102901,20070602_052901
KFWS20070602_103354,20070602_053354
KFWS20070602_103847,20070602_053847
KFWS20070602_104339,20070602_054339
KFWS20070602_104832,20070602_054832
KFWS20070602_105324,20070602_055324
KFWS20070602_105818,20070602_055818
KFWS20070602_110310,20070602_060310
KFWS20070602_110803,20070602_060803
KFWS20070602_111255,20070602_061255
KFWS20070602_111747,20070602_061747
KFWS20070602_112239,20070602_062239
KFWS20070602_112733,20070602_062733
KFWS20070602_113225,20070602_063225
KFWS20070602_113718,20070602_063718
KFWS20070602_114210,20070602_064210
KFWS20070602_114702,20070602_064702
KFWS20070602_115155,20070602_065155
KFWS20070602_115647,20070602_065647
KFWS20070602_120140,20070602_070140
KFWS20070602_120632,20070602_070632
KFWS20070602_121124,20070602_071124
KFWS20070602_121618,20070602_071618
KFWS20070602_122109,20070602_072109
KFWS20070602_122602,20070602_072602
KFWS20070602_123055,20070602_073055
KFWS20070602_123547,20070602_073547
KFWS20070602_124040,20070602_074040
KFWS20070602_124532,20070602_074532
KFWS20070602_125024,20070602_075024
KFWS20070603_102456,20070603_052456
KFWS20070603_102950,20070603_052950
KFWS20070603_103443,20070603_053443
KFWS20070603_103935,20070603_053935
KFWS20070603_104428,20070603_054428
KFWS20070603_104921,20070603_054921
KFWS20070603_105414,20070603_055414
KFWS20070603_105906,20070603_055906
KFWS20070603_110359,20070603_060359
KFWS20070603_110851,20070603_060851
KFWS20070603_111343,20070603_061343
KFWS20070603_111835,20070603_061835
KFWS20070603_112328,20070603_062328
KFWS20070603_112821,20070603_062821
KFWS20070603_113313,20070603_063313
KFWS20070603_113806,20070603_063806
KFWS20070603_114258,20070603_064258
KFWS20070603_114751,20070603_064751
KFWS20070603_115244,20070603_065244
KFWS20070603_115737,20070603_065737
KFWS20070603_120229,20070603_070229
KFWS20070603_120723,20070603_070723
KFWS20070603_121215,20070603_071215
KFWS20070603_121707,20070603_071707
KFWS20070603_122200,20070603_072200
KFWS20070603_122653,20070603_072653
