filename,local_time
KGRK20120601_103217_V03,20120601_053217
KGRK20120601_104201_V03,20120601_054201
KGRK20120601_105144_V03,20120601_055144
KGRK20120601_105643_V03,20120601_055643
KGRK20120601_110143_V03,20120601_060143
KGRK20120601_110643_V03,20120601_060643
KGRK20120601_111144_V03,20120601_061144
KGRK20120601_112127_V03,20120601_062127
KGRK20120601_113110_V03,20120601_063110
KGRK20120601_114053_V03,20120601_064053
KGRK20120601_115036_V03,20120601_065036
KGRK20120601_120018_V03,20120601_070018
KGRK20120601_121001_V03,20120601_071001
KGRK20120601_121944_V03,20120601_071944
KGRK20120601_122928_V03,20120601_072928
KGRK20120601_123911_V03,20120601_073911
KGRK20120601_124855_V03,20120601_074855
KGRK20120602_103047_V03,20120602_053047
KGRK20120602_104029_V03,20120602_054029
KGRK20120602_105011_V03,20120602_055011
KGRK20120602_105954_V03,20120602_055954
KGRK20120602_110936_V03,20120602_060936
KGRK20120602_111919_V03,20120602_061919
KGRK20120602_112902_V03,20120602_062902
KGRK20120602_113844_V03,20120602_063844
KGRK20120602_114827_V03,20120602_064827
KGRK20120602_115809_V03,20120602_065809
KGRK20120602_120753_V03,20120602_070753
KGRK20120602_121735_V03,20120602_071735
KGRK20120602_122718_V03,20120602_072718
KGRK20120602_123701_V03,20120602_073701
KGRK20120602_124643_V03,20120602_074643
KGRK20120602_125626_V03,20120602_075626
KGRK20120603_102707_V03,20120603_052707
KGRK20120603_103649_V03,20120603_053649
KGRK20120603_104632_V03,20120603_054632
KGRK20120603_105614_V03,20120603_055614
KGRK20120603_110556_V03,20120603_060556
KGRK20120603_111538_V03,20120603_061538
KGRK20120603_112521_V03,20120603_062521
KGRK20120603_113503_V03,20120603_063503
KGRK20120603_114445_V03,20120603_064445
KGRK20120603_115427_V03,20120603_065427
KGRK20120603_120411_V03,20120603_070411
KGRK20120603_121353_V03,20120603_071353
KGRK20120603_122337_V03,20120603_072337
KGRK20120603_123319_V03,20120603_073319
KGRK20120603_124302_V03,20120603_074302
KGRK20120603_125245_V03,20120603_075245
KGRK20120604_102919_V03,20120604_052919
KGRK20120604_103421_V03,20120604_053421
KGRK20120604_104403_V03,20120604_054403
KGRK20120604_105345_V03,20120604_055345
KGRK20120604_110327_V03,20120604_060327
KGRK20120604_111310_V03,20120604_061310
KGRK20120604_112252_V03,20120604_062252
KGRK20120604_113235_V03,20120604_063235
KGRK20120604_114217_V03,20120604_064217
KGRK20120604_115200_V03,20120604_065200
KGRK20120604_120143_V03,20120604_070143
KGRK20120604_121126_V03,20120604_071126
KGRK20120604_122109_V03,20120604_072109
