filename,local_time
KLZK20070601_100132,20070601_050132
KLZK20070601_101112,20070601_051112
KLZK20070601_102051,20070601_052051
KLZK20070601_103030,20070601_053030
KLZK20070601_104010,20070601_054010
KLZK20070601_104949,20070601_054949
KLZK20070601_105929,20070601_055929
KLZK20070601_110908,20070601_060908
KLZK20070601_111847,20070601_061847
KLZK20070601_112827,20070601_062827
KLZK20070601_113807,20070601_063807
KLZK20070601_114745,20070601_064745
KLZK20070601_115158,20070601_065158
KLZK20070601_115612,20070601_065612
KLZK20070601_120024,20070601_070024
KLZK20070601_120438,20070601_070438
KLZK20070601_120851,20070601_070851
KLZK20070601_121305,20070601_071305
KLZK20070601_121718,20070601_071718
KLZK20070601_122132,20070601_072132
KLZK20070601_122544,20070601_072544
KLZK20070602_095928,20070602_045928
KLZK20070602_100341,20070602_050341
KLZK20070602_100754,20070602_050754
KLZK20070602_101207,20070602_051207
KLZK20070602_101619,20070602_051619
KLZK20070602_102032,20070602_052032
KLZK20070602_102444,20070602_052444
KLZK20070602_102857,20070602_052857
KLZK20070602_103310,20070602_053310
KLZK20070602_103723,20070602_053723
KLZK20070602_104136,20070602_054136
KLZK20070602_104548,20070602_054548
KLZK20070602_105001,20070602_055001
KLZK20070602_105414,20070602_055414
KLZK20070602_105826,20070602_055826
KLZK20070602_110238,20070602_060238
KLZK20070602_110650,20070602_060650
KLZK20070602_111104,20070602_061104
KLZK20070602_112043,20070602_062043
KLZK20070602_113021,20070602_063021
KLZK20070602_113959,20070602_063959
KLZK20070602_114938,20070602_064938
KLZK20070602_115917,20070602_065917
KLZK20070602_120857,20070602_070857
KLZK20070602_121836,20070602_071836
KLZK20070603_100545,20070603_050545
KLZK20070603_101525,20070603_051525
KLZK20070603_102505,20070603_052505
KLZK20070603_103444,20070603_053444
KLZK20070603_103859,20070603_053859
KLZK20070603_104313,20070603_054313
KLZK20070603_104727,20070603_054727
KLZK20070603_105140,20070603_055140
KLZK20070603_105555,20070603_055555
KLZK20070603_110009,20070603_060009
KLZK20070603_110423,20070603_060423
KLZK20070603_110836,20070603_060836
KLZK20070603_111251,20070603_061251
KLZK20070603_111705,20070603_061705
KLZK20070603_112118,20070603_062118
KLZK20070603_112531,20070603_062531
KLZK20070603_112945,20070603_062945
KLZK20070603_113358,20070603_063358
KLZK20070603_113812,20070603_063812
KLZK20070603_114226,20070603_064226
KLZK20070603_114639,20070603_064639
KLZK20070603_115618,20070603_065618
KLZK20070603_120556,20070603_070556
KLZK20070603_121536,20070603_071536
KLZK20070603_122515,20070603_072515
KLZK20070604_095643,20070604_045643
KLZK20070604_100623,20070604_050623
KLZK20070604_101603,20070604_051603
KLZK20070604_102543,20070604_052543
KLZK20070604_103523,20070604_053523
KLZK20070604_104503,20070604_054503
KLZK20070604_105442,20070604_055442
KLZK20070604_110422,20070604_060422
KLZK20070604_111403,20070604_061403
KLZK20070604_112343,20070604_062343
KLZK20070604_113322,20070604_063322
KLZK20070604_114302,20070604_064302
KLZK20070604_115243,20070604_065243
KLZK20070604_120223,20070604_070223
KLZK20070604_121202,20070604_071202
KLZK20070604_122142,20070604_072142
KLZK20070605_100031,20070605_050031
