filename,local_time
KSRX20110601_101040_V03,20110601_051040
KSRX20110601_102018_V03,20110601_052018
KSRX20110601_102957_V03,20110601_052957
KSRX20110601_103936_V03,20110601_053936
KSRX20110601_104915_V03,20110601_054915
KSRX20110601_105855_V03,20110601_055855
KSRX20110601_110833_V03,20110601_060833
KSRX20110601_111812_V03,20110601_061812
KSRX20110601_112751_V03,20110601_062751
KSRX20110601_113730_V03,20110601_063730
KSRX20110601_114709_V03,20110601_064709
KSRX20110601_115648_V03,20110601_065648
KSRX20110601_120628_V03,20110601_070628
KSRX20110601_121608_V03,20110601_071608
KSRX20110601_122547_V03,20110601_072547
KSRX20110602_101018_V03,20110602_051018
KSRX20110602_101958_V03,20110602_051958
KSRX20110602_102936_V03,20110602_052936
KSRX20110602_103915_V03,20110602_053915
KSRX20110602_104854_V03,20110602_054854
KSRX20110602_105833_V03,20110602_055833
KSRX20110602_110812_V03,20110602_060812
KSRX20110602_111750_V03,20110602_061750
KSRX20110602_112730_V03,20110602_062730
KSRX20110602_113710_V03,20110602_063710
KSRX20110602_114649_V03,20110602_064649
KSRX20110602_115629_V03,20110602_065629
KSRX20110602_120609_V03,20110602_070609
KSRX20110602_121548_V03,20110602_071548
KSRX20110602_122528_V03,20110602_072528
KSRX20110603_100935_V03,20110603_050935
KSRX20110603_101913_V03,20110603_051913
KSRX20110603_102852_V03,20110603_052852
KSRX20110603_103830_V03,20110603_053830
KSRX20110603_104810_V03,20110603_054810
KSRX20110603_105748_V03,20110603_055748
KSRX20110603_110726_V03,20110603_060726
KSRX20110603_111705_V03,20110603_061705
KSRX20110603_112644_V03,20110603_062644
KSRX20110603_113622_V03,20110603_063622
KSRX20110603_114601_V03,20110603_064601
KSRX20110603_115540_V03,20110603_065540
KSRX20110603_120519_V03,20110603_070519
KSRX20110603_121459_V03,20110603_071459
KSRX20110603_122438_V03,20110603_072438
KSRX20110604_101232_V03,20110604_051232
KSRX20110604_102210_V03,20110604_052210
KSRX20110604_103147_V03,20110604_053147
KSRX20110604_104126_V03,20110604_054126
KSRX20110604_105104_V03,20110604_055104
KSRX20110604_110042_V03,20110604_060042
KSRX20110604_111021_V03,20110604_061021
KSRX20110604_111958_V03,20110604_061958
KSRX20110604_112936_V03,20110604_062936
KSRX20110604_113914_V03,20110604_063914
KSRX20110604_114852_V03,20110604_064852
KSRX20110604_115830_V03,20110604_065830
KSRX20110604_120808_V03,20110604_070808
KSRX20110604_121746_V03,20110604_071746
KSRX20110604_122724_V03,20110604_072724
KSRX20110606_100752_V03,20110606_050752
KSRX20110606_101731_V03,20110606_051731
KSRX20110606_102710_V03,20110606_052710
KSRX20110606_103649_V03,20110606_053649
KSRX20110606_104628_V03,20110606_054628
KSRX20110606_105606_V03,20110606_055606
KSRX20110606_110545_V03,20110606_060545
KSRX20110606_111524_V03,20110606_061524
KSRX20110606_112502_V03,20110606_062502
KSRX20110606_113442_V03,20110606_063442
KSRX20110606_114421_V03,20110606_064421
KSRX20110606_115400_V03,20110606_065400
KSRX20110606_120338_V03,20110606_070338
KSRX20110606_121317_V03,20110606_071317
KSRX20110606_122255_V03,20110606_072255
KSRX20110606_123234_V03,20110606_073234
KSRX20110607_100634_V03,20110607_050634
KSRX20110607_101612_V03,20110607_051612
KSRX20110607_102550_V03,20110607_052550
KSRX20110607_103528_V03,20110607_053528
KSRX20110607_104506_V03,20110607_054506
KSRX20110607_105445_V03,20110607_055445
KSRX20110607_110423_V03,20110607_060423
KSRX20110607_111401_V03,20110607_061401
KSRX20110607_112339_V03,20110607_062339
KSRX20110607_113318_V03,20110607_063318
KSRX20110607_114256_V03,20110607_064256
KSRX20110607_115235_V03,20110607_065235
KSRX20110607_120213_V03,20110607_070213
KSRX20110607_121151_V03,20110607_071151
KSRX20110607_122129_V03,20110607_072129
KSRX20110607_123108_V03,20110607_073108
KSRX20110608_100439_V03,20110608_050439
KSRX20110608_101418_V03,20110608_051418
KSRX20110608_102356_V03,20110608_052356
KSRX20110608_103334_V03,20110608_053334
KSRX20110608_104312_V03,20110608_054312
KSRX20110608_105250_V03,20110608_055250
KSRX20110608_110229_V03,20110608_060229
KSRX20110608_111207_V03,20110608_061207
KSRX20110608_112146_V03,20110608_062146
KSRX20110608_113124_V03,20110608_063124
KSRX20110608_114102_V03,20110608_064102
KSRX20110608_115041_V03,20110608_065041
KSRX20110608_120018_V03,20110608_070018
KSRX20110608_120956_V03,20110608_070956
KSRX20110608_121935_V03,20110608_071935
KSRX20110608_122913_V03,20110608_072913
KSRX20110609_100254_V03,20110609_050254
KSRX20110609_101232_V03,20110609_051232
KSRX20110609_102210_V03,20110609_052210
KSRX20110609_103148_V03,20110609_053148
KSRX20110609_104129_V03,20110609_054129
KSRX20110609_105107_V03,20110609_055107
KSRX20110609_110046_V03,20110609_060046
KSRX20110609_111025_V03,20110609_061025
KSRX20110609_112003_V03,20110609_062003
KSRX20110609_112942_V03,20110609_062942
KSRX20110609_113920_V03,20110609_063920
KSRX20110609_114900_V03,20110609_064900
KSRX20110609_115838_V03,20110609_065838
KSRX20110609_120816_V03,20110609_070816
KSRX20110609_121755_V03,20110609_071755
KSRX20110609_122734_V03,20110609_072734
KSRX20110610_100246_V03,20110610_050246
KSRX20110610_100829_V03,20110610_050829
KSRX20110610_101412_V03,20110610_051412
KSRX20110610_101955_V03,20110610_051955
KSRX20110610_102539_V03,20110610_052539
KSRX20110610_103122_V03,20110610_053122
KSRX20110610_103706_V03,20110610_053706
KSRX20110610_104248_V03,20110610_054248
KSRX20110610_104832_V03,20110610_054832
KSRX20110610_105414_V03,20110610_055414
KSRX20110610_105957_V03,20110610_055957
KSRX20110610_110541_V03,20110610_060541
KSRX20110610_111124_V03,20110610_061124
KSRX20110610_111707_V03,20110610_061707
KSRX20110610_112251_V03,20110610_062251
KSRX20110610_112835_V03,20110610_062835
KSRX20110610_113418_V03,20110610_063418
KSRX20110610_114002_V03,20110610_064002
KSRX20110610_114545_V03,20110610_064545
KSRX20110610_115128_V03,20110610_065128
KSRX20110610_115711_V03,20110610_065711
KSRX20110610_120254_V03,20110610_070254
KSRX20110610_120838_V03,20110610_070838
KSRX20110610_121422_V03,20110610_071422
KSRX20110610_122005_V03,20110610_072005
KSRX20110610_122548_V03,20110610_072548
KSRX20110610_123132_V03,20110610_073132
KSRX20110611_100212_V03,20110611_050212
KSRX20110611_100755_V03,20110611_050755
KSRX20110611_101340_V03,20110611_051340
KSRX20110611_101924_V03,20110611_051924
KSRX20110611_102507_V03,20110611_052507
KSRX20110611_103051_V03,20110611_053051
KSRX20110611_103634_V03,20110611_053634
KSRX20110611_104217_V03,20110611_054217
KSRX20110611_104800_V03,20110611_054800
KSRX20110611_105343_V03,20110611_055343
KSRX20110611_105928_V03,20110611_055928
KSRX20110611_110512_V03,20110611_060512
KSRX20110611_111450_V03,20110611_061450
KSRX20110611_112427_V03,20110611_062427
KSRX20110611_113404_V03,20110611_063404
KSRX20110611_114341_V03,20110611_064341
KSRX20110611_115318_V03,20110611_065318
KSRX20110611_120256_V03,20110611_070256
KSRX20110611_121233_V03,20110611_071233
KSRX20110611_122211_V03,20110611_072211
KSRX20110611_123149_V03,20110611_073149
KSRX20110612_100619_V03,20110612_050619
KSRX20110612_101204_V03,20110612_051204
KSRX20110612_101747_V03,20110612_051747
KSRX20110612_102332_V03,20110612_052332
KSRX20110612_102915_V03,20110612_052915
KSRX20110612_103503_V03,20110612_053503
KSRX20110612_104047_V03,20110612_054047
KSRX20110612_104630_V03,20110612_054630
KSRX20110612_105215_V03,20110612_055215
KSRX20110612_105759_V03,20110612_055759
KSRX20110612_110342_V03,20110612_060342
KSRX20110612_110926_V03,20110612_060926
KSRX20110612_111509_V03,20110612_061509
KSRX20110612_112053_V03,20110612_062053
KSRX20110612_112636_V03,20110612_062636
KSRX20110612_113219_V03,20110612_063219
KSRX20110612_113803_V03,20110612_063803
KSRX20110612_114347_V03,20110612_064347
KSRX20110612_114931_V03,20110612_064931
KSRX20110612_115516_V03,20110612_065516
KSRX20110612_120100_V03,20110612_070100
KSRX20110612_120644_V03,20110612_070644
KSRX20110612_121227_V03,20110612_071227
KSRX20110612_121811_V03,20110612_071811
KSRX20110612_122355_V03,20110612_072355
