track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KEWX20110601_120954_V03,37.648,0.389,370.704,164.800,17.841,-97.661,30.313,8920.517,76285.931,20110601_070954
1,KEWX20110602_110755_V03,-24.122,0.087,260.012,333.684,27.919,-98.234,29.552,13959.284,26142.105,20110602_060755
1,KEWX20110602_111835_V03,-13.456,0.051,255.709,334.474,36.550,-98.257,29.548,18275.105,28063.010,20110602_061835
1,KEWX20110603_112043_V03,-11.133,0.272,213.233,205.130,13.555,-98.478,30.131,6777.365,64282.389,20110603_062043
1,KEWX20110603_113025_V03,-1.433,0.506,214.940,205.164,19.429,-98.469,30.131,9714.372,63696.768,20110603_063025
3,KEWX20110603_113025_V03,-1.433,0.717,261.382,124.137,11.389,-98.229,30.497,5694.588,90026.484,20110603_063025
3,KEWX20110603_114007_V03,8.267,0.349,264.265,123.870,20.866,-98.214,30.498,10432.791,89859.560,20110603_064007
6,KEWX20110603_114007_V03,8.267,0.122,373.569,72.246,4.675,-97.644,30.730,2337.658,119670.443,20110603_064007
7,KEWX20110603_124800_V03,76.150,0.309,47.518,402.991,7.251,-99.327,29.233,3625.729,136339.681,20110603_074800
1,KEWX20110604_114757_V03,16.266,0.215,362.775,169.284,13.168,-97.702,30.293,6583.984,72503.959,20110604_064757
2,KEWX20110605_111905_V03,-12.458,0.274,220.715,203.374,7.630,-98.439,30.139,3814.785,62495.432,20110605_061905
2,KEWX20110605_112847_V03,-2.758,0.523,222.255,203.467,15.552,-98.431,30.138,7776.111,61973.576,20110605_062847
2,KEWX20110605_113829_V03,6.942,0.670,227.238,206.383,16.998,-98.406,30.125,8499.044,59284.107,20110605_063829
2,KEWX20110605_114811_V03,16.642,0.577,226.795,207.425,18.273,-98.408,30.121,9136.519,59010.749,20110605_064811
5,KEWX20110605_111905_V03,-12.458,0.055,263.442,123.621,3.395,-98.218,30.499,1697.643,90063.785,20110605_061905
5,KEWX20110605_112847_V03,-2.758,0.777,262.009,124.137,9.751,-98.226,30.497,4875.277,89959.916,20110605_062847
5,KEWX20110605_113829_V03,6.942,0.145,264.967,122.863,15.675,-98.211,30.502,7837.515,90284.043,20110605_063829
8,KEWX20110605_113829_V03,6.942,0.081,210.454,135.398,3.386,-98.494,30.445,1693.188,93691.283,20110605_063829
