track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
4,KICT20080601_105037_V03,-19.075,0.068,250.711,361.978,12.648,-97.721,37.375,6324.039,39593.582,20080601_055037
4,KICT20080601_105531_V03,-14.175,-1.000,250.711,361.978,20.439,-97.721,37.375,10219.539,39593.582,20080601_055531
4,KICT20080601_120404_V03,54.375,0.068,293.295,388.521,19.266,-97.480,37.256,9632.885,44387.477,20080601_070404
1,KICT20080601_103100_V03,-38.692,0.166,299.503,509.718,5.960,-97.445,36.710,2979.826,104859.090,20080601_053100
3,KICT20080601_103100_V03,-38.692,0.051,240.145,512.417,10.597,-97.777,36.697,5298.658,110344.583,20080601_053100
5,KICT20080601_105531_V03,-14.175,0.079,179.444,72.138,66.538,-98.135,38.679,33268.944,128894.050,20080601_055531
6,KICT20080601_120404_V03,54.375,0.149,515.646,511.374,13.459,-96.236,36.696,6729.285,150981.843,20080601_070404
7,KICT20080601_120404_V03,54.375,0.052,323.295,143.778,1.991,-97.309,38.358,995.720,78974.631,20080601_070404
8,KICT20080601_120857_V03,59.258,0.083,155.858,392.749,25.681,-98.255,37.234,12840.521,85701.965,20080601_070857
9,KICT20080601_120857_V03,59.258,0.070,182.091,309.596,21.560,-98.110,37.609,10779.818,59149.388,20080601_070857
10,KICT20080601_121845_V03,69.058,0.057,165.597,64.857,13.811,-98.215,38.711,6905.470,135422.039,20080601_071845
11,KICT20080601_122339_V03,73.958,0.222,221.831,331.171,22.195,-97.885,37.513,11097.750,42077.436,20080601_072339
12,KICT20080601_122833_V03,78.858,0.133,223.249,287.557,21.260,-97.878,37.710,10630.159,38876.462,20080601_072833
13,KICT20080601_122833_V03,78.858,0.071,414.946,519.616,39.694,-96.800,36.663,19847.099,123939.278,20080601_072833
14,KICT20080601_123326_V03,83.742,0.158,454.535,314.809,6.225,-96.568,37.584,3112.663,77621.353,20080601_073326
1,KICT20080603_110131_V03,-7.536,0.082,315.175,410.214,3.153,-97.357,37.158,1576.439,55626.894,20080603_060131
1,KICT20080605_102556_V03,-42.600,0.191,50.984,440.979,6.071,-98.842,37.011,3035.391,143077.014,20080605_052556
4,KICT20080606_101949_V03,-48.502,0.117,278.557,139.291,7.816,-97.565,38.378,3907.959,81066.626,20080606_051949
4,KICT20080606_102535_V03,-42.735,0.496,281.342,137.602,15.588,-97.549,38.386,7793.763,81733.140,20080606_052535
4,KICT20080606_103121_V03,-36.969,0.166,288.098,135.759,19.084,-97.511,38.394,9541.846,82335.914,20080606_053121
5,KICT20080608_112749_V03,19.838,0.821,201.833,376.394,5.408,-97.996,37.309,2704.235,62194.858,20080608_062749
5,KICT20080608_113243_V03,24.738,0.548,200.104,376.592,14.320,-98.006,37.308,7159.917,62939.380,20080608_063243
5,KICT20080608_113738_V03,29.655,0.719,201.721,370.726,17.813,-97.997,37.335,8906.727,60541.053,20080608_063738
5,KICT20080608_114232_V03,34.555,0.665,202.973,365.150,23.756,-97.990,37.360,11877.937,58435.479,20080608_064232
5,KICT20080608_114727_V03,39.471,0.379,203.636,361.073,29.831,-97.987,37.378,14915.384,57044.004,20080608_064727
5,KICT20080608_115221_V03,44.371,0.054,206.167,348.739,29.997,-97.973,37.434,14998.390,52868.073,20080608_065221
2,KICT20080608_110719_V03,-0.662,0.215,205.901,288.000,5.008,-97.976,37.707,2503.996,47430.469,20080608_060719
2,KICT20080608_111304_V03,5.088,-1.000,205.901,288.000,14.150,-97.976,37.707,7075.246,47430.469,20080608_061304
2,KICT20080608_111759_V03,10.005,0.366,212.115,278.049,15.737,-97.941,37.752,7868.364,45292.663,20080608_061759
2,KICT20080608_112254_V03,14.921,-1.000,216.498,271.029,19.158,-97.916,37.784,9578.917,44192.422,20080608_062254
2,KICT20080608_112749_V03,19.838,-1.000,220.882,264.008,22.579,-97.892,37.816,11289.471,43459.946,20080608_062749
2,KICT20080608_113243_V03,24.738,0.758,224.955,271.351,22.150,-97.868,37.783,11075.043,40163.991,20080608_063243
2,KICT20080608_113738_V03,29.655,0.258,229.008,263.627,21.467,-97.846,37.818,10733.690,39883.671,20080608_063738
2,KICT20080608_114232_V03,34.555,0.147,226.369,264.522,31.544,-97.861,37.814,15772.144,40866.494,20080608_064232
18,KICT20080608_120210_V03,54.188,0.125,261.713,227.158,4.755,-97.660,37.982,2377.617,41145.436,20080608_070210
18,KICT20080608_120704_V03,59.088,-1.000,261.713,227.158,12.546,-97.660,37.982,6273.117,41145.436,20080608_070704
