track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KLSX20100601_102020_V03,-19.524,0.126,300.389,200.642,14.245,-90.681,39.146,7122.452,49679.336,20100601_052020
13,KLSX20100602_110855_V03,29.433,0.091,394.914,48.109,45.041,-90.128,39.832,22520.493,134589.766,20100602_060855
13,KLSX20100602_111333_V03,34.066,0.062,397.726,48.017,51.802,-90.112,39.832,25901.003,135134.726,20100602_061333
13,KLSX20100602_111810_V03,38.683,0.147,405.866,50.656,56.758,-90.065,39.820,28378.905,135443.646,20100602_061810
1,KLSX20100602_094059_V03,-58.501,0.423,383.560,463.268,8.672,-90.207,37.962,4335.775,91704.518,20100602_044059
1,KLSX20100602_094537_V03,-53.867,0.252,385.184,462.637,14.772,-90.198,37.965,7386.201,91797.303,20100602_044537
6,KLSX20100602_095931_V03,-39.967,0.128,420.211,347.151,7.124,-89.994,38.484,3562.155,64563.577,20100602_045931
6,KLSX20100602_100408_V03,-35.351,0.051,421.821,346.051,12.826,-89.985,38.489,6413.245,65117.337,20100602_050408
3,KLSX20100602_094059_V03,-58.501,0.092,447.293,356.407,6.764,-89.839,38.442,3381.802,78862.270,20100602_044059
4,KLSX20100602_094537_V03,-53.867,0.122,263.370,490.485,5.713,-90.891,37.841,2856.711,96987.468,20100602_044537
5,KLSX20100602_095453_V03,-44.601,0.084,227.903,520.278,8.623,-91.092,37.706,4311.474,115888.435,20100602_045453
7,KLSX20100602_101801_V03,-21.467,0.075,63.309,202.771,16.311,-92.051,39.129,8155.256,127941.611,20100602_051801
8,KLSX20100602_101801_V03,-21.467,0.051,243.619,62.037,21.776,-91.012,39.770,10888.187,122275.668,20100602_051801
8,KLSX20100602_102238_V03,-16.851,-1.000,243.619,62.037,29.117,-91.012,39.770,14558.437,122275.668,20100602_052238
8,KLSX20100602_102716_V03,-12.217,0.256,266.130,59.823,22.936,-90.880,39.780,11467.922,121276.968,20100602_052716
9,KLSX20100602_102238_V03,-16.851,0.065,241.368,231.078,32.639,-91.021,39.009,16319.410,45243.667,20100602_052238
11,KLSX20100602_104547_V03,6.299,0.115,276.546,238.200,49.771,-90.818,38.977,24885.315,33050.191,20100602_054547
12,KLSX20100602_105502_V03,15.549,0.265,355.276,432.854,11.147,-90.368,38.100,5573.669,71947.249,20100602_055502
16,KLSX20100602_115951_V03,80.366,0.092,24.659,343.382,35.919,-92.261,38.493,17959.366,139368.587,20100602_065951
3,KLSX20100603_100119_V03,-37.825,0.308,430.361,400.407,67.543,-89.938,38.244,33771.301,82273.382,20100603_050119
3,KLSX20100603_100557_V03,-33.192,0.291,432.860,399.897,71.697,-89.924,38.246,35848.271,83113.194,20100603_050557
3,KLSX20100603_101035_V03,-28.558,0.173,439.500,391.126,68.900,-89.886,38.286,34450.072,83312.990,20100603_051035
3,KLSX20100603_101513_V03,-23.925,0.074,447.685,394.351,58.325,-89.839,38.271,29162.743,87625.647,20100603_051513
7,KLSX20100603_111851_V03,39.708,0.100,336.078,535.316,22.575,-90.478,37.639,11287.416,119032.930,20100603_061851
7,KLSX20100603_112437_V03,45.475,0.067,337.391,536.099,29.811,-90.471,37.635,14905.713,119520.641,20100603_062437
7,KLSX20100603_113023_V03,51.242,0.062,345.146,535.783,32.532,-90.427,37.637,16266.249,120032.886,20100603_063023
1,KLSX20100603_094248_V03,-56.342,0.271,283.538,371.545,14.535,-90.777,38.377,7267.618,36707.457,20100603_044248
1,KLSX20100603_094725_V03,-51.725,0.051,284.007,371.452,20.974,-90.774,38.377,10486.790,36610.228,20100603_044725
2,KLSX20100603_095203_V03,-47.092,0.134,424.210,397.723,70.255,-89.973,38.257,35127.666,79021.794,20100603_045203
2,KLSX20100603_095641_V03,-42.458,0.103,424.793,397.719,76.248,-89.970,38.257,38124.009,79250.029,20100603_045641
5,KLSX20100603_101513_V03,-23.925,0.073,242.548,576.478,29.126,-91.007,37.453,14562.806,141192.266,20100603_051513
5,KLSX20100603_101951_V03,-19.292,0.057,246.471,575.543,34.328,-90.985,37.457,17164.039,140347.191,20100603_051951
