track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
3,KLZK20080601_120007,63.535,0.200,373.124,61.872,33.798,-91.857,35.909,16898.956,124551.107,20080601_070007
3,KLZK20080601_120423,67.802,0.154,373.316,62.589,41.383,-91.856,35.906,20691.431,124236.712,20080601_070423
3,KLZK20080601_120839,72.069,0.099,382.564,68.090,43.572,-91.805,35.881,21785.790,123084.346,20080601_070839
1,KLZK20080601_110437,8.035,0.053,437.325,70.545,7.811,-91.502,35.868,3905.346,133704.547,20080601_060437
2,KLZK20080601_113845,42.169,0.071,21.970,123.086,20.788,-93.797,35.624,10393.991,164771.970,20080601_063845
3,KLZK20080602_115505,58.783,0.132,91.129,470.064,26.377,-93.393,34.065,13188.487,134674.486,20080602_065505
3,KLZK20080602_115921,63.050,0.185,90.449,469.219,33.420,-93.397,34.068,16710.181,134672.560,20080602_065921
3,KLZK20080602_120340,67.367,0.390,88.779,463.096,32.976,-93.406,34.096,16487.895,133430.132,20080602_070340
2,KLZK20080602_113342,37.400,0.124,196.515,537.096,36.065,-92.820,33.766,18032.730,129348.006,20080602_063342
2,KLZK20080602_113758,41.667,0.064,196.872,539.130,44.226,-92.818,33.757,22113.023,130210.015,20080602_063758
1,KLZK20080602_110803,11.750,0.066,301.593,29.658,27.242,-92.253,36.055,13621.246,135173.244,20080602_060803
4,KLZK20080602_115921,63.050,0.078,338.220,45.961,28.951,-92.050,35.981,14475.563,128449.104,20080602_065921
1,KLZK20080603_105015,-5.796,0.150,346.188,67.362,3.434,-92.006,35.885,1716.991,118589.152,20080603_055015
1,KLZK20080604_112340,27.847,0.082,297.830,409.235,9.351,-92.274,34.344,4675.266,54628.391,20080604_062340
1,KLZK20080604_113312,37.381,0.081,298.173,408.728,18.946,-92.272,34.346,9472.877,54371.665,20080604_063312
1,KLZK20080606_110155,6.468,0.067,117.550,67.349,26.328,-93.272,35.881,13164.124,147829.649,20080606_060155
