track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KNQA20120601_104625_V06,0.701,0.250,278.423,167.679,2.848,-89.993,35.941,1423.882,67034.157,20120601_054625
1,KNQA20120601_105608_V06,10.418,0.400,279.075,168.030,10.232,-89.989,35.939,5116.117,66809.339,20120601_055608
1,KNQA20120602_095215_V06,-53.173,0.056,267.403,347.664,8.121,-90.052,35.130,4060.406,28872.256,20120602_045215
1,KNQA20120602_100200_V06,-43.423,-1.000,267.403,347.664,23.623,-90.052,35.130,11811.656,28872.256,20120602_050200
1,KNQA20120602_101144_V06,-33.690,0.063,272.342,350.807,15.132,-90.025,35.116,7565.826,28923.937,20120602_051144
6,KNQA20120603_112349_V06,38.658,0.062,27.460,312.095,30.363,-91.371,35.281,15181.271,136403.928,20120603_062349
10,KNQA20120604_110513_V06,20.295,0.218,335.977,116.248,4.571,-89.673,36.173,2285.480,93620.443,20120604_060513
10,KNQA20120604_110956_V06,25.012,0.107,336.460,116.235,10.556,-89.671,36.173,5278.018,93673.705,20120604_060956
2,KNQA20120605_095740_V06,-47.045,0.446,329.732,242.860,10.890,-89.709,35.602,5444.904,32206.152,20120605_045740
2,KNQA20120605_100202_V06,-42.679,0.166,329.698,243.579,16.844,-89.709,35.599,8422.245,31880.116,20120605_050202
2,KNQA20120605_100621_V06,-38.362,0.072,329.388,246.072,18.793,-89.711,35.588,9396.628,30707.835,20120605_050621
5,KNQA20120605_111118_V06,26.588,0.069,270.811,346.490,8.080,-90.033,35.135,4040.180,27446.683,20120605_061118
5,KNQA20120605_111538_V06,30.921,0.089,270.711,346.573,13.820,-90.034,35.135,6910.065,27508.594,20120605_061538
5,KNQA20120605_112127_V06,36.738,0.104,272.534,345.439,15.202,-90.024,35.140,7600.872,26547.335,20120605_062127
6,KNQA20120605_112127_V06,36.738,0.051,30.641,425.012,43.476,-91.345,34.772,21738.012,148477.644,20120605_062127
6,KNQA20120605_112715_V06,42.538,0.080,29.707,426.164,49.050,-91.350,34.767,24525.127,149143.771,20120605_062715
3,KNQA20120605_102341_V06,-21.029,0.079,266.494,352.140,12.105,-90.057,35.110,6052.721,30988.939,20120605_052341
7,KNQA20120605_113303_V06,48.338,0.104,338.316,114.311,2.133,-89.660,36.181,1066.257,94800.537,20120605_063303
8,KNQA20120605_115222_V06,67.655,0.059,26.635,430.438,29.535,-91.366,34.748,14767.361,151445.418,20120605_065222
1,KNQA20120606_095029_V06,-54.047,0.088,292.882,172.956,7.505,-89.913,35.917,3752.514,63621.792,20120606_045029
1,KNQA20120606_100012_V06,-44.330,0.560,293.872,171.584,13.467,-89.907,35.923,6733.367,64281.202,20120606_050012
3,KNQA20120606_105831_V06,13.986,0.111,283.202,159.352,2.360,-89.966,35.979,1180.073,70823.881,20120606_055831
5,KNQA20120606_113726_V06,52.903,0.102,297.512,165.700,11.992,-89.887,35.950,5996.056,67161.634,20120606_063726
1,KNQA20120607_103724_V06,-6.977,0.067,280.573,160.208,1.753,-89.981,35.975,876.492,70567.801,20120607_053724
2,KNQA20120607_111619_V06,31.940,0.075,337.358,112.933,6.280,-89.666,36.188,3139.870,95380.459,20120607_061619
1,KNQA20120608_105534_V06,11.315,0.369,278.121,157.939,5.020,-89.995,35.985,2510.029,71868.201,20120608_055534
1,KNQA20120608_110517_V06,21.032,0.117,280.305,158.256,12.660,-89.983,35.983,6330.114,71552.646,20120608_060517
8,KNQA20120608_113429_V06,50.232,0.077,293.054,171.900,14.157,-89.912,35.922,7078.533,64144.189,20120608_063429
8,KNQA20120608_114413_V06,59.965,0.107,290.502,168.332,10.517,-89.926,35.938,5258.415,66004.966,20120608_064413
1,KNQA20120611_114453_V06,60.842,0.090,271.576,345.807,8.070,-90.029,35.138,4035.198,26954.540,20120611_064453
1,KNQA20120611_115436_V06,70.559,0.160,274.033,344.093,17.562,-90.016,35.146,8780.929,25585.689,20120611_065436
2,KNQA20120612_094730_V06,-56.526,0.107,78.637,277.255,8.488,-91.092,35.441,4244.045,111264.094,20120612_044730
1,KNQA20120613_100507_V06,-38.922,0.554,259.426,350.706,7.369,-90.096,35.116,3684.454,32470.483,20120613_050507
1,KNQA20120613_101450_V06,-29.205,0.737,256.758,351.852,15.608,-90.110,35.111,7803.923,33758.485,20120613_051450
3,KNQA20120613_100507_V06,-38.922,0.051,20.063,167.802,19.229,-91.424,35.931,9614.368,154791.124,20120613_050507
4,KNQA20120614_105154_V06,7.822,0.191,348.600,375.094,18.752,-89.607,35.006,9376.030,44724.292,20120614_055154
4,KNQA20120614_110138_V06,17.555,0.103,348.206,375.425,27.800,-89.609,35.005,13899.752,44757.123,20120614_060138
1,KNQA20120614_100319_V06,-40.761,0.344,265.451,344.464,6.704,-90.063,35.144,3352.119,28154.569,20120614_050319
2,KNQA20120614_100319_V06,-40.761,0.074,141.619,248.359,8.611,-90.747,35.574,4305.340,83293.474,20120614_050319
1,KNQA20120615_095307_V06,-51.027,0.095,269.951,346.544,7.925,-90.038,35.135,3962.648,27700.776,20120615_045307
2,KNQA20120615_103200_V06,-12.144,0.067,267.771,343.614,14.299,-90.050,35.148,7149.731,27114.865,20120615_053200
2,KNQA20120616_101056_V06,-33.303,0.238,271.474,345.922,12.738,-90.030,35.138,6369.108,27030.219,20120616_051056
2,KNQA20120616_101645_V06,-27.487,0.123,271.927,346.114,20.481,-90.027,35.137,10240.635,26993.501,20120616_051645
2,KNQA20120616_102235_V06,-21.653,-1.000,272.314,346.278,28.474,-90.025,35.136,14236.960,26963.962,20120616_052235
2,KNQA20120616_103217_V06,-11.953,0.236,267.009,362.014,28.995,-90.054,35.065,14497.276,35121.684,20120616_053217
1,KNQA20120616_100507_V06,-39.120,0.055,271.350,351.380,15.333,-90.030,35.113,7666.327,29413.741,20120616_050507
3,KNQA20120617_103102_V06,-13.322,0.054,445.870,528.043,16.100,-89.081,34.314,8049.795,135353.156,20120617_053102
4,KNQA20120617_103521_V06,-9.005,0.149,278.663,343.044,22.076,-89.990,35.151,11038.095,24021.210,20120617_053521
6,KNQA20120617_110532_V06,21.178,0.111,18.756,203.337,24.847,-91.429,35.770,12423.457,148695.877,20120617_060532
2,KNQA20120618_101702_V06,-27.466,0.147,272.718,344.958,14.944,-90.023,35.142,7471.821,26293.845,20120618_051702
2,KNQA20120618_102645_V06,-17.750,0.491,271.508,341.956,23.675,-90.030,35.156,11837.323,25357.972,20120618_052645
2,KNQA20120618_103626_V06,-8.066,0.057,262.662,348.071,27.343,-90.078,35.128,13671.292,30434.076,20120618_053626
