track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KPAH20110601_112640_V03,49.728,0.075,395.821,312.037,16.536,-88.234,37.013,8267.929,48287.243,20110601_062640
1,KPAH20110601_113621_V03,59.412,0.057,398.533,310.561,24.620,-88.218,37.019,12310.010,49548.819,20110601_063621
1,KPAH20110602_113957_V03,63.356,0.087,498.159,130.080,34.773,-87.647,37.829,17386.303,130517.866,20110602_063957
1,KPAH20110604_095643_V03,-39.277,0.062,30.035,410.737,55.646,-90.280,36.560,27822.832,145897.221,20110604_045643
2,KPAH20110604_101602_V03,-19.960,0.100,265.665,300.727,30.521,-88.965,37.065,15260.326,17171.240,20110604_051602
3,KPAH20110604_105442_V03,18.707,0.120,397.032,487.084,17.194,-88.232,36.224,8596.968,105374.975,20110604_055442
1,KPAH20110608_094518_V03,-49.842,0.079,146.017,116.808,14.309,-89.647,37.890,7154.278,119655.814,20110608_044518
2,KPAH20110608_101417_V03,-20.858,0.115,240.874,329.112,7.797,-89.104,36.937,3898.613,32952.043,20110608_051417
2,KPAH20110609_105935_V03,24.582,0.091,207.165,142.277,2.883,-89.299,37.778,1441.723,91507.859,20110609_055935
2,KPAH20110609_110915_V03,34.249,0.427,208.039,142.126,9.199,-89.294,37.778,4599.290,91352.155,20110609_060915
1,KPAH20110609_105935_V03,24.582,0.188,168.737,406.146,3.155,-89.505,36.588,1577.507,84405.016,20110609_055935
5,KPAH20110611_112651_V03,52.043,0.867,424.682,101.952,30.775,-88.063,37.958,15387.695,117013.590,20110611_062651
5,KPAH20110611_113234_V03,57.759,0.826,425.187,101.681,37.730,-88.060,37.960,18864.854,117262.775,20110611_063234
5,KPAH20110611_113817_V03,63.476,0.532,432.072,101.598,38.661,-88.021,37.960,19330.684,119170.543,20110611_063817
7,KPAH20110611_113817_V03,63.476,0.303,453.211,23.027,25.194,-87.896,38.313,12597.034,158262.084,20110611_063817
7,KPAH20110611_114400_V03,69.193,0.381,453.096,26.997,33.259,-87.897,38.295,16629.431,156499.989,20110611_064400
7,KPAH20110611_114943_V03,74.909,0.136,453.740,37.326,37.768,-87.894,38.248,18884.186,152178.736,20110611_064943
1,KPAH20110611_094909_V03,-45.657,0.345,223.486,66.405,30.976,-89.208,38.120,15487.759,122903.411,20110611_044909
1,KPAH20110611_095343_V03,-41.091,0.541,222.734,64.390,38.079,-89.213,38.129,19039.543,123977.908,20110611_045343
2,KPAH20110611_101230_V03,-22.307,0.096,239.029,329.719,8.532,-89.114,36.934,4266.033,33914.451,20110611_051230
2,KPAH20110611_101813_V03,-16.591,0.145,238.268,329.694,15.719,-89.118,36.934,7859.604,34251.325,20110611_051813
3,KPAH20110611_101813_V03,-16.591,0.074,262.899,81.091,60.559,-88.983,38.054,30279.493,111015.255,20110611_051813
6,KPAH20110611_113234_V03,57.759,0.071,434.536,22.047,29.011,-88.003,38.318,14505.615,154399.973,20110611_063234
1,KPAH20110612_112630_V03,51.747,0.142,39.381,175.435,55.639,-90.248,37.620,27819.427,144428.620,20110612_062630
12,KPAH20110614_103625_V03,1.686,0.144,494.340,43.596,39.638,-87.662,38.218,19819.035,160865.662,20110614_053625
12,KPAH20110614_104209_V03,7.419,0.367,494.005,47.833,49.225,-87.665,38.199,24612.464,159079.967,20110614_054209
12,KPAH20110614_104753_V03,13.153,0.476,503.023,56.121,53.998,-87.614,38.161,26999.196,158662.449,20110614_054753
12,KPAH20110614_105337_V03,18.886,0.640,503.558,63.918,63.638,-87.611,38.126,31818.833,155861.176,20110614_055337
12,KPAH20110614_105920_V03,24.603,0.264,514.455,69.229,65.824,-87.549,38.102,32912.004,157516.838,20110614_055920
21,KPAH20110614_112216_V03,47.536,0.181,34.436,350.213,30.585,-90.260,36.833,15292.679,135134.515,20110614_062216
21,KPAH20110614_112759_V03,53.253,0.236,35.481,350.371,38.386,-90.255,36.832,19193.052,134635.987,20110614_062759
21,KPAH20110614_113343_V03,58.986,-1.000,36.367,350.505,46.410,-90.250,36.832,23205.043,134213.741,20110614_063343
21,KPAH20110614_113927_V03,64.719,0.060,50.715,357.323,46.860,-90.169,36.802,23429.856,127895.368,20110614_063927
21,KPAH20110614_114511_V03,70.453,0.055,56.137,370.316,49.161,-90.137,36.744,24580.447,126898.872,20110614_064511
21,KPAH20110614_115055_V03,76.186,0.076,62.066,374.100,55.915,-90.104,36.727,27957.289,124602.912,20110614_065055
5,KPAH20110614_094452_V03,-49.864,0.228,354.441,202.317,8.625,-88.464,37.508,4312.714,55914.826,20110614_044452
5,KPAH20110614_095036_V03,-44.131,0.060,353.873,201.853,18.515,-88.467,37.510,9257.269,55980.281,20110614_045036
5,KPAH20110614_095619_V03,-38.414,0.052,340.807,189.222,22.065,-88.541,37.567,11032.706,59027.404,20110614_045619
1,KPAH20110614_093908_V03,-55.597,0.625,420.719,115.857,3.747,-88.086,37.896,1873.737,110092.514,20110614_043908
1,KPAH20110614_094452_V03,-49.864,0.274,424.921,117.468,10.393,-88.062,37.889,5196.542,110592.956,20110614_044452
2,KPAH20110614_093908_V03,-55.597,0.619,185.970,63.540,8.932,-89.422,38.132,4465.788,131259.370,20110614_043908
2,KPAH20110614_094452_V03,-49.864,0.165,186.905,63.969,18.552,-89.417,38.130,9275.790,130863.467,20110614_044452
8,KPAH20110614_100203_V03,-32.681,0.090,497.583,39.022,38.837,-87.644,38.239,19418.488,163667.954,20110614_050203
8,KPAH20110614_100747_V03,-26.947,0.094,499.443,41.653,46.452,-87.633,38.227,23226.190,163187.503,20110614_050747
10,KPAH20110614_100747_V03,-26.947,0.080,248.200,288.891,31.815,-89.063,37.118,15907.667,26488.922,20110614_050747
10,KPAH20110614_101330_V03,-21.231,0.241,250.073,288.476,38.499,-89.053,37.120,19249.650,25619.910,20110614_051330
