track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
2,KTWX20080601_102647_V03,-34.203,0.272,276.526,121.257,24.194,-96.370,39.802,12097.149,90138.872,20080601_052647
2,KTWX20080601_103140_V03,-29.320,0.155,276.731,123.138,31.904,-96.368,39.793,15952.156,89193.167,20080601_053140
3,KTWX20080601_102647_V03,-34.203,0.259,230.795,69.050,26.704,-96.638,40.036,13352.135,120548.057,20080601_052647
3,KTWX20080601_103140_V03,-29.320,0.418,234.145,70.564,32.312,-96.618,40.030,16156.066,119350.154,20080601_053140
1,KTWX20080601_102153_V03,-39.103,0.266,116.518,69.161,16.585,-97.307,40.032,8292.403,147438.461,20080601_052153
4,KTWX20080601_105119_V03,-9.670,0.112,244.835,72.801,38.473,-96.556,40.020,19236.267,116900.178,20080601_055119
5,KTWX20080601_120447_V03,63.797,0.100,358.052,518.174,7.848,-95.902,38.014,3924.002,112882.643,20080601_070447
5,KTWX20080601_120941_V03,68.697,-1.000,358.052,518.174,15.639,-95.902,38.014,7819.502,112882.643,20080601_070941
5,KTWX20080601_121434_V03,73.580,0.054,370.590,524.937,35.895,-95.831,37.983,17947.445,117876.652,20080601_071434
4,KTWX20080602_120321_V03,62.726,0.617,348.641,301.257,20.239,-95.952,38.991,10119.499,24328.478,20080602_070321
4,KTWX20080602_120736_V03,66.976,0.641,352.122,301.309,24.257,-95.932,38.991,12128.407,26069.459,20080602_070736
4,KTWX20080602_121151_V03,71.226,0.233,362.090,303.816,25.144,-95.874,38.979,12571.760,31103.509,20080602_071151
1,KTWX20080602_103351_V03,-26.774,0.077,67.025,229.819,14.358,-97.583,39.305,7178.816,121657.942,20080602_053351
2,KTWX20080602_114615_V03,45.626,0.117,279.957,285.892,10.167,-96.348,39.060,5083.324,12255.163,20080602_064615
5,KTWX20080602_121606_V03,75.476,0.122,26.664,315.378,21.567,-97.808,38.917,10783.419,136884.160,20080602_071606
1,KTWX20080603_112827_V03,28.157,0.104,101.906,459.829,28.088,-97.364,38.272,14044.156,127266.092,20080603_062827
2,KTWX20080603_112827_V03,28.157,0.072,392.750,298.900,18.458,-95.697,39.001,9229.015,46378.016,20080603_062827
3,KTWX20080603_114804_V03,47.773,0.082,276.015,378.671,15.338,-96.370,38.643,7668.787,41123.221,20080603_064804
4,KTWX20080603_114804_V03,47.773,0.067,359.701,292.380,2.720,-95.888,39.031,1359.936,30092.848,20080603_064804
2,KTWX20080604_102038_V03,-39.360,0.175,181.216,162.387,20.473,-96.924,39.615,10236.345,90894.173,20080604_052038
2,KTWX20080604_102452_V03,-35.127,0.073,183.595,162.734,26.219,-96.910,39.613,13109.437,89989.087,20080604_052452
2,KTWX20080604_102906_V03,-30.894,0.175,203.643,159.155,21.956,-96.794,39.630,10978.069,85326.048,20080604_052906
1,KTWX20080604_101207_V03,-47.877,0.053,383.128,159.577,45.002,-95.748,39.628,22501.114,81591.673,20080604_051207
3,KTWX20080604_102452_V03,-35.127,0.210,371.486,171.762,8.628,-95.817,39.574,4313.866,73408.352,20080604_052452
1,KTWX20080608_100628_V03,-52.641,0.391,281.193,88.875,5.341,-96.343,39.948,2670.277,105980.534,20080608_050628
1,KTWX20080608_101123_V03,-47.724,0.152,284.519,86.080,11.527,-96.323,39.960,5763.663,107239.770,20080608_051123
3,KTWX20080608_101123_V03,-47.724,0.050,295.735,122.856,4.526,-96.257,39.795,2262.791,88597.510,20080608_051123
3,KTWX20080608_101618_V03,-42.807,0.451,299.834,118.620,10.518,-96.233,39.814,5259.109,90690.286,20080608_051618
2,KTWX20080608_101123_V03,-47.724,0.160,254.234,124.877,7.799,-96.500,39.785,3899.487,90502.420,20080608_051123
4,KTWX20080608_113535_V03,36.476,0.160,433.673,110.183,6.866,-95.452,39.849,3433.144,116080.866,20080608_063535
5,KTWX20080608_114028_V03,41.359,0.359,335.320,188.223,5.583,-96.027,39.500,2791.714,58612.180,20080608_064028
6,KTWX20080608_114028_V03,41.359,0.277,381.964,164.920,7.088,-95.755,39.604,3543.755,79000.911,20080608_064028
7,KTWX20080608_114520_V03,46.226,0.327,187.533,305.659,9.447,-96.881,38.970,4723.686,56304.431,20080608_064520
9,KTWX20080608_115959_V03,60.876,0.197,159.034,366.957,8.245,-97.043,38.693,4122.345,78029.734,20080608_065959
10,KTWX20080608_120453_V03,65.776,0.361,145.292,394.599,5.839,-97.120,38.567,2919.294,90669.355,20080608_070453
11,KTWX20080608_120948_V03,70.693,0.051,214.928,277.339,29.280,-96.724,39.098,14639.841,44019.130,20080608_070948
10,KTWX20080609_113317_V03,34.320,0.084,20.256,462.377,29.251,-97.831,38.255,14625.504,161727.328,20080609_063317
10,KTWX20080609_113901_V03,40.053,0.517,23.033,460.443,37.564,-97.815,38.263,18782.147,160041.220,20080609_063901
10,KTWX20080609_114445_V03,45.787,0.497,34.972,447.764,48.640,-97.748,38.322,24319.886,151718.572,20080609_064445
10,KTWX20080609_115029_V03,51.520,0.062,37.389,447.880,51.467,-97.734,38.321,25733.330,150692.703,20080609_065029
12,KTWX20080609_120748_V03,68.837,0.060,482.931,193.039,131.925,-95.169,39.474,65962.547,105953.437,20080609_070748
12,KTWX20080609_121332_V03,74.570,0.050,485.220,192.035,136.633,-95.156,39.478,68316.724,107194.871,20080609_071332
1,KTWX20080609_101307_V03,-45.847,0.231,55.121,346.477,73.244,-97.642,38.779,36621.899,124625.051,20080609_051307
2,KTWX20080609_101307_V03,-45.847,0.083,275.302,239.838,30.082,-96.376,39.268,15040.794,32517.279,20080609_051307
3,KTWX20080609_101801_V03,-40.947,0.202,474.760,264.629,53.231,-95.222,39.152,26615.421,89151.679,20080609_051801
4,KTWX20080609_101801_V03,-40.947,0.076,299.654,302.942,59.334,-96.234,38.984,29666.864,1481.323,20080609_051801
5,KTWX20080609_101801_V03,-40.947,0.065,449.303,319.342,21.182,-95.372,38.907,10590.897,75275.139,20080609_051801
6,KTWX20080609_101801_V03,-40.947,0.054,90.071,466.590,65.033,-97.431,38.240,32516.533,133998.579,20080609_051801
7,KTWX20080609_104324_V03,-15.563,0.377,401.368,424.115,21.743,-95.652,38.436,10871.515,80124.793,20080609_054324
11,KTWX20080609_114445_V03,45.787,0.071,283.175,491.596,62.657,-96.328,38.134,31328.648,96166.750,20080609_064445
1,KTWX20080610_101254_V03,-45.950,0.456,185.205,99.352,5.429,-96.904,39.899,2714.430,115582.942,20080610_051254
3,KTWX20080611_110239_V03,3.882,0.062,380.250,442.087,9.594,-95.773,38.356,4797.081,81591.619,20080611_060239
3,KTWX20080611_110733_V03,8.782,0.783,380.314,440.780,18.074,-95.773,38.362,9036.883,81039.116,20080611_060733
3,KTWX20080611_111227_V03,13.682,0.511,385.637,437.886,22.621,-95.743,38.375,11310.400,81157.344,20080611_061227
3,KTWX20080611_111720_V03,18.565,0.171,393.745,437.688,23.193,-95.696,38.376,11596.286,83285.504,20080611_061720
3,KTWX20080611_112215_V03,23.482,0.197,404.095,440.802,17.435,-95.637,38.361,8717.583,87551.182,20080611_062215
3,KTWX20080611_112711_V03,28.415,0.231,405.451,440.503,23.209,-95.629,38.363,11604.667,87836.517,20080611_062711
3,KTWX20080611_113204_V03,33.299,0.598,415.704,439.353,18.236,-95.571,38.367,9117.920,90563.170,20080611_063204
4,KTWX20080611_110733_V03,8.782,0.065,409.540,328.300,13.820,-95.601,38.868,6909.935,56568.483,20080611_060733
4,KTWX20080611_111227_V03,13.682,0.069,410.815,327.997,20.091,-95.594,38.869,10045.493,57148.256,20080611_061227
5,KTWX20080611_111720_V03,18.565,0.503,320.511,93.596,10.250,-96.113,39.926,5124.924,103710.097,20080611_061720
5,KTWX20080611_112215_V03,23.482,0.052,321.011,93.324,17.640,-96.110,39.928,8820.216,103870.860,20080611_062215
8,KTWX20080611_112711_V03,28.415,0.112,435.329,320.568,17.660,-95.452,38.902,8829.762,68441.707,20080611_062711
8,KTWX20080611_113204_V03,33.299,0.177,437.524,320.649,23.356,-95.440,38.901,11678.039,69532.839,20080611_063204
8,KTWX20080611_113659_V03,38.215,0.106,447.616,317.718,20.271,-95.381,38.914,10135.498,74337.572,20080611_063659
1,KTWX20080611_104302_V03,-15.735,0.061,331.638,444.402,22.164,-96.052,38.346,11082.172,73913.596,20080611_054302
6,KTWX20080612_112836_V03,29.884,0.092,309.973,245.707,62.366,-96.175,39.241,31182.947,27600.829,20080612_062836
6,KTWX20080612_113312_V03,34.484,0.149,310.480,246.570,68.315,-96.172,39.238,34157.275,27224.076,20080612_063312
1,KTWX20080612_100446_V03,-53.950,0.246,411.341,361.257,13.146,-95.592,38.719,6572.937,63539.963,20080612_050446
2,KTWX20080612_100923_V03,-49.333,0.175,267.718,308.660,24.235,-96.419,38.958,12117.622,16711.882,20080612_050923
3,KTWX20080612_104138_V03,-17.083,0.346,355.521,429.828,5.147,-95.915,38.412,2573.366,70600.977,20080612_054138
5,KTWX20080612_111924_V03,20.684,0.081,236.491,263.310,5.244,-96.600,39.162,2622.219,36672.980,20080612_061924
7,KTWX20080612_121436_V03,75.884,0.101,272.224,344.034,27.285,-96.392,38.799,13642.273,26031.023,20080612_071436
3,KTWX20080613_121818_V03,79.605,0.116,359.250,170.972,59.824,-95.888,39.578,29912.186,70990.907,20080613_071818
3,KTWX20080613_122233_V03,83.855,0.377,360.522,166.960,67.093,-95.880,39.596,33546.385,73079.820,20080613_072233
3,KTWX20080613_122648_V03,88.105,0.242,365.100,154.143,76.572,-95.853,39.653,38286.011,79862.942,20080613_072648
1,KTWX20080613_120535_V03,66.888,0.053,390.766,135.639,28.111,-95.703,39.736,14055.252,93878.738,20080613_070535
2,KTWX20080613_121403_V03,75.355,0.091,346.536,188.737,49.410,-95.962,39.498,24705.070,60301.623,20080613_071403
10,KTWX20080616_104341_V03,-15.130,0.181,159.232,43.362,21.151,-97.058,40.150,10575.722,146354.440,20080616_054341
10,KTWX20080616_104834_V03,-10.246,0.120,161.780,43.691,28.453,-97.044,40.148,14226.503,145601.520,20080616_054834
10,KTWX20080616_105328_V03,-5.346,0.408,173.600,47.080,28.937,-96.974,40.134,14468.580,141373.206,20080616_055328
10,KTWX20080616_105822_V03,-0.446,0.774,186.942,52.694,29.959,-96.896,40.109,14979.451,135961.910,20080616_055822
6,KTWX20080616_101416_V03,-44.546,0.421,288.185,429.220,37.535,-96.300,38.415,18767.550,64879.573,20080616_051416
6,KTWX20080616_101909_V03,-39.663,-1.000,288.185,429.220,45.300,-96.300,38.415,22649.800,64879.573,20080616_051909
6,KTWX20080616_102404_V03,-34.746,0.061,294.752,425.949,52.273,-96.263,38.430,26136.342,63029.233,20080616_052404
7,KTWX20080616_102404_V03,-34.746,0.075,114.118,34.866,22.237,-97.324,40.186,11118.421,161901.311,20080616_052404
