filename,local_time
KAKQ20060601_085337,20060601_045337
KAKQ20060601_085916,20060601_045916
KAKQ20060601_090454,20060601_050454
KAKQ20060601_091033,20060601_051033
KAKQ20060601_091612,20060601_051612
KAKQ20060601_092150,20060601_052150
KAKQ20060601_092730,20060601_052730
KAKQ20060601_093310,20060601_053310
KAKQ20060601_093849,20060601_053849
KAKQ20060601_094427,20060601_054427
KAKQ20060601_095007,20060601_055007
KAKQ20060601_095546,20060601_055546
KAKQ20060601_100125,20060601_060125
KAKQ20060601_100705,20060601_060705
KAKQ20060601_101243,20060601_061243
KAKQ20060601_101822,20060601_061822
KAKQ20060601_102402,20060601_062402
KAKQ20060601_102941,20060601_062941
KAKQ20060601_103626,20060601_063626
KAKQ20060601_104206,20060601_064206
KAKQ20060601_104745,20060601_064745
KAKQ20060601_105324,20060601_065324
KAKQ20060601_105903,20060601_065903
KAKQ20060601_110442,20060601_070442
KAKQ20060601_111021,20060601_071021
KAKQ20060601_111600,20060601_071600
KAKQ20060602_085225,20060602_045225
KAKQ20060602_085715,20060602_045715
KAKQ20060602_090204,20060602_050204
KAKQ20060602_090653,20060602_050653
KAKQ20060602_091142,20060602_051142
KAKQ20060602_091632,20060602_051632
KAKQ20060602_092120,20060602_052120
KAKQ20060602_092610,20060602_052610
KAKQ20060602_093058,20060602_053058
KAKQ20060602_093547,20060602_053547
KAKQ20060602_094036,20060602_054036
KAKQ20060602_094525,20060602_054525
KAKQ20060602_095015,20060602_055015
KAKQ20060602_095504,20060602_055504
KAKQ20060602_095953,20060602_055953
KAKQ20060602_100442,20060602_060442
KAKQ20060602_100930,20060602_060930
KAKQ20060602_101420,20060602_061420
KAKQ20060602_101909,20060602_061909
KAKQ20060602_102357,20060602_062357
KAKQ20060602_102846,20060602_062846
KAKQ20060602_103335,20060602_063335
KAKQ20060602_103824,20060602_063824
KAKQ20060602_104420,20060602_064420
KAKQ20060602_104910,20060602_064910
KAKQ20060602_105358,20060602_065358
KAKQ20060602_105848,20060602_065848
KAKQ20060602_110339,20060602_070339
KAKQ20060602_110828,20060602_070828
KAKQ20060602_111316,20060602_071316
KAKQ20060602_111805,20060602_071805
KAKQ20060603_084922,20060603_044922
KAKQ20060603_085331,20060603_045331
KAKQ20060603_085742,20060603_045742
KAKQ20060603_090151,20060603_050151
KAKQ20060603_090600,20060603_050600
KAKQ20060603_091011,20060603_051011
KAKQ20060603_091420,20060603_051420
KAKQ20060603_091829,20060603_051829
KAKQ20060603_092239,20060603_052239
KAKQ20060603_092648,20060603_052648
KAKQ20060603_093057,20060603_053057
KAKQ20060603_093506,20060603_053506
KAKQ20060603_093915,20060603_053915
KAKQ20060603_094325,20060603_054325
KAKQ20060603_094734,20060603_054734
KAKQ20060603_095143,20060603_055143
KAKQ20060603_095551,20060603_055551
KAKQ20060603_100000,20060603_060000
KAKQ20060603_100410,20060603_060410
KAKQ20060603_100818,20060603_060818
KAKQ20060603_101228,20060603_061228
KAKQ20060603_101637,20060603_061637
KAKQ20060603_102046,20060603_062046
KAKQ20060603_102455,20060603_062455
KAKQ20060603_102904,20060603_062904
KAKQ20060603_103313,20060603_063313
KAKQ20060603_103722,20060603_063722
KAKQ20060603_104131,20060603_064131
KAKQ20060603_104540,20060603_064540
KAKQ20060603_104949,20060603_064949
KAKQ20060603_105503,20060603_065503
KAKQ20060603_105914,20060603_065914
KAKQ20060603_110323,20060603_070323
KAKQ20060603_110732,20060603_070732
KAKQ20060603_111141,20060603_071141
KAKQ20060603_111552,20060603_071552
KAKQ20060606_085106,20060606_045106
KAKQ20060606_085618,20060606_045618
KAKQ20060606_090129,20060606_050129
KAKQ20060606_090640,20060606_050640
KAKQ20060606_091151,20060606_051151
KAKQ20060606_091702,20060606_051702
KAKQ20060606_092214,20060606_052214
KAKQ20060606_092724,20060606_052724
KAKQ20060606_093235,20060606_053235
KAKQ20060606_093747,20060606_053747
KAKQ20060606_094258,20060606_054258
KAKQ20060606_094809,20060606_054809
KAKQ20060606_095320,20060606_055320
KAKQ20060606_095831,20060606_055831
KAKQ20060606_100342,20060606_060342
KAKQ20060606_100853,20060606_060853
KAKQ20060606_101404,20060606_061404
KAKQ20060606_101915,20060606_061915
KAKQ20060606_102426,20060606_062426
KAKQ20060606_102938,20060606_062938
KAKQ20060606_103449,20060606_063449
KAKQ20060606_104000,20060606_064000
KAKQ20060606_104511,20060606_064511
KAKQ20060606_105022,20060606_065022
KAKQ20060606_105533,20060606_065533
KAKQ20060606_110044,20060606_070044
KAKQ20060606_110555,20060606_070555
KAKQ20060606_111107,20060606_071107
KAKQ20060606_111618,20060606_071618
KAKQ20060607_085138,20060607_045138
KAKQ20060607_085650,20060607_045650
KAKQ20060607_090201,20060607_050201
KAKQ20060607_090713,20060607_050713
KAKQ20060607_091224,20060607_051224
KAKQ20060607_091735,20060607_051735
KAKQ20060607_092246,20060607_052246
KAKQ20060607_092757,20060607_052757
KAKQ20060607_093309,20060607_053309
KAKQ20060607_093820,20060607_053820
KAKQ20060607_094331,20060607_054331
KAKQ20060607_094842,20060607_054842
KAKQ20060607_095354,20060607_055354
KAKQ20060607_095905,20060607_055905
KAKQ20060607_100416,20060607_060416
KAKQ20060607_100928,20060607_060928
KAKQ20060607_101439,20060607_061439
KAKQ20060607_101950,20060607_061950
KAKQ20060607_102502,20060607_062502
KAKQ20060607_103014,20060607_063014
KAKQ20060607_103525,20060607_063525
KAKQ20060607_104037,20060607_064037
KAKQ20060607_104548,20060607_064548
KAKQ20060607_105059,20060607_065059
KAKQ20060607_105611,20060607_065611
KAKQ20060607_110123,20060607_070123
KAKQ20060607_110633,20060607_070633
KAKQ20060607_111145,20060607_071145
KAKQ20060607_111656,20060607_071656
KAKQ20060608_085144,20060608_045144
KAKQ20060608_085750,20060608_045750
KAKQ20060608_090356,20060608_050356
KAKQ20060608_091001,20060608_051001
KAKQ20060608_091607,20060608_051607
KAKQ20060608_092213,20060608_052213
KAKQ20060608_092818,20060608_052818
KAKQ20060608_093424,20060608_053424
KAKQ20060608_094029,20060608_054029
KAKQ20060608_094635,20060608_054635
KAKQ20060608_095241,20060608_055241
KAKQ20060608_095848,20060608_055848
KAKQ20060608_100453,20060608_060453
KAKQ20060608_101059,20060608_061059
KAKQ20060608_101704,20060608_061704
KAKQ20060608_102310,20060608_062310
KAKQ20060608_102916,20060608_062916
KAKQ20060608_103522,20060608_063522
