filename,local_time
KBGM19950902_093334,19950902_053334
KBGM19950902_093926,19950902_053926
KBGM19950902_094517,19950902_054517
KBGM19950902_095109,19950902_055109
KBGM19950902_095700,19950902_055700
KBGM19950902_100252,19950902_060252
KBGM19950902_100843,19950902_060843
KBGM19950902_101435,19950902_061435
KBGM19950902_102026,19950902_062026
KBGM19950902_102617,19950902_062617
KBGM19950902_103209,19950902_063209
KBGM19950902_103800,19950902_063800
KBGM19950902_104351,19950902_064351
KBGM19950902_104943,19950902_064943
KBGM19950902_105534,19950902_065534
KBGM19950902_110126,19950902_070126
KBGM19950902_110718,19950902_070718
KBGM19950902_111309,19950902_071309
KBGM19950902_111900,19950902_071900
KBGM19950902_112453,19950902_072453
KBGM19950902_113045,19950902_073045
KBGM19950902_113636,19950902_073636
KBGM19950902_114227,19950902_074227
KBGM19950902_114819,19950902_074819
KBGM19950902_115410,19950902_075410
KBGM19950903_093556,19950903_053556
KBGM19950903_094537,19950903_054537
KBGM19950903_095518,19950903_055518
KBGM19950903_100459,19950903_060459
KBGM19950903_101440,19950903_061440
KBGM19950903_102421,19950903_062421
KBGM19950903_103402,19950903_063402
KBGM19950903_104343,19950903_064343
KBGM19950903_105324,19950903_065324
KBGM19950903_110305,19950903_070305
KBGM19950903_111246,19950903_071246
KBGM19950903_112227,19950903_072227
KBGM19950903_113208,19950903_073208
KBGM19950903_114149,19950903_074149
KBGM19950903_115130,19950903_075130
KBGM19950906_093649,19950906_053649
KBGM19950906_094240,19950906_054240
KBGM19950906_094831,19950906_054831
KBGM19950906_095423,19950906_055423
KBGM19950906_100014,19950906_060014
KBGM19950906_100605,19950906_060605
KBGM19950906_101156,19950906_061156
KBGM19950906_101747,19950906_061747
KBGM19950906_102338,19950906_062338
KBGM19950906_102928,19950906_062928
KBGM19950906_103520,19950906_063520
KBGM19950906_104111,19950906_064111
KBGM19950906_104702,19950906_064702
KBGM19950906_105342,19950906_065342
KBGM19950906_110323,19950906_070323
KBGM19950906_111304,19950906_071304
KBGM19950906_112244,19950906_072244
KBGM19950906_113225,19950906_073225
KBGM19950906_114206,19950906_074206
KBGM19950906_115147,19950906_075147
KBGM19950906_120128,19950906_080128
KBGM19950907_093703,19950907_053703
KBGM19950907_094254,19950907_054254
KBGM19950907_094845,19950907_054845
KBGM19950907_095436,19950907_055436
KBGM19950907_100030,19950907_060030
KBGM19950907_100620,19950907_060620
KBGM19950907_101212,19950907_061212
KBGM19950907_101802,19950907_061802
KBGM19950907_102353,19950907_062353
KBGM19950907_102944,19950907_062944
KBGM19950907_103536,19950907_063536
KBGM19950907_104127,19950907_064127
KBGM19950907_104717,19950907_064717
KBGM19950907_105308,19950907_065308
KBGM19950907_105859,19950907_065859
KBGM19950907_110450,19950907_070450
KBGM19950907_111041,19950907_071041
KBGM19950907_111632,19950907_071632
KBGM19950907_112224,19950907_072224
KBGM19950907_112815,19950907_072815
KBGM19950907_113406,19950907_073406
KBGM19950907_113957,19950907_073957
KBGM19950907_114548,19950907_074548
KBGM19950907_115139,19950907_075139
KBGM19950907_115730,19950907_075730
KBGM19950912_094657,19950912_054657
KBGM19950912_095652,19950912_055652
KBGM19950912_100647,19950912_060647
KBGM19950912_101642,19950912_061642
KBGM19950912_102637,19950912_062637
KBGM19950912_103632,19950912_063632
KBGM19950912_104627,19950912_064627
KBGM19950912_105622,19950912_065622
KBGM19950912_110617,19950912_070617
KBGM19950912_111612,19950912_071612
KBGM19950912_112608,19950912_072608
KBGM19950912_113603,19950912_073603
KBGM19950912_114558,19950912_074558
KBGM19950912_115553,19950912_075553
KBGM19950912_120548,19950912_080548
KBGM19950913_094353,19950913_054353
KBGM19950913_094944,19950913_054944
KBGM19950913_095535,19950913_055535
KBGM19950913_100127,19950913_060127
KBGM19950913_100719,19950913_060719
KBGM19950913_101311,19950913_061311
KBGM19950913_101903,19950913_061903
KBGM19950913_102454,19950913_062454
KBGM19950913_103048,19950913_063048
KBGM19950913_103639,19950913_063639
KBGM19950913_104230,19950913_064230
KBGM19950913_104822,19950913_064822
KBGM19950913_105414,19950913_065414
KBGM19950913_110005,19950913_070005
KBGM19950913_110556,19950913_070556
KBGM19950913_111147,19950913_071147
KBGM19950913_111738,19950913_071738
KBGM19950913_112330,19950913_072330
KBGM19950913_112921,19950913_072921
KBGM19950913_113512,19950913_073512
KBGM19950913_114104,19950913_074104
KBGM19950913_114655,19950913_074655
KBGM19950913_115247,19950913_075247
KBGM19950913_115838,19950913_075838
KBGM19950913_120429,19950913_080429
KBGM19950913_121022,19950913_081022
KBGM19950915_112010,19950915_072010
KBGM19950915_112610,19950915_072610
KBGM19950915_113605,19950915_073605
KBGM19950915_114600,19950915_074600
KBGM19950915_115555,19950915_075555
KBGM19950915_120550,19950915_080550
KBGM19950916_094614,19950916_054614
KBGM19950916_095609,19950916_055609
KBGM19950916_100605,19950916_060605
KBGM19950916_101600,19950916_061600
KBGM19950916_102555,19950916_062555
KBGM19950916_103550,19950916_063550
KBGM19950916_104545,19950916_064545
KBGM19950916_105540,19950916_065540
KBGM19950916_110535,19950916_070535
KBGM19950916_111530,19950916_071530
KBGM19950916_112525,19950916_072525
