filename,local_time
KBOX19990601_081657,19990601_041657
KBOX19990601_082248,19990601_042248
KBOX19990601_082838,19990601_042838
KBOX19990601_083428,19990601_043428
KBOX19990601_084018,19990601_044018
KBOX19990601_084608,19990601_044608
KBOX19990601_085159,19990601_045159
KBOX19990601_085749,19990601_045749
KBOX19990601_090339,19990601_050339
KBOX19990601_090929,19990601_050929
KBOX19990601_091519,19990601_051519
KBOX19990601_092110,19990601_052110
KBOX19990601_092700,19990601_052700
KBOX19990601_093251,19990601_053251
KBOX19990601_093841,19990601_053841
KBOX19990601_094432,19990601_054432
KBOX19990601_095022,19990601_055022
KBOX19990601_095613,19990601_055613
KBOX19990601_100203,19990601_060203
KBOX19990601_100754,19990601_060754
KBOX19990601_101345,19990601_061345
KBOX19990601_101935,19990601_061935
KBOX19990601_102525,19990601_062525
KBOX19990601_103115,19990601_063115
KBOX19990601_103706,19990601_063706
KBOX19990602_081526,19990602_041526
KBOX19990602_082116,19990602_042116
KBOX19990602_082707,19990602_042707
KBOX19990602_083258,19990602_043258
KBOX19990602_083848,19990602_043848
KBOX19990602_084438,19990602_044438
KBOX19990602_085029,19990602_045029
KBOX19990602_085619,19990602_045619
KBOX19990602_090209,19990602_050209
KBOX19990602_090801,19990602_050801
KBOX19990602_091351,19990602_051351
KBOX19990602_091941,19990602_051941
KBOX19990602_092532,19990602_052532
KBOX19990602_093122,19990602_053122
KBOX19990602_093712,19990602_053712
KBOX19990602_094303,19990602_054303
KBOX19990602_094853,19990602_054853
KBOX19990602_095444,19990602_055444
KBOX19990602_100034,19990602_060034
KBOX19990602_100624,19990602_060624
KBOX19990602_101215,19990602_061215
KBOX19990602_101805,19990602_061805
KBOX19990602_102355,19990602_062355
KBOX19990602_102945,19990602_062945
KBOX19990602_103536,19990602_063536
KBOX19990603_081930,19990603_041930
KBOX19990603_082924,19990603_042924
KBOX19990603_083918,19990603_043918
KBOX19990603_084912,19990603_044912
KBOX19990603_085906,19990603_045906
KBOX19990603_090900,19990603_050900
KBOX19990603_091854,19990603_051854
KBOX19990603_092848,19990603_052848
KBOX19990603_093842,19990603_053842
KBOX19990603_094836,19990603_054836
KBOX19990603_095830,19990603_055830
KBOX19990603_100824,19990603_060824
KBOX19990603_101818,19990603_061818
KBOX19990603_102812,19990603_062812
KBOX19990603_103806,19990603_063806
KBOX19990604_081314,19990604_041314
KBOX19990604_082308,19990604_042308
KBOX19990604_083302,19990604_043302
KBOX19990604_084256,19990604_044256
KBOX19990604_085250,19990604_045250
KBOX19990604_090244,19990604_050244
KBOX19990604_091238,19990604_051238
KBOX19990604_092232,19990604_052232
KBOX19990604_093226,19990604_053226
KBOX19990604_094220,19990604_054220
KBOX19990604_095214,19990604_055214
KBOX19990604_100208,19990604_060208
KBOX19990604_101203,19990604_061203
KBOX19990604_102358,19990604_062358
KBOX19990604_103352,19990604_063352
KBOX19990605_081445,19990605_041445
KBOX19990605_082439,19990605_042439
KBOX19990605_083433,19990605_043433
KBOX19990605_084427,19990605_044427
KBOX19990605_085421,19990605_045421
KBOX19990605_090415,19990605_050415
KBOX19990605_091409,19990605_051409
KBOX19990605_092403,19990605_052403
KBOX19990605_093357,19990605_053357
KBOX19990605_094552,19990605_054552
KBOX19990605_095546,19990605_055546
KBOX19990605_100540,19990605_060540
KBOX19990605_101534,19990605_061534
KBOX19990605_102528,19990605_062528
KBOX19990605_103521,19990605_063521
KBOX19990606_081253,19990606_041253
KBOX19990606_081843,19990606_041843
KBOX19990606_082432,19990606_042432
KBOX19990606_083022,19990606_043022
KBOX19990606_083612,19990606_043612
KBOX19990606_084202,19990606_044202
KBOX19990606_084753,19990606_044753
KBOX19990606_085344,19990606_045344
KBOX19990606_085934,19990606_045934
KBOX19990606_090630,19990606_050630
KBOX19990606_091221,19990606_051221
KBOX19990606_091810,19990606_051810
KBOX19990606_092400,19990606_052400
KBOX19990606_092951,19990606_052951
