filename,local_time
KCBW20050601_075317,20050601_035317
KCBW20050601_080305,20050601_040305
KCBW20050601_081251,20050601_041251
KCBW20050601_082238,20050601_042238
KCBW20050601_083225,20050601_043225
KCBW20050601_084212,20050601_044212
KCBW20050601_085159,20050601_045159
KCBW20050601_090147,20050601_050147
KCBW20050601_091133,20050601_051133
KCBW20050601_092121,20050601_052121
KCBW20050601_093108,20050601_053108
KCBW20050601_094054,20050601_054054
KCBW20050601_095041,20050601_055041
KCBW20050601_100028,20050601_060028
KCBW20050601_101014,20050601_061014
KCBW20050602_074424,20050602_034424
KCBW20050602_075411,20050602_035411
KCBW20050602_080358,20050602_040358
KCBW20050602_081345,20050602_041345
KCBW20050602_082332,20050602_042332
KCBW20050602_083319,20050602_043319
KCBW20050602_084306,20050602_044306
KCBW20050602_085253,20050602_045253
KCBW20050602_090240,20050602_050240
KCBW20050602_091227,20050602_051227
KCBW20050602_092237,20050602_052237
KCBW20050602_093223,20050602_053223
KCBW20050602_094211,20050602_054211
KCBW20050602_095157,20050602_055157
KCBW20050602_100144,20050602_060144
KCBW20050602_101131,20050602_061131
KCBW20050603_074257,20050603_034257
KCBW20050603_075242,20050603_035242
KCBW20050603_080231,20050603_040231
KCBW20050603_081217,20050603_041217
KCBW20050603_082205,20050603_042205
KCBW20050603_083151,20050603_043151
KCBW20050603_084138,20050603_044138
KCBW20050603_085125,20050603_045125
KCBW20050603_090112,20050603_050112
KCBW20050603_091059,20050603_051059
KCBW20050603_092045,20050603_052045
KCBW20050603_093032,20050603_053032
KCBW20050603_094018,20050603_054018
KCBW20050603_095005,20050603_055005
KCBW20050603_095952,20050603_055952
KCBW20050603_100939,20050603_060939
KCBW20050604_074353,20050604_034353
KCBW20050604_074943,20050604_034943
KCBW20050604_075533,20050604_035533
KCBW20050604_080124,20050604_040124
KCBW20050604_080713,20050604_040713
KCBW20050604_081303,20050604_041303
KCBW20050604_081852,20050604_041852
KCBW20050604_082442,20050604_042442
KCBW20050604_083030,20050604_043030
KCBW20050604_083619,20050604_043619
KCBW20050604_084210,20050604_044210
KCBW20050604_084800,20050604_044800
KCBW20050604_085349,20050604_045349
KCBW20050604_085939,20050604_045939
KCBW20050604_090530,20050604_050530
KCBW20050604_091119,20050604_051119
KCBW20050604_091709,20050604_051709
KCBW20050604_092259,20050604_052259
KCBW20050604_092848,20050604_052848
KCBW20050604_093438,20050604_053438
KCBW20050604_094026,20050604_054026
KCBW20050604_094618,20050604_054618
KCBW20050604_095207,20050604_055207
KCBW20050604_095758,20050604_055758
KCBW20050604_100347,20050604_060347
KCBW20050604_100937,20050604_060937
KCBW20050605_074513,20050605_034513
KCBW20050605_075104,20050605_035104
KCBW20050605_075653,20050605_035653
KCBW20050605_080243,20050605_040243
KCBW20050605_080833,20050605_040833
KCBW20050605_081424,20050605_041424
KCBW20050605_082013,20050605_042013
KCBW20050605_082603,20050605_042603
KCBW20050605_083154,20050605_043154
KCBW20050605_083745,20050605_043745
KCBW20050605_084334,20050605_044334
KCBW20050605_084924,20050605_044924
KCBW20050605_085514,20050605_045514
KCBW20050605_090106,20050605_050106
KCBW20050605_090656,20050605_050656
KCBW20050605_091246,20050605_051246
KCBW20050605_091838,20050605_051838
KCBW20050605_092428,20050605_052428
KCBW20050605_093018,20050605_053018
KCBW20050605_094124,20050605_054124
KCBW20050605_094714,20050605_054714
KCBW20050605_095304,20050605_055304
KCBW20050605_095855,20050605_055855
KCBW20050605_100445,20050605_060445
KCBW20050605_101035,20050605_061035
KCBW20050606_074452,20050606_034452
KCBW20050606_075042,20050606_035042
KCBW20050606_075632,20050606_035632
KCBW20050606_080223,20050606_040223
KCBW20050606_080815,20050606_040815
KCBW20050606_081405,20050606_041405
KCBW20050606_081955,20050606_041955
KCBW20050606_082546,20050606_042546
KCBW20050606_083137,20050606_043137
KCBW20050606_083727,20050606_043727
KCBW20050606_084318,20050606_044318
KCBW20050606_084908,20050606_044908
KCBW20050606_085458,20050606_045458
KCBW20050606_090049,20050606_050049
KCBW20050606_090640,20050606_050640
KCBW20050606_091231,20050606_051231
KCBW20050606_091821,20050606_051821
KCBW20050606_092411,20050606_052411
KCBW20050606_093001,20050606_053001
KCBW20050606_093552,20050606_053552
KCBW20050606_094142,20050606_054142
KCBW20050606_094734,20050606_054734
KCBW20050606_095324,20050606_055324
KCBW20050606_095914,20050606_055914
KCBW20050606_100505,20050606_060505
KCBW20050606_101056,20050606_061056
KCBW20050607_074350,20050607_034350
KCBW20050607_074941,20050607_034941
KCBW20050607_075530,20050607_035530
KCBW20050607_080122,20050607_040122
KCBW20050607_080712,20050607_040712
KCBW20050607_081304,20050607_041304
KCBW20050607_081853,20050607_041853
KCBW20050607_082444,20050607_042444
KCBW20050607_083034,20050607_043034
KCBW20050607_083625,20050607_043625
KCBW20050607_084216,20050607_044216
KCBW20050607_084805,20050607_044805
KCBW20050607_085356,20050607_045356
KCBW20050607_085946,20050607_045946
KCBW20050607_090537,20050607_050537
KCBW20050607_091128,20050607_051128
KCBW20050607_091717,20050607_051717
KCBW20050607_092308,20050607_052308
KCBW20050607_092858,20050607_052858
KCBW20050607_093450,20050607_053450
KCBW20050607_094040,20050607_054040
KCBW20050607_094630,20050607_054630
KCBW20050607_095221,20050607_055221
KCBW20050607_095919,20050607_055919
KCBW20050607_100509,20050607_060509
KCBW20050607_101101,20050607_061101
KCBW20050608_074555,20050608_034555
KCBW20050608_075145,20050608_035145
KCBW20050608_075736,20050608_035736
KCBW20050608_080429,20050608_040429
KCBW20050608_081020,20050608_041020
KCBW20050608_081609,20050608_041609
KCBW20050608_082200,20050608_042200
KCBW20050608_082751,20050608_042751
KCBW20050608_083341,20050608_043341
KCBW20050608_083932,20050608_043932
KCBW20050608_084522,20050608_044522
KCBW20050608_085112,20050608_045112
KCBW20050608_085702,20050608_045702
KCBW20050608_090256,20050608_050256
KCBW20050608_091243,20050608_051243
KCBW20050608_092229,20050608_052229
KCBW20050608_093216,20050608_053216
KCBW20050608_094204,20050608_054204
KCBW20050608_095151,20050608_055151
KCBW20050608_100138,20050608_060138
KCBW20050609_074046,20050609_034046
KCBW20050609_074635,20050609_034635
KCBW20050609_075226,20050609_035226
KCBW20050609_075816,20050609_035816
KCBW20050609_080408,20050609_040408
KCBW20050609_081105,20050609_041105
KCBW20050609_081656,20050609_041656
KCBW20050609_082247,20050609_042247
KCBW20050609_082836,20050609_042836
KCBW20050609_083427,20050609_043427
KCBW20050609_084017,20050609_044017
KCBW20050609_084608,20050609_044608
KCBW20050609_085158,20050609_045158
KCBW20050609_085749,20050609_045749
KCBW20050609_090339,20050609_050339
KCBW20050609_090930,20050609_050930
KCBW20050609_091520,20050609_051520
KCBW20050609_092110,20050609_052110
KCBW20050609_092701,20050609_052701
KCBW20050609_093253,20050609_053253
KCBW20050609_093842,20050609_053842
KCBW20050609_094434,20050609_054434
KCBW20050609_095024,20050609_055024
KCBW20050609_095615,20050609_055615
KCBW20050609_100205,20050609_060205
KCBW20050609_100755,20050609_060755
KCBW20050610_074156,20050610_034156
KCBW20050610_074746,20050610_034746
KCBW20050610_075338,20050610_035338
KCBW20050610_075926,20050610_035926
KCBW20050610_080517,20050610_040517
KCBW20050610_081208,20050610_041208
KCBW20050610_081759,20050610_041759
KCBW20050610_082349,20050610_042349
KCBW20050610_082939,20050610_042939
KCBW20050610_083530,20050610_043530
KCBW20050610_084120,20050610_044120
KCBW20050610_084711,20050610_044711
KCBW20050610_085300,20050610_045300
KCBW20050610_085851,20050610_045851
