filename,local_time
KCCX19990603_084508,19990603_044508
KCCX19990603_085005,19990603_045005
KCCX19990603_085503,19990603_045503
KCCX19990603_090002,19990603_050002
KCCX19990603_090500,19990603_050500
KCCX19990603_090957,19990603_050957
KCCX19990603_091456,19990603_051456
KCCX19990603_091954,19990603_051954
KCCX19990603_092452,19990603_052452
KCCX19990603_092950,19990603_052950
KCCX19990603_093448,19990603_053448
KCCX19990603_093945,19990603_053945
KCCX19990603_094443,19990603_054443
KCCX19990603_094941,19990603_054941
KCCX19990603_095439,19990603_055439
KCCX19990603_095936,19990603_055936
KCCX19990603_100434,19990603_060434
KCCX19990603_100933,19990603_060933
KCCX19990603_101431,19990603_061431
KCCX19990603_101929,19990603_061929
KCCX19990603_102426,19990603_062426
KCCX19990603_102924,19990603_062924
KCCX19990603_103422,19990603_063422
KCCX19990603_103920,19990603_063920
KCCX19990603_104418,19990603_064418
KCCX19990603_104915,19990603_064915
KCCX19990603_105414,19990603_065414
KCCX19990603_105913,19990603_065913
KCCX19990603_110411,19990603_070411
KCCX19990603_110909,19990603_070909
KCCX19990604_084611,19990604_044611
KCCX19990604_085600,19990604_045600
KCCX19990604_090548,19990604_050548
KCCX19990604_091535,19990604_051535
KCCX19990604_092523,19990604_052523
KCCX19990611_084332,19990611_044332
KCCX19990611_085321,19990611_045321
KCCX19990611_090312,19990611_050312
KCCX19990611_091302,19990611_051302
KCCX19990611_092251,19990611_052251
KCCX19990611_093241,19990611_053241
KCCX19990611_094229,19990611_054229
KCCX19990611_095219,19990611_055219
KCCX19990611_100209,19990611_060209
KCCX19990611_101159,19990611_061159
KCCX19990611_102149,19990611_062149
KCCX19990611_103140,19990611_063140
KCCX19990611_104130,19990611_064130
KCCX19990611_105120,19990611_065120
KCCX19990611_110109,19990611_070109
KCCX19990617_084036,19990617_044036
KCCX19990617_084626,19990617_044626
KCCX19990617_085215,19990617_045215
KCCX19990617_085804,19990617_045804
KCCX19990617_090354,19990617_050354
