filename,local_time
KCXX20110601_081453_V03,20110601_041453
KCXX20110601_081956_V03,20110601_041956
KCXX20110601_082458_V03,20110601_042458
KCXX20110601_083000_V03,20110601_043000
KCXX20110601_083502_V03,20110601_043502
KCXX20110601_084005_V03,20110601_044005
KCXX20110601_084509_V03,20110601_044509
KCXX20110601_085012_V03,20110601_045012
KCXX20110601_085514_V03,20110601_045514
KCXX20110601_090017_V03,20110601_050017
KCXX20110601_090521_V03,20110601_050521
KCXX20110601_091024_V03,20110601_051024
KCXX20110601_091527_V03,20110601_051527
KCXX20110601_092028_V03,20110601_052028
KCXX20110601_092531_V03,20110601_052531
KCXX20110601_093035_V03,20110601_053035
KCXX20110601_093537_V03,20110601_053537
KCXX20110601_094039_V03,20110601_054039
KCXX20110601_094540_V03,20110601_054540
KCXX20110601_095041_V03,20110601_055041
KCXX20110601_095543_V03,20110601_055543
KCXX20110601_100044_V03,20110601_060044
KCXX20110601_100546_V03,20110601_060546
KCXX20110601_101048_V03,20110601_061048
KCXX20110601_101550_V03,20110601_061550
KCXX20110601_102054_V03,20110601_062054
KCXX20110601_102556_V03,20110601_062556
KCXX20110601_103058_V03,20110601_063058
KCXX20110601_103603_V03,20110601_063603
KCXX20110601_104104_V03,20110601_064104
KCXX20110602_081448_V03,20110602_041448
KCXX20110602_082342_V03,20110602_042342
KCXX20110602_083234_V03,20110602_043234
KCXX20110602_084123_V03,20110602_044123
KCXX20110602_085014_V03,20110602_045014
KCXX20110602_085903_V03,20110602_045903
KCXX20110602_090749_V03,20110602_050749
KCXX20110602_091358_V03,20110602_051358
KCXX20110602_092008_V03,20110602_052008
KCXX20110602_092617_V03,20110602_052617
KCXX20110602_093225_V03,20110602_053225
KCXX20110602_093833_V03,20110602_053833
KCXX20110602_094444_V03,20110602_054444
KCXX20110602_095050_V03,20110602_055050
KCXX20110602_095658_V03,20110602_055658
KCXX20110602_100305_V03,20110602_060305
KCXX20110602_100913_V03,20110602_060913
KCXX20110602_101520_V03,20110602_061520
KCXX20110602_102128_V03,20110602_062128
KCXX20110602_102737_V03,20110602_062737
KCXX20110602_103346_V03,20110602_063346
KCXX20110602_103953_V03,20110602_063953
KCXX20110603_081019_V03,20110603_041019
KCXX20110603_081855_V03,20110603_041855
KCXX20110603_082732_V03,20110603_042732
KCXX20110603_083609_V03,20110603_043609
KCXX20110603_084450_V03,20110603_044450
KCXX20110603_085333_V03,20110603_045333
KCXX20110603_090212_V03,20110603_050212
KCXX20110603_091054_V03,20110603_051054
KCXX20110603_091944_V03,20110603_051944
KCXX20110603_092831_V03,20110603_052831
KCXX20110603_093719_V03,20110603_053719
KCXX20110603_094600_V03,20110603_054600
KCXX20110603_095446_V03,20110603_055446
KCXX20110603_100334_V03,20110603_060334
KCXX20110603_101220_V03,20110603_061220
KCXX20110603_102108_V03,20110603_062108
KCXX20110603_102955_V03,20110603_062955
KCXX20110603_103840_V03,20110603_063840
KCXX20110604_081502_V03,20110604_041502
KCXX20110604_082346_V03,20110604_042346
KCXX20110604_083228_V03,20110604_043228
KCXX20110604_084108_V03,20110604_044108
KCXX20110604_084948_V03,20110604_044948
KCXX20110604_085818_V03,20110604_045818
KCXX20110604_090643_V03,20110604_050643
KCXX20110604_091508_V03,20110604_051508
KCXX20110604_092326_V03,20110604_052326
KCXX20110604_093141_V03,20110604_053141
KCXX20110604_093956_V03,20110604_053956
KCXX20110604_094810_V03,20110604_054810
KCXX20110604_095625_V03,20110604_055625
KCXX20110605_081251_V03,20110605_041251
KCXX20110605_082154_V03,20110605_042154
KCXX20110605_083048_V03,20110605_043048
KCXX20110605_083938_V03,20110605_043938
KCXX20110605_084827_V03,20110605_044827
KCXX20110605_085716_V03,20110605_045716
KCXX20110605_090600_V03,20110605_050600
KCXX20110605_091441_V03,20110605_051441
KCXX20110605_092318_V03,20110605_052318
KCXX20110605_093152_V03,20110605_053152
KCXX20110605_094026_V03,20110605_054026
KCXX20110605_094859_V03,20110605_054859
KCXX20110605_095725_V03,20110605_055725
KCXX20110605_100551_V03,20110605_060551
KCXX20110605_101415_V03,20110605_061415
KCXX20110605_102337_V03,20110605_062337
KCXX20110605_103223_V03,20110605_063223
KCXX20110606_081155_V03,20110606_041155
KCXX20110606_081738_V03,20110606_041738
KCXX20110606_082320_V03,20110606_042320
KCXX20110606_082901_V03,20110606_042901
KCXX20110606_083443_V03,20110606_043443
KCXX20110606_084027_V03,20110606_044027
KCXX20110606_084607_V03,20110606_044607
KCXX20110606_085153_V03,20110606_045153
KCXX20110606_085738_V03,20110606_045738
KCXX20110606_090319_V03,20110606_050319
KCXX20110606_090901_V03,20110606_050901
KCXX20110606_091442_V03,20110606_051442
KCXX20110606_092025_V03,20110606_052025
KCXX20110606_092608_V03,20110606_052608
KCXX20110606_093150_V03,20110606_053150
KCXX20110606_093735_V03,20110606_053735
KCXX20110606_094318_V03,20110606_054318
KCXX20110606_094901_V03,20110606_054901
KCXX20110606_095442_V03,20110606_055442
KCXX20110606_100024_V03,20110606_060024
KCXX20110606_100606_V03,20110606_060606
KCXX20110606_101148_V03,20110606_061148
KCXX20110606_101730_V03,20110606_061730
KCXX20110606_102313_V03,20110606_062313
KCXX20110606_102954_V03,20110606_062954
KCXX20110606_103535_V03,20110606_063535
KCXX20110607_081320_V03,20110607_041320
KCXX20110607_081906_V03,20110607_041906
KCXX20110607_082452_V03,20110607_042452
KCXX20110607_083036_V03,20110607_043036
KCXX20110607_083620_V03,20110607_043620
KCXX20110607_084205_V03,20110607_044205
KCXX20110607_084749_V03,20110607_044749
KCXX20110607_085331_V03,20110607_045331
KCXX20110607_085917_V03,20110607_045917
KCXX20110607_090500_V03,20110607_050500
KCXX20110607_091043_V03,20110607_051043
KCXX20110607_091626_V03,20110607_051626
KCXX20110607_092209_V03,20110607_052209
KCXX20110607_092749_V03,20110607_052749
KCXX20110607_093335_V03,20110607_053335
KCXX20110607_093918_V03,20110607_053918
KCXX20110607_094503_V03,20110607_054503
KCXX20110607_095047_V03,20110607_055047
KCXX20110607_095628_V03,20110607_055628
KCXX20110607_100211_V03,20110607_060211
KCXX20110607_100751_V03,20110607_060751
KCXX20110607_101332_V03,20110607_061332
KCXX20110607_101913_V03,20110607_061913
KCXX20110607_102456_V03,20110607_062456
KCXX20110607_103038_V03,20110607_063038
KCXX20110607_103720_V03,20110607_063720
KCXX20110608_081117_V03,20110608_041117
KCXX20110608_081703_V03,20110608_041703
KCXX20110608_082244_V03,20110608_042244
KCXX20110608_082828_V03,20110608_042828
KCXX20110608_083412_V03,20110608_043412
KCXX20110608_083954_V03,20110608_043954
KCXX20110608_084539_V03,20110608_044539
KCXX20110608_085124_V03,20110608_045124
KCXX20110608_085706_V03,20110608_045706
KCXX20110608_090248_V03,20110608_050248
KCXX20110608_090832_V03,20110608_050832
KCXX20110608_091414_V03,20110608_051414
KCXX20110608_091956_V03,20110608_051956
KCXX20110608_092538_V03,20110608_052538
KCXX20110608_093122_V03,20110608_053122
KCXX20110608_093705_V03,20110608_053705
KCXX20110608_094250_V03,20110608_054250
KCXX20110608_094834_V03,20110608_054834
KCXX20110608_095418_V03,20110608_055418
KCXX20110608_100001_V03,20110608_060001
KCXX20110608_100545_V03,20110608_060545
KCXX20110608_101128_V03,20110608_061128
KCXX20110608_101712_V03,20110608_061712
KCXX20110608_102255_V03,20110608_062255
KCXX20110608_102836_V03,20110608_062836
KCXX20110608_103417_V03,20110608_063417
KCXX20110609_081010_V03,20110609_041010
KCXX20110609_081446_V03,20110609_041446
KCXX20110609_081923_V03,20110609_041923
KCXX20110609_082402_V03,20110609_042402
KCXX20110609_082841_V03,20110609_042841
KCXX20110609_083318_V03,20110609_043318
KCXX20110609_083758_V03,20110609_043758
KCXX20110609_084235_V03,20110609_044235
KCXX20110609_084713_V03,20110609_044713
KCXX20110609_085149_V03,20110609_045149
KCXX20110609_085628_V03,20110609_045628
KCXX20110609_090108_V03,20110609_050108
KCXX20110609_090548_V03,20110609_050548
KCXX20110609_091029_V03,20110609_051029
KCXX20110609_091506_V03,20110609_051506
KCXX20110609_091944_V03,20110609_051944
KCXX20110609_092423_V03,20110609_052423
KCXX20110609_092903_V03,20110609_052903
KCXX20110609_093342_V03,20110609_053342
