filename,local_time
KENX19950613_081900,19950613_041900
KENX19950613_082452,19950613_042452
KENX19950613_083043,19950613_043043
KENX19950613_083634,19950613_043634
KENX19950613_084226,19950613_044226
KENX19950613_084817,19950613_044817
KENX19950613_085409,19950613_045409
KENX19950613_090000,19950613_050000
KENX19950613_090553,19950613_050553
KENX19950613_091145,19950613_051145
KENX19950613_091737,19950613_051737
KENX19950613_092331,19950613_052331
KENX19950613_092923,19950613_052923
KENX19950613_093514,19950613_053514
KENX19950613_094106,19950613_054106
KENX19950613_094656,19950613_054656
KENX19950613_095248,19950613_055248
KENX19950613_095839,19950613_055839
KENX19950613_100433,19950613_060433
KENX19950613_101025,19950613_061025
KENX19950613_101617,19950613_061617
KENX19950613_102211,19950613_062211
KENX19950613_102803,19950613_062803
KENX19950613_103355,19950613_063355
KENX19950613_103949,19950613_063949
KENX19950613_104543,19950613_064543
KENX19950616_082054,19950616_042054
KENX19950616_083034,19950616_043034
KENX19950616_084014,19950616_044014
KENX19950616_084955,19950616_044955
KENX19950616_085935,19950616_045935
KENX19950616_090915,19950616_050915
KENX19950616_091855,19950616_051855
KENX19950616_092836,19950616_052836
KENX19950616_093816,19950616_053816
KENX19950616_094757,19950616_054757
KENX19950616_095737,19950616_055737
KENX19950616_100717,19950616_060717
KENX19950616_101657,19950616_061657
KENX19950616_102638,19950616_062638
KENX19950622_103332,19950622_063332
KENX19950622_103923,19950622_063923
KENX19950622_104513,19950622_064513
KENX19950702_082756,19950702_042756
KENX19950702_083348,19950702_043348
KENX19950702_083939,19950702_043939
KENX19950702_084530,19950702_044530
KENX19950702_085120,19950702_045120
KENX19950702_085710,19950702_045710
KENX19950702_090301,19950702_050301
KENX19950702_090853,19950702_050853
KENX19950708_082906,19950708_042906
KENX19950708_083457,19950708_043457
KENX19950708_084048,19950708_044048
KENX19950708_084639,19950708_044639
KENX19950708_085229,19950708_045229
KENX19950708_085820,19950708_045820
KENX19950708_090412,19950708_050412
KENX19950708_091003,19950708_051003
KENX19950708_091552,19950708_051552
KENX19950708_092146,19950708_052146
KENX19950708_092736,19950708_052736
KENX19950708_093327,19950708_053327
KENX19950708_093919,19950708_053919
KENX19950708_094510,19950708_054510
KENX19950708_095102,19950708_055102
KENX19950708_095651,19950708_055651
KENX19950708_100242,19950708_060242
KENX19950708_100833,19950708_060833
KENX19950708_101425,19950708_061425
KENX19950708_102015,19950708_062015
KENX19950708_102605,19950708_062605
KENX19950708_103155,19950708_063155
KENX19950708_103746,19950708_063746
KENX19950708_104336,19950708_064336
KENX19950708_104926,19950708_064926
KENX19950708_105516,19950708_065516
KENX19950710_083210,19950710_043210
KENX19950710_083801,19950710_043801
KENX19950710_084353,19950710_044353
KENX19950710_084944,19950710_044944
KENX19950710_085535,19950710_045535
KENX19950710_090126,19950710_050126
KENX19950710_090718,19950710_050718
KENX19950710_091308,19950710_051308
KENX19950710_091859,19950710_051859
KENX19950710_092449,19950710_052449
KENX19950710_093039,19950710_053039
KENX19950710_093630,19950710_053630
KENX19950710_094220,19950710_054220
KENX19950710_094811,19950710_054811
KENX19950710_095402,19950710_055402
KENX19950710_095952,19950710_055952
KENX19950710_100543,19950710_060543
KENX19950710_101134,19950710_061134
KENX19950710_101727,19950710_061727
KENX19950710_102317,19950710_062317
KENX19950710_102909,19950710_062909
KENX19950710_104215,19950710_064215
KENX19950710_104808,19950710_064808
KENX19950710_105359,19950710_065359
KENX19950711_083106,19950711_043106
KENX19950711_083656,19950711_043656
KENX19950711_084247,19950711_044247
KENX19950711_084837,19950711_044837
KENX19950711_085429,19950711_045429
KENX19950711_090019,19950711_050019
KENX19950711_090610,19950711_050610
KENX19950711_091201,19950711_051201
KENX19950711_091753,19950711_051753
KENX19950711_092344,19950711_052344
KENX19950711_092934,19950711_052934
KENX19950711_093526,19950711_053526
KENX19950711_094116,19950711_054116
KENX19950711_094707,19950711_054707
KENX19950711_095259,19950711_055259
KENX19950711_095850,19950711_055850
KENX19950711_100440,19950711_060440
KENX19950711_101032,19950711_061032
KENX19950711_101623,19950711_061623
KENX19950714_083122,19950714_043122
KENX19950714_083712,19950714_043712
KENX19950714_084303,19950714_044303
KENX19950714_084855,19950714_044855
KENX19950714_085446,19950714_045446
KENX19950714_090037,19950714_050037
KENX19950714_090627,19950714_050627
KENX19950714_091217,19950714_051217
KENX19950714_091808,19950714_051808
KENX19950714_092400,19950714_052400
KENX19950714_092950,19950714_052950
KENX19950714_093540,19950714_053540
KENX19950714_094132,19950714_054132
KENX19950714_094723,19950714_054723
KENX19950714_095315,19950714_055315
KENX19950714_095905,19950714_055905
KENX19950714_100456,19950714_060456
KENX19950714_101046,19950714_061046
KENX19950714_101637,19950714_061637
KENX19950714_102227,19950714_062227
KENX19950714_102818,19950714_062818
KENX19950714_103409,19950714_063409
KENX19950714_103959,19950714_063959
KENX19950714_104549,19950714_064549
KENX19950714_105141,19950714_065141
KENX19950714_105731,19950714_065731
KENX19950715_105037,19950715_065037
KENX19950715_105537,19950715_065537
KENX19950715_110038,19950715_070038
KENX19950728_084801,19950728_044801
KENX19950728_085352,19950728_045352
KENX19950728_085942,19950728_045942
KENX19950728_090532,19950728_050532
KENX19950728_091124,19950728_051124
KENX19950728_091715,19950728_051715
KENX19950728_092307,19950728_052307
KENX19950728_092858,19950728_052858
KENX19950728_093448,19950728_053448
KENX19950728_094039,19950728_054039
KENX19950728_094630,19950728_054630
KENX19950728_095220,19950728_055220
KENX19950728_095810,19950728_055810
KENX19950728_100400,19950728_060400
KENX19950728_100951,19950728_060951
KENX19950728_101542,19950728_061542
KENX19950728_102134,19950728_062134
KENX19950728_102726,19950728_062726
KENX19950728_103318,19950728_063318
KENX19950728_103909,19950728_063909
KENX19950728_104459,19950728_064459
KENX19950728_105050,19950728_065050
KENX19950728_105642,19950728_065642
KENX19950728_110234,19950728_070234
KENX19950728_110826,19950728_070826
KENX19950729_085022,19950729_045022
KENX19950729_085614,19950729_045614
KENX19950729_090205,19950729_050205
KENX19950729_090756,19950729_050756
KENX19950729_091346,19950729_051346
KENX19950729_091938,19950729_051938
KENX19950729_092529,19950729_052529
KENX19950729_093119,19950729_053119
KENX19950729_093711,19950729_053711
KENX19950729_094302,19950729_054302
KENX19950729_094853,19950729_054853
KENX19950729_095445,19950729_055445
KENX19950729_100037,19950729_060037
KENX19950729_100628,19950729_060628
KENX19950729_101218,19950729_061218
KENX19950729_101810,19950729_061810
KENX19950729_102400,19950729_062400
KENX19950729_102952,19950729_062952
KENX19950729_103543,19950729_063543
KENX19950729_104134,19950729_064134
KENX19950729_104727,19950729_064727
KENX19950729_105317,19950729_065317
KENX19950729_105909,19950729_065909
KENX19950729_110500,19950729_070500
KENX19950729_111050,19950729_071050
KENX19950802_085112,19950802_045112
KENX19950802_085702,19950802_045702
KENX19950802_090252,19950802_050252
KENX19950802_090843,19950802_050843
KENX19950802_091435,19950802_051435
KENX19950802_092025,19950802_052025
KENX19950802_092616,19950802_052616
KENX19950802_093208,19950802_053208
KENX19950802_093800,19950802_053800
KENX19950802_094350,19950802_054350
KENX19950802_094940,19950802_054940
KENX19950802_095531,19950802_055531
KENX19950802_100153,19950802_060153
KENX19950802_100743,19950802_060743
KENX19950802_101333,19950802_061333
KENX19950802_101924,19950802_061924
