filename,local_time
KGYX19990601_080456,19990601_040456
KGYX19990601_081444,19990601_041444
KGYX19990601_082432,19990601_042432
KGYX19990601_083421,19990601_043421
KGYX19990601_084409,19990601_044409
KGYX19990601_085357,19990601_045357
KGYX19990601_090346,19990601_050346
KGYX19990601_091334,19990601_051334
KGYX19990601_092322,19990601_052322
KGYX19990601_093311,19990601_053311
KGYX19990601_094259,19990601_054259
KGYX19990601_095247,19990601_055247
KGYX19990601_100235,19990601_060235
KGYX19990601_101224,19990601_061224
KGYX19990601_102212,19990601_062212
KGYX19990603_080331,19990603_040331
KGYX19990603_080939,19990603_040939
KGYX19990603_081439,19990603_041439
KGYX19990603_081939,19990603_041939
KGYX19990603_082439,19990603_042439
KGYX19990603_082939,19990603_042939
KGYX19990603_083438,19990603_043438
KGYX19990603_083938,19990603_043938
KGYX19990603_084437,19990603_044437
KGYX19990603_084937,19990603_044937
KGYX19990603_085437,19990603_045437
KGYX19990603_085937,19990603_045937
KGYX19990603_090437,19990603_050437
KGYX19990603_090936,19990603_050936
KGYX19990603_091436,19990603_051436
KGYX19990603_091936,19990603_051936
KGYX19990603_092437,19990603_052437
KGYX19990603_092937,19990603_052937
KGYX19990603_093437,19990603_053437
KGYX19990603_093936,19990603_053936
KGYX19990603_094436,19990603_054436
KGYX19990603_094936,19990603_054936
KGYX19990603_095435,19990603_055435
KGYX19990603_095935,19990603_055935
KGYX19990603_100435,19990603_060435
KGYX19990603_100935,19990603_060935
KGYX19990603_101435,19990603_061435
KGYX19990603_101934,19990603_061934
KGYX19990603_102434,19990603_062434
KGYX19990603_102934,19990603_062934
KGYX19990604_080912,19990604_040912
KGYX19990604_081859,19990604_041859
KGYX19990604_082847,19990604_042847
KGYX19990604_083835,19990604_043835
KGYX19990604_084823,19990604_044823
KGYX19990604_085811,19990604_045811
KGYX19990604_090759,19990604_050759
KGYX19990604_091747,19990604_051747
KGYX19990604_092735,19990604_052735
KGYX19990604_093723,19990604_053723
KGYX19990608_080151,19990608_040151
KGYX19990608_080743,19990608_040743
KGYX19990608_081334,19990608_041334
KGYX19990608_081926,19990608_041926
KGYX19990608_082517,19990608_042517
KGYX19990608_083109,19990608_043109
KGYX19990608_083700,19990608_043700
KGYX19990608_084252,19990608_044252
KGYX19990608_084844,19990608_044844
KGYX19990608_085435,19990608_045435
KGYX19990608_090026,19990608_050026
KGYX19990608_090618,19990608_050618
KGYX19990608_091209,19990608_051209
KGYX19990608_091801,19990608_051801
KGYX19990608_092352,19990608_052352
KGYX19990608_092944,19990608_052944
KGYX19990608_093535,19990608_053535
KGYX19990608_094127,19990608_054127
KGYX19990608_094719,19990608_054719
KGYX19990608_095310,19990608_055310
KGYX19990608_095901,19990608_055901
KGYX19990608_100453,19990608_060453
KGYX19990608_101044,19990608_061044
KGYX19990608_101636,19990608_061636
KGYX19990608_102227,19990608_062227
KGYX19990608_102819,19990608_062819
KGYX19990610_075844,19990610_035844
KGYX19990610_080436,19990610_040436
KGYX19990610_081027,19990610_041027
KGYX19990610_081619,19990610_041619
KGYX19990610_082210,19990610_042210
KGYX19990610_082802,19990610_042802
KGYX19990610_083543,19990610_043543
KGYX19990610_084134,19990610_044134
KGYX19990610_085002,19990610_045002
KGYX19990610_085554,19990610_045554
KGYX19990610_090146,19990610_050146
KGYX19990610_090737,19990610_050737
KGYX19990610_091329,19990610_051329
KGYX19990610_091921,19990610_051921
KGYX19990610_092513,19990610_052513
KGYX19990610_093104,19990610_053104
KGYX19990610_093656,19990610_053656
KGYX19990610_094248,19990610_054248
KGYX19990610_094840,19990610_054840
KGYX19990610_095431,19990610_055431
KGYX19990610_100023,19990610_060023
KGYX19990610_100615,19990610_060615
KGYX19990610_101318,19990610_061318
KGYX19990610_102306,19990610_062306
KGYX19990611_080026,19990611_040026
KGYX19990611_081015,19990611_041015
KGYX19990611_082003,19990611_042003
KGYX19990611_082951,19990611_042951
KGYX19990611_083939,19990611_043939
KGYX19990611_084928,19990611_044928
KGYX19990611_085916,19990611_045916
KGYX19990611_090904,19990611_050904
KGYX19990611_091852,19990611_051852
KGYX19990611_092841,19990611_052841
KGYX19990611_093829,19990611_053829
KGYX19990611_094817,19990611_054817
KGYX19990611_095806,19990611_055806
KGYX19990611_100754,19990611_060754
KGYX19990611_101742,19990611_061742
KGYX19990611_102730,19990611_062730
KGYX19990612_080458,19990612_040458
KGYX19990612_081446,19990612_041446
KGYX19990612_082435,19990612_042435
KGYX19990612_083425,19990612_043425
KGYX19990612_084413,19990612_044413
KGYX19990612_085401,19990612_045401
KGYX19990612_090350,19990612_050350
KGYX19990612_091338,19990612_051338
KGYX19990612_092326,19990612_052326
KGYX19990612_093315,19990612_053315
KGYX19990612_094303,19990612_054303
KGYX19990612_095251,19990612_055251
KGYX19990612_100343,19990612_060343
KGYX19990612_101331,19990612_061331
KGYX19990612_102319,19990612_062319
KGYX19990613_075951,19990613_035951
KGYX19990613_080939,19990613_040939
KGYX19990613_081927,19990613_041927
KGYX19990613_082915,19990613_042915
KGYX19990613_083903,19990613_043903
KGYX19990613_084851,19990613_044851
KGYX19990613_085840,19990613_045840
KGYX19990613_090932,19990613_050932
KGYX19990613_091920,19990613_051920
KGYX19990613_092907,19990613_052907
KGYX19990613_093856,19990613_053856
KGYX19990613_094844,19990613_054844
KGYX19990613_095832,19990613_055832
KGYX19990613_100819,19990613_060819
KGYX19990613_101807,19990613_061807
KGYX19990613_102756,19990613_062756
KGYX19990614_080217,19990614_040217
KGYX19990614_080809,19990614_040809
KGYX19990614_081508,19990614_041508
KGYX19990614_082059,19990614_042059
KGYX19990614_082651,19990614_042651
KGYX19990614_083243,19990614_043243
KGYX19990614_083835,19990614_043835
KGYX19990614_084426,19990614_044426
KGYX19990614_085018,19990614_045018
KGYX19990614_085610,19990614_045610
KGYX19990614_090201,19990614_050201
KGYX19990614_090753,19990614_050753
KGYX19990614_091345,19990614_051345
KGYX19990614_091937,19990614_051937
KGYX19990614_092528,19990614_052528
KGYX19990614_093120,19990614_053120
KGYX19990614_093711,19990614_053711
KGYX19990614_094303,19990614_054303
KGYX19990614_094855,19990614_054855
KGYX19990614_095446,19990614_055446
KGYX19990614_100038,19990614_060038
KGYX19990614_100630,19990614_060630
KGYX19990614_101222,19990614_061222
KGYX19990614_101813,19990614_061813
KGYX19990614_102405,19990614_062405
KGYX19990615_080116,19990615_040116
KGYX19990615_080814,19990615_040814
KGYX19990615_081405,19990615_041405
KGYX19990615_081957,19990615_041957
KGYX19990615_082549,19990615_042549
KGYX19990615_083140,19990615_043140
KGYX19990615_083732,19990615_043732
KGYX19990615_084324,19990615_044324
KGYX19990615_084915,19990615_044915
KGYX19990615_085507,19990615_045507
KGYX19990615_090058,19990615_050058
KGYX19990615_090650,19990615_050650
KGYX19990615_091241,19990615_051241
KGYX19990615_091833,19990615_051833
KGYX19990615_092424,19990615_052424
KGYX19990615_093016,19990615_053016
KGYX19990615_093607,19990615_053607
KGYX19990615_094159,19990615_054159
KGYX19990615_094750,19990615_054750
KGYX19990615_095342,19990615_055342
KGYX19990615_095933,19990615_055933
KGYX19990615_100525,19990615_060525
KGYX19990615_101116,19990615_061116
KGYX19990615_101708,19990615_061708
KGYX19990615_102300,19990615_062300
KGYX19990616_080405,19990616_040405
KGYX19990616_081353,19990616_041353
KGYX19990616_082341,19990616_042341
KGYX19990616_083329,19990616_043329
KGYX19990616_084317,19990616_044317
KGYX19990616_085305,19990616_045305
KGYX19990616_090252,19990616_050252
KGYX19990616_091240,19990616_051240
KGYX19990616_092228,19990616_052228
KGYX19990616_093216,19990616_053216
KGYX19990616_094204,19990616_054204
KGYX19990616_095152,19990616_055152
KGYX19990616_100140,19990616_060140
KGYX19990616_101128,19990616_061128
KGYX19990616_102116,19990616_062116
KGYX19990617_080441,19990617_040441
KGYX19990617_081429,19990617_041429
KGYX19990617_082417,19990617_042417
KGYX19990617_083405,19990617_043405
KGYX19990617_084354,19990617_044354
KGYX19990617_085342,19990617_045342
KGYX19990617_090330,19990617_050330
KGYX19990617_091318,19990617_051318
KGYX19990617_092307,19990617_052307
KGYX19990617_093255,19990617_053255
KGYX19990617_094244,19990617_054244
KGYX19990617_095232,19990617_055232
KGYX19990617_100220,19990617_060220
KGYX19990617_101208,19990617_061208
KGYX19990617_102156,19990617_062156
KGYX19990618_080115,19990618_040115
KGYX19990618_080815,19990618_040815
KGYX19990618_081407,19990618_041407
KGYX19990618_081959,19990618_041959
KGYX19990618_082551,19990618_042551
KGYX19990618_083142,19990618_043142
KGYX19990618_083734,19990618_043734
KGYX19990618_084325,19990618_044325
KGYX19990618_084917,19990618_044917
KGYX19990618_085509,19990618_045509
KGYX19990618_090100,19990618_050100
KGYX19990618_090652,19990618_050652
KGYX19990618_091244,19990618_051244
KGYX19990618_091836,19990618_051836
KGYX19990618_092427,19990618_052427
KGYX19990618_093019,19990618_053019
KGYX19990618_093610,19990618_053610
KGYX19990618_094202,19990618_054202
KGYX19990618_094754,19990618_054754
KGYX19990618_095345,19990618_055345
KGYX19990618_095937,19990618_055937
KGYX19990618_100529,19990618_060529
KGYX19990618_101121,19990618_061121
KGYX19990618_101712,19990618_061712
KGYX19990618_102304,19990618_062304
KGYX19990619_080026,19990619_040026
KGYX19990619_080726,19990619_040726
KGYX19990619_081318,19990619_041318
KGYX19990619_081909,19990619_041909
KGYX19990619_082501,19990619_042501
KGYX19990619_083052,19990619_043052
KGYX19990619_083644,19990619_043644
KGYX19990619_084236,19990619_044236
KGYX19990619_084827,19990619_044827
KGYX19990619_085419,19990619_045419
KGYX19990619_090010,19990619_050010
KGYX19990619_090602,19990619_050602
KGYX19990619_091154,19990619_051154
KGYX19990619_091746,19990619_051746
KGYX19990619_092337,19990619_052337
KGYX19990619_092929,19990619_052929
KGYX19990619_093521,19990619_053521
KGYX19990619_094112,19990619_054112
KGYX19990619_094704,19990619_054704
KGYX19990619_095256,19990619_055256
KGYX19990619_095847,19990619_055847
KGYX19990619_100439,19990619_060439
KGYX19990619_101030,19990619_061030
KGYX19990619_101622,19990619_061622
KGYX19990619_102214,19990619_062214
KGYX19990619_102805,19990619_062805
KGYX19990620_080727,19990620_040727
KGYX19990620_081715,19990620_041715
KGYX19990620_082703,19990620_042703
KGYX19990620_083652,19990620_043652
KGYX19990620_084640,19990620_044640
KGYX19990620_085628,19990620_045628
KGYX19990620_090616,19990620_050616
KGYX19990620_091605,19990620_051605
KGYX19990620_092553,19990620_052553
KGYX19990620_093541,19990620_053541
KGYX19990620_094530,19990620_054530
