filename,local_time
KLTX20030603_090502,20030603_050502
KLTX20030603_091449,20030603_051449
KLTX20030603_092435,20030603_052435
KLTX20030603_093422,20030603_053422
KLTX20030603_094409,20030603_054409
KLTX20030603_095355,20030603_055355
KLTX20030603_100341,20030603_060341
KLTX20030603_101329,20030603_061329
KLTX20030603_102315,20030603_062315
KLTX20030603_103301,20030603_063301
KLTX20030603_104248,20030603_064248
KLTX20030603_105235,20030603_065235
KLTX20030603_110221,20030603_070221
KLTX20030603_111207,20030603_071207
KLTX20030603_112154,20030603_072154
KLTX20030603_113141,20030603_073141
KLTX20030604_090710,20030604_050710
KLTX20030604_091257,20030604_051257
KLTX20030604_091846,20030604_051846
KLTX20030604_092434,20030604_052434
KLTX20030604_093021,20030604_053021
KLTX20030604_093610,20030604_053610
KLTX20030604_094158,20030604_054158
KLTX20030604_094747,20030604_054747
KLTX20030604_095334,20030604_055334
KLTX20030604_095922,20030604_055922
KLTX20030604_100510,20030604_060510
KLTX20030604_101058,20030604_061058
KLTX20030604_101645,20030604_061645
KLTX20030604_102233,20030604_062233
KLTX20030604_102821,20030604_062821
KLTX20030604_103410,20030604_063410
KLTX20030604_103959,20030604_063959
KLTX20030604_104547,20030604_064547
KLTX20030604_105136,20030604_065136
KLTX20030604_105724,20030604_065724
KLTX20030604_110312,20030604_070312
KLTX20030604_110900,20030604_070900
KLTX20030604_111448,20030604_071448
KLTX20030604_112036,20030604_072036
KLTX20030604_112623,20030604_072623
KLTX20030604_113211,20030604_073211
KLTX20030605_090459,20030605_050459
KLTX20030605_091047,20030605_051047
KLTX20030605_091636,20030605_051636
KLTX20030605_092223,20030605_052223
KLTX20030605_092811,20030605_052811
KLTX20030605_093400,20030605_053400
KLTX20030605_093950,20030605_053950
KLTX20030605_094537,20030605_054537
KLTX20030605_095126,20030605_055126
KLTX20030605_095713,20030605_055713
KLTX20030605_100301,20030605_060301
KLTX20030605_100849,20030605_060849
KLTX20030605_101436,20030605_061436
KLTX20030605_102025,20030605_062025
KLTX20030605_102613,20030605_062613
KLTX20030605_103200,20030605_063200
KLTX20030605_103748,20030605_063748
KLTX20030605_104336,20030605_064336
KLTX20030605_104924,20030605_064924
KLTX20030605_105512,20030605_065512
KLTX20030605_110101,20030605_070101
KLTX20030605_110648,20030605_070648
KLTX20030605_111236,20030605_071236
KLTX20030605_111824,20030605_071824
KLTX20030605_112412,20030605_072412
KLTX20030605_113000,20030605_073000
KLTX20030606_090840,20030606_050840
KLTX20030606_091826,20030606_051826
KLTX20030606_092812,20030606_052812
KLTX20030606_093800,20030606_053800
KLTX20030606_094908,20030606_054908
KLTX20030606_095455,20030606_055455
KLTX20030606_100043,20030606_060043
KLTX20030606_100631,20030606_060631
KLTX20030606_101218,20030606_061218
KLTX20030606_101806,20030606_061806
KLTX20030606_102354,20030606_062354
KLTX20030606_102942,20030606_062942
KLTX20030606_103529,20030606_063529
KLTX20030606_104117,20030606_064117
KLTX20030606_104705,20030606_064705
KLTX20030606_105253,20030606_065253
KLTX20030606_105841,20030606_065841
KLTX20030606_110429,20030606_070429
KLTX20030606_111018,20030606_071018
KLTX20030606_111605,20030606_071605
KLTX20030606_112154,20030606_072154
KLTX20030606_112742,20030606_072742
KLTX20030607_090421,20030607_050421
KLTX20030607_091010,20030607_051010
KLTX20030607_091558,20030607_051558
KLTX20030607_092146,20030607_052146
KLTX20030607_092734,20030607_052734
KLTX20030607_093322,20030607_053322
KLTX20030607_093910,20030607_053910
KLTX20030607_094458,20030607_054458
KLTX20030607_095046,20030607_055046
KLTX20030607_095635,20030607_055635
KLTX20030607_100223,20030607_060223
KLTX20030607_100811,20030607_060811
KLTX20030607_101359,20030607_061359
KLTX20030607_101946,20030607_061946
KLTX20030607_102534,20030607_062534
KLTX20030607_103122,20030607_063122
KLTX20030607_103711,20030607_063711
KLTX20030607_104259,20030607_064259
KLTX20030607_104846,20030607_064846
KLTX20030607_105434,20030607_065434
KLTX20030607_110022,20030607_070022
KLTX20030607_110610,20030607_070610
KLTX20030607_111157,20030607_071157
KLTX20030607_111745,20030607_071745
KLTX20030607_112334,20030607_072334
KLTX20030608_090252,20030608_050252
KLTX20030608_090751,20030608_050751
KLTX20030608_091248,20030608_051248
KLTX20030608_091746,20030608_051746
KLTX20030608_092244,20030608_052244
KLTX20030608_092742,20030608_052742
KLTX20030608_093240,20030608_053240
KLTX20030608_093737,20030608_053737
KLTX20030608_094235,20030608_054235
KLTX20030608_094733,20030608_054733
