filename,local_time
KMHX19970601_085534,19970601_045534
KMHX19970601_090123,19970601_050123
KMHX19970601_090713,19970601_050713
KMHX19970601_091302,19970601_051302
KMHX19970601_091852,19970601_051852
KMHX19970601_092441,19970601_052441
KMHX19970601_093031,19970601_053031
KMHX19970601_093621,19970601_053621
KMHX19970601_094210,19970601_054210
KMHX19970601_094800,19970601_054800
KMHX19970601_095349,19970601_055349
KMHX19970601_095941,19970601_055941
KMHX19970601_100531,19970601_060531
KMHX19970601_101121,19970601_061121
KMHX19970601_101710,19970601_061710
KMHX19970601_102300,19970601_062300
KMHX19970601_102850,19970601_062850
KMHX19970601_103439,19970601_063439
KMHX19970601_104029,19970601_064029
KMHX19970601_105210,19970601_065210
KMHX19970601_105803,19970601_065803
KMHX19970601_110355,19970601_070355
KMHX19970601_110945,19970601_070945
KMHX19970601_111534,19970601_071534
KMHX19970601_112124,19970601_072124
KMHX19970602_085706,19970602_045706
KMHX19970602_090256,19970602_050256
KMHX19970602_090846,19970602_050846
KMHX19970602_091437,19970602_051437
KMHX19970602_093304,19970602_053304
KMHX19970602_093853,19970602_053853
KMHX19970602_094443,19970602_054443
KMHX19970602_095032,19970602_055032
KMHX19970602_095622,19970602_055622
KMHX19970602_100211,19970602_060211
KMHX19970602_100801,19970602_060801
KMHX19970602_101940,19970602_061940
KMHX19970602_102530,19970602_062530
KMHX19970602_103119,19970602_063119
KMHX19970602_103709,19970602_063709
KMHX19970602_104259,19970602_064259
KMHX19970602_104848,19970602_064848
KMHX19970602_105438,19970602_065438
KMHX19970602_110027,19970602_070027
KMHX19970602_110617,19970602_070617
KMHX19970602_111207,19970602_071207
KMHX19970602_111756,19970602_071756
KMHX19970602_112345,19970602_072345
KMHX19970603_085651,19970603_045651
KMHX19970603_090241,19970603_050241
KMHX19970603_090833,19970603_050833
KMHX19970603_091423,19970603_051423
KMHX19970603_092013,19970603_052013
KMHX19970603_092602,19970603_052602
KMHX19970603_093152,19970603_053152
KMHX19970603_093741,19970603_053741
KMHX19970603_094331,19970603_054331
KMHX19970603_094920,19970603_054920
KMHX19970603_095510,19970603_055510
KMHX19970603_100100,19970603_060100
KMHX19970603_100649,19970603_060649
KMHX19970603_101239,19970603_061239
KMHX19970603_101828,19970603_061828
KMHX19970603_102418,19970603_062418
KMHX19970603_103008,19970603_063008
KMHX19970603_103557,19970603_063557
KMHX19970603_104147,19970603_064147
KMHX19970603_104736,19970603_064736
KMHX19970603_105326,19970603_065326
KMHX19970603_105916,19970603_065916
KMHX19970603_110508,19970603_070508
KMHX19970603_111058,19970603_071058
KMHX19970603_111647,19970603_071647
KMHX19970603_112237,19970603_072237
KMHX19970604_085537,19970604_045537
KMHX19970604_090127,19970604_050127
KMHX19970604_090717,19970604_050717
KMHX19970604_091307,19970604_051307
KMHX19970604_091856,19970604_051856
KMHX19970604_092446,19970604_052446
KMHX19970604_093036,19970604_053036
KMHX19970604_093626,19970604_053626
KMHX19970604_094215,19970604_054215
