filename,local_time
KRAX20020601_085939,20020601_045939
KRAX20020601_090526,20020601_050526
KRAX20020601_091216,20020601_051216
KRAX20020601_091803,20020601_051803
KRAX20020601_092350,20020601_052350
KRAX20020601_092938,20020601_052938
KRAX20020601_093525,20020601_053525
KRAX20020601_094112,20020601_054112
KRAX20020601_094659,20020601_054659
KRAX20020601_095247,20020601_055247
KRAX20020601_095834,20020601_055834
KRAX20020601_100421,20020601_060421
KRAX20020601_101009,20020601_061009
KRAX20020601_101556,20020601_061556
KRAX20020601_102143,20020601_062143
KRAX20020601_102730,20020601_062730
KRAX20020601_103317,20020601_063317
KRAX20020601_103905,20020601_063905
KRAX20020601_104452,20020601_064452
KRAX20020601_105039,20020601_065039
KRAX20020601_105627,20020601_065627
KRAX20020601_110214,20020601_070214
KRAX20020601_110802,20020601_070802
KRAX20020601_111349,20020601_071349
KRAX20020601_111936,20020601_071936
KRAX20020601_112524,20020601_072524
KRAX20020602_085919,20020602_045919
KRAX20020602_090506,20020602_050506
KRAX20020602_091054,20020602_051054
KRAX20020602_091641,20020602_051641
KRAX20020602_092228,20020602_052228
KRAX20020602_092816,20020602_052816
KRAX20020602_093403,20020602_053403
KRAX20020602_093950,20020602_053950
KRAX20020602_094537,20020602_054537
KRAX20020602_095125,20020602_055125
KRAX20020602_095712,20020602_055712
KRAX20020602_100259,20020602_060259
KRAX20020602_100847,20020602_060847
KRAX20020602_101434,20020602_061434
KRAX20020602_102021,20020602_062021
KRAX20020602_102609,20020602_062609
KRAX20020602_103156,20020602_063156
KRAX20020602_103743,20020602_063743
KRAX20020602_104330,20020602_064330
KRAX20020602_104917,20020602_064917
KRAX20020602_105504,20020602_065504
KRAX20020602_110052,20020602_070052
KRAX20020602_110639,20020602_070639
KRAX20020602_111226,20020602_071226
KRAX20020602_111814,20020602_071814
KRAX20020602_112401,20020602_072401
KRAX20020603_090054,20020603_050054
KRAX20020603_090641,20020603_050641
KRAX20020603_091228,20020603_051228
KRAX20020603_091816,20020603_051816
KRAX20020603_092403,20020603_052403
KRAX20020603_092950,20020603_052950
KRAX20020603_093537,20020603_053537
KRAX20020603_094125,20020603_054125
KRAX20020603_094712,20020603_054712
KRAX20020603_095300,20020603_055300
KRAX20020603_095847,20020603_055847
KRAX20020603_100434,20020603_060434
KRAX20020603_101022,20020603_061022
KRAX20020603_101609,20020603_061609
KRAX20020603_102156,20020603_062156
KRAX20020603_102743,20020603_062743
KRAX20020603_103331,20020603_063331
KRAX20020603_103918,20020603_063918
KRAX20020603_104506,20020603_064506
KRAX20020603_105053,20020603_065053
KRAX20020603_105640,20020603_065640
KRAX20020603_110228,20020603_070228
KRAX20020603_110815,20020603_070815
KRAX20020603_111402,20020603_071402
KRAX20020603_111950,20020603_071950
KRAX20020603_112537,20020603_072537
KRAX20020604_085843,20020604_045843
KRAX20020604_090431,20020604_050431
KRAX20020604_091018,20020604_051018
KRAX20020604_091606,20020604_051606
KRAX20020604_092153,20020604_052153
KRAX20020604_092740,20020604_052740
KRAX20020604_093328,20020604_053328
KRAX20020604_093915,20020604_053915
KRAX20020604_094502,20020604_054502
KRAX20020604_095050,20020604_055050
KRAX20020604_095637,20020604_055637
KRAX20020604_100224,20020604_060224
KRAX20020604_100811,20020604_060811
KRAX20020604_101359,20020604_061359
KRAX20020604_101946,20020604_061946
KRAX20020604_102533,20020604_062533
KRAX20020604_103120,20020604_063120
KRAX20020604_103708,20020604_063708
KRAX20020604_104255,20020604_064255
KRAX20020604_104842,20020604_064842
KRAX20020604_105430,20020604_065430
KRAX20020604_110017,20020604_070017
KRAX20020604_110604,20020604_070604
KRAX20020604_111151,20020604_071151
KRAX20020604_111739,20020604_071739
KRAX20020604_112326,20020604_072326
KRAX20020605_085940,20020605_045940
KRAX20020605_090528,20020605_050528
KRAX20020605_091115,20020605_051115
KRAX20020605_091702,20020605_051702
KRAX20020605_092250,20020605_052250
KRAX20020605_092837,20020605_052837
KRAX20020605_093424,20020605_053424
KRAX20020605_094012,20020605_054012
KRAX20020605_094559,20020605_054559
KRAX20020605_095146,20020605_055146
KRAX20020605_095734,20020605_055734
KRAX20020605_100321,20020605_060321
KRAX20020605_100908,20020605_060908
KRAX20020605_101456,20020605_061456
KRAX20020605_102043,20020605_062043
KRAX20020605_102630,20020605_062630
KRAX20020605_103218,20020605_063218
KRAX20020605_103805,20020605_063805
KRAX20020605_104353,20020605_064353
KRAX20020605_104940,20020605_064940
KRAX20020605_105527,20020605_065527
KRAX20020605_110115,20020605_070115
KRAX20020605_110702,20020605_070702
KRAX20020605_111249,20020605_071249
KRAX20020605_111837,20020605_071837
KRAX20020605_112424,20020605_072424
KRAX20020606_090031,20020606_050031
KRAX20020606_090618,20020606_050618
KRAX20020606_091206,20020606_051206
KRAX20020606_091753,20020606_051753
KRAX20020606_092341,20020606_052341
KRAX20020606_092928,20020606_052928
KRAX20020606_093516,20020606_053516
KRAX20020606_094103,20020606_054103
KRAX20020606_094651,20020606_054651
KRAX20020606_095238,20020606_055238
KRAX20020606_095825,20020606_055825
KRAX20020606_100413,20020606_060413
KRAX20020606_101000,20020606_061000
KRAX20020606_101548,20020606_061548
KRAX20020606_102135,20020606_062135
KRAX20020606_102722,20020606_062722
KRAX20020606_103310,20020606_063310
KRAX20020606_103857,20020606_063857
KRAX20020606_104445,20020606_064445
KRAX20020606_105032,20020606_065032
KRAX20020606_105619,20020606_065619
KRAX20020606_110207,20020606_070207
KRAX20020606_110754,20020606_070754
KRAX20020606_111341,20020606_071341
KRAX20020606_111929,20020606_071929
KRAX20020606_112516,20020606_072516
KRAX20020607_090302,20020607_050302
KRAX20020607_090849,20020607_050849
KRAX20020607_091437,20020607_051437
KRAX20020607_092024,20020607_052024
KRAX20020607_092611,20020607_052611
KRAX20020607_093159,20020607_053159
KRAX20020607_093746,20020607_053746
KRAX20020607_094334,20020607_054334
KRAX20020607_094921,20020607_054921
KRAX20020607_095508,20020607_055508
KRAX20020607_100056,20020607_060056
KRAX20020607_100643,20020607_060643
KRAX20020607_101230,20020607_061230
KRAX20020607_101818,20020607_061818
KRAX20020607_102405,20020607_062405
KRAX20020607_102952,20020607_062952
KRAX20020607_103540,20020607_063540
KRAX20020607_104127,20020607_064127
KRAX20020607_104714,20020607_064714
