track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
2,KAKQ20050602_085633,-53.027,0.095,85.375,275.346,32.010,-78.215,37.089,16004.843,108018.357,20050602_045633
2,KAKQ20050602_090222,-47.210,0.065,85.465,273.897,38.993,-78.214,37.095,19496.411,108058.662,20050602_050222
3,KAKQ20050602_090222,-47.210,0.295,438.323,251.563,27.471,-76.228,37.200,13735.641,73279.432,20050602_050222
3,KAKQ20050602_090811,-41.394,0.124,435.762,249.576,33.353,-76.243,37.209,16676.270,72412.054,20050602_050811
3,KAKQ20050602_091359,-35.594,0.193,418.297,243.225,26.749,-76.341,37.238,13374.466,65607.807,20050602_051359
3,KAKQ20050602_091949,-29.760,0.147,417.689,242.112,33.970,-76.344,37.243,16984.908,65577.651,20050602_051949
3,KAKQ20050602_092537,-23.960,0.056,414.625,233.010,30.017,-76.361,37.284,15008.690,66382.506,20050602_052537
7,KAKQ20050602_092537,-23.960,0.133,31.047,268.533,27.877,-78.521,37.116,13938.370,135393.608,20050602_052537
7,KAKQ20050602_093126,-18.144,0.123,30.081,266.707,34.308,-78.526,37.124,17154.025,135982.278,20050602_053126
7,KAKQ20050602_093715,-12.327,0.133,33.756,257.018,27.353,-78.506,37.168,13676.676,134845.412,20050602_053715
7,KAKQ20050602_094303,-6.527,0.180,33.518,257.069,35.814,-78.508,37.168,17907.236,134959.209,20050602_054303
1,KAKQ20050602_085045,-58.827,0.314,219.607,143.495,12.761,-77.463,37.688,6380.688,87972.866,20050602_045045
4,KAKQ20050602_090811,-41.394,0.202,389.770,244.075,16.860,-76.502,37.235,8429.943,52882.610,20050602_050811
5,KAKQ20050602_090811,-41.394,0.065,28.782,271.321,27.319,-78.533,37.103,13659.298,136365.021,20050602_050811
11,KAKQ20050602_104700,57.423,0.112,415.854,142.127,13.150,-76.351,37.693,6575.047,97910.589,20050602_064700
7,KAKQ20050603_110427,75.176,0.094,189.505,200.549,18.649,-77.632,37.430,9324.413,74329.664,20050603_070427
7,KAKQ20050603_111015,80.976,-1.000,189.505,200.549,27.871,-77.632,37.430,13935.413,74329.664,20050603_071015
7,KAKQ20050603_111605,86.809,0.057,187.361,192.347,32.157,-77.644,37.467,16078.587,77904.806,20050603_071605
1,KAKQ20050603_085032,-58.741,0.177,235.786,529.988,15.546,-77.363,35.947,7772.815,119391.971,20050603_045032
2,KAKQ20050603_085032,-58.741,0.071,254.329,524.853,18.621,-77.261,35.970,9310.302,114721.902,20050603_045032
3,KAKQ20050603_102931,40.242,0.052,456.068,262.527,23.427,-76.129,37.149,11713.261,80251.824,20050603_062931
3,KAKQ20050603_103518,46.026,-1.000,456.068,262.527,32.622,-76.129,37.149,16311.011,80251.824,20050603_063518
3,KAKQ20050603_104108,51.859,0.053,462.908,251.154,23.105,-76.090,37.200,11552.322,85036.607,20050603_064108
4,KAKQ20050603_103518,46.026,0.078,105.224,173.495,34.813,-78.110,37.549,17406.326,116126.211,20050603_063518
6,KAKQ20050603_105837,69.342,0.083,136.136,172.404,31.781,-77.935,37.555,15890.724,103841.411,20050603_065837
8,KAKQ20050606_110441,76.140,0.268,351.171,268.976,26.646,-76.720,37.123,13323.036,29920.733,20050606_070441
8,KAKQ20050606_111031,81.973,0.336,356.954,266.417,31.822,-76.687,37.135,15910.776,33059.009,20050606_071031
1,KAKQ20050606_085635,-51.960,0.236,297.386,408.179,6.276,-77.022,36.496,3138.165,54105.165,20050606_045635
3,KAKQ20050606_101218,23.757,0.084,350.989,281.334,41.769,-76.721,37.068,20884.254,27149.251,20050606_061218
3,KAKQ20050606_101808,29.590,-1.000,350.989,281.334,51.044,-76.721,37.068,25521.754,27149.251,20050606_061808
3,KAKQ20050606_102356,35.390,0.071,350.007,271.325,36.395,-76.726,37.113,18197.281,28822.407,20050606_062356
3,KAKQ20050606_102944,41.190,0.072,359.061,274.633,31.240,-76.675,37.098,15620.201,32139.347,20050606_062944
6,KAKQ20050606_104712,58.657,0.052,357.820,55.632,14.628,-76.678,38.084,7314.209,125557.628,20050606_064712
7,KAKQ20050606_105851,70.307,0.065,349.906,278.015,33.845,-76.727,37.083,16922.504,27266.839,20050606_065851
2,KAKQ20050607_110848,80.441,0.224,389.442,427.009,3.054,-76.509,36.411,1527.004,77671.177,20050607_070848
2,KAKQ20050607_111305,84.725,0.100,389.345,426.671,9.514,-76.509,36.412,4757.189,77505.024,20050607_071305
1,KAKQ20050607_105553,67.525,0.054,392.689,398.224,2.376,-76.490,36.540,1187.855,67526.338,20050607_065553
1,KAKQ20050609_093300,-15.077,0.058,378.132,306.520,17.685,-76.569,36.954,8842.693,39201.765,20050609_053300
2,KAKQ20050609_095432,6.457,0.079,370.114,274.365,4.890,-76.613,37.099,2445.015,37326.743,20050609_055432
1,KAKQ20050610_093745,-10.229,0.057,385.344,227.373,12.057,-76.526,37.310,6028.282,56031.675,20050610_053745
2,KAKQ20050610_103004,42.087,0.142,200.881,503.873,3.257,-77.558,36.064,1628.716,113345.439,20050610_063004
1,KAKQ20050615_092427,-23.471,0.158,370.034,69.039,16.896,-76.609,38.024,8447.968,120672.870,20050615_052427
2,KAKQ20050615_093603,-11.871,0.063,397.165,280.804,31.307,-76.461,37.069,15653.454,49521.253,20050615_053603
3,KAKQ20050615_105729,69.562,0.089,482.745,94.625,38.790,-75.969,37.905,19394.863,137453.984,20050615_065729
1,KAKQ20050616_090820,-39.660,0.157,235.124,182.122,11.592,-77.374,37.514,5796.000,67275.669,20050616_050820
1,KAKQ20050616_091407,-33.877,0.676,235.530,182.830,20.191,-77.372,37.511,10095.553,66867.519,20050616_051407
2,KAKQ20050616_093721,-10.644,0.160,222.352,251.548,8.803,-77.445,37.201,4401.640,45762.367,20050616_053721
1,KAKQ20050617_101800,29.906,0.231,349.427,82.380,6.591,-76.726,37.964,3295.502,111581.062,20050617_061800
3,KAKQ20050617_102346,35.673,0.220,111.891,226.508,45.095,-78.068,37.310,22547.621,100977.571,20050617_062346
1,KAKQ20050619_085241,-55.691,0.711,190.059,113.470,7.336,-77.632,37.823,3668.020,108259.574,20050619_045241
1,KAKQ20050619_085829,-49.891,0.404,189.827,114.330,12.919,-77.633,37.819,6459.695,107948.208,20050619_045829
1,KAKQ20050619_090420,-44.041,-1.000,189.629,115.067,19.106,-77.634,37.815,9553.187,107682.440,20050619_050420
1,KAKQ20050619_091008,-38.241,0.053,187.804,115.682,8.964,-77.645,37.813,4482.124,107890.220,20050619_051008
