track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KBUF20040602_085016,-47.819,0.487,343.592,108.907,12.193,-78.466,43.808,6096.371,98001.166,20040602_045016
1,KBUF20040602_085606,-41.985,0.696,344.211,108.443,19.344,-78.462,43.810,9672.245,98296.312,20040602_045606
1,KBUF20040602_090155,-36.169,0.515,348.854,109.541,25.243,-78.433,43.805,12621.373,98312.318,20040602_050155
1,KBUF20040602_090745,-30.335,0.358,369.123,112.052,20.847,-78.308,43.794,10423.363,100127.885,20040602_050745
1,KBUF20040602_091335,-24.502,0.735,374.255,114.218,24.949,-78.276,43.784,12474.679,100035.736,20040602_051335
1,KBUF20040602_091923,-18.702,0.331,389.538,117.286,21.597,-78.181,43.770,10798.546,101736.572,20040602_051923
8,KBUF20040602_093101,-7.069,0.185,410.173,120.542,22.248,-78.053,43.754,11124.031,105289.421,20040602_053101
8,KBUF20040602_093650,-1.252,0.082,413.349,120.738,29.158,-78.033,43.753,14579.121,106046.010,20040602_053650
10,KBUF20040602_105228,74.381,0.176,296.279,512.742,21.787,-78.759,41.991,10893.352,106387.176,20040602_065228
10,KBUF20040602_105818,80.215,0.087,299.697,512.801,28.161,-78.739,41.991,14080.354,106400.426,20040602_065818
3,KBUF20040602_090155,-36.169,0.077,22.007,255.580,25.011,-80.445,43.136,12505.526,140759.893,20040602_050155
5,KBUF20040602_091335,-24.502,0.082,207.582,305.875,18.423,-79.303,42.921,9211.308,46302.278,20040602_051335
7,KBUF20040602_092512,-12.885,0.059,39.348,245.291,46.333,-80.340,43.184,23166.334,133165.703,20040602_052512
9,KBUF20040602_101732,39.448,0.141,231.737,312.515,26.035,-79.155,42.892,13017.710,34700.399,20040602_061732
1,KBUF20040604_090204,-35.205,0.099,202.980,305.004,14.243,-79.331,42.925,7121.740,48574.627,20040604_050204
4,KBUF20040605_092216,-14.652,0.112,155.871,409.961,15.151,-79.613,42.450,7575.296,90642.793,20040605_052216
4,KBUF20040605_092805,-8.835,0.050,156.240,409.378,22.267,-79.611,42.453,11133.732,90319.361,20040605_052805
4,KBUF20040605_093355,-3.002,0.141,159.082,409.224,24.783,-79.593,42.454,12391.725,89145.850,20040605_053355
1,KBUF20040605_085311,-43.735,0.056,279.986,549.732,27.322,-78.857,41.824,13661.245,125266.189,20040605_045311
1,KBUF20040605_085901,-37.902,0.154,280.669,549.152,34.434,-78.853,41.827,17216.776,124950.392,20040605_045901
3,KBUF20040605_091038,-26.285,0.189,297.326,430.000,22.214,-78.753,42.363,11107.185,65013.677,20040605_051038
3,KBUF20040605_091627,-20.469,0.124,298.418,429.440,29.978,-78.747,42.366,14989.109,64724.757,20040605_051627
2,KBUF20040605_090449,-32.102,0.120,356.075,249.632,15.888,-78.392,43.175,7944.000,37687.250,20040605_050449
5,KBUF20040605_095711,20.265,0.138,174.757,360.315,2.464,-79.501,42.675,1231.834,69504.839,20040605_055711
7,KBUF20040605_100851,31.931,0.064,316.217,407.304,12.697,-78.638,42.466,6348.518,54261.044,20040605_060851
8,KBUF20040605_102621,49.431,0.053,331.238,441.487,28.038,-78.547,42.312,14019.245,72447.456,20040605_062621
8,KBUF20040605_103210,55.248,-1.000,331.238,441.487,37.287,-78.547,42.312,18643.495,72447.456,20040605_063210
8,KBUF20040605_103800,61.081,0.076,328.685,435.370,28.641,-78.563,42.339,14320.539,69187.694,20040605_063800
3,KBUF20040607_101445,38.431,0.080,170.251,339.625,9.206,-79.530,42.768,4603.241,67832.255,20040607_061445
3,KBUF20040607_102034,44.247,0.115,170.302,340.280,17.700,-79.529,42.765,8849.759,67904.220,20040607_062034
3,KBUF20040607_102621,50.031,0.254,175.320,342.078,15.038,-79.498,42.757,7518.784,65794.599,20040607_062621
3,KBUF20040607_103211,55.864,0.056,175.939,341.639,22.461,-79.495,42.759,11230.724,65431.056,20040607_063211
7,KBUF20040607_104937,73.297,0.087,322.739,304.889,11.420,-78.598,42.927,5710.106,11629.502,20040607_064937
7,KBUF20040607_105526,79.114,0.114,324.390,304.571,18.549,-78.588,42.928,9274.598,12407.444,20040607_065526
1,KBUF20040607_084136,-54.719,0.056,265.370,113.693,14.361,-78.952,43.787,7180.351,94748.923,20040607_044136
2,KBUF20040607_095126,15.114,0.111,148.303,133.641,22.965,-79.678,43.693,11482.725,112569.475,20040607_055126
6,KBUF20040607_104937,73.297,0.243,416.660,161.281,25.890,-78.015,43.571,12944.817,90626.321,20040607_064937
1,KBUF20040609_085833,-37.315,0.068,369.523,287.900,32.534,-78.311,43.002,16267.067,35284.147,20040609_045833
2,KBUF20040609_095650,20.968,0.113,368.956,294.607,41.565,-78.314,42.972,20782.543,34583.096,20040609_055650
3,KBUF20040609_101417,38.418,0.091,372.977,297.685,33.078,-78.290,42.958,16538.921,36506.666,20040609_061417
2,KBUF20040610_101243,37.025,0.071,164.727,395.595,24.435,-79.560,42.515,12217.535,82820.800,20040610_061243
2,KBUF20040610_101742,42.008,0.518,167.200,395.326,30.986,-79.545,42.517,15492.911,81735.842,20040610_061742
4,KBUF20040610_104236,66.908,0.171,371.455,39.042,39.384,-78.291,44.122,19691.856,135281.977,20040610_064236
4,KBUF20040610_104736,71.908,0.404,373.779,40.221,45.624,-78.276,44.117,22811.884,135026.424,20040610_064736
1,KBUF20040610_094749,12.125,0.065,485.960,186.329,21.922,-77.588,43.454,10961.060,108975.148,20040610_054749
3,KBUF20040610_102739,51.958,0.260,358.365,389.899,8.136,-78.382,42.543,4067.905,53591.483,20040610_062739
1,KBUF20040611_095543,20.161,0.134,307.793,77.978,15.415,-78.688,43.948,7707.508,111079.162,20040611_055543
1,KBUF20040612_092151,-13.605,0.107,262.573,252.848,6.734,-78.967,43.161,3366.802,30100.196,20040612_052151
1,KBUF20040613_092334,-11.824,0.127,337.608,255.001,2.342,-78.506,43.151,1170.986,29322.648,20040613_052334
1,KBUF20040614_083857,-56.412,0.448,403.526,289.246,14.382,-78.102,42.995,7191.235,52041.744,20040614_043857
2,KBUF20040614_090803,-27.312,0.052,291.740,411.553,24.279,-78.787,42.447,12139.515,55929.103,20040614_050803
3,KBUF20040614_091352,-21.495,0.055,252.836,278.917,27.669,-79.026,43.043,13834.650,25830.795,20040614_051352
4,KBUF20040614_093121,-4.012,0.175,387.809,326.984,8.711,-78.200,42.826,4355.537,45930.787,20040614_053121
1,KBUF20040615_104647,71.415,0.214,353.379,439.939,30.410,-78.413,42.318,15204.945,74887.169,20040615_064647
4,KBUF20040617_100056,25.445,0.872,421.721,116.997,22.112,-77.981,43.770,11055.893,109893.407,20040617_060056
4,KBUF20040617_100646,31.279,0.828,428.515,116.095,25.130,-77.939,43.774,12565.242,112179.764,20040617_060646
4,KBUF20040617_101235,37.095,0.823,437.562,112.638,24.252,-77.882,43.789,12126.009,116219.177,20040617_061235
4,KBUF20040617_101824,42.912,0.729,451.315,110.664,22.088,-77.797,43.797,11043.784,121185.908,20040617_061824
4,KBUF20040617_102413,48.729,0.845,460.534,109.284,23.778,-77.739,43.803,11888.987,124643.162,20040617_062413
4,KBUF20040617_103001,54.529,0.541,471.241,107.271,23.086,-77.673,43.811,11543.159,128907.142,20040617_063001
4,KBUF20040617_103550,60.345,0.314,481.034,105.520,23.241,-77.612,43.818,11620.584,132849.422,20040617_063550
4,KBUF20040617_104140,66.179,0.109,488.709,102.184,22.101,-77.564,43.833,11050.473,136695.054,20040617_064140
4,KBUF20040617_104728,71.979,0.055,501.698,98.205,22.448,-77.483,43.850,11223.890,142656.163,20040617_064728
3,KBUF20040617_094918,13.812,0.569,401.683,123.193,24.531,-78.106,43.743,12265.491,101980.665,20040617_054918
3,KBUF20040617_095508,19.645,0.447,405.426,122.541,29.205,-78.083,43.745,14602.700,103206.445,20040617_055508
