track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KCCX20040601_104105,58.849,0.398,302.928,346.552,23.386,-77.987,40.713,11693.066,23322.070,20040601_064105
2,KCCX20040602_095500,13.176,0.477,400.986,254.089,17.821,-77.403,41.128,8910.320,55466.047,20040602_055500
2,KCCX20040602_095958,18.143,0.076,400.813,255.275,24.408,-77.404,41.123,12203.962,55144.188,20040602_055958
2,KCCX20040602_100456,23.110,-1.000,400.674,256.230,31.251,-77.405,41.119,15625.723,54888.682,20040602_060456
2,KCCX20040602_100954,28.076,0.060,401.685,257.040,30.003,-77.399,41.115,15001.430,55193.958,20040602_060954
2,KCCX20040602_101452,33.043,0.069,408.680,252.197,25.232,-77.357,41.136,12615.959,59364.068,20040602_061452
7,KCCX20040602_103940,57.843,0.074,152.772,64.024,18.860,-78.892,41.982,9430.044,139068.960,20040602_063940
7,KCCX20040602_104438,62.810,0.058,154.148,64.157,25.601,-78.884,41.981,12800.278,138649.347,20040602_064438
7,KCCX20040602_104935,67.760,-1.000,155.250,64.265,32.544,-78.877,41.981,16271.957,138314.535,20040602_064935
7,KCCX20040602_105432,72.710,0.084,166.772,62.385,33.264,-78.808,41.990,16632.069,136208.256,20040602_065432
5,KCCX20040602_102946,47.943,0.145,463.930,54.152,11.203,-77.014,42.026,5601.593,147745.044,20040602_062946
5,KCCX20040602_103443,52.893,-1.000,463.930,54.152,19.074,-77.014,42.026,9536.843,147745.044,20040602_063443
5,KCCX20040602_103940,57.843,-1.000,463.930,54.152,26.944,-77.014,42.026,13472.093,147745.044,20040602_063940
5,KCCX20040602_104438,62.810,0.271,462.821,73.539,40.976,-77.022,41.938,20488.210,139459.082,20040602_064438
1,KCCX20040602_091517,-26.540,0.083,237.331,293.573,15.759,-78.376,40.951,7879.370,31498.636,20040602_051517
3,KCCX20040602_095500,13.176,0.056,245.232,339.333,6.085,-78.328,40.746,3042.500,33714.171,20040602_055500
6,KCCX20040602_103940,57.843,0.182,457.325,72.892,36.152,-77.055,41.942,18075.783,138138.629,20040602_063940
8,KCCX20040602_104935,67.760,0.349,170.747,64.721,20.682,-78.784,41.980,10340.885,134222.304,20040602_064935
10,KCCX20040602_110428,82.643,0.118,200.910,62.424,17.205,-78.602,41.991,8602.551,128706.416,20040602_070428
1,KCCX20040603_085039,-50.796,0.552,296.174,375.855,28.049,-78.026,40.582,14024.618,37975.577,20040603_045039
1,KCCX20040603_085627,-44.996,0.962,301.521,375.460,30.349,-77.995,40.583,15174.375,37737.530,20040603_045627
1,KCCX20040603_090216,-39.179,0.986,311.914,378.215,29.068,-77.934,40.571,14533.928,39558.756,20040603_050216
1,KCCX20040603_090804,-33.379,0.942,316.443,381.020,30.515,-77.907,40.558,15257.676,41335.696,20040603_050804
1,KCCX20040603_091352,-27.579,0.746,321.949,380.724,33.309,-77.874,40.560,16654.529,41827.589,20040603_051352
1,KCCX20040603_091940,-21.779,0.767,334.833,383.405,31.494,-77.798,40.547,15746.960,45193.138,20040603_051940
1,KCCX20040603_092529,-15.963,-1.000,346.372,385.590,30.506,-77.730,40.537,15252.830,48672.508,20040603_052529
1,KCCX20040603_093117,-10.163,-1.000,357.879,387.769,29.520,-77.662,40.527,14760.115,52567.489,20040603_053117
1,KCCX20040603_093706,-4.346,0.291,370.472,392.226,27.706,-77.588,40.507,13853.066,58034.311,20040603_053706
6,KCCX20040603_101743,36.271,0.060,307.298,386.248,43.422,-77.961,40.535,21711.145,43278.142,20040603_061743
6,KCCX20040603_102332,42.087,0.067,308.820,384.855,51.054,-77.952,40.541,25526.920,42656.228,20040603_062332
6,KCCX20040603_102921,47.904,0.070,322.533,393.117,43.933,-77.871,40.504,21966.331,47902.413,20040603_062921
2,KCCX20040603_085039,-50.796,0.055,156.285,337.540,6.464,-78.855,40.751,3232.162,74268.367,20040603_045039
4,KCCX20040603_091940,-21.779,0.159,172.546,345.162,22.888,-78.758,40.717,11443.893,67609.167,20040603_051940
3,KCCX20040605_093024,-10.391,0.078,379.523,233.954,15.943,-77.530,41.219,7971.672,51686.392,20040605_053024
3,KCCX20040605_093612,-4.591,0.180,379.939,233.563,22.935,-77.527,41.221,11467.570,51971.639,20040605_053612
1,KCCX20040605_085535,-45.207,0.126,43.130,453.410,23.997,-79.513,40.222,11998.259,149597.083,20040605_045535
2,KCCX20040605_092437,-16.174,0.210,346.669,336.452,19.791,-77.728,40.759,9895.681,29608.762,20040605_052437
4,KCCX20040605_095336,12.809,0.058,303.849,379.840,22.005,-77.981,40.564,11002.337,39966.170,20040605_055336
5,KCCX20040605_105245,71.959,0.106,438.952,412.960,17.462,-77.185,40.412,8730.907,89537.192,20040605_065245
6,KCCX20040605_105833,77.759,0.065,218.045,90.227,28.215,-78.497,41.866,14107.538,112606.976,20040605_065833
1,KCCX20040608_094509,5.091,0.089,452.754,179.050,15.029,-77.090,41.464,7514.526,97420.156,20040608_054509
1,KCCX20040608_095455,14.858,0.118,451.469,178.328,28.600,-77.097,41.467,14299.848,97142.830,20040608_055455
4,KCCX20040610_085751,-41.890,0.114,18.248,238.740,22.238,-79.683,41.187,11118.994,144167.365,20040610_045751
4,KCCX20040610_090250,-36.906,0.621,20.318,237.964,27.807,-79.671,41.190,13903.258,143239.836,20040610_050250
4,KCCX20040610_090747,-31.956,0.655,25.882,238.341,28.082,-79.638,41.189,14040.980,140483.317,20040610_050747
4,KCCX20040610_091246,-26.973,0.074,29.025,240.294,29.966,-79.619,41.181,14982.785,138737.137,20040610_051246
4,KCCX20040610_091743,-22.023,0.054,35.893,240.987,29.648,-79.578,41.178,14824.010,135309.773,20040610_051743
3,KCCX20040610_085254,-46.840,0.060,411.940,199.391,45.472,-77.335,41.374,22736.240,75253.887,20040610_045254
3,KCCX20040610_085751,-41.890,0.058,414.132,200.397,51.936,-77.322,41.369,25967.890,75741.190,20040610_045751
3,KCCX20040610_090250,-36.906,-1.000,415.906,201.211,58.721,-77.311,41.366,29360.636,76146.967,20040610_050250
3,KCCX20040610_090747,-31.956,-1.000,417.667,202.019,65.461,-77.301,41.362,32730.688,76560.204,20040610_050747
3,KCCX20040610_091246,-26.973,0.054,419.026,188.070,59.556,-77.292,41.425,29777.837,81693.661,20040610_051246
6,KCCX20040610_091246,-26.973,0.406,484.540,259.935,23.524,-76.906,41.098,11761.986,94419.785,20040610_051246
6,KCCX20040610_091743,-22.023,0.076,482.621,260.071,32.415,-76.917,41.098,16207.297,93467.695,20040610_051743
10,KCCX20040610_100724,27.660,0.072,467.090,317.640,16.874,-77.013,40.839,8436.966,84009.151,20040610_060724
10,KCCX20040610_101222,32.627,0.202,469.646,318.552,23.903,-76.998,40.835,11951.307,85328.826,20040610_061222
10,KCCX20040610_101720,37.594,0.100,483.765,323.347,20.164,-76.915,40.813,10082.111,92621.241,20040610_061720
11,KCCX20040610_100724,27.660,0.062,204.282,522.662,17.756,-78.564,39.919,8877.783,121182.155,20040610_060724
11,KCCX20040610_101222,32.627,0.103,205.156,522.531,25.171,-78.559,39.920,12585.302,120949.934,20040610_061222
1,KCCX20040610_084258,-56.773,0.063,411.865,248.099,32.260,-77.338,41.155,16130.081,61659.584,20040610_044258
1,KCCX20040610_084756,-51.806,-1.000,411.865,248.099,40.157,-77.338,41.155,20078.581,61659.584,20040610_044756
1,KCCX20040610_085254,-46.840,0.146,386.867,253.190,22.463,-77.487,41.133,11231.716,49338.360,20040610_045254
5,KCCX20040610_090250,-36.906,0.064,427.415,208.885,42.313,-77.243,41.331,21156.654,78320.794,20040610_050250
8,KCCX20040610_092740,-12.073,0.066,481.856,174.311,22.064,-76.915,41.484,11032.097,110531.984,20040610_052740
9,KCCX20040610_095728,17.727,0.062,470.889,296.016,22.624,-76.989,40.937,11312.130,85467.891,20040610_055728
13,KCCX20040610_104208,62.394,0.074,309.208,443.285,25.503,-77.950,40.278,12751.375,71790.383,20040610_064208
3,KCCX20040611_090422,-35.264,0.053,41.747,334.998,48.547,-79.533,40.755,24273.624,130306.838,20040611_050422
3,KCCX20040611_090920,-30.297,0.109,43.236,337.927,55.732,-79.524,40.742,27866.072,129775.180,20040611_050920
3,KCCX20040611_091418,-25.331,0.324,53.572,346.531,59.569,-79.462,40.704,29784.636,125391.280,20040611_051418
3,KCCX20040611_091916,-20.364,0.057,61.371,342.010,64.647,-79.416,40.725,32323.710,121149.446,20040611_051916
7,KCCX20040611_093907,-0.514,0.096,122.344,366.796,53.738,-79.054,40.618,26868.967,94899.168,20040611_053907
7,KCCX20040611_094404,4.436,0.100,123.854,367.908,60.262,-79.045,40.613,30131.094,94391.403,20040611_054404
7,KCCX20040611_094902,9.403,0.091,131.014,373.747,61.189,-79.002,40.587,30594.407,92188.546,20040611_054902
2,KCCX20040611_085426,-45.197,0.105,157.449,288.475,24.386,-78.851,40.972,12193.245,71508.227,20040611_045426
2,KCCX20040611_085924,-40.231,0.136,159.838,288.737,30.458,-78.836,40.971,15228.759,70306.783,20040611_045924
8,KCCX20040611_094404,4.436,0.098,42.020,190.197,51.177,-79.547,41.407,25588.650,140187.670,20040611_054404
8,KCCX20040611_094902,9.403,0.184,42.741,190.268,57.559,-79.542,41.407,28779.369,139842.272,20040611_054902
12,KCCX20040611_094902,9.403,0.092,258.700,437.537,26.891,-78.247,40.304,13445.705,71801.907,20040611_054902
12,KCCX20040611_095400,14.369,0.051,261.318,441.259,33.272,-78.231,40.287,16636.171,73229.863,20040611_055400
20,KCCX20040611_104838,69.003,0.330,403.147,379.842,34.402,-77.395,40.562,17200.859,65219.125,20040611_064838
20,KCCX20040611_105335,73.953,0.466,405.188,380.760,39.330,-77.383,40.558,19665.031,66307.276,20040611_065335
21,KCCX20040611_104838,69.003,0.055,236.391,285.431,31.874,-78.382,40.988,15937.117,32627.872,20040611_064838
21,KCCX20040611_105335,73.953,0.120,236.970,286.178,39.226,-78.378,40.985,19613.024,32263.961,20040611_065335
23,KCCX20040611_110330,83.869,0.191,231.354,326.290,27.612,-78.411,40.804,13805.820,36753.911,20040611_070330
23,KCCX20040611_110828,88.836,0.962,240.789,327.097,29.414,-78.355,40.801,14707.238,32558.429,20040611_070828
1,KCCX20040611_084430,-55.131,0.068,358.119,276.946,11.968,-77.658,41.026,5984.238,31262.277,20040611_044430
4,KCCX20040611_090920,-30.297,0.148,35.679,480.600,23.851,-79.554,40.099,11925.477,160064.201,20040611_050920
5,KCCX20040611_091418,-25.331,0.080,197.160,443.941,24.848,-78.608,40.273,12423.901,88451.995,20040611_051418
6,KCCX20040611_093409,-5.481,0.077,336.231,561.966,33.422,-77.793,39.743,16711.203,132229.535,20040611_053409
10,KCCX20040611_094404,4.436,0.054,55.867,319.859,29.456,-79.451,40.825,14727.942,122469.463,20040611_054404
13,KCCX20040611_094902,9.403,0.086,26.558,436.062,32.491,-79.612,40.299,16245.378,152711.664,20040611_054902
14,KCCX20040611_100854,29.269,0.071,27.260,238.308,26.097,-79.629,41.189,13048.582,139814.925,20040611_060854
15,KCCX20040611_101352,34.236,0.067,67.711,358.846,25.792,-79.377,40.650,12895.857,119813.438,20040611_061352
16,KCCX20040611_101850,39.203,0.076,315.676,521.658,30.159,-77.912,39.925,15079.304,111105.812,20040611_061850
17,KCCX20040611_102347,44.153,0.095,224.621,413.742,18.995,-78.448,40.410,9497.665,68226.129,20040611_062347
18,KCCX20040611_102347,44.153,0.078,151.114,411.061,31.551,-78.881,40.420,15775.631,92872.815,20040611_062347
19,KCCX20040611_102347,44.153,0.059,98.760,211.591,31.564,-79.206,41.315,15782.078,109901.722,20040611_062347
22,KCCX20040611_105833,78.919,0.060,292.582,419.017,26.433,-78.048,40.387,13216.490,59624.077,20040611_065833
24,KCCX20040611_110330,83.869,0.084,215.414,410.427,27.657,-78.502,40.425,13828.297,69550.014,20040611_070330
25,KCCX20040611_110330,83.869,0.062,54.970,488.608,65.417,-79.440,40.065,32708.347,154606.426,20040611_070330
1,KCCX20040613_084458,-54.546,0.126,245.906,338.105,9.710,-78.324,40.751,4855.028,33083.803,20040613_044458
2,KCCX20040613_085047,-48.729,0.114,386.161,290.645,7.469,-77.492,40.964,3734.715,43333.902,20040613_045047
3,KCCX20040613_093715,-2.263,0.132,392.673,290.543,17.020,-77.453,40.964,8509.888,46577.335,20040613_053715
4,KCCX20040614_095057,11.446,0.199,398.803,182.811,25.900,-77.413,41.449,12949.780,76640.815,20040614_055057
4,KCCX20040614_095554,16.396,0.102,401.462,182.389,31.968,-77.397,41.451,15984.228,77664.241,20040614_055554
6,KCCX20040614_102541,46.180,0.073,57.883,234.087,24.280,-79.447,41.211,12140.167,125464.196,20040614_062541
6,KCCX20040614_103040,51.163,0.067,60.193,234.313,30.817,-79.434,41.210,15408.337,124320.159,20040614_063040
1,KCCX20040614_084624,-53.104,0.316,218.392,394.183,13.447,-78.485,40.498,6723.476,62310.244,20040614_044624
2,KCCX20040614_084624,-53.104,0.093,380.503,482.877,11.171,-77.532,40.099,5585.569,99906.153,20040614_044624
3,KCCX20040614_084624,-53.104,0.065,147.826,291.970,17.348,-78.908,40.956,8673.975,76192.765,20040614_044624
5,KCCX20040614_102541,46.180,0.405,275.612,239.577,20.552,-78.149,41.195,10275.862,32579.416,20040614_062541
7,KCCX20040614_103040,51.163,0.094,184.401,294.333,12.043,-78.690,40.947,6021.477,57869.045,20040614_063040
8,KCCX20040614_103040,51.163,0.058,258.315,475.945,22.509,-78.248,40.131,11254.399,90407.611,20040614_063040
9,KCCX20040614_105028,70.963,0.094,215.642,290.936,19.723,-78.505,40.963,9861.361,42421.954,20040614_065028
10,KCCX20040614_105527,75.946,0.052,426.375,276.801,32.467,-77.253,41.025,16233.341,64243.415,20040614_065527
9,KCCX20040615_104715,67.722,0.187,457.566,347.225,13.992,-77.072,40.707,6996.174,82245.525,20040615_064715
