track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KCXX20080601_091021,-0.436,0.138,155.318,397.982,20.507,-74.069,44.067,10253.695,87368.904,20080601_051021
1,KCXX20080601_091457,4.164,0.324,157.694,397.279,25.544,-74.055,44.070,12771.815,86189.086,20080601_051457
1,KCXX20080601_091934,8.781,0.074,173.199,397.187,20.623,-73.958,44.071,10311.480,79881.022,20080601_051934
3,KCXX20080601_091934,8.781,0.063,133.313,517.497,30.712,-74.197,43.528,15356.163,137012.257,20080601_051934
4,KCXX20080601_100532,54.748,0.103,247.390,371.692,19.135,-73.495,44.188,9567.478,44462.465,20080601_060532
4,KCXX20080602_101356,63.645,0.234,290.063,50.651,33.107,-73.230,45.633,16553.532,124773.216,20080602_061356
4,KCXX20080602_102334,73.279,0.232,291.717,50.558,42.319,-73.219,45.633,21159.264,124789.900,20080602_062334
4,KCXX20080602_103312,82.912,0.513,297.117,52.242,41.279,-73.185,45.626,20639.352,123887.611,20080602_063312
1,KCXX20080602_085654,-13.388,0.181,141.674,404.150,59.473,-74.154,44.038,29736.443,94755.420,20080602_045654
1,KCXX20080602_090630,-3.788,0.054,142.773,406.781,70.912,-74.147,44.026,35456.173,95029.625,20080602_050630
3,KCXX20080602_100418,54.012,0.139,296.889,525.608,16.614,-73.186,43.496,8307.167,112814.529,20080602_060418
3,KCXX20080602_101356,63.645,0.293,302.095,532.903,22.915,-73.153,43.463,11457.312,116456.419,20080602_061356
2,KCXX20080602_095245,42.462,0.059,258.780,408.467,19.937,-73.423,44.023,9968.515,58017.882,20080602_055245
5,KCXX20080602_101356,63.645,0.070,287.697,420.102,27.638,-73.243,43.971,13819.052,60365.211,20080602_061356
1,KCXX20080603_081103,-58.777,0.073,150.923,130.898,2.819,-74.116,45.268,1409.359,112715.819,20080603_041103
2,KCXX20080603_081650,-52.994,0.079,28.012,388.721,37.184,-74.865,44.099,18591.978,143046.098,20080603_041650
3,KCXX20080603_092803,18.223,0.058,45.969,444.606,50.753,-74.746,43.849,25376.503,146152.987,20080603_052803
3,KCXX20080603_093350,24.006,-1.000,45.969,444.606,59.949,-74.746,43.849,29974.253,146152.987,20080603_053350
3,KCXX20080603_093937,29.789,0.124,94.238,433.594,27.490,-74.447,43.903,13744.904,122663.724,20080603_053937
5,KCXX20080603_102550,76.006,0.262,28.020,401.656,34.526,-74.863,44.041,17262.920,145178.137,20080603_062550
3,KCXX20080604_090730,-1.904,0.060,63.158,305.096,19.715,-74.655,44.478,9857.716,118448.639,20080604_050730
3,KCXX20080604_091316,3.862,0.104,64.412,304.511,25.850,-74.647,44.481,12925.065,117815.771,20080604_051316
6,KCXX20080604_095340,44.262,0.579,155.379,154.237,28.139,-74.086,45.163,14069.345,102667.356,20080604_055340
6,KCXX20080604_095926,50.029,0.070,156.894,153.654,34.948,-74.077,45.166,17474.061,102343.297,20080604_055926
6,KCXX20080604_100512,55.796,-1.000,158.178,153.160,42.118,-74.068,45.168,21059.106,102073.017,20080604_060512
6,KCXX20080604_101059,61.579,0.070,172.274,146.819,31.121,-73.979,45.197,15560.303,99722.483,20080604_061059
6,KCXX20080604_101644,67.329,-1.000,172.274,146.819,40.263,-73.979,45.197,20131.553,99722.483,20080604_061644
6,KCXX20080604_102230,73.096,0.065,194.438,139.336,29.547,-73.839,45.232,14773.518,96120.312,20080604_062230
1,KCXX20080604_080949,-59.588,0.221,391.774,552.834,8.626,-72.600,43.372,4312.795,134487.348,20080604_040949
2,KCXX20080604_085557,-13.454,0.184,182.878,299.408,14.709,-73.903,44.511,7354.361,58561.693,20080604_045557
4,KCXX20080604_092448,15.396,0.068,322.703,164.822,42.327,-73.022,45.119,21163.746,68535.812,20080604_052448
5,KCXX20080604_093034,21.162,0.061,158.572,274.540,23.889,-74.057,44.622,11944.321,71850.852,20080604_053034
7,KCXX20080604_095340,44.262,0.126,160.019,273.197,23.562,-74.048,44.628,11780.874,71262.075,20080604_055340
4,KCXX20080606_085522,-13.305,0.124,264.488,426.070,16.485,-73.388,43.944,8242.298,65487.902,20080606_045522
4,KCXX20080606_085958,-8.705,0.526,267.987,427.699,22.267,-73.366,43.936,11133.281,65825.421,20080606_045958
4,KCXX20080606_090435,-4.088,0.200,283.908,432.596,18.020,-73.267,43.914,9009.945,66784.663,20080606_050435
4,KCXX20080606_090910,0.495,0.301,284.589,432.636,25.197,-73.262,43.914,12598.360,66763.957,20080606_050910
5,KCXX20080606_085958,-8.705,0.212,340.808,425.654,20.890,-72.912,43.945,10444.765,66057.175,20080606_045958
