track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
3,KDOX20120601_092021_V07,-18.003,0.156,399.520,257.738,20.034,-74.865,39.014,10016.842,54060.926,20120601_052021
3,KDOX20120601_092609_V07,-12.203,0.188,401.069,257.419,26.256,-74.857,39.016,13127.948,54836.398,20120601_052609
3,KDOX20120601_093156_V07,-6.420,0.167,402.333,259.773,21.511,-74.849,39.005,10755.634,54977.929,20120601_053156
3,KDOX20120601_093744_V07,-0.620,0.059,404.412,259.892,29.022,-74.837,39.005,14511.160,55925.081,20120601_053744
4,KDOX20120601_092609_V07,-12.203,0.710,372.674,192.169,16.922,-75.019,39.310,8460.815,65017.614,20120601_052609
4,KDOX20120601_093156_V07,-6.420,0.058,373.278,192.425,24.479,-75.015,39.309,12239.663,65080.856,20120601_053156
1,KDOX20120601_084540_V07,-52.686,0.051,282.874,213.002,17.949,-75.539,39.217,8974.442,44333.761,20120601_044540
2,KDOX20120601_090848_V07,-29.553,0.121,407.998,257.713,20.487,-74.817,39.014,10243.469,57990.895,20120601_050848
6,KDOX20120601_094331_V07,5.164,0.053,224.079,575.262,25.799,-75.870,37.585,12899.404,142770.224,20120601_054331
1,KDOX20120603_085251_V07,-44.810,0.138,383.352,194.465,3.656,-74.957,39.300,1828.098,67240.495,20120603_045251
3,KDOX20120603_101018_V07,32.640,0.337,448.070,127.920,46.504,-74.578,39.597,23251.881,113508.076,20120603_061018
2,KDOX20120604_084055_V07,-56.443,0.085,278.558,240.556,10.921,-75.564,39.093,5460.304,31596.255,20120604_044055
2,KDOX20120604_084642_V07,-50.660,0.065,278.468,240.278,18.897,-75.564,39.094,9448.392,31742.700,20120604_044642
11,KDOX20120604_092129_V07,-15.877,0.571,291.604,490.486,9.075,-75.488,37.968,4537.339,95335.511,20120604_052129
11,KDOX20120604_092717_V07,-10.077,0.073,291.035,490.415,17.054,-75.491,37.968,8526.858,95313.215,20120604_052717
5,KDOX20120604_090406_V07,-33.260,0.233,311.727,246.347,19.999,-75.372,39.067,9999.538,27459.601,20120604_050406
8,KDOX20120604_091540_V07,-21.693,0.492,216.664,120.062,18.653,-75.925,39.635,9326.691,99149.594,20120604_051540
1,KDOX20120605_084336_V07,-53.491,0.083,391.459,254.798,11.571,-74.912,39.028,5785.641,51009.809,20120605_044336
8,KDOX20120606_100503_V07,28.197,0.361,24.884,407.914,45.268,-77.013,38.329,22633.997,147761.775,20120606_060503
8,KDOX20120606_101051_V07,33.997,0.308,25.163,407.590,51.493,-77.012,38.330,25746.564,147572.692,20120606_061051
3,KDOX20120606_083951_V07,-57.003,0.097,25.029,455.022,32.787,-77.008,38.117,16393.475,157829.500,20120606_043951
7,KDOX20120606_094738_V07,10.780,0.106,93.361,191.506,7.414,-76.638,39.308,3706.923,116694.949,20120606_054738
1,KDOX20120607_084557_V07,-50.697,0.480,403.010,244.454,5.789,-74.845,39.074,2894.531,58515.705,20120607_044557
3,KDOX20120607_084557_V07,-50.697,0.193,384.635,190.440,8.319,-74.949,39.318,4159.374,69221.648,20120607_044557
3,KDOX20120607_085538_V07,-41.013,-1.000,384.635,190.440,23.715,-74.949,39.318,11857.624,69221.648,20120607_045538
3,KDOX20120607_090519_V07,-31.330,0.081,393.133,195.295,15.369,-74.900,39.296,7684.719,70065.845,20120607_050519
1,KDOX20120608_084802_V07,-48.438,0.408,377.850,194.216,3.082,-74.989,39.301,1540.905,65671.127,20120608_044802
1,KDOX20120608_085742_V07,-38.772,0.605,377.648,194.442,7.852,-74.990,39.300,3926.092,65520.476,20120608_045742
4,KDOX20120608_085742_V07,-38.772,0.087,292.810,209.932,11.148,-75.482,39.231,5573.898,45177.472,20120608_045742
6,KDOX20120608_092640_V07,-9.805,0.087,341.973,395.816,8.980,-75.200,38.394,4489.918,52302.816,20120608_052640
7,KDOX20120608_094602_V07,9.562,0.063,27.632,322.813,26.668,-77.006,38.712,13333.794,136660.686,20120608_054602
1,KDOX20120609_095121_V07,15.022,0.073,102.133,64.896,5.292,-76.596,39.879,2645.898,153643.425,20120609_055121
2,KDOX20120609_105859_V07,82.656,0.118,264.677,150.370,37.753,-75.645,39.499,18876.686,76871.242,20120609_065859
1,KDOX20120610_085026_V07,-45.782,0.198,364.853,340.419,12.244,-75.068,38.643,6122.135,38208.733,20120610_045026
1,KDOX20120610_085612_V07,-40.015,0.061,363.715,340.600,19.328,-75.074,38.642,9663.893,37775.575,20120610_045612
1,KDOX20120610_090159_V07,-34.232,0.119,363.957,341.177,20.713,-75.073,38.640,10356.577,38033.047,20120610_050159
1,KDOX20120610_090746_V07,-28.449,0.166,365.854,342.141,21.600,-75.062,38.635,10800.089,39091.845,20120610_050746
2,KDOX20120610_093639_V07,0.435,0.081,452.449,133.047,63.224,-74.553,39.574,31612.083,113041.938,20120610_053639
2,KDOX20120614_085401_V07,-42.060,0.087,315.889,352.809,11.823,-75.349,38.588,5911.591,27573.958,20120614_045401
4,KDOX20120614_092300_V07,-13.076,0.090,271.059,164.140,15.384,-75.608,39.437,7691.975,69453.927,20120614_052300
5,KDOX20120614_094220_V07,6.257,0.113,289.052,217.643,25.890,-75.503,39.196,12944.973,41540.503,20120614_054220
1,KDOX20120615_084050_V07,-55.285,0.133,279.102,155.689,11.717,-75.561,39.475,5858.387,72908.257,20120615_044050
1,KDOX20120615_085030_V07,-45.618,0.058,277.443,157.295,27.522,-75.571,39.468,13761.072,72238.482,20120615_045030
1,KDOX20120616_083736_V07,-58.591,0.707,278.974,154.593,9.673,-75.562,39.480,4836.651,73459.887,20120616_043736
