track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
5,KENX19980601_095314,31.861,0.131,296.891,375.758,9.318,-74.083,42.245,4659.058,37910.947,19980601_055314
5,KENX19980601_095909,37.778,0.223,297.002,375.296,16.572,-74.083,42.247,8285.936,37677.628,19980601_055909
1,KENX19980601_090542,-15.672,0.448,296.531,376.739,10.180,-74.085,42.241,5089.769,38408.906,19980601_050542
2,KENX19980601_092929,8.111,0.059,296.577,375.386,9.028,-74.085,42.247,4514.065,37731.889,19980601_052929
3,KENX19980601_094717,25.911,0.157,298.626,375.734,11.837,-74.073,42.245,5918.493,37873.003,19980601_054717
4,KENX19980601_095314,31.861,0.132,221.592,298.678,21.049,-74.542,42.591,10524.435,39209.540,19980601_055314
6,KENX19980601_100506,43.728,0.063,336.573,512.503,29.363,-73.845,41.630,14681.395,107813.779,19980601_060506
7,KENX19980601_102253,61.511,0.076,296.908,376.987,9.279,-74.083,42.240,4639.639,38524.556,19980601_062253
1,KENX19980603_082311,-57.286,0.229,308.520,176.776,11.985,-74.012,43.141,5992.336,61759.035,19980603_042311
1,KENX19980603_082908,-51.336,0.299,308.696,176.903,17.832,-74.011,43.140,8916.062,61701.693,19980603_042908
3,KENX19980603_085249,-27.653,0.061,307.744,177.112,13.014,-74.017,43.139,6506.878,61565.736,19980603_045249
3,KENX19980603_085844,-21.736,0.266,308.052,177.098,18.728,-74.015,43.140,9364.137,61582.958,19980603_045844
2,KENX19980603_083504,-45.403,0.063,227.857,366.516,8.406,-74.502,42.286,4202.885,49063.508,19980603_043504
4,KENX19980603_092228,1.997,0.063,305.220,177.224,13.668,-74.032,43.139,6834.145,61443.211,19980603_052228
4,KENX19980603_092825,7.947,-1.000,305.220,177.224,23.129,-74.032,43.139,11564.395,61443.211,19980603_052825
4,KENX19980603_093420,13.864,0.138,307.007,178.411,12.308,-74.021,43.134,6153.908,60895.523,19980603_053420
6,KENX19980603_103337,73.147,0.084,403.054,423.149,12.670,-73.442,42.030,6334.965,80289.960,19980603_063337
2,KENX19980604_100244,42.663,0.084,335.620,514.688,28.834,-73.851,41.620,14417.126,108811.343,19980604_060244
2,KENX19980604_101235,52.513,0.129,337.227,515.026,35.411,-73.841,41.618,17705.384,109112.185,19980604_061235
2,KENX19980604_102225,62.347,0.141,338.127,516.148,25.557,-73.836,41.613,12778.374,109742.377,19980604_062225
1,KENX19980604_090315,-16.820,0.060,337.050,517.169,23.308,-73.842,41.609,11653.795,110153.189,19980604_050315
1,KENX19980605_082842,-51.006,0.206,445.767,291.203,9.385,-73.176,42.623,4692.654,73016.077,19980605_042842
2,KENX19980605_082842,-51.006,0.096,174.016,363.171,2.599,-74.828,42.299,1299.318,70467.120,19980605_042842
3,KENX19980606_103356,74.557,0.063,294.060,419.968,25.157,-74.100,42.046,12578.548,60057.555,19980606_063356
3,KENX19980606_104353,84.507,0.133,297.794,419.102,31.735,-74.078,42.050,15867.501,59561.043,19980606_064353
1,KENX19980606_093416,14.890,0.053,379.500,272.712,20.962,-73.579,42.708,10480.873,42026.321,19980606_053416
2,KENX19980606_102358,64.590,0.180,396.195,413.462,16.484,-73.483,42.074,8242.157,74375.908,19980606_062358
4,KENX19980606_103356,74.557,0.050,212.032,303.130,18.558,-74.600,42.571,9279.015,44011.911,19980606_063356
3,KENX19980607_085754,-21.182,0.136,508.779,186.590,29.892,-72.782,43.090,14945.999,118796.593,19980607_045754
3,KENX19980607_090750,-11.249,0.270,510.349,185.859,39.964,-72.773,43.093,19982.112,119660.608,19980607_050750
3,KENX19980607_091747,-1.299,0.117,511.581,177.431,45.944,-72.764,43.131,22971.937,122259.596,19980607_051747
