track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KGYX19950602_101810,76.864,0.101,37.564,207.560,57.465,-71.901,44.296,28732.590,139120.199,19950602_061810
1,KGYX19950602_102750,86.531,0.102,43.475,209.272,66.755,-71.864,44.288,33377.349,136048.485,19950602_062750
5,KGYX19950603_085439,-6.176,0.197,101.768,538.099,22.583,-71.469,42.813,11291.409,154908.941,19950603_045439
5,KGYX19950603_090031,-0.309,0.165,102.931,534.495,31.727,-71.462,42.830,15863.593,153153.782,19950603_050031
5,KGYX19950603_090622,5.541,0.128,116.709,520.066,37.131,-71.379,42.895,18565.556,143199.786,19950603_050622
8,KGYX19950603_090031,-0.309,0.053,243.280,411.606,17.192,-70.607,43.389,8595.764,62595.966,19950603_050031
8,KGYX19950603_090622,5.541,0.077,244.611,408.776,26.517,-70.599,43.401,13258.344,61033.042,19950603_050622
8,KGYX19950603_091214,11.407,0.154,255.835,403.393,30.564,-70.530,43.426,15281.955,56215.348,19950603_051214
4,KGYX19950603_084255,-17.909,0.074,497.866,331.093,33.048,-69.029,43.745,16523.895,100147.226,19950603_044255
4,KGYX19950603_084847,-12.043,0.141,501.680,329.181,41.271,-69.005,43.753,20635.300,101889.985,19950603_044847
1,KGYX19950603_080747,-53.043,0.064,28.319,273.055,35.877,-71.951,44.000,17938.593,136507.015,19950603_040747
2,KGYX19950603_082521,-35.476,0.059,26.198,257.405,24.032,-71.966,44.070,12015.795,138547.843,19950603_042521
3,KGYX19950603_083112,-29.626,0.202,119.658,370.719,28.486,-71.373,43.568,14242.971,96855.841,19950603_043112
7,KGYX19950603_090031,-0.309,0.411,223.936,253.002,54.194,-70.732,44.102,27097.008,44706.178,19950603_050031
10,KGYX19950603_090622,5.541,0.108,441.682,217.127,15.578,-69.370,44.261,7788.788,82069.690,19950603_050622
11,KGYX19950603_091805,17.257,0.054,296.309,391.792,15.574,-70.280,43.478,7787.157,45932.940,19950603_051805
12,KGYX19950603_092949,28.991,0.056,75.353,275.946,21.136,-71.657,43.991,10567.872,112965.694,19950603_052949
13,KGYX19950603_095907,58.291,0.079,32.730,156.640,31.463,-71.938,44.524,15731.619,151645.311,19950603_055907
14,KGYX19950603_095907,58.291,0.062,193.935,335.446,19.790,-70.915,43.730,9895.090,55915.478,19950603_055907
17,KGYX19950604_095842,58.314,0.085,158.427,366.368,11.031,-71.133,43.589,5515.545,78178.780,19950604_055842
17,KGYX19950604_100434,64.181,0.531,159.499,364.743,15.733,-71.127,43.597,7866.282,77350.031,19950604_060434
17,KGYX19950604_101026,70.048,0.836,160.438,358.234,18.481,-71.122,43.626,9240.322,75611.918,19950604_061026
17,KGYX19950604_101618,75.914,0.556,164.511,360.842,19.036,-71.096,43.615,9518.060,74261.235,19950604_061618
17,KGYX19950604_102210,81.781,0.367,164.478,357.782,27.122,-71.097,43.628,13560.890,73663.198,19950604_062210
17,KGYX19950604_102801,87.631,0.216,170.525,358.156,30.981,-71.059,43.627,15490.306,70968.303,19950604_062801
1,KGYX19950604_080653,-53.502,0.268,34.755,226.234,35.465,-71.916,44.211,17732.689,137655.506,19950604_040653
1,KGYX19950604_081244,-47.652,0.688,37.841,223.313,42.532,-71.898,44.225,21265.996,136572.679,19950604_041244
1,KGYX19950604_081836,-41.786,0.628,39.393,225.260,40.984,-71.888,44.216,20492.182,135556.511,19950604_041836
1,KGYX19950604_082428,-35.919,0.731,43.017,229.119,39.244,-71.864,44.199,19622.172,133289.307,19950604_042428
1,KGYX19950604_083019,-30.069,0.167,50.385,235.353,34.833,-71.818,44.172,17416.250,128925.454,19950604_043019
