track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KLWX20060602_084805,-57.829,0.822,311.042,520.832,14.295,-77.425,37.982,7147.449,110553.954,20060602_044805
1,KLWX20060602_085217,-53.629,0.301,310.889,520.969,19.906,-77.426,37.981,9952.949,110618.756,20060602_045217
1,KLWX20060602_085630,-49.412,-1.000,310.775,521.072,25.811,-77.426,37.980,12905.525,110667.341,20060602_045630
1,KLWX20060602_090044,-45.179,0.073,314.001,517.511,19.162,-77.408,37.997,9580.880,108980.608,20060602_050044
3,KLWX20060602_090456,-40.979,0.207,358.773,176.979,16.768,-77.146,39.530,8384.247,68169.576,20060602_050456
3,KLWX20060602_090910,-36.746,0.210,359.270,176.279,22.381,-77.143,39.533,11190.405,68592.748,20060602_050910
5,KLWX20060602_093428,-11.446,0.067,344.424,511.831,17.439,-77.235,38.022,8719.411,108219.676,20060602_053428
6,KLWX20060602_094706,1.188,0.110,355.356,506.831,17.955,-77.172,38.044,8977.276,107055.229,20060602_054706
7,KLWX20060602_110713,81.304,0.071,24.461,181.334,24.090,-79.089,39.500,12044.919,150002.522,20060602_070713
1,KLWX20060603_085516,-50.296,0.055,332.556,296.411,9.184,-77.300,38.992,4591.984,16376.510,20060603_045516
1,KLWX20060603_090101,-44.546,0.720,332.192,299.787,17.480,-77.302,38.977,8740.158,16096.221,20060603_050101
1,KLWX20060603_090647,-38.780,0.167,340.359,297.569,19.926,-77.255,38.987,9963.173,20216.106,20060603_050647
1,KLWX20060603_091234,-32.996,0.113,344.697,289.800,19.711,-77.229,39.022,9855.667,22923.204,20060603_051234
7,KLWX20060603_100419,18.754,0.066,305.276,157.048,19.039,-77.457,39.620,9519.356,71524.429,20060603_060419
7,KLWX20060603_101005,24.520,0.056,306.819,156.341,25.753,-77.448,39.623,12876.475,71910.249,20060603_061005
8,KLWX20060603_101551,30.287,0.098,413.309,562.963,52.960,-76.844,37.790,26480.110,143167.929,20060603_061551
8,KLWX20060603_102136,36.037,0.168,415.318,563.055,59.279,-76.833,37.790,29639.443,143610.474,20060603_062136
12,KLWX20060603_104437,59.054,0.111,257.871,56.326,20.984,-77.734,40.073,10491.871,123644.675,20060603_064437
12,KLWX20060603_105022,64.804,0.315,259.551,53.929,27.130,-77.725,40.084,13564.919,124686.646,20060603_065022
2,KLWX20060603_090647,-38.780,0.067,324.785,356.299,37.797,-77.345,38.723,18898.396,30756.819,20060603_050647
3,KLWX20060603_091817,-27.280,0.122,25.934,256.610,29.661,-79.073,39.161,14830.313,138739.952,20060603_051817
4,KLWX20060603_092403,-21.513,0.595,366.275,274.997,16.764,-77.104,39.088,8382.103,35417.185,20060603_052403
5,KLWX20060603_092948,-15.763,0.061,26.006,150.580,37.626,-79.083,39.638,18812.973,156043.913,20060603_052948
6,KLWX20060603_093534,-9.996,0.073,393.203,218.400,24.052,-76.947,39.343,12026.119,61938.110,20060603_053534
9,KLWX20060603_102721,41.787,0.136,223.226,89.039,31.266,-77.937,39.925,15632.820,112248.476,20060603_062721
9,KLWX20060603_103306,47.537,0.145,232.188,72.553,27.190,-77.885,40.000,13594.778,118670.371,20060603_063306
11,KLWX20060603_103852,53.304,0.051,415.623,436.837,23.161,-76.826,38.358,11580.496,89572.517,20060603_063852
13,KLWX20060603_110740,82.104,0.106,500.628,184.907,25.314,-76.321,39.489,12656.982,115647.924,20060603_070740
2,KLWX20060604_084907,-56.128,0.244,204.623,295.955,6.799,-78.038,38.993,3399.603,47731.304,20060604_044907
2,KLWX20060604_085852,-46.378,0.212,204.606,297.692,15.870,-78.038,38.985,7935.092,47710.979,20060604_045852
1,KLWX20060605_085017,-54.674,0.186,208.190,303.368,8.646,-78.017,38.960,4323.172,45935.754,20060605_045017
1,KLWX20060605_085603,-48.907,0.070,208.296,303.269,15.191,-78.017,38.960,7595.678,45881.184,20060605_045603
1,KLWX20060607_105136,67.124,0.092,205.893,302.097,8.995,-78.030,38.966,4497.456,47065.338,20060607_065136
1,KLWX20060608_104002,55.751,0.440,93.524,286.770,19.706,-78.680,39.030,9853.106,103449.711,20060608_064002
1,KLWX20060608_104946,65.485,-1.000,93.524,286.770,35.182,-78.680,39.030,17591.106,103449.711,20060608_064946
1,KLWX20060608_105929,75.201,0.081,94.048,286.999,20.088,-78.677,39.029,10043.919,103181.208,20060608_065929
3,KLWX20060609_100455,20.798,0.053,98.142,288.283,16.568,-78.653,39.023,8283.915,101099.047,20060609_060455
3,KLWX20060609_101041,26.564,0.059,98.619,287.990,22.606,-78.650,39.025,11303.041,100869.154,20060609_061041
1,KLWX20060609_084814,-55.886,0.064,99.785,288.394,15.533,-78.644,39.023,7766.307,100275.689,20060609_044814
2,KLWX20060609_091304,-31.052,0.052,100.145,288.219,15.485,-78.641,39.024,7742.275,100100.759,20060609_051304
