track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KRAX19960711_101720,10.034,0.065,266.359,383.680,14.363,-78.675,35.288,7181.538,45094.358,19960711_061720
2,KRAX19960711_101720,10.034,0.051,262.169,306.417,15.398,-78.699,35.636,7698.771,19185.523,19960711_061720
3,KRAX19960711_103449,27.517,0.090,276.731,365.175,13.274,-78.618,35.371,6637.016,34602.165,19960711_063449
4,KRAX19960711_110359,56.684,0.154,446.768,451.154,22.539,-77.686,34.981,11269.728,105342.887,19960711_070359
5,KRAX19960711_110359,56.684,0.051,135.762,523.819,27.061,-79.386,34.653,13530.483,138806.829,19960711_070359
1,KRAX19960712_093405,-33.836,0.118,389.517,523.241,17.872,-78.002,34.658,8936.064,120259.786,19960712_053405
1,KRAX19960712_093955,-28.003,0.696,386.547,520.782,24.616,-78.018,34.669,12307.769,118569.789,19960712_053955
1,KRAX19960712_094545,-22.170,0.454,381.191,515.168,29.745,-78.047,34.695,14872.567,114988.469,19960712_054545
5,KRAX19960712_103222,24.447,0.105,348.407,447.808,17.553,-78.225,34.999,8776.646,77766.360,19960712_063222
5,KRAX19960712_103812,30.280,0.148,346.307,446.389,25.582,-78.236,35.005,12791.183,76769.422,19960712_063812
3,KRAX19960712_094545,-22.170,0.091,183.085,66.703,24.248,-79.144,36.715,12123.861,130476.470,19960712_054545
4,KRAX19960712_100313,-4.703,0.053,215.605,284.758,16.112,-78.956,35.733,8055.935,42880.027,19960712_060313
2,KRAX19960713_101801,9.464,0.653,67.457,156.187,28.796,-79.785,36.306,14398.072,136709.957,19960713_061801
2,KRAX19960713_102352,15.314,0.247,67.790,155.791,34.572,-79.783,36.308,17286.108,136672.763,19960713_062352
3,KRAX19960713_101801,9.464,0.541,185.645,509.800,29.022,-79.114,34.718,14511.057,119471.077,19960713_061801
3,KRAX19960713_102352,15.314,0.122,184.974,509.496,37.890,-79.118,34.719,18944.785,119498.600,19960713_062352
7,KRAX19960713_104121,32.797,0.221,69.595,159.298,29.022,-79.772,36.293,14510.778,134984.911,19960713_064121
7,KRAX19960713_104710,38.614,0.251,71.439,159.843,35.436,-79.762,36.290,17718.143,134056.210,19960713_064710
1,KRAX19960713_091310,-55.386,0.057,196.121,172.094,13.212,-79.068,36.240,6606.043,82387.331,19960713_051310
4,KRAX19960713_101801,9.464,0.150,272.018,309.010,7.369,-78.644,35.625,3684.269,14698.517,19960713_061801
5,KRAX19960713_101801,9.464,0.103,281.648,351.174,6.402,-78.591,35.435,3200.953,27182.384,19960713_061801
1,KRAX19960714_100533,-3.648,0.371,154.019,355.340,9.052,-79.294,35.413,4526.009,78059.073,19960714_060533
2,KRAX19960714_101740,8.469,0.135,264.289,298.673,8.682,-78.687,35.671,4340.944,17867.809,19960714_061740
3,KRAX19960714_112148,72.602,0.061,338.926,410.458,21.321,-78.276,35.167,10660.734,58557.954,19960714_072148
1,KRAX19960715_091149,-58.039,0.861,189.809,301.573,12.897,-79.098,35.657,6448.473,55100.997,19960715_051149
1,KRAX19960715_091739,-52.205,0.500,190.685,300.583,20.148,-79.094,35.661,10073.786,54658.158,19960715_051739
1,KRAX19960715_092329,-46.372,0.535,197.845,291.826,23.454,-79.054,35.701,11727.177,51240.620,19960715_052329
4,KRAX19960715_093329,-36.372,0.157,232.716,272.836,11.319,-78.862,35.787,5659.439,36280.125,19960715_053329
4,KRAX19960715_093946,-30.089,-1.000,232.716,272.836,21.309,-78.862,35.787,10654.689,36280.125,19960715_053946
4,KRAX19960715_094537,-24.239,0.120,232.586,270.113,26.660,-78.863,35.799,13329.984,36871.074,19960715_054537
4,KRAX19960715_095126,-18.422,0.072,244.341,259.350,20.937,-78.798,35.848,10468.460,34461.310,19960715_055126
5,KRAX19960715_094537,-24.239,0.605,500.851,276.824,18.995,-77.379,35.765,9497.608,101091.860,19960715_054537
5,KRAX19960715_095126,-18.422,0.162,501.215,276.509,27.051,-77.377,35.766,13525.458,101290.698,19960715_055126
9,KRAX19960715_103215,22.395,0.099,181.402,267.340,23.051,-79.146,35.811,11525.547,61506.336,19960715_063215
9,KRAX19960715_103805,28.228,0.125,183.994,264.249,29.488,-79.132,35.825,14744.007,60694.964,19960715_063805
12,KRAX19960715_111304,63.211,0.229,374.613,390.028,20.783,-78.080,35.259,10391.289,58464.021,19960715_071304
12,KRAX19960715_111854,69.045,0.085,373.602,388.028,27.771,-78.086,35.268,13885.372,57372.084,19960715_071854
13,KRAX19960715_111304,63.211,0.077,306.121,243.335,28.456,-78.456,35.921,14228.020,28497.287,19960715_071304
13,KRAX19960715_111854,69.045,0.057,307.767,241.368,35.798,-78.447,35.929,17898.827,29572.271,19960715_071854
8,KRAX19960715_102036,10.745,0.118,298.640,404.865,23.360,-78.497,35.193,11680.178,52436.846,19960715_062036
10,KRAX19960715_103805,28.228,0.561,388.111,369.873,15.497,-78.005,35.349,7748.302,56226.581,19960715_063805
11,KRAX19960715_110124,51.545,0.060,362.626,401.263,18.870,-78.146,35.208,9434.988,59531.894,19960715_070124
14,KRAX19960715_111854,69.045,0.192,446.339,566.381,31.731,-77.694,34.462,15865.598,151965.662,19960715_071854
1,KRAX19960716_091313,-57.307,0.092,315.174,438.129,3.276,-78.407,35.043,1638.000,69480.194,19960716_051313
6,KRAX19960719_100123,-11.206,0.087,167.845,503.035,17.649,-79.212,34.748,8824.677,121128.335,19960719_060123
6,KRAX19960719_100712,-5.389,0.271,170.066,502.896,25.578,-79.199,34.749,12788.961,120467.149,19960719_060712
6,KRAX19960719_101302,0.444,0.449,175.908,506.776,28.483,-79.167,34.731,14241.564,120576.734,19960719_061302
6,KRAX19960719_101852,6.277,-1.000,180.972,509.869,32.420,-79.140,34.718,16210.210,120636.327,19960719_061852
6,KRAX19960719_102442,12.111,-1.000,186.037,512.962,36.358,-79.112,34.704,18178.856,120768.814,19960719_062442
6,KRAX19960719_103032,17.944,0.791,180.590,508.425,41.034,-79.142,34.724,20517.142,120103.584,19960719_063032
6,KRAX19960719_103622,23.777,0.684,189.247,510.467,47.635,-79.095,34.715,23817.415,118914.433,19960719_063622
6,KRAX19960719_104212,29.611,0.531,196.963,510.052,52.868,-79.052,34.717,26434.173,116981.140,19960719_064212
6,KRAX19960719_104802,35.444,0.417,201.764,503.994,57.438,-79.026,34.745,28718.758,113207.537,19960719_064802
1,KRAX19960719_091444,-57.856,0.272,389.470,276.810,8.996,-77.995,35.769,4497.936,46213.472,19960719_051444
1,KRAX19960719_092034,-52.023,0.474,391.480,278.981,15.104,-77.984,35.759,7552.129,46932.028,19960719_052034
8,KRAX19960719_101852,6.277,0.672,169.648,499.906,24.738,-79.202,34.762,12369.241,119325.132,19960719_061852
8,KRAX19960719_102442,12.111,0.690,173.328,502.332,31.256,-79.182,34.751,15627.976,119356.744,19960719_062442
4,KRAX19960719_093213,-40.373,0.387,369.052,264.872,15.564,-78.108,35.823,7782.013,38736.848,19960719_053213
5,KRAX19960719_094353,-28.706,0.055,56.746,263.541,7.898,-79.836,35.822,3949.138,122985.677,19960719_054353
7,KRAX19960719_101302,0.444,0.052,262.118,301.208,5.188,-78.699,35.660,2594.074,18950.574,19960719_061302
9,KRAX19960719_103622,23.777,0.069,405.426,158.831,17.968,-77.903,36.300,8983.799,88095.790,19960719_063622
2,KRAX19960720_100744,-5.562,0.467,165.984,512.616,21.154,-79.221,34.705,10576.899,125664.318,19960720_060744
2,KRAX19960720_101333,0.254,0.684,168.177,513.924,27.657,-79.209,34.699,13828.626,125639.172,19960720_061333
2,KRAX19960720_101924,6.104,0.839,177.060,519.527,31.432,-79.161,34.674,15715.830,125803.869,19960720_061924
2,KRAX19960720_102513,11.921,0.828,181.642,522.390,39.117,-79.136,34.661,19558.681,125962.189,19960720_062513
2,KRAX19960720_103130,18.204,0.732,190.522,525.552,45.622,-79.087,34.647,22810.810,125358.765,19960720_063130
2,KRAX19960720_103720,24.038,0.739,195.417,530.154,49.771,-79.060,34.627,24885.262,126400.579,19960720_063720
2,KRAX19960720_104309,29.854,0.195,199.818,535.938,55.272,-79.036,34.601,27636.098,128163.441,19960720_064309
3,KRAX19960720_101333,0.254,0.103,44.197,144.593,19.308,-79.915,36.357,9654.242,149655.222,19960720_061333
3,KRAX19960720_101924,6.104,0.291,44.643,146.514,28.071,-79.912,36.349,14035.575,148967.326,19960720_061924
3,KRAX19960720_102513,11.921,0.280,48.608,149.841,30.686,-79.890,36.334,15343.086,146411.671,19960720_062513
3,KRAX19960720_103130,18.204,0.286,53.657,153.367,29.689,-79.862,36.318,14844.336,143340.534,19960720_063130
3,KRAX19960720_103720,24.038,0.209,53.567,154.418,31.917,-79.862,36.314,15958.428,143111.147,19960720_063720
1,KRAX19960720_091514,-58.062,0.202,214.663,238.659,14.822,-78.963,35.941,7410.904,52548.017,19960720_051514
1,KRAX19960720_092104,-52.229,0.312,214.700,239.194,23.035,-78.963,35.938,11517.729,52377.303,19960720_052104
1,KRAX19960720_092654,-46.396,0.680,220.743,243.341,23.240,-78.929,35.920,11620.133,48713.297,19960720_052654
4,KRAX19960720_102513,11.921,0.085,279.926,355.253,9.195,-78.601,35.416,4597.729,29393.173,19960720_062513
2,KRAX19960721_101405,0.073,0.849,145.982,504.170,23.144,-79.331,34.742,11571.911,127873.882,19960721_061405
2,KRAX19960721_101955,5.906,0.906,145.713,500.996,32.508,-79.333,34.756,16254.205,126692.469,19960721_061955
2,KRAX19960721_102545,11.740,0.946,147.634,501.587,35.593,-79.322,34.754,17796.370,126345.456,19960721_062545
2,KRAX19960721_103134,17.556,0.922,148.488,502.547,42.742,-79.317,34.750,21370.805,126472.308,19960721_063134
2,KRAX19960721_103724,23.390,0.769,153.654,498.343,45.417,-79.289,34.769,22708.530,123244.605,19960721_063724
2,KRAX19960721_104314,29.223,0.411,156.070,499.626,52.255,-79.276,34.763,26127.332,123051.500,19960721_064314
3,KRAX19960721_101405,0.073,0.384,26.712,139.412,26.582,-80.013,36.379,13290.915,158488.913,19960721_061405
3,KRAX19960721_101955,5.906,0.779,27.867,137.861,31.982,-80.007,36.386,15990.789,158386.868,19960721_061955
3,KRAX19960721_102545,11.740,0.585,30.764,140.194,37.592,-79.990,36.376,18795.914,156545.469,19960721_062545
3,KRAX19960721_103134,17.556,0.638,37.178,141.609,39.938,-79.954,36.370,19968.876,153430.046,19960721_063134
3,KRAX19960721_103724,23.390,0.653,41.806,141.338,43.189,-79.929,36.372,21594.510,151523.870,19960721_063724
1,KRAX19960721_100816,-5.744,0.063,546.278,438.759,36.034,-77.141,35.032,18017.155,141338.895,19960721_060816
2,KRAX19960726_100037,-17.066,0.489,150.742,501.764,12.219,-79.305,34.753,6109.402,125485.817,19960726_060037
2,KRAX19960726_100627,-11.233,0.424,151.800,502.506,19.446,-79.299,34.750,9722.770,125471.082,19960726_060627
2,KRAX19960726_101217,-5.399,0.915,160.566,508.240,22.284,-79.251,34.724,11141.761,125305.398,19960726_061217
2,KRAX19960726_101807,0.434,0.946,166.634,514.562,28.723,-79.218,34.696,14361.625,126316.411,19960726_061807
2,KRAX19960726_102357,6.267,0.863,172.601,520.363,34.151,-79.185,34.670,17075.582,127269.726,19960726_062357
2,KRAX19960726_102947,12.101,0.874,176.368,522.006,43.570,-79.164,34.663,21784.910,127054.683,19960726_062947
2,KRAX19960726_103536,17.917,0.749,180.304,525.007,47.076,-79.143,34.649,23538.100,127431.866,19960726_063536
2,KRAX19960726_104126,23.751,0.504,188.574,527.602,54.717,-79.098,34.638,27358.351,126706.649,19960726_064126
2,KRAX19960726_104716,29.584,0.304,193.053,529.023,62.852,-79.073,34.632,31425.855,126381.729,19960726_064716
2,KRAX19960726_105306,35.417,0.105,198.797,527.948,71.166,-79.042,34.637,35582.912,124702.131,19960726_065306
4,KRAX19960726_101807,0.434,0.323,50.844,140.860,21.422,-79.878,36.374,10710.831,147820.958,19960726_061807
4,KRAX19960726_102357,6.267,0.916,56.506,144.958,28.502,-79.846,36.356,14250.826,144332.498,19960726_062357
4,KRAX19960726_102947,12.101,0.854,62.555,148.167,29.849,-79.812,36.342,14924.353,140919.703,19960726_062947
4,KRAX19960726_103536,17.917,0.315,66.977,151.271,35.444,-79.788,36.329,17721.778,138220.877,19960726_063536
4,KRAX19960726_104126,23.751,0.052,73.483,153.651,41.195,-79.751,36.318,20597.305,134840.788,19960726_064126
1,KRAX19960726_094309,-34.533,0.079,165.192,511.206,15.199,-79.226,34.711,7599.518,125280.908,19960726_054309
7,KRAX19960727_101611,-2.250,0.193,137.618,504.160,29.485,-79.377,34.742,14742.641,130431.143,19960727_061611
7,KRAX19960727_102201,3.583,0.673,131.911,505.719,39.315,-79.408,34.735,19657.670,132828.740,19960727_062201
7,KRAX19960727_102751,9.416,0.794,139.077,502.449,42.176,-79.369,34.750,21087.778,129307.654,19960727_062751
7,KRAX19960727_103340,15.233,0.668,142.409,500.600,46.361,-79.351,34.758,23180.331,127549.123,19960727_063340
7,KRAX19960727_103930,21.066,0.738,146.087,499.510,55.216,-79.331,34.763,27607.755,125989.404,19960727_063930
7,KRAX19960727_104520,26.900,0.335,149.192,501.502,62.967,-79.314,34.754,31483.495,125843.200,19960727_064520
3,KRAX19960727_101021,-8.084,0.063,36.169,135.134,12.800,-79.961,36.399,6399.813,155553.357,19960727_061021
3,KRAX19960727_101611,-2.250,0.602,34.243,138.887,19.779,-79.971,36.382,9889.404,155389.951,19960727_061611
3,KRAX19960727_102201,3.583,0.665,31.951,143.728,19.430,-79.983,36.360,9714.786,155138.226,19960727_062201
