filename,local_time
KOKX20060101_114955,20060101_064955
KOKX20060101_115544,20060101_065544
KOKX20060101_120134,20060101_070134
KOKX20060101_120724,20060101_070724
KOKX20060101_121314,20060101_071314
KOKX20060101_121902,20060101_071902
KOKX20060101_122452,20060101_072452
KOKX20060101_123041,20060101_073041
KOKX20060101_123632,20060101_073632
KOKX20060101_124220,20060101_074220
KOKX20060101_124811,20060101_074811
KOKX20060101_125359,20060101_075359
KOKX20060101_125949,20060101_075949
KOKX20060101_130538,20060101_080538
KOKX20060101_131126,20060101_081126
KOKX20060101_131716,20060101_081716
KOKX20060101_132306,20060101_082306
KOKX20060101_132856,20060101_082856
KOKX20060101_133446,20060101_083446
KOKX20060101_134039,20060101_084039
KOKX20060102_115248,20060102_065248
KOKX20060102_120235,20060102_070235
KOKX20060102_121221,20060102_071221
KOKX20060102_122207,20060102_072207
KOKX20060102_123154,20060102_073154
KOKX20060102_124141,20060102_074141
KOKX20060102_125127,20060102_075127
KOKX20060102_130113,20060102_080113
KOKX20060102_131100,20060102_081100
KOKX20060102_132046,20060102_082046
KOKX20060102_133032,20060102_083032
KOKX20060102_134018,20060102_084018
KOKX20060103_114631,20060103_064631
KOKX20060103_115221,20060103_065221
KOKX20060103_115810,20060103_065810
KOKX20060103_120400,20060103_070400
KOKX20060103_120949,20060103_070949
KOKX20060103_121539,20060103_071539
KOKX20060103_122129,20060103_072129
KOKX20060103_122719,20060103_072719
KOKX20060103_123309,20060103_073309
KOKX20060103_123858,20060103_073858
KOKX20060103_124446,20060103_074446
KOKX20060103_125036,20060103_075036
KOKX20060103_125625,20060103_075625
KOKX20060103_130216,20060103_080216
KOKX20060103_130805,20060103_080805
KOKX20060103_131354,20060103_081354
KOKX20060103_131944,20060103_081944
KOKX20060103_132534,20060103_082534
KOKX20060103_133123,20060103_083123
KOKX20060103_133713,20060103_083713
KOKX20060103_134302,20060103_084302
KOKX20060104_114826,20060104_064826
KOKX20060104_115351,20060104_065351
KOKX20060104_115917,20060104_065917
KOKX20060104_120442,20060104_070442
KOKX20060104_121007,20060104_071007
KOKX20060104_121534,20060104_071534
KOKX20060104_122058,20060104_072058
KOKX20060104_122624,20060104_072624
KOKX20060104_123149,20060104_073149
KOKX20060104_123714,20060104_073714
KOKX20060104_124239,20060104_074239
KOKX20060104_124803,20060104_074803
KOKX20060104_125329,20060104_075329
KOKX20060104_125854,20060104_075854
KOKX20060104_130420,20060104_080420
KOKX20060104_130945,20060104_080945
KOKX20060104_131511,20060104_081511
KOKX20060104_132037,20060104_082037
KOKX20060104_132601,20060104_082601
KOKX20060104_133126,20060104_083126
KOKX20060104_133651,20060104_083651
KOKX20060104_134216,20060104_084216
KOKX20060105_115005,20060105_065005
KOKX20060105_115555,20060105_065555
KOKX20060105_120144,20060105_070144
KOKX20060105_120733,20060105_070733
KOKX20060105_121322,20060105_071322
KOKX20060105_121911,20060105_071911
KOKX20060105_122500,20060105_072500
KOKX20060105_123049,20060105_073049
KOKX20060105_123640,20060105_073640
KOKX20060105_124229,20060105_074229
KOKX20060105_124818,20060105_074818
KOKX20060105_125408,20060105_075408
KOKX20060105_125957,20060105_075957
KOKX20060105_130546,20060105_080546
KOKX20060105_131136,20060105_081136
KOKX20060105_131725,20060105_081725
KOKX20060105_132314,20060105_082314
KOKX20060105_132903,20060105_082903
KOKX20060105_133453,20060105_083453
KOKX20060105_134042,20060105_084042
KOKX20060107_115221,20060107_065221
KOKX20060107_120211,20060107_070211
KOKX20060107_121201,20060107_071201
KOKX20060107_122151,20060107_072151
KOKX20060107_123141,20060107_073141
KOKX20060107_124132,20060107_074132
KOKX20060107_125122,20060107_075122
KOKX20060107_130112,20060107_080112
KOKX20060107_131100,20060107_081100
KOKX20060107_132248,20060107_082248
KOKX20060107_133239,20060107_083239
KOKX20060107_134229,20060107_084229
KOKX20060108_115217,20060108_065217
KOKX20060108_120208,20060108_070208
KOKX20060108_121158,20060108_071158
KOKX20060108_122148,20060108_072148
KOKX20060108_123334,20060108_073334
KOKX20060108_124324,20060108_074324
KOKX20060108_125315,20060108_075315
KOKX20060108_130303,20060108_080303
KOKX20060108_131254,20060108_081254
KOKX20060108_132245,20060108_082245
KOKX20060108_133236,20060108_083236
KOKX20060108_134225,20060108_084225
KOKX20060109_114621,20060109_064621
KOKX20060109_115611,20060109_065611
KOKX20060109_120601,20060109_070601
KOKX20060109_121551,20060109_071551
KOKX20060109_122541,20060109_072541
KOKX20060109_123531,20060109_073531
KOKX20060109_124522,20060109_074522
KOKX20060109_125512,20060109_075512
KOKX20060109_130502,20060109_080502
KOKX20060109_131452,20060109_081452
KOKX20060109_132442,20060109_082442
KOKX20060109_133432,20060109_083432
KOKX20060109_134423,20060109_084423
KOKX20060110_114816,20060110_064816
KOKX20060110_115807,20060110_065807
KOKX20060110_120757,20060110_070757
KOKX20060110_121747,20060110_071747
KOKX20060110_122737,20060110_072737
KOKX20060110_123727,20060110_073727
KOKX20060110_124717,20060110_074717
KOKX20060110_125708,20060110_075708
KOKX20060110_130658,20060110_080658
KOKX20060110_131648,20060110_081648
KOKX20060110_132638,20060110_082638
KOKX20060110_133628,20060110_083628
KOKX20060111_115013,20060111_065013
KOKX20060111_120004,20060111_070004
KOKX20060111_120954,20060111_070954
KOKX20060111_121944,20060111_071944
KOKX20060111_122935,20060111_072935
KOKX20060111_123922,20060111_073922
KOKX20060111_124908,20060111_074908
KOKX20060111_125855,20060111_075855
KOKX20060111_130841,20060111_080841
KOKX20060111_131827,20060111_081827
KOKX20060111_132814,20060111_082814
KOKX20060111_133801,20060111_083801
KOKX20060112_114701,20060112_064701
KOKX20060112_115250,20060112_065250
KOKX20060112_115838,20060112_065838
KOKX20060112_120429,20060112_070429
KOKX20060112_121017,20060112_071017
KOKX20060112_121608,20060112_071608
KOKX20060112_122156,20060112_072156
KOKX20060112_122749,20060112_072749
KOKX20060112_123735,20060112_073735
KOKX20060112_124721,20060112_074721
KOKX20060112_125707,20060112_075707
KOKX20060112_130653,20060112_080653
KOKX20060112_131640,20060112_081640
KOKX20060112_132626,20060112_082626
KOKX20060112_133612,20060112_083612
KOKX20060113_114626,20060113_064626
KOKX20060113_115612,20060113_065612
KOKX20060113_120558,20060113_070558
KOKX20060113_121544,20060113_071544
KOKX20060113_122530,20060113_072530
KOKX20060113_123516,20060113_073516
KOKX20060113_124503,20060113_074503
KOKX20060113_125449,20060113_075449
KOKX20060113_130435,20060113_080435
KOKX20060113_131430,20060113_081430
KOKX20060113_132420,20060113_082420
KOKX20060113_133409,20060113_083409
KOKX20060113_134359,20060113_084359
KOKX20060114_114442,20060114_064442
KOKX20060114_114900,20060114_064900
KOKX20060114_115318,20060114_065318
KOKX20060114_115736,20060114_065736
KOKX20060114_120154,20060114_070154
KOKX20060114_120611,20060114_070611
KOKX20060114_121030,20060114_071030
KOKX20060114_121448,20060114_071448
KOKX20060114_121906,20060114_071906
KOKX20060114_122324,20060114_072324
KOKX20060114_122741,20060114_072741
KOKX20060114_123200,20060114_073200
KOKX20060114_123618,20060114_073618
KOKX20060114_124037,20060114_074037
KOKX20060114_124455,20060114_074455
KOKX20060114_124913,20060114_074913
KOKX20060114_125331,20060114_075331
KOKX20060114_125749,20060114_075749
KOKX20060114_130207,20060114_080207
KOKX20060114_130625,20060114_080625
KOKX20060114_131043,20060114_081043
KOKX20060114_131501,20060114_081501
KOKX20060114_131919,20060114_081919
KOKX20060114_132337,20060114_082337
KOKX20060114_132756,20060114_082756
KOKX20060114_133214,20060114_083214
KOKX20060114_133632,20060114_083632
KOKX20060114_134049,20060114_084049
KOKX20060115_114628,20060115_064628
KOKX20060115_115217,20060115_065217
KOKX20060115_115807,20060115_065807
KOKX20060115_120355,20060115_070355
KOKX20060115_120945,20060115_070945
KOKX20060115_121532,20060115_071532
KOKX20060115_122122,20060115_072122
KOKX20060115_122711,20060115_072711
KOKX20060115_123300,20060115_073300
KOKX20060115_123849,20060115_073849
KOKX20060115_124439,20060115_074439
KOKX20060115_125027,20060115_075027
KOKX20060115_125616,20060115_075616
