track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KOKX20160102_115210_V06,-23.843,0.078,298.348,300.235,8.687,-72.874,40.864,4343.632,834.152,20160102_065210
2,KOKX20160102_120156_V06,-14.076,0.106,361.622,265.758,4.737,-72.498,41.019,2368.435,35248.101,20160102_070156
1,KOKX20160103_120605_V06,-9.997,0.153,272.565,305.821,17.661,-73.027,40.839,8830.385,14022.967,20160103_070605
5,KOKX20160104_131852_V06,62.754,0.107,250.839,223.000,6.673,-73.158,41.212,3336.412,45677.849,20160104_081852
1,KOKX20160105_120600_V06,-10.107,0.064,325.497,344.156,17.077,-72.714,40.667,8538.300,25494.356,20160105_070600
1,KOKX20160106_121027_V06,-5.614,0.208,367.373,257.794,5.832,-72.464,41.055,2916.058,39750.810,20160106_071027
4,KOKX20160106_121027_V06,-5.614,0.063,257.198,318.362,24.423,-73.118,40.783,12211.700,23287.128,20160106_071027
2,KOKX20160107_121628_V06,0.483,0.083,137.281,304.995,25.410,-73.829,40.839,12704.799,81397.993,20160107_071628
3,KOKX20160107_132501_V06,69.033,0.073,322.256,348.927,12.680,-72.733,40.645,6340.086,26875.767,20160107_082501
1,KOKX20160108_120241_V06,-13.182,0.148,357.704,268.948,2.917,-72.521,41.005,1458.736,32764.361,20160108_070241
1,KOKX20160109_115822_V06,-17.342,0.278,249.018,302.944,5.326,-73.167,40.852,2663.050,25533.690,20160109_065822
1,KOKX20160109_120809_V06,-7.559,0.071,260.963,296.394,15.448,-73.096,40.882,7724.181,19601.718,20160109_070809
3,KOKX20160109_115822_V06,-17.342,0.051,386.248,290.942,5.510,-72.353,40.905,2755.199,43361.126,20160109_065822
1,KOKX20160111_114919_V06,-25.966,0.271,300.197,300.522,7.641,-72.863,40.863,3820.648,278.765,20160111_064919
1,KOKX20160112_120049_V06,-14.197,0.069,252.906,304.173,8.867,-73.144,40.846,4433.498,23639.494,20160112_070049
1,KOKX20160112_121036_V06,-4.414,0.240,255.070,307.237,20.643,-73.131,40.833,10321.696,22754.660,20160112_071036
1,KOKX20160113_120809_V06,-6.557,0.133,272.445,313.069,24.927,-73.028,40.807,12463.631,15248.634,20160113_070809
1,KOKX20160114_121038_V06,-3.729,0.089,53.342,320.401,54.850,-74.325,40.764,27425.243,123750.363,20160114_071038
4,KOKX20160114_123958_V06,25.604,0.058,29.802,227.095,50.141,-74.475,41.183,25070.339,139930.190,20160114_073958
1,KOKX20160115_121136_V06,-2.381,0.113,285.897,185.214,4.684,-72.949,41.382,2341.999,57824.326,20160115_071136
2,KOKX20160115_121136_V06,-2.381,0.109,257.042,300.848,4.665,-73.119,40.861,2332.726,21483.368,20160115_071136
1,KOKX20160117_120032_V06,-12.575,0.247,358.877,270.088,6.790,-72.515,41.000,3394.974,33020.023,20160117_070032
4,KOKX20160118_124339_V06,31.033,0.386,323.341,170.651,71.573,-72.725,41.448,35786.621,65719.004,20160118_074339
5,KOKX20160118_124339_V06,31.033,0.092,332.530,517.882,16.506,-72.674,39.884,8253.246,110148.605,20160118_074339
8,KOKX20160118_130310_V06,50.549,0.071,202.330,333.096,98.204,-73.442,40.715,49101.799,51562.381,20160118_080310
1,KOKX20160120_115920_V06,-12.195,0.108,259.768,300.595,2.883,-73.103,40.863,1441.704,20118.378,20160120_065920
1,KOKX20160122_114426_V06,-25.866,0.063,304.060,303.451,8.560,-72.840,40.850,4280.079,2664.400,20160122_064426
2,KOKX20160122_121348_V06,3.500,0.130,319.282,328.075,20.993,-72.750,40.739,10496.307,17029.546,20160122_071348
1,KOKX20160124_114341_V06,-25.252,0.321,298.651,302.944,11.412,-72.872,40.852,5705.875,1619.137,20160124_064341
1,KOKX20160124_115326_V06,-15.502,0.112,298.468,302.857,18.596,-72.874,40.853,9297.805,1621.021,20160124_065326
1,KOKX20160125_120159_V06,-6.220,0.053,317.986,313.089,3.116,-72.758,40.807,1557.987,11122.552,20160125_070159
1,KOKX20160126_125058_V06,43.527,0.053,302.696,303.070,42.553,-72.848,40.852,21276.423,2042.795,20160126_075058
1,KOKX20160126_130042_V06,53.260,0.069,301.218,300.283,48.349,-72.857,40.864,24174.518,625.463,20160126_080042
3,KOKX20160128_115542_V06,-10.117,0.111,196.273,205.097,2.983,-73.484,41.291,1491.720,70295.456,20160128_065542
1,KOKX20160130_113936_V06,-24.471,0.142,291.967,330.205,4.840,-72.912,40.730,2419.991,15627.306,20160130_063936
2,KOKX20160130_114921_V06,-14.721,0.136,362.077,267.341,3.099,-72.495,41.012,1549.397,35071.832,20160130_064921
2,KOKX20160131_114841_V06,-14.471,0.094,259.368,301.191,7.946,-73.105,40.860,3973.061,20324.796,20160131_064841
2,KOKX20160131_115826_V06,-4.721,0.563,260.359,304.532,21.997,-73.099,40.845,10998.501,19949.518,20160131_065826
1,KOKX20160131_114841_V06,-14.471,0.124,71.665,87.677,22.473,-74.238,41.813,11236.404,155898.932,20160131_064841
1,KOKX20160201_114923_V06,-12.825,0.061,264.877,303.410,11.745,-73.073,40.850,5872.723,17644.240,20160201_064923
1,KOKX20160201_115905_V06,-3.125,0.113,270.224,305.533,26.173,-73.041,40.841,13086.375,15142.645,20160201_065905
1,KOKX20160202_114639_V06,-14.584,0.270,337.183,267.993,19.915,-72.643,41.009,9957.325,24530.754,20160202_064639
