filename,local_time
KEWX20210101_221517_V06,20210101_161517
KEWX20210101_222159_V06,20210101_162159
KEWX20210101_222845_V06,20210101_162845
KEWX20210101_223530_V06,20210101_163530
KEWX20210101_224217_V06,20210101_164217
KEWX20210101_224904_V06,20210101_164904
KEWX20210101_230255_V06,20210101_170255
KEWX20210101_230947_V06,20210101_170947
KEWX20210101_231629_V06,20210101_171629
KEWX20210101_232320_V06,20210101_172320
KEWX20210101_233016_V06,20210101_173016
KEWX20210101_233711_V06,20210101_173711
KEWX20210101_234402_V06,20210101_174402
KEWX20210101_235044_V06,20210101_175044
KEWX20210102_000434_V06,20210101_180434
KEWX20210102_001125_V06,20210101_181125
KEWX20210102_001828_V06,20210101_181828
KEWX20210102_002514_V06,20210101_182514
KEWX20210102_003200_V06,20210101_183200
KEWX20210102_003902_V06,20210101_183902
KEWX20210102_004603_V06,20210101_184603
KEWX20210102_005304_V06,20210101_185304
KEWX20210102_010655_V06,20210101_190655
KEWX20210102_011346_V06,20210101_191346
KEWX20210102_012047_V06,20210101_192047
KEWX20210102_012738_V06,20210101_192738
KEWX20210102_013433_V06,20210101_193433
KEWX20210102_014129_V06,20210101_194129
KEWX20210102_014830_V06,20210101_194830
KEWX20210102_020233_V06,20210101_200233
KEWX20210102_020928_V06,20210101_200928
KEWX20210102_221736_V06,20210102_161736
KEWX20210102_222437_V06,20210102_162437
KEWX20210102_223132_V06,20210102_163132
KEWX20210102_223826_V06,20210102_163826
KEWX20210102_224528_V06,20210102_164528
KEWX20210102_225209_V06,20210102_165209
KEWX20210102_230537_V06,20210102_170537
KEWX20210102_231238_V06,20210102_171238
KEWX20210102_231920_V06,20210102_171920
KEWX20210102_232606_V06,20210102_172606
KEWX20210102_233302_V06,20210102_173302
KEWX20210102_234002_V06,20210102_174002
KEWX20210102_234644_V06,20210102_174644
KEWX20210102_235326_V06,20210102_175326
KEWX20210103_000652_V06,20210102_180652
KEWX20210103_001342_V06,20210102_181342
KEWX20210103_002028_V06,20210102_182028
KEWX20210103_002724_V06,20210102_182724
KEWX20210103_003420_V06,20210102_183420
KEWX20210103_004115_V06,20210102_184115
KEWX20210103_004805_V06,20210102_184805
KEWX20210103_010207_V06,20210102_190207
KEWX20210103_010908_V06,20210102_190908
KEWX20210103_011609_V06,20210102_191609
KEWX20210103_012312_V06,20210102_192312
KEWX20210103_013014_V06,20210102_193014
KEWX20210103_013715_V06,20210102_193715
KEWX20210103_014417_V06,20210102_194417
KEWX20210103_015118_V06,20210102_195118
KEWX20210103_020513_V06,20210102_200513
KEWX20210103_021208_V06,20210102_201208
KEWX20210103_222022_V06,20210103_162022
KEWX20210103_222724_V06,20210103_162724
KEWX20210103_223406_V06,20210103_163406
KEWX20210103_224057_V06,20210103_164057
KEWX20210103_224744_V06,20210103_164744
KEWX20210103_230109_V06,20210103_170109
KEWX20210103_230750_V06,20210103_170750
KEWX20210103_231445_V06,20210103_171445
KEWX20210103_232135_V06,20210103_172135
KEWX20210103_232831_V06,20210103_172831
KEWX20210103_233527_V06,20210103_173527
KEWX20210103_234213_V06,20210103_174213
KEWX20210103_234900_V06,20210103_174900
KEWX20210104_000247_V06,20210103_180247
KEWX20210104_000933_V06,20210103_180933
KEWX20210104_001618_V06,20210103_181618
KEWX20210104_002303_V06,20210103_182303
