track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
KGRK20160101-1,KGRK20160101_223206_V06,0,0.483,1.200,1565,0,7673.045
KGRK20160101-1,KGRK20160101_223206_V06,2,1.450,1.200,1565,0,1.864
KGRK20160101-1,KGRK20160101_223206_V06,4,2.417,1.200,782,0,0.137
KGRK20160101-1,KGRK20160101_223206_V06,5,3.384,1.200,784,0,0.340
KGRK20160101-1,KGRK20160101_223206_V06,6,4.307,1.200,783,0,0.138
KGRK20160101-1,KGRK20160101_223206_V06,7,5.317,1.200,788,0,2.238
KGRK20160101-1,KGRK20160101_223206_V06,8,6.196,1.200,789,0,20.989
KGRK20160101-2,KGRK20160101_223206_V06,0,0.483,1.200,1469,0,3649.708
KGRK20160101-2,KGRK20160101_223206_V06,2,1.450,1.200,1467,0,0.169
KGRK20160101-2,KGRK20160101_223206_V06,4,2.417,1.200,727,0,0.168
KGRK20160101-2,KGRK20160101_223206_V06,5,3.384,1.200,724,0,289.193
KGRK20160101-2,KGRK20160101_223206_V06,6,4.307,1.200,725,0,6057.082
KGRK20160101-2,KGRK20160101_223206_V06,7,5.317,1.200,727,0,8187.127
KGRK20160101-3,KGRK20160101_230926_V06,0,0.483,1.200,2287,0,1743.908
KGRK20160101-3,KGRK20160101_230926_V06,2,1.450,1.200,2288,0,0.852
KGRK20160101-3,KGRK20160101_230926_V06,4,2.417,1.200,1145,0,0.287
KGRK20160101-3,KGRK20160101_230926_V06,5,3.384,1.200,1147,0,2430.199
KGRK20160101-3,KGRK20160101_230926_V06,6,4.307,1.200,1151,0,4763.926
KGRK20160102-5,KGRK20160103_005420_V06,0,0.483,1.200,6400,0,8233.303
KGRK20160102-5,KGRK20160103_005420_V06,2,1.450,1.200,6403,0,209433.409
KGRK20160102-5,KGRK20160103_005921_V06,0,0.483,1.200,8894,0,8679.717
KGRK20160102-5,KGRK20160103_005921_V06,2,1.450,1.200,8900,0,264015.976
KGRK20160102-5,KGRK20160103_010421_V06,0,0.483,1.200,9676,0,17107.985
KGRK20160102-5,KGRK20160103_010421_V06,2,1.450,1.200,9682,0,281164.398
KGRK20160102-2,KGRK20160102_224916_V06,0,0.483,1.200,954,0,6961.695
KGRK20160102-2,KGRK20160102_224916_V06,2,1.450,1.200,955,0,18.819
KGRK20160102-2,KGRK20160102_224916_V06,4,2.417,1.200,475,0,12.407
KGRK20160102-2,KGRK20160102_224916_V06,5,3.384,1.200,479,0,1440.914
KGRK20160102-2,KGRK20160102_224916_V06,6,4.307,1.200,483,0,8170.903
KGRK20160102-2,KGRK20160102_224916_V06,7,5.317,1.200,476,0,3991.669
KGRK20160103-2,KGRK20160103_224456_V06,0,0.483,1.200,789,0,8157.049
KGRK20160103-2,KGRK20160103_224456_V06,2,1.494,1.200,785,0,424.886
KGRK20160103-2,KGRK20160103_224456_V06,4,2.505,1.200,394,0,0.153
KGRK20160103-2,KGRK20160103_224456_V06,5,3.516,1.200,396,0,0.154
KGRK20160103-2,KGRK20160103_225442_V06,0,0.483,1.200,1983,0,5234.479
KGRK20160103-2,KGRK20160103_225442_V06,2,1.494,1.200,1981,0,279.927
KGRK20160103-2,KGRK20160103_225442_V06,4,2.505,1.200,993,0,0.403
KGRK20160103-2,KGRK20160103_225442_V06,5,3.516,1.200,993,0,0.404
KGRK20160103-2,KGRK20160103_230429_V06,0,0.483,1.200,2456,0,4559.481
