track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_weather_pixels,n_highZ_pixels_60,n_highZ_pixels_40,n_animals,n_animals_60,n_animals_40
KSJT20200101-1,KSJT20200102_000247_V06,0,0.483,1.200,802,254,0,0,3269.794,3269.794,3269.794
KSJT20200101-1,KSJT20200102_000247_V06,2,1.494,1.200,803,789,0,0,0.112,0.112,0.112
KSJT20200101-1,KSJT20200102_000247_V06,4,2.505,1.200,400,392,0,0,0.061,0.061,0.061
KSJT20200101-1,KSJT20200102_000247_V06,5,3.516,1.200,400,400,0,0,0.000,0.000,0.000
KSJT20200101-1,KSJT20200102_000247_V06,6,4.482,1.200,402,400,0,0,0.012,0.012,0.012
KSJT20200101-2,KSJT20200102_001218_V06,0,0.483,1.200,16910,15169,0,3,4719.381,4719.381,2962.263
KSJT20200101-2,KSJT20200102_001218_V06,2,1.494,1.200,16925,16715,0,0,1.507,1.507,1.507
KSJT20200101-2,KSJT20200102_001218_V06,4,2.505,1.200,8472,8452,0,0,0.287,0.287,0.287
KSJT20200101-2,KSJT20200102_001218_V06,5,3.516,1.200,8477,8459,0,0,0.185,0.185,0.185
KSJT20200101-2,KSJT20200102_001218_V06,6,4.482,1.200,8486,8478,0,0,0.145,0.145,0.145
KSJT20200102-23,KSJT20200103_010932_V06,0,0.483,1.200,10597,10088,0,0,2948.508,2948.508,2948.508
KSJT20200102-23,KSJT20200103_010932_V06,2,1.494,1.200,10601,10394,0,0,666.902,666.902,666.902
KSJT20200104-1,KSJT20200104_222946_V06,0,0.483,1.200,1564,1360,0,1,9822.591,9822.591,5491.447
KSJT20200104-1,KSJT20200104_222946_V06,2,1.494,1.200,1569,1569,0,0,0.000,0.000,0.000
KSJT20200104-1,KSJT20200104_222946_V06,4,2.505,1.200,780,780,0,0,0.000,0.000,0.000
KSJT20200104-1,KSJT20200104_222946_V06,5,3.516,1.200,783,783,0,0,0.000,0.000,0.000
KSJT20200104-2,KSJT20200105_013249_V06,0,0.483,1.200,857,614,0,0,7431.249,7431.249,7431.249
KSJT20200104-2,KSJT20200105_013249_V06,2,1.494,1.200,857,856,0,0,0.036,0.036,0.036
KSJT20200104-2,KSJT20200105_013249_V06,4,2.505,1.200,425,425,0,0,0.000,0.000,0.000
KSJT20200104-2,KSJT20200105_013249_V06,5,3.516,1.200,430,430,0,0,0.000,0.000,0.000
KSJT20200104-2,KSJT20200105_013249_V06,6,4.482,1.200,429,429,0,0,0.000,0.000,0.000
KSJT20200105-1,KSJT20200106_001006_V06,0,0.483,1.200,130,31,0,0,999.412,999.412,999.412
KSJT20200105-1,KSJT20200106_001006_V06,2,1.494,1.200,130,130,0,0,0.000,0.000,0.000
KSJT20200105-1,KSJT20200106_001006_V06,4,2.505,1.200,64,64,0,0,0.000,0.000,0.000
KSJT20200105-1,KSJT20200106_001006_V06,5,3.516,1.200,65,65,0,0,0.000,0.000,0.000
KSJT20200105-1,KSJT20200106_001006_V06,6,4.482,1.200,66,66,0,0,0.000,0.000,0.000
KSJT20200105-2,KSJT20200106_004034_V06,0,0.483,1.200,1575,1244,0,4,65387.106,65387.106,38582.635
KSJT20200105-2,KSJT20200106_004034_V06,2,1.494,1.200,1573,1573,0,0,0.000,0.000,0.000
KSJT20200105-2,KSJT20200106_004034_V06,4,2.505,1.200,789,789,0,0,0.000,0.000,0.000
KSJT20200105-2,KSJT20200106_004034_V06,5,3.516,1.200,789,789,0,0,0.000,0.000,0.000
KSJT20200106-1,KSJT20200106_223635_V06,0,0.483,1.200,2888,2314,0,0,35.896,35.896,35.896
KSJT20200106-1,KSJT20200106_223635_V06,2,1.494,1.200,2887,2706,0,0,3.205,3.205,3.205
KSJT20200106-1,KSJT20200106_223635_V06,4,2.505,1.200,1445,1441,0,0,0.058,0.058,0.058
KSJT20200106-1,KSJT20200106_223635_V06,5,3.516,1.200,1444,1444,0,0,0.000,0.000,0.000
KSJT20200106-1,KSJT20200106_223635_V06,6,4.482,1.200,1450,1447,0,0,0.078,0.078,0.078
KSJT20200107-1,KSJT20200108_012508_V06,0,0.483,1.200,841,626,0,0,4262.256,4262.256,4262.256
KSJT20200107-1,KSJT20200108_012508_V06,2,1.494,1.200,839,838,0,0,0.029,0.029,0.029
KSJT20200107-1,KSJT20200108_012508_V06,4,2.505,1.200,422,422,0,0,0.000,0.000,0.000
KSJT20200107-1,KSJT20200108_012508_V06,5,3.516,1.200,424,424,0,0,0.000,0.000,0.000
KSJT20200107-1,KSJT20200108_012508_V06,6,4.482,1.200,419,419,0,0,0.000,0.000,0.000
