track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
1,KEWX20080101_223341,0,0.500,1.200,2006,0,505.628
1,KEWX20080101_223341,2,1.500,1.200,2004,0,1.884
1,KEWX20080101_223341,4,2.400,1.200,2005,0,1.209
1,KEWX20080101_223341,5,3.600,1.200,2017,0,1.113
1,KEWX20080101_224325,0,0.500,1.200,4184,0,588.557
1,KEWX20080101_224325,2,1.500,1.200,4188,0,1.538
1,KEWX20080101_224325,4,2.400,1.200,4197,0,1.544
1,KEWX20080101_224325,5,3.500,1.200,4192,0,2.190
1,KEWX20080102_225740,0,0.600,1.200,29,0,156.108
1,KEWX20080102_225740,2,1.500,1.200,29,0,0.035
1,KEWX20080106_000038,0,0.500,1.200,386,0,273.558
1,KEWX20080106_000038,2,1.500,1.200,385,0,0.137
1,KEWX20080106_000038,4,2.500,1.200,383,0,0.137
1,KEWX20080106_000038,5,3.600,1.200,383,0,0.137
1,KEWX20080106_001020,0,0.600,1.200,1543,0,554.655
1,KEWX20080106_001020,2,1.500,1.200,1549,0,0.551
1,KEWX20080106_001020,4,2.400,1.200,1550,0,0.552
1,KEWX20080106_001020,5,3.500,1.200,1554,0,0.554
3,KEWX20080106_002944,0,0.600,1.200,3747,0,28941.662
3,KEWX20080106_002944,2,1.500,1.200,3752,0,36.412
3,KEWX20080106_002944,4,2.500,1.200,3750,0,1.980
3,KEWX20080106_002944,5,3.500,1.200,3757,0,1.217
3,KEWX20080106_002944,6,4.500,1.200,3757,0,2.451
1,KEWX20080107_001850,0,0.500,1.200,2192,0,5308.544
1,KEWX20080107_001850,2,1.500,1.200,2192,0,1.250
1,KEWX20080107_001850,4,2.500,1.200,2194,0,0.530
1,KEWX20080107_001850,5,3.500,1.200,2194,0,0.490
1,KEWX20080107_001850,6,4.500,1.200,2199,0,0.492
1,KEWX20080107_002831,0,0.600,1.200,7729,0,13842.011
1,KEWX20080107_002831,2,1.500,1.200,7738,0,13.061
1,KEWX20080107_002831,4,2.400,1.200,7739,0,4.210
1,KEWX20080107_002831,5,3.500,1.200,7739,0,2.512
1,KEWX20080107_002831,6,4.500,1.200,7752,0,4.652
1,KEWX20080107_222127,0,0.500,1.200,751,0,968.182
1,KEWX20080107_222127,2,1.500,1.200,753,0,681.905
1,KEWX20080107_222127,4,2.400,1.200,751,0,8.487
1,KEWX20080107_222127,5,3.500,1.200,753,0,0.209
1,KEWX20080107_222127,6,4.500,1.200,760,0,0.212
2,KEWX20080108_000907,0,0.500,1.200,5296,0,3675.994
2,KEWX20080108_000907,2,1.500,1.200,5303,0,4.127
2,KEWX20080108_000907,4,2.500,1.200,5303,0,2.332
2,KEWX20080108_000907,5,3.500,1.200,5305,0,1.782
2,KEWX20080108_000907,6,4.500,1.200,5318,0,2.034
3,KEWX20080108_004753,0,0.500,1.200,1133,0,956.661
3,KEWX20080108_004753,2,1.500,1.200,1130,0,0.265
3,KEWX20080108_004753,4,2.400,1.200,1135,0,8.862
3,KEWX20080108_004753,5,3.500,1.200,1141,0,0.148
3,KEWX20080108_004753,6,4.500,1.200,1144,0,0.149
4,KEWX20080108_004753,0,0.500,1.200,7863,0,29676.557
4,KEWX20080108_004753,2,1.500,1.200,7871,0,67.610
4,KEWX20080108_004753,4,2.400,1.200,7878,0,27.307
4,KEWX20080108_004753,5,3.500,1.200,7883,0,12.596
4,KEWX20080108_004753,6,4.500,1.200,7894,0,9.861
1,KEWX20080108_235746,0,0.500,1.200,996,0,41328.164
1,KEWX20080108_235746,2,1.500,1.200,995,0,1.258
1,KEWX20080108_235746,4,2.500,1.200,995,0,0.336
1,KEWX20080108_235746,5,3.600,1.200,999,0,0.338
1,KEWX20080108_235746,6,4.500,1.200,995,0,0.338
1,KEWX20080109_000726,0,0.600,1.200,3017,0,29500.983
1,KEWX20080109_000726,2,1.500,1.200,3024,0,1.034
1,KEWX20080109_000726,4,2.400,1.200,3027,0,1.036
1,KEWX20080109_000726,5,3.500,1.200,3026,0,1.038
1,KEWX20080109_001708,0,0.500,1.200,3102,0,25387.596
1,KEWX20080109_001708,2,1.500,1.200,3108,0,1.374
1,KEWX20080109_001708,4,2.500,1.200,3106,0,1.022
1,KEWX20080109_001708,5,3.500,1.200,3111,0,1.027
1,KEWX20080109_001708,6,4.400,1.200,3117,0,1.031
1,KEWX20080109_002648,0,0.600,1.200,3716,0,19948.979
1,KEWX20080109_002648,2,1.500,1.200,3715,0,1.328
