track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
1,KGRK20180101_230421_V06,0,0.483,1.200,699,0,7806.892
1,KGRK20180101_230421_V06,2,1.494,1.200,700,0,0.048
1,KGRK20180101_230421_V06,4,2.505,1.200,351,0,0.129
1,KGRK20180101_230421_V06,5,3.516,1.200,354,0,0.049
1,KGRK20180101_230421_V06,6,4.482,1.200,352,0,0.048
1,KGRK20180103_221417_V06,0,0.483,1.200,369,0,184.755
1,KGRK20180103_221417_V06,2,1.494,1.200,370,0,0.040
1,KGRK20180103_221417_V06,4,2.505,1.200,187,0,0.041
1,KGRK20180103_221417_V06,5,3.516,1.200,186,0,0.041
1,KGRK20180103_221417_V06,6,4.482,1.200,185,0,0.041
4,KGRK20180104_232812_V06,0,0.483,1.200,2653,0,39740.569
4,KGRK20180104_233756_V06,0,0.483,1.200,5093,0,118658.145
1,KGRK20180104_223933_V06,0,0.483,1.200,762,0,2022.385
1,KGRK20180104_223933_V06,2,1.494,1.200,765,0,0.120
1,KGRK20180104_223933_V06,4,2.505,1.200,382,0,0.120
1,KGRK20180104_223933_V06,5,3.516,1.200,383,0,0.121
1,KGRK20180104_223933_V06,6,4.482,1.200,384,0,0.121
2,KGRK20180104_224917_V06,0,0.483,1.200,875,0,7070.103
2,KGRK20180104_224917_V06,2,1.494,1.200,877,0,0.058
2,KGRK20180104_224917_V06,4,2.505,1.200,440,0,0.058
2,KGRK20180104_224917_V06,5,3.516,1.200,439,0,0.058
2,KGRK20180104_224917_V06,6,4.482,1.200,441,0,0.059
3,KGRK20180104_230845_V06,0,0.483,1.200,7068,0,31026.333
1,KGRK20180105_221551_V06,0,0.483,1.200,99,0,460.381
1,KGRK20180105_221551_V06,2,1.494,1.200,100,0,0.009
1,KGRK20180105_221551_V06,4,2.505,1.200,50,0,0.009
1,KGRK20180105_221551_V06,5,3.516,1.200,50,0,0.009
1,KGRK20180105_221551_V06,6,4.482,1.200,51,0,0.010
2,KGRK20180107_003339_V06,0,0.483,1.200,4900,0,972.093
2,KGRK20180107_003339_V06,2,1.494,1.200,4903,0,4.541
2,KGRK20180107_004322_V06,0,0.483,1.200,8022,0,1342.888
2,KGRK20180107_004322_V06,2,1.494,1.200,8025,0,7.375
1,KGRK20180107_001414_V06,0,0.483,1.200,6333,0,1442.907
1,KGRK20180107_001414_V06,2,1.494,1.200,6340,0,12.077
3,KGRK20180107_013157_V06,0,0.483,1.200,18220,0,1022.870
3,KGRK20180107_013157_V06,2,1.494,1.200,18234,0,16.999
2,KGRK20180107_230439_V06,0,0.483,1.200,25764,0,26218.169
2,KGRK20180107_230439_V06,2,0.879,1.200,25762,0,54675.120
2,KGRK20180107_230439_V06,4,1.318,1.200,25768,0,69036.879
2,KGRK20180107_230439_V06,6,1.802,1.200,12893,0,51901.998
2,KGRK20180107_230818_V06,0,0.483,1.200,28502,0,48781.550
2,KGRK20180107_230818_V06,2,0.879,1.200,28510,0,78428.752
2,KGRK20180107_230818_V06,4,1.318,1.200,28516,0,119361.166
2,KGRK20180107_230818_V06,6,1.802,1.200,14257,0,116798.000
5,KGRK20180108_002041_V06,0,0.483,1.200,8275,0,14157.477
5,KGRK20180108_002041_V06,2,0.879,1.200,8274,0,3243.508
5,KGRK20180108_002041_V06,4,1.318,1.200,8271,0,838.662
5,KGRK20180108_002041_V06,6,1.802,1.200,4134,0,520.184
5,KGRK20180108_002041_V06,7,2.417,1.200,4137,0,679.220
5,KGRK20180108_002041_V06,8,3.120,1.200,4141,0,1304.915
5,KGRK20180108_002041_V06,9,3.999,1.200,4147,0,3437.208
5,KGRK20180108_002041_V06,10,5.098,1.200,4155,0,7498.708
5,KGRK20180108_002041_V06,11,6.416,1.200,4170,0,19279.814
5,KGRK20180108_002041_V06,12,7.998,1.200,4174,0,20402.995
7,KGRK20180108_002922_V06,0,0.483,1.200,3667,0,1893.338
7,KGRK20180108_002922_V06,2,0.879,1.200,3667,0,1804.697
7,KGRK20180108_002922_V06,4,1.318,1.200,3674,0,566.456
7,KGRK20180108_002922_V06,6,1.802,1.200,1836,0,146.788
7,KGRK20180108_002922_V06,7,2.417,1.200,1838,0,138.144
7,KGRK20180108_002922_V06,8,3.120,1.200,1836,0,842.823
7,KGRK20180108_002922_V06,9,3.999,1.200,1843,0,1953.505
7,KGRK20180108_002922_V06,10,5.098,1.200,1842,0,1100.667
12,KGRK20180108_010822_V06,0,0.483,1.200,5857,0,4798.623
12,KGRK20180108_010822_V06,2,0.879,1.200,5870,0,4617.289
12,KGRK20180108_010822_V06,4,1.318,1.200,5868,0,3612.025
12,KGRK20180108_010822_V06,6,1.802,1.200,2941,0,1616.202
12,KGRK20180108_010822_V06,7,2.417,1.200,2947,0,817.716
12,KGRK20180108_010822_V06,8,3.120,1.200,2951,0,316.056
12,KGRK20180108_010822_V06,9,3.999,1.200,2947,0,131.117
12,KGRK20180108_010822_V06,10,5.098,1.200,2961,0,842.496
12,KGRK20180108_010822_V06,11,6.416,1.200,2961,0,1416.043
4,KGRK20180109_000817_V06,0,0.483,1.200,2194,0,26786.911
4,KGRK20180109_000817_V06,2,1.494,1.200,2195,0,10.509
4,KGRK20180109_000817_V06,4,2.505,1.200,1100,0,0.558
4,KGRK20180109_000817_V06,5,3.516,1.200,1096,0,0.172
4,KGRK20180109_000817_V06,6,4.482,1.200,1101,0,0.173
4,KGRK20180109_001759_V06,0,0.483,1.200,5226,0,68622.848
4,KGRK20180109_001759_V06,2,1.494,1.200,5229,0,42.864
4,KGRK20180109_001759_V06,4,2.505,1.200,2619,0,1.630
4,KGRK20180109_001759_V06,5,3.516,1.200,2621,0,0.441
4,KGRK20180109_001759_V06,6,4.482,1.200,2627,0,0.506
4,KGRK20180109_002742_V06,0,0.483,1.200,10002,0,97595.564
4,KGRK20180109_002742_V06,2,1.494,1.200,10001,0,194.108
4,KGRK20180109_002742_V06,4,2.505,1.200,4999,0,6.259
4,KGRK20180109_002742_V06,5,3.516,1.200,5010,0,0.992
4,KGRK20180109_002742_V06,6,4.482,1.200,5018,0,1.227
4,KGRK20180109_003726_V06,0,0.483,1.200,14334,0,122010.560
4,KGRK20180109_003726_V06,2,1.494,1.200,14333,0,593.437
4,KGRK20180109_003726_V06,4,2.505,1.200,7169,0,6.962
4,KGRK20180109_003726_V06,5,3.516,1.200,7183,0,2.305
4,KGRK20180109_003726_V06,6,4.482,1.200,7193,0,2.099
4,KGRK20180109_004709_V06,0,0.483,1.200,16121,0,121134.723
4,KGRK20180109_004709_V06,2,1.494,1.200,16133,0,817.278
4,KGRK20180109_004709_V06,4,2.505,1.200,8077,0,25.346
