track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
2,KSJT20150101_224555_V06,0,0.483,1.200,19878,0,123773.555
2,KSJT20150101_224555_V06,2,0.879,1.200,19888,0,570848.881
2,KSJT20150101_224555_V06,4,1.318,1.200,19895,0,1191108.372
2,KSJT20150101_225053_V06,0,0.483,1.200,25299,0,221347.259
2,KSJT20150101_225053_V06,2,0.879,1.200,25303,0,634451.042
2,KSJT20150101_225053_V06,4,1.318,1.200,25321,0,1243277.387
2,KSJT20150101_225535_V06,0,0.483,1.200,28076,0,255254.973
2,KSJT20150101_225535_V06,2,0.879,1.200,28098,0,811808.901
2,KSJT20150101_225535_V06,4,1.318,1.200,28099,0,1332802.623
8,KSJT20150101_234216_V06,0,0.483,1.200,13587,0,46356.558
8,KSJT20150101_234216_V06,2,0.879,1.200,13588,0,245132.371
8,KSJT20150101_234216_V06,4,1.318,1.200,13590,0,467313.232
8,KSJT20150101_234741_V06,0,0.483,1.200,17504,0,342632.002
8,KSJT20150101_234741_V06,2,1.494,1.200,17518,0,740237.273
3,KSJT20150101_225053_V06,0,0.483,1.200,14471,0,166922.398
3,KSJT20150101_225053_V06,2,0.879,1.200,14482,0,497523.288
3,KSJT20150101_225053_V06,4,1.318,1.200,14501,0,1050463.246
15,KSJT20150102_015755_V06,0,0.483,1.200,3438,0,854532.171
15,KSJT20150102_015755_V06,2,0.879,1.200,3446,0,1024938.612
14,KSJT20150103_015919_V06,0,0.483,1.200,28827,0,13365540.853
14,KSJT20150103_015919_V06,2,0.879,1.200,28830,0,10830896.479
14,KSJT20150103_015919_V06,4,1.318,1.200,28860,0,2663378.490
2,KSJT20150104_021146_V06,0,0.483,1.200,3157,0,408557.522
2,KSJT20150104_021146_V06,2,1.494,1.200,3155,0,32.885
2,KSJT20150104_021146_V06,4,2.505,1.200,1583,0,2.008
2,KSJT20150104_021146_V06,5,3.516,1.200,1583,0,0.428
2,KSJT20150104_021146_V06,6,4.482,1.200,1586,0,0.630
2,KSJT20150104_022133_V06,0,0.483,1.200,8016,4,340438.336
2,KSJT20150104_022133_V06,2,1.494,1.200,8018,0,29.287
2,KSJT20150104_022133_V06,4,2.505,1.200,4011,0,3.434
2,KSJT20150104_022133_V06,5,3.516,1.200,4011,0,1.130
2,KSJT20150104_022133_V06,6,4.482,1.200,4025,0,1.015
1,KSJT20150104_015212_V06,0,0.483,1.200,3322,0,174099.413
1,KSJT20150104_015212_V06,2,1.494,1.200,3327,0,12.098
1,KSJT20150104_015212_V06,4,2.505,1.200,1667,0,2.333
1,KSJT20150104_015212_V06,5,3.516,1.200,1665,0,0.299
1,KSJT20150104_015212_V06,6,4.482,1.200,1662,0,0.737
