filename,local_time
KEWX20250101_221701_V06,20250101_161701
KEWX20250101_222343_V06,20250101_162343
KEWX20250101_223025_V06,20250101_163025
KEWX20250101_223708_V06,20250101_163708
KEWX20250101_224400_V06,20250101_164400
KEWX20250101_225050_V06,20250101_165050
KEWX20250101_230414_V06,20250101_170414
KEWX20250101_231059_V06,20250101_171059
KEWX20250101_231745_V06,20250101_171745
KEWX20250101_232436_V06,20250101_172436
KEWX20250101_233119_V06,20250101_173119
KEWX20250101_233806_V06,20250101_173806
KEWX20250101_234502_V06,20250101_174502
KEWX20250101_235143_V06,20250101_175143
KEWX20250102_000517_V06,20250101_180517
KEWX20250102_001208_V06,20250101_181208
KEWX20250102_001850_V06,20250101_181850
KEWX20250102_002532_V06,20250101_182532
KEWX20250102_003213_V06,20250101_183213
KEWX20250102_003855_V06,20250101_183855
KEWX20250102_004546_V06,20250101_184546
KEWX20250102_005228_V06,20250101_185228
KEWX20250102_010600_V06,20250101_190600
KEWX20250102_011302_V06,20250101_191302
KEWX20250102_011948_V06,20250101_191948
KEWX20250102_012635_V06,20250101_192635
KEWX20250102_013318_V06,20250101_193318
KEWX20250102_014014_V06,20250101_194014
KEWX20250102_014655_V06,20250101_194655
KEWX20250102_020053_V06,20250101_200053
KEWX20250102_020754_V06,20250101_200754
KEWX20250102_221852_V06,20250102_161852
KEWX20250102_222547_V06,20250102_162547
KEWX20250102_223232_V06,20250102_163232
KEWX20250102_223916_V06,20250102_163916
KEWX20250102_224559_V06,20250102_164559
KEWX20250102_225241_V06,20250102_165241
KEWX20250102_230614_V06,20250102_170614
KEWX20250102_231305_V06,20250102_171305
KEWX20250102_231956_V06,20250102_171956
KEWX20250102_232638_V06,20250102_172638
KEWX20250102_233321_V06,20250102_173321
KEWX20250102_234023_V06,20250102_174023
KEWX20250102_234724_V06,20250102_174724
KEWX20250103_000123_V06,20250102_180123
KEWX20250103_000825_V06,20250102_180825
KEWX20250103_001519_V06,20250102_181519
KEWX20250103_002220_V06,20250102_182220
KEWX20250103_002921_V06,20250102_182921
KEWX20250103_003612_V06,20250102_183612
KEWX20250103_004314_V06,20250102_184314
KEWX20250103_005016_V06,20250102_185016
KEWX20250103_010408_V06,20250102_190408
KEWX20250103_011104_V06,20250102_191104
KEWX20250103_011751_V06,20250102_191751
KEWX20250103_012438_V06,20250102_192438
KEWX20250103_013139_V06,20250102_193139
KEWX20250103_013841_V06,20250102_193841
KEWX20250103_014536_V06,20250102_194536
KEWX20250103_015232_V06,20250102_195232
KEWX20250103_020609_V06,20250102_200609
KEWX20250103_021300_V06,20250102_201300
KEWX20250103_221714_V06,20250103_161714
KEWX20250103_222356_V06,20250103_162356
KEWX20250103_223043_V06,20250103_163043
KEWX20250103_223733_V06,20250103_163733
KEWX20250103_224420_V06,20250103_164420
KEWX20250103_225106_V06,20250103_165106
KEWX20250103_230430_V06,20250103_170430
KEWX20250103_231125_V06,20250103_171125
KEWX20250103_231816_V06,20250103_171816
KEWX20250103_232503_V06,20250103_172503
KEWX20250103_233153_V06,20250103_173153
KEWX20250103_233836_V06,20250103_173836
KEWX20250103_234519_V06,20250103_174519
KEWX20250103_235201_V06,20250103_175201
KEWX20250104_000526_V06,20250103_180526
KEWX20250104_001213_V06,20250103_181213
KEWX20250104_001859_V06,20250103_181859
KEWX20250104_002545_V06,20250103_182545
KEWX20250104_003236_V06,20250103_183236
KEWX20250104_003930_V06,20250103_183930
KEWX20250104_004631_V06,20250103_184631
KEWX20250104_005326_V06,20250103_185326
KEWX20250104_010658_V06,20250103_190658
KEWX20250104_011354_V06,20250103_191354
KEWX20250104_012039_V06,20250103_192039
KEWX20250104_012729_V06,20250103_192729
KEWX20250104_013430_V06,20250103_193430
KEWX20250104_014121_V06,20250103_194121
KEWX20250104_014802_V06,20250103_194802
KEWX20250104_020125_V06,20250103_200125
KEWX20250104_020808_V06,20250103_200808
KEWX20250104_021449_V06,20250103_201449
KEWX20250104_221908_V06,20250104_161908
KEWX20250104_222719_V06,20250104_162719
KEWX20250104_223421_V06,20250104_163421
KEWX20250104_224122_V06,20250104_164122
KEWX20250104_224823_V06,20250104_164823
