filename,local_time
KGRK20250102_221653_V06,20250102_161653
KGRK20250102_222346_V06,20250102_162346
KGRK20250102_223033_V06,20250102_163033
KGRK20250102_223726_V06,20250102_163726
KGRK20250102_224410_V06,20250102_164410
KGRK20250102_225051_V06,20250102_165051
KGRK20250102_230431_V06,20250102_170431
KGRK20250102_231124_V06,20250102_171124
KGRK20250102_231817_V06,20250102_171817
KGRK20250102_232509_V06,20250102_172509
KGRK20250102_233303_V06,20250102_173303
KGRK20250102_233947_V06,20250102_173947
KGRK20250102_234632_V06,20250102_174632
KGRK20250102_235316_V06,20250102_175316
KGRK20250103_000644_V06,20250102_180644
KGRK20250103_001323_V06,20250102_181323
KGRK20250103_002003_V06,20250102_182003
KGRK20250103_002647_V06,20250102_182647
KGRK20250103_003340_V06,20250102_183340
KGRK20250103_004033_V06,20250102_184033
KGRK20250103_004725_V06,20250102_184725
KGRK20250103_010117_V06,20250102_190117
KGRK20250103_010811_V06,20250102_190811
KGRK20250103_011459_V06,20250102_191459
KGRK20250103_012152_V06,20250102_192152
KGRK20250103_012851_V06,20250102_192851
KGRK20250103_013543_V06,20250102_193543
KGRK20250103_014242_V06,20250102_194242
KGRK20250103_014935_V06,20250102_194935
KGRK20250103_020310_V06,20250102_200310
KGRK20250103_020954_V06,20250102_200954
KGRK20250103_221138_V06,20250103_161138
KGRK20250103_221831_V06,20250103_161831
KGRK20250103_222519_V06,20250103_162519
KGRK20250103_223207_V06,20250103_163207
KGRK20250103_223856_V06,20250103_163856
KGRK20250103_224554_V06,20250103_164554
KGRK20250103_225235_V06,20250103_165235
KGRK20250103_230614_V06,20250103_170614
KGRK20250103_231313_V06,20250103_171313
KGRK20250103_231954_V06,20250103_171954
KGRK20250103_232635_V06,20250103_172635
KGRK20250103_233327_V06,20250103_173327
KGRK20250103_234144_V06,20250103_174144
KGRK20250103_234829_V06,20250103_174829
KGRK20250104_000149_V06,20250103_180149
KGRK20250104_000830_V06,20250103_180830
KGRK20250104_001510_V06,20250103_181510
KGRK20250104_002150_V06,20250103_182150
KGRK20250104_002833_V06,20250103_182833
KGRK20250104_003513_V06,20250103_183513
KGRK20250104_004212_V06,20250103_184212
KGRK20250104_004852_V06,20250103_184852
KGRK20250104_010212_V06,20250103_190212
KGRK20250104_010852_V06,20250103_190852
KGRK20250104_011550_V06,20250103_191550
KGRK20250104_012230_V06,20250103_192230
KGRK20250104_012910_V06,20250103_192910
KGRK20250104_013558_V06,20250103_193558
KGRK20250104_014256_V06,20250103_194256
KGRK20250104_014955_V06,20250103_194955
KGRK20250104_020337_V06,20250103_200337
KGRK20250104_021017_V06,20250103_201017
KGRK20250104_221646_V06,20250104_161646
KGRK20250104_222345_V06,20250104_162345
KGRK20250104_223044_V06,20250104_163044
KGRK20250104_223742_V06,20250104_163742
KGRK20250104_224441_V06,20250104_164441
KGRK20250104_225140_V06,20250104_165140
KGRK20250104_230537_V06,20250104_170537
KGRK20250104_231236_V06,20250104_171236
KGRK20250104_231935_V06,20250104_171935
KGRK20250104_232634_V06,20250104_172634
KGRK20250104_233332_V06,20250104_173332
KGRK20250104_234031_V06,20250104_174031
KGRK20250104_234842_V06,20250104_174842
KGRK20250105_000234_V06,20250104_180234
KGRK20250105_000927_V06,20250104_180927
KGRK20250105_001625_V06,20250104_181625
KGRK20250105_002318_V06,20250104_182318
KGRK20250105_003010_V06,20250104_183010
KGRK20250105_003703_V06,20250104_183703
KGRK20250105_004356_V06,20250104_184356
KGRK20250105_005048_V06,20250104_185048
KGRK20250105_010440_V06,20250104_190440
KGRK20250105_011132_V06,20250104_191132
KGRK20250105_011832_V06,20250104_191832
KGRK20250105_012520_V06,20250104_192520
KGRK20250105_013219_V06,20250104_193219
KGRK20250105_013918_V06,20250104_193918
KGRK20250105_014610_V06,20250104_194610
KGRK20250105_015259_V06,20250104_195259
KGRK20250105_020644_V06,20250104_200644
KGRK20250105_221450_V06,20250105_161450
KGRK20250105_222149_V06,20250105_162149
KGRK20250105_222847_V06,20250105_162847
KGRK20250105_223545_V06,20250105_163545
