track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels
1,KSJT20240101_223312_V06,-76.773,0.159,414.007,327.408,11.052,-99.894,31.246,5526.024,58627.754,20240101_163312,479171,51
2,KSJT20240102_000250_V06,12.860,0.201,283.814,312.147,13.298,-100.577,31.316,6649.052,10118.360,20240101_180250,479173,67
2,KSJT20240104_232646_V06,-25.432,0.056,360.063,315.924,6.629,-100.177,31.299,3314.392,31068.900,20240104_172646,479184,250
2,KSJT20240104_233016_V06,-21.932,0.223,361.044,314.991,12.452,-100.172,31.303,6226.050,31428.852,20240104_173016,479189,186
1,KSJT20240106_001806_V06,25.129,0.065,33.042,168.693,35.280,-101.904,31.955,17639.938,148751.529,20240105_181806,479178,68
2,KSJT20240107_010453_V06,71.126,0.263,278.429,176.244,31.504,-100.606,31.929,15751.966,62810.924,20240106_190453,479172,159
1,KSJT20240108_013220_V06,97.776,0.076,272.377,387.452,18.018,-100.637,30.977,9008.778,45855.577,20240107_193220,479172,155
1,KSJT20240108_222653_V06,-88.486,0.310,177.832,320.535,5.347,-101.134,31.277,2673.309,61940.922,20240108_162653,479176,107
6,KSJT20240109_011521_V06,79.981,0.256,367.096,317.752,16.266,-100.140,31.291,8133.038,34702.096,20240108_191521,479178,164
7,KSJT20240109_011521_V06,79.981,0.110,283.411,375.683,8.386,-100.579,31.030,4193.047,38739.918,20240108_191521,479178,164
1,KSJT20240111_021549_V06,138.789,0.244,390.534,359.112,6.028,-100.018,31.104,3013.868,54061.932,20240110_201549,479173,160
2,KSJT20240112_003128_V06,33.594,0.060,182.538,326.117,9.629,-101.109,31.252,4814.720,60165.420,20240111_183128,479170,238
3,KSJT20240112_003810_V06,40.294,0.182,403.107,117.462,3.131,-99.946,32.193,1565.567,104822.594,20240111_183810,479173,223
6,KSJT20240112_003810_V06,40.294,0.056,261.679,390.425,28.777,-100.693,30.963,14388.414,49105.071,20240111_183810,479173,223
6,KSJT20240112_004451_V06,46.978,0.096,264.839,392.873,24.554,-100.676,30.952,12277.115,49652.998,20240111_184451,479170,217
8,KSJT20240112_011823_V06,80.511,0.153,181.230,323.031,13.339,-101.116,31.266,6669.647,60491.128,20240111_191823,479178,122
2,KSJT20240113_230553_V06,-53.704,0.122,348.826,178.007,70.472,-100.234,31.921,35236.111,65700.716,20240113_170553,479172,148
2,KSJT20240113_231243_V06,-46.871,0.167,347.083,180.428,78.777,-100.243,31.910,39388.702,64253.993,20240113_171243,479172,175
1,KSJT20240113_223835_V06,-81.004,0.063,420.791,322.830,14.602,-99.858,31.267,7301.193,61464.815,20240113_163835,479173,95
3,KSJT20240114_004207_V06,42.529,0.148,346.259,290.399,67.544,-100.249,31.414,33771.973,23622.640,20240113_184207,479172,89
4,KSJT20240114_004851_V06,49.262,0.064,267.291,361.686,22.614,-100.664,31.093,11307.020,34910.764,20240113_184851,479172,104
3,KSJT20240116_001845_V06,17.417,0.168,363.781,282.086,14.074,-100.157,31.451,7036.770,33124.597,20240115_181845,479172,264
3,KSJT20240116_002824_V06,27.067,0.594,360.673,289.536,19.473,-100.173,31.418,9736.387,30784.508,20240115_182824,479177,248
1,KSJT20240116_223346_V06,-88.449,0.214,295.566,384.017,10.170,-100.515,30.992,5084.925,42066.880,20240116_163346,479175,0
1,KSJT20240117_223312_V06,-89.902,0.137,245.234,171.783,10.166,-100.782,31.949,5083.139,69711.580,20240117_163312,479174,470
2,KSJT20240117_234032_V06,-22.569,0.086,247.428,179.080,15.321,-100.770,31.916,7660.740,65926.962,20240117_174032,479172,474
3,KSJT20240118_021611_V06,133.081,0.160,273.808,408.039,16.984,-100.629,30.884,8491.999,55584.195,20240117_201611,479173,330
3,KSJT20240119_002601_V06,22.022,0.051,263.134,194.934,18.567,-100.687,31.845,9283.321,55673.092,20240118_182601,479175,87
4,KSJT20240119_005447_V06,50.789,0.146,376.960,177.306,67.738,-100.085,31.924,33868.835,72416.853,20240118_185447,479176,83
7,KSJT20240122_004454_V06,38.209,0.152,274.434,392.352,20.361,-100.626,30.955,10180.534,47912.589,20240121_184454,479172,118
7,KSJT20240122_005136_V06,44.909,0.051,274.905,391.688,28.313,-100.624,30.958,14156.279,47529.966,20240121_185136,479174,113
8,KSJT20240122_004454_V06,38.209,0.053,307.445,405.203,14.016,-100.453,30.897,7008.228,52733.007,20240121_184454,479172,118
8,KSJT20240122_005136_V06,44.909,-1.000,307.445,405.203,24.669,-100.453,30.897,12334.728,52733.007,20240121_185136,479174,113
8,KSJT20240122_005818_V06,51.609,0.075,309.988,415.453,29.164,-100.440,30.850,14582.190,57942.094,20240121_185818,479171,126
6,KSJT20240122_002422_V06,17.676,0.129,270.449,399.888,23.893,-100.647,30.921,11946.356,52083.971,20240121_182422,479170,114
1,KSJT20240123_021929_V06,131.889,0.072,422.592,329.275,15.757,-99.849,31.237,7878.283,63019.426,20240122_201929,479168,193
3,KSJT20240124_020412_V06,115.700,0.065,178.731,324.139,5.992,-101.129,31.261,2996.059,61824.096,20240123_200412,479172,95
4,KSJT20240124_022418_V06,135.800,0.081,421.889,333.316,16.609,-99.853,31.219,8304.440,63179.934,20240123_202418,479171,66
1,KSJT20240125_230853_V06,-61.430,0.104,273.917,390.261,25.915,-100.629,30.964,12957.544,46976.941,20240125_170853,479171,95
20,KSJT20240127_001839_V06,7.429,0.071,347.014,306.812,11.878,-100.245,31.340,5939.167,23752.262,20240126_181839,479184,2658
20,KSJT20240127_002211_V06,10.962,0.162,348.302,307.301,16.639,-100.238,31.338,8319.287,24425.200,20240126_182211,479193,2597
20,KSJT20240127_002543_V06,14.496,0.053,349.247,308.828,22.095,-100.233,31.331,11047.525,25016.088,20240126_182543,479189,2494
5,KSJT20240126_225247_V06,-78.438,0.108,413.229,303.733,27.490,-99.897,31.353,13745.102,56645.056,20240126_165247,479172,2357
5,KSJT20240126_225637_V06,-74.604,0.223,413.698,303.160,32.448,-99.895,31.355,16223.853,56870.798,20240126_165637,479183,2201
5,KSJT20240126_230027_V06,-70.771,-1.000,414.031,302.752,37.735,-99.893,31.357,18867.503,57032.009,20240126_170027,479194,2130
5,KSJT20240126_230417_V06,-66.938,0.073,421.990,314.686,19.050,-99.852,31.303,9524.906,61435.362,20240126_170417,479193,2214
5,KSJT20240126_230807_V06,-63.104,0.085,422.430,313.786,24.961,-99.849,31.307,12480.707,61601.864,20240126_170807,479192,1930
5,KSJT20240126_231157_V06,-59.271,0.075,430.458,315.244,18.692,-99.807,31.301,9345.947,65672.986,20240126_171157,479185,1816
5,KSJT20240126_231546_V06,-55.454,-1.000,430.458,315.244,24.760,-99.807,31.301,12380.197,65672.986,20240126_171546,479201,1798
5,KSJT20240126_231936_V06,-51.621,0.052,433.383,310.465,30.107,-99.792,31.322,15053.339,66896.585,20240126_171936,479192,1744
