filename,local_time
KGRK19950421_233337,19950421_183337
KGRK19950421_233812,19950421_183812
KGRK19950421_234402,19950421_184402
KGRK19950422_001211,19950421_191211
KGRK19950422_001801,19950421_191801
KGRK19950422_002353,19950421_192353
KGRK19950422_002943,19950421_192943
KGRK19950422_003533,19950421_193533
KGRK19950422_004123,19950421_194123
KGRK19950422_004714,19950421_194714
KGRK19950422_005304,19950421_195304
KGRK19950422_005854,19950421_195854
KGRK19950422_010444,19950421_200444
KGRK19950422_011034,19950421_201034
KGRK19950422_011625,19950421_201625
KGRK19950422_012216,19950421_202216
KGRK19950422_012806,19950421_202806
KGRK19950422_014021,19950421_204021
KGRK19950422_014612,19950421_204612
KGRK19950422_015202,19950421_205202
KGRK19950422_015751,19950421_205751
KGRK19950422_020302,19950421_210302
KGRK19950422_020852,19950421_210852
KGRK19950422_021344,19950421_211344
KGRK19950422_021934,19950421_211934
KGRK19950422_022524,19950421_212524
KGRK19950422_023114,19950421_213114
KGRK19950422_023704,19950421_213704
KGRK19950422_024255,19950421_214255
KGRK19950422_024845,19950421_214845
KGRK19950422_025434,19950421_215434
KGRK19950422_030024,19950421_220024
KGRK19950422_030615,19950421_220615
KGRK19950422_031205,19950421_221205
KGRK19950422_031755,19950421_221755
KGRK19950422_032345,19950421_222345
KGRK19950422_032935,19950421_222935
KGRK19950422_233229,19950422_183229
KGRK19950422_233819,19950422_183819
KGRK19950422_234409,19950422_184409
KGRK19950422_234959,19950422_184959
KGRK19950422_235550,19950422_185550
KGRK19950423_000210,19950422_190210
KGRK19950423_000800,19950422_190800
KGRK19950423_001350,19950422_191350
KGRK19950423_001940,19950422_191940
KGRK19950423_002531,19950422_192531
KGRK19950423_003121,19950422_193121
KGRK19950423_003710,19950422_193710
KGRK19950423_004301,19950422_194301
KGRK19950423_004851,19950422_194851
KGRK19950423_005441,19950422_195441
KGRK19950423_010031,19950422_200031
KGRK19950423_010621,19950422_200621
KGRK19950423_011211,19950422_201211
KGRK19950423_011801,19950422_201801
KGRK19950423_012351,19950422_202351
KGRK19950423_012941,19950422_202941
KGRK19950423_013532,19950422_203532
KGRK19950423_014122,19950422_204122
KGRK19950423_014712,19950422_204712
KGRK19950423_015302,19950422_205302
KGRK19950423_015852,19950422_205852
KGRK19950423_020442,19950422_210442
