filename,local_time
KSJT19970101_222705,19970101_162705
KSJT19970101_223653,19970101_163653
KSJT19970101_224641,19970101_164641
KSJT19970101_225630,19970101_165630
KSJT19970101_230619,19970101_170619
KSJT19970101_231607,19970101_171607
KSJT19970101_232556,19970101_172556
KSJT19970101_233544,19970101_173544
KSJT19970101_234532,19970101_174532
KSJT19970101_235520,19970101_175520
KSJT19970102_000542,19970101_180542
KSJT19970102_001531,19970101_181531
KSJT19970102_002519,19970101_182519
KSJT19970102_003508,19970101_183508
KSJT19970102_004457,19970101_184457
KSJT19970102_005445,19970101_185445
KSJT19970102_010434,19970101_190434
KSJT19970102_011423,19970101_191423
KSJT19970102_012410,19970101_192410
KSJT19970102_013359,19970101_193359
KSJT19970102_014347,19970101_194347
KSJT19970102_015336,19970101_195336
KSJT19970102_020324,19970101_200324
KSJT19970102_021313,19970101_201313
KSJT19970102_222218,19970102_162218
KSJT19970102_223206,19970102_163206
KSJT19970102_224155,19970102_164155
KSJT19970102_225143,19970102_165143
KSJT19970102_230131,19970102_170131
KSJT19970102_231119,19970102_171119
KSJT19970102_232106,19970102_172106
KSJT19970102_233055,19970102_173055
KSJT19970102_234043,19970102_174043
KSJT19970102_235156,19970102_175156
KSJT19970102_235747,19970102_175747
KSJT19970103_000338,19970102_180338
KSJT19970103_000928,19970102_180928
KSJT19970103_001520,19970102_181520
KSJT19970103_002109,19970102_182109
KSJT19970103_002700,19970102_182700
KSJT19970103_003251,19970102_183251
KSJT19970103_003840,19970102_183840
KSJT19970103_004431,19970102_184431
KSJT19970103_005022,19970102_185022
KSJT19970103_005613,19970102_185613
KSJT19970103_010203,19970102_190203
KSJT19970103_010754,19970102_190754
KSJT19970103_011345,19970102_191345
KSJT19970103_011935,19970102_191935
KSJT19970103_012526,19970102_192526
KSJT19970103_013705,19970102_193705
KSJT19970103_014254,19970102_194254
KSJT19970103_014846,19970102_194846
KSJT19970103_015436,19970102_195436
KSJT19970103_020027,19970102_200027
KSJT19970103_021016,19970102_201016
KSJT19970103_022005,19970102_202005
KSJT19970103_222734,19970103_162734
KSJT19970103_223722,19970103_163722
KSJT19970103_224710,19970103_164710
