track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
KSJT20230102-5,KSJT20230102_230403_V06,0,0.483,1.200,93,0,20441.270
KSJT20230102-5,KSJT20230102_230403_V06,2,1.494,1.200,92,0,0.272
KSJT20230102-5,KSJT20230102_230403_V06,4,2.505,1.200,45,0,0.024
KSJT20230102-5,KSJT20230102_231337_V06,0,0.483,1.200,2944,0,2848.780
KSJT20230102-5,KSJT20230102_231337_V06,2,1.494,1.200,2946,0,32.578
KSJT20230102-5,KSJT20230102_231337_V06,4,2.505,1.200,1476,0,0.794
KSJT20230102-5,KSJT20230102_232431_V06,0,0.483,1.200,4704,0,49018.965
KSJT20230102-5,KSJT20230102_232431_V06,2,1.494,1.200,4708,0,220.968
KSJT20230102-5,KSJT20230102_232431_V06,4,2.505,1.200,2357,0,1.699
KSJT20230102-5,KSJT20230102_233404_V06,0,0.483,1.200,13935,0,5701.855
KSJT20230102-5,KSJT20230102_233404_V06,2,1.494,1.200,13950,0,18.666
KSJT20230102-5,KSJT20230102_233404_V06,4,2.505,1.200,6979,0,5.445
KSJT20230102-5,KSJT20230102_234338_V06,0,0.483,1.200,20202,0,5284.335
KSJT20230102-5,KSJT20230102_234338_V06,2,1.494,1.200,20222,0,12.398
KSJT20230102-5,KSJT20230102_234338_V06,4,2.505,1.200,10118,0,7.662
KSJT20230102-1,KSJT20230102_222550_V06,0,0.483,1.200,1447,29,117998.047
KSJT20230102-1,KSJT20230102_222550_V06,2,1.494,1.200,1447,0,81.697
KSJT20230102-1,KSJT20230102_222550_V06,4,2.505,1.200,718,0,15.947
KSJT20230102-1,KSJT20230102_222550_V06,5,3.516,1.200,716,0,3.868
KSJT20230102-1,KSJT20230102_222550_V06,6,4.482,1.200,716,0,0.238
KSJT20230102-1,KSJT20230102_223524_V06,0,0.483,1.200,4507,40,163633.400
KSJT20230102-1,KSJT20230102_223524_V06,2,1.494,1.200,4510,0,138.198
KSJT20230102-1,KSJT20230102_223524_V06,4,2.505,1.200,2244,0,25.214
KSJT20230102-1,KSJT20230102_223524_V06,5,3.516,1.200,2249,0,4.881
KSJT20230102-1,KSJT20230102_223524_V06,6,4.482,1.200,2249,0,2.710
KSJT20230102-3,KSJT20230102_223524_V06,0,0.483,1.200,740,11,37100.512
KSJT20230102-3,KSJT20230102_223524_V06,2,1.494,1.200,742,0,47.949
KSJT20230102-3,KSJT20230102_223524_V06,4,2.505,1.200,372,0,5.255
KSJT20230102-3,KSJT20230102_223524_V06,5,3.516,1.200,373,0,4.555
KSJT20230102-3,KSJT20230102_223524_V06,6,4.482,1.200,373,0,4.805
KSJT20230102-8,KSJT20230102_230403_V06,0,0.483,1.200,11896,0,97.478
KSJT20230102-8,KSJT20230102_230403_V06,2,1.494,1.200,11907,0,24.364
KSJT20230102-8,KSJT20230102_230403_V06,4,2.505,1.200,5958,0,2.351
KSJT20230102-8,KSJT20230102_230403_V06,5,3.516,1.200,5974,0,2.364
KSJT20230102-10,KSJT20230102_234338_V06,0,0.483,1.200,60149,0,2325.690
KSJT20230102-10,KSJT20230102_234338_V06,2,1.494,1.200,60193,0,90.801
KSJT20230102-10,KSJT20230102_234338_V06,4,2.505,1.200,30185,0,24.185
KSJT20230103-1,KSJT20230103_224239_V06,0,0.483,1.200,1147,0,359.786
KSJT20230103-1,KSJT20230103_224239_V06,2,1.494,1.200,1145,0,0.449
KSJT20230103-1,KSJT20230103_224239_V06,4,2.505,1.200,575,0,0.105
KSJT20230103-1,KSJT20230103_224239_V06,5,3.516,1.200,574,0,0.105
KSJT20230103-1,KSJT20230103_224239_V06,6,4.482,1.200,579,0,0.106
KSJT20230103-2,KSJT20230104_014538_V06,0,0.483,1.200,1613,1,18931.059
KSJT20230103-2,KSJT20230104_014538_V06,2,1.494,1.200,1619,0,1.101
KSJT20230103-2,KSJT20230104_014538_V06,4,2.505,1.200,810,0,0.253
KSJT20230103-2,KSJT20230104_014538_V06,5,3.516,1.200,813,0,0.255
KSJT20230103-2,KSJT20230104_014538_V06,6,4.482,1.200,817,0,0.257
KSJT20230104-4,KSJT20230105_001839_V06,0,0.483,1.200,2619,0,57.022
KSJT20230104-4,KSJT20230105_001839_V06,2,1.494,1.200,2618,0,5.748
KSJT20230104-4,KSJT20230105_001839_V06,4,2.505,1.200,1307,0,1.234
KSJT20230104-4,KSJT20230105_001839_V06,5,3.516,1.200,1309,0,0.952
KSJT20230104-4,KSJT20230105_001839_V06,6,4.482,1.200,1312,0,2.217
KSJT20230104-5,KSJT20230105_002813_V06,0,0.483,1.200,5701,29,16095.403
KSJT20230104-5,KSJT20230105_002813_V06,2,1.494,1.200,5704,0,49.398
KSJT20230104-5,KSJT20230105_002813_V06,4,2.505,1.200,2856,0,7.506
KSJT20230104-5,KSJT20230105_002813_V06,5,3.516,1.200,2861,0,29.178
KSJT20230104-5,KSJT20230105_002813_V06,6,4.482,1.200,2858,0,7.404
KSJT20230105-3,KSJT20230105_233845_V06,0,0.483,1.200,1151,0,254.925
KSJT20230105-3,KSJT20230105_233845_V06,2,1.494,1.200,1155,0,0.959
KSJT20230105-3,KSJT20230105_234820_V06,0,0.483,1.200,3371,0,208.872
KSJT20230105-3,KSJT20230105_234820_V06,2,1.494,1.200,3372,0,2.683
KSJT20230105-4,KSJT20230106_013452_V06,0,0.483,1.200,8963,126,159849.699
KSJT20230105-4,KSJT20230106_013452_V06,2,1.494,1.200,8969,0,1212.569
KSJT20230105-4,KSJT20230106_013452_V06,4,2.505,1.200,4481,0,76.714
KSJT20230105-4,KSJT20230106_013452_V06,5,3.516,1.200,4488,0,29.534
KSJT20230105-4,KSJT20230106_013452_V06,6,4.482,1.200,4501,0,25.379
KSJT20230106-1,KSJT20230107_012451_V06,0,0.483,1.200,10038,11,26881.458
KSJT20230106-1,KSJT20230107_012451_V06,2,1.494,1.200,10037,0,151.706
KSJT20230106-1,KSJT20230107_012451_V06,4,2.505,1.200,5010,0,9.053
KSJT20230106-1,KSJT20230107_012451_V06,5,3.516,1.200,5009,0,3.028
KSJT20230106-1,KSJT20230107_012451_V06,6,4.482,1.200,5019,0,3.146
KSJT20230107-1,KSJT20230107_223842_V06,0,0.483,1.200,1679,31,108308.084
KSJT20230107-1,KSJT20230107_223842_V06,2,1.494,1.200,1684,0,45.759
KSJT20230107-1,KSJT20230107_223842_V06,4,2.505,1.200,833,0,14.157
KSJT20230107-1,KSJT20230107_223842_V06,5,3.516,1.200,838,0,17.262
