track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_weather_pixels,n_highZ_pixels_60,n_highZ_pixels_40,n_animals,n_animals_60,n_animals_40
KEWX19960101-9,KEWX19960102_011505,0,0.500,1.200,559,nan,0,0,2500.623,2500.623,2500.623
KEWX19960101-9,KEWX19960102_011505,2,1.500,1.200,553,nan,0,0,0.285,0.285,0.285
KEWX19960101-9,KEWX19960102_011505,4,2.400,1.200,563,nan,0,0,0.290,0.290,0.290
KEWX19960101-9,KEWX19960102_011505,5,3.400,1.200,565,nan,0,0,0.292,0.292,0.292
KEWX19960101-9,KEWX19960102_012055,0,0.500,1.200,1415,nan,0,0,3297.204,3297.204,3297.204
KEWX19960101-9,KEWX19960102_012055,2,1.500,1.200,1421,nan,0,0,0.710,0.710,0.710
KEWX19960101-9,KEWX19960102_012055,4,2.400,1.200,1428,nan,0,0,0.714,0.714,0.714
KEWX19960101-9,KEWX19960102_012055,5,3.400,1.200,1428,nan,0,0,0.715,0.715,0.715
KEWX19960101-9,KEWX19960102_012645,0,0.500,1.200,2792,nan,0,0,1985.154,1985.154,1985.154
KEWX19960101-9,KEWX19960102_012645,2,1.500,1.200,2792,nan,0,0,1.357,1.357,1.357
KEWX19960101-9,KEWX19960102_012645,4,2.500,1.200,2800,nan,0,0,1.363,1.363,1.363
KEWX19960101-9,KEWX19960102_012645,5,3.400,1.200,2803,nan,0,0,1.368,1.368,1.368
KEWX19960101-9,KEWX19960102_013235,0,0.500,1.200,3613,nan,0,0,2092.365,2092.365,2092.365
KEWX19960101-9,KEWX19960102_013235,2,1.500,1.200,3807,nan,0,0,1.761,1.761,1.761
KEWX19960101-9,KEWX19960102_013235,4,2.400,1.200,3515,nan,0,0,1.627,1.627,1.627
KEWX19960101-9,KEWX19960102_013235,5,3.300,1.200,3522,nan,0,0,1.633,1.633,1.633
KEWX19960101-9,KEWX19960102_013825,0,0.500,1.200,3430,nan,0,0,1949.064,1949.064,1949.064
KEWX19960101-9,KEWX19960102_013825,2,1.500,1.200,3432,nan,0,0,1.501,1.501,1.501
KEWX19960101-9,KEWX19960102_013825,4,2.400,1.200,3434,nan,0,0,1.502,1.502,1.502
KEWX19960101-9,KEWX19960102_013825,5,3.300,1.200,3446,nan,0,0,45.246,45.246,45.246
KEWX19960101-9,KEWX19960102_014415,0,0.500,1.200,3245,nan,0,0,1983.721,1983.721,1983.721
KEWX19960101-9,KEWX19960102_014415,2,1.500,1.200,3255,nan,0,0,1.341,1.341,1.341
KEWX19960101-9,KEWX19960102_014415,4,2.500,1.200,3262,nan,0,0,1.345,1.345,1.345
KEWX19960101-9,KEWX19960102_014415,5,3.400,1.200,3261,nan,0,0,193.672,193.672,193.672
KEWX19960101-9,KEWX19960102_015005,0,0.500,1.200,3071,nan,0,0,1263.138,1263.138,1263.138
