track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_weather_pixels,n_highZ_pixels_60,n_highZ_pixels_40,n_animals,n_animals_60,n_animals_40
KGRK19960104-1,KGRK19960104_230845,0,0.500,1.200,2464,nan,0,0,2115.765,2115.765,2115.765
KGRK19960104-1,KGRK19960104_230845,2,1.500,1.200,2464,nan,0,0,0.694,0.694,0.694
KGRK19960104-1,KGRK19960104_230845,4,2.500,1.200,2469,nan,0,0,0.696,0.696,0.696
KGRK19960104-1,KGRK19960104_230845,5,3.400,1.200,2467,nan,0,0,0.697,0.697,0.697
KGRK19960104-1,KGRK19960104_230845,6,4.400,1.200,2469,nan,0,0,0.700,0.700,0.700
KGRK19960104-2,KGRK19960105_011631,0,0.500,1.200,540,nan,0,0,62.683,62.683,62.683
KGRK19960104-2,KGRK19960105_011631,2,1.400,1.200,1276,nan,0,0,1.054,1.054,1.054
KGRK19960104-2,KGRK19960105_011631,4,2.400,1.200,1274,nan,0,0,3.645,3.645,3.645
KGRK19960104-2,KGRK19960105_011631,5,3.500,1.200,1277,nan,0,0,0.319,0.319,0.319
KGRK19960104-2,KGRK19960105_011631,6,4.400,1.200,1284,nan,0,0,0.153,0.153,0.153
KGRK19960105-2,KGRK19960106_014918,0,0.500,1.200,3118,nan,0,0,4229.276,4229.276,4229.276
KGRK19960105-2,KGRK19960106_014918,2,1.400,1.200,2663,nan,0,0,4.077,4.077,4.077
KGRK19960105-2,KGRK19960106_015855,0,0.500,1.200,3713,nan,0,0,4809.407,4809.407,4809.407
KGRK19960105-2,KGRK19960106_015855,2,1.400,1.200,3714,nan,0,0,11.552,11.552,11.552
KGRK19960105-2,KGRK19960106_020833,0,0.500,1.200,3598,nan,0,0,3765.391,3765.391,3765.391
KGRK19960105-2,KGRK19960106_020833,2,1.500,1.200,3605,nan,0,0,5.099,5.099,5.099
KGRK19960105-1,KGRK19960106_005132,0,0.500,1.200,3859,nan,0,0,240.470,240.470,240.470
KGRK19960105-1,KGRK19960106_005132,2,1.500,1.200,3860,nan,0,0,4.790,4.790,4.790
KGRK19960105-3,KGRK19960106_015855,0,0.500,1.200,6146,nan,0,0,49097.620,49097.620,49097.620
KGRK19960105-3,KGRK19960106_015855,2,1.400,1.200,6148,nan,0,0,1761.023,1761.023,1761.023
KGRK19960105-3,KGRK19960106_015855,4,2.500,1.200,6153,nan,0,0,5.680,5.680,5.680
KGRK19960116-1,KGRK19960116_225946,0,0.500,1.200,22,nan,0,0,424.234,424.234,424.234
KGRK19960116-1,KGRK19960116_225946,2,1.400,1.200,21,nan,0,0,0.008,0.008,0.008
KGRK19960116-1,KGRK19960116_225946,4,2.500,1.200,21,nan,0,0,0.008,0.008,0.008
KGRK19960116-1,KGRK19960116_225946,5,3.500,1.200,21,nan,0,0,0.008,0.008,0.008
KGRK19960116-2,KGRK19960117_001716,0,0.500,1.200,115,nan,0,0,10.550,10.550,10.550
KGRK19960116-2,KGRK19960117_001716,2,1.500,1.200,115,nan,0,0,0.040,0.040,0.040
KGRK19960116-2,KGRK19960117_001716,4,2.500,1.200,117,nan,0,0,0.041,0.041,0.041
KGRK19960116-2,KGRK19960117_001716,5,3.500,1.200,113,nan,0,0,0.039,0.039,0.039
KGRK19960122-1,KGRK19960122_223100,0,0.500,1.200,626,nan,0,0,551.416,551.416,551.416
KGRK19960122-1,KGRK19960122_223100,2,1.400,1.200,622,nan,0,0,0.728,0.728,0.728
KGRK19960122-1,KGRK19960122_224037,0,0.500,1.200,1956,nan,0,0,1288.880,1288.880,1288.880
KGRK19960122-1,KGRK19960122_224037,2,1.400,1.200,1939,nan,0,0,2.172,2.172,2.172
KGRK19960122-1,KGRK19960122_225015,0,0.500,1.200,4109,nan,0,0,1597.877,1597.877,1597.877
KGRK19960122-1,KGRK19960122_225015,2,1.500,1.200,4019,nan,0,0,4.517,4.517,4.517
KGRK19960122-1,KGRK19960122_225953,0,0.500,1.200,18848,nan,0,0,1209.367,1209.367,1209.367
KGRK19960122-1,KGRK19960122_225953,2,1.500,1.200,17870,nan,0,0,169.001,169.001,169.001
KGRK19960122-2,KGRK19960122_224037,0,0.500,1.200,708,nan,0,0,3503.606,3503.606,3503.606
KGRK19960122-2,KGRK19960122_224037,2,1.400,1.200,704,nan,0,0,1577.980,1577.980,1577.980
KGRK19960122-2,KGRK19960122_224037,4,2.500,1.200,706,nan,0,0,126.893,126.893,126.893
KGRK19960122-2,KGRK19960122_224037,5,3.500,1.200,706,nan,0,0,0.716,0.716,0.716
KGRK19960122-2,KGRK19960122_224037,6,4.500,1.200,704,nan,0,0,0.100,0.100,0.100
KGRK19960122-4,KGRK19960122_232847,0,0.500,1.200,7814,nan,0,0,432.179,432.179,432.179
KGRK19960122-4,KGRK19960122_232847,2,1.400,1.200,7812,nan,0,0,166.324,166.324,166.324
KGRK19960122-4,KGRK19960122_232847,4,2.500,1.200,7817,nan,0,0,4.878,4.878,4.878
KGRK19960122-4,KGRK19960122_232847,5,3.500,1.200,8034,nan,0,0,3.816,3.816,3.816
KGRK19960122-5,KGRK19960123_002702,0,0.500,1.200,329,nan,0,0,242.249,242.249,242.249
KGRK19960122-5,KGRK19960123_002702,2,1.500,1.200,331,nan,0,0,0.444,0.444,0.444
KGRK19960123-1,KGRK19960124_001109,0,0.500,1.200,102,nan,0,0,2278.345,2278.345,2278.345
KGRK19960123-1,KGRK19960124_001109,2,1.400,1.200,102,nan,0,0,0.048,0.048,0.048
KGRK19960123-1,KGRK19960124_001109,4,2.400,1.200,102,nan,0,0,0.048,0.048,0.048
KGRK19960123-1,KGRK19960124_001109,5,3.300,1.200,101,nan,0,0,0.047,0.047,0.047
KGRK19960123-1,KGRK19960124_001701,0,0.500,1.200,859,nan,0,0,9113.607,9113.607,9113.607
KGRK19960123-1,KGRK19960124_001701,2,1.400,1.200,854,nan,0,0,3.301,3.301,3.301
KGRK19960123-1,KGRK19960124_001701,4,2.400,1.200,1023,nan,0,0,0.479,0.479,0.479
KGRK19960123-1,KGRK19960124_001701,5,3.300,1.200,852,nan,0,0,0.398,0.398,0.398
KGRK19960123-1,KGRK19960124_002252,0,0.500,1.200,1997,nan,0,0,14324.509,14324.509,14324.509
KGRK19960123-1,KGRK19960124_002252,2,1.400,1.200,1996,nan,0,0,3.523,3.523,3.523
KGRK19960123-1,KGRK19960124_002252,4,2.400,1.200,1997,nan,0,0,0.893,0.893,0.893
KGRK19960123-1,KGRK19960124_002252,5,3.300,1.200,2004,nan,0,0,0.898,0.898,0.898
KGRK19960123-1,KGRK19960124_002844,0,0.500,1.200,2995,nan,0,0,12696.179,12696.179,12696.179
KGRK19960123-1,KGRK19960124_002844,2,1.400,1.200,1991,nan,0,0,2.119,2.119,2.119
KGRK19960123-1,KGRK19960124_002844,4,2.400,1.200,2993,nan,0,0,1.318,1.318,1.318
KGRK19960123-1,KGRK19960124_002844,5,3.300,1.200,3000,nan,0,0,1.324,1.324,1.324
KGRK19960123-1,KGRK19960124_003436,0,0.500,1.200,3295,nan,0,0,16987.559,16987.559,16987.559
KGRK19960123-1,KGRK19960124_003436,2,1.400,1.200,3174,nan,0,0,6.071,6.071,6.071
KGRK19960123-1,KGRK19960124_003436,4,2.400,1.200,1892,nan,0,0,0.733,0.733,0.733
KGRK19960123-1,KGRK19960124_003436,5,3.300,1.200,3016,nan,0,0,1.190,1.190,1.190
KGRK19960123-1,KGRK19960124_004026,0,0.500,1.200,4440,nan,0,0,17473.233,17473.233,17473.233
KGRK19960123-1,KGRK19960124_004026,2,1.400,1.200,4435,nan,0,0,19.200,19.200,19.200
KGRK19960123-1,KGRK19960124_004026,4,2.400,1.200,4440,nan,0,0,1.942,1.942,1.942
KGRK19960123-1,KGRK19960124_004026,5,3.300,1.200,4446,nan,0,0,1.947,1.947,1.947
KGRK19960123-4,KGRK19960124_002252,0,0.500,1.200,1815,nan,0,0,30509.199,30509.199,30509.199
KGRK19960123-4,KGRK19960124_002252,2,1.400,1.200,1811,nan,0,0,13.419,13.419,13.419
KGRK19960123-4,KGRK19960124_002252,4,2.400,1.200,1814,nan,0,0,0.424,0.424,0.424
KGRK19960123-4,KGRK19960124_002252,5,3.300,1.200,1815,nan,0,0,0.929,0.929,0.929
KGRK19960123-4,KGRK19960124_002252,6,4.300,1.200,1817,nan,0,0,0.250,0.250,0.250
KGRK19960123-4,KGRK19960124_002252,7,5.800,1.200,1824,nan,0,0,0.252,0.252,0.252
KGRK19960123-4,KGRK19960124_002844,0,0.500,1.200,2845,nan,0,0,22839.011,22839.011,22839.011
