track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_weather_pixels,n_highZ_pixels_60,n_highZ_pixels_40,n_animals,n_animals_60,n_animals_40
KSJT19970102-1,KSJT19970102_235747,0,0.500,1.200,2210,nan,0,431,130741967.467,130741967.467,6573453.085
KSJT19970102-1,KSJT19970102_235747,2,1.400,1.200,2212,nan,0,0,285.508,285.508,285.508
KSJT19970102-2,KSJT19970103_005022,0,0.500,1.200,2439,nan,0,131,16116968.890,16116968.890,3212907.259
KSJT19970102-2,KSJT19970103_005022,2,1.400,1.200,2441,nan,0,0,591.070,591.070,591.070
KSJT19970102-2,KSJT19970103_005022,4,2.400,1.200,2443,nan,0,0,2.333,2.333,2.333
KSJT19970103-1,KSJT19970103_223722,0,0.500,1.200,988,nan,0,0,3630.549,3630.549,3630.549
KSJT19970103-1,KSJT19970103_223722,2,1.400,1.200,989,nan,0,0,2.127,2.127,2.127
KSJT19970103-1,KSJT19970103_223722,4,2.400,1.200,992,nan,0,0,3.372,3.372,3.372
KSJT19970103-1,KSJT19970103_223722,5,3.500,1.200,992,nan,0,0,1.516,1.516,1.516
KSJT19970103-1,KSJT19970103_223722,6,4.500,1.200,990,nan,0,0,0.315,0.315,0.315
KSJT19970104-1,KSJT19970104_222938,0,0.500,1.200,1088,nan,0,0,21282.028,21282.028,21282.028
KSJT19970104-1,KSJT19970104_222938,2,1.500,1.200,1085,nan,0,0,1.290,1.290,1.290
KSJT19970104-1,KSJT19970104_222938,4,2.400,1.200,1081,nan,0,0,1.716,1.716,1.716
KSJT19970104-1,KSJT19970104_222938,5,3.400,1.200,1087,nan,0,0,1.607,1.607,1.607
KSJT19970104-1,KSJT19970104_222938,6,4.300,1.200,1091,nan,0,0,0.775,0.775,0.775
KSJT19970104-1,KSJT19970104_222938,7,5.900,1.200,1116,nan,0,0,0.805,0.805,0.805
KSJT19970104-1,KSJT19970104_223528,0,0.500,1.200,3140,nan,0,0,24876.190,24876.190,24876.190
KSJT19970104-1,KSJT19970104_223528,2,1.400,1.200,3142,nan,0,0,5.926,5.926,5.926
KSJT19970104-1,KSJT19970104_223528,4,2.400,1.200,3126,nan,0,0,2.163,2.163,2.163
KSJT19970104-1,KSJT19970104_223528,5,3.300,1.200,3126,nan,0,0,5.860,5.860,5.860
KSJT19970104-1,KSJT19970104_223528,6,4.200,1.200,3140,nan,0,0,3.481,3.481,3.481
KSJT19970104-1,KSJT19970104_223528,7,5.900,1.200,3142,nan,0,0,1.774,1.774,1.774
KSJT19970104-1,KSJT19970104_224118,0,0.500,1.200,2686,nan,0,0,14484.011,14484.011,14484.011
KSJT19970104-1,KSJT19970104_224118,2,1.500,1.200,2504,nan,0,0,4.183,4.183,4.183
KSJT19970104-1,KSJT19970104_224118,4,2.400,1.200,2512,nan,0,0,2.793,2.793,2.793
KSJT19970104-1,KSJT19970104_224118,5,3.300,1.200,2515,nan,0,0,4.252,4.252,4.252
KSJT19970104-1,KSJT19970104_224118,6,4.300,1.200,2515,nan,0,0,3.584,3.584,3.584
KSJT19970104-1,KSJT19970104_224118,7,5.900,1.200,2519,nan,0,0,1.803,1.803,1.803
KSJT19970104-4,KSJT19970105_002044,0,0.500,1.200,3215,nan,0,0,5517.392,5517.392,5517.392
KSJT19970104-4,KSJT19970105_002044,2,1.500,1.200,3218,nan,0,0,195.828,195.828,195.828
KSJT19970104-4,KSJT19970105_002044,4,2.400,1.200,3221,nan,0,0,71.988,71.988,71.988
KSJT19970104-4,KSJT19970105_002044,5,3.500,1.200,3244,nan,0,0,30.096,30.096,30.096
