track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
3,KGRK20210102_004658_V06,0,0.483,1.200,790,0,16579.168
3,KGRK20210102_004658_V06,2,0.879,1.200,791,0,4078.024
3,KGRK20210102_004658_V06,4,1.318,1.200,790,0,97.995
3,KGRK20210102_004658_V06,6,1.802,1.200,394,0,0.131
3,KGRK20210102_004658_V06,7,2.417,1.200,395,0,0.131
3,KGRK20210102_004658_V06,8,3.120,1.200,396,0,0.132
3,KGRK20210102_004658_V06,9,3.999,1.200,393,0,0.131
3,KGRK20210102_010052_V06,0,0.483,1.200,3764,0,8087.857
3,KGRK20210102_010052_V06,2,0.879,1.200,3764,0,2437.057
3,KGRK20210102_010052_V06,4,1.318,1.200,3766,0,140.650
3,KGRK20210102_010052_V06,6,1.802,1.200,1875,0,1.641
3,KGRK20210102_010052_V06,7,2.417,1.200,1876,0,0.602
3,KGRK20210102_010052_V06,8,3.120,1.200,1883,0,1.045
3,KGRK20210102_010052_V06,9,3.999,1.200,1885,0,1.532
1,KGRK20210102_003958_V06,0,0.483,1.200,571,0,4593.859
1,KGRK20210102_003958_V06,2,0.879,1.200,571,0,254.924
1,KGRK20210102_003958_V06,4,1.318,1.200,571,0,0.777
1,KGRK20210102_003958_V06,6,1.802,1.200,290,0,0.089
1,KGRK20210102_003958_V06,7,2.417,1.200,288,0,0.088
1,KGRK20210102_003958_V06,8,3.120,1.200,289,0,0.089
1,KGRK20210102_003958_V06,9,3.999,1.200,290,0,0.089
1,KGRK20210104_003351_V06,0,0.483,1.200,517,0,362.896
1,KGRK20210104_003351_V06,2,0.879,1.200,519,0,0.174
1,KGRK20210104_003351_V06,4,1.318,1.200,517,0,0.174
1,KGRK20210104_003351_V06,6,1.802,1.200,259,0,0.174
1,KGRK20210104_003351_V06,7,2.417,1.200,262,0,0.176
1,KGRK20210114_223440_V06,0,0.483,1.200,10129,0,701.433
1,KGRK20210114_223440_V06,2,0.879,1.200,10129,0,810.020
1,KGRK20210114_223440_V06,4,1.318,1.200,10129,0,153.308
1,KGRK20210114_223440_V06,6,1.802,1.200,5064,0,4.809
1,KGRK20210114_223440_V06,7,2.417,1.200,5069,0,4.821
1,KGRK20210114_224143_V06,0,0.483,1.200,15646,0,766.778
1,KGRK20210114_224143_V06,2,0.879,1.200,15647,0,878.515
1,KGRK20210114_224143_V06,4,1.318,1.200,15655,0,224.558
1,KGRK20210114_224143_V06,6,1.802,1.200,7840,0,7.279
1,KGRK20210114_224143_V06,7,2.417,1.200,7845,0,7.289
1,KGRK20210114_224846_V06,0,0.483,1.200,12971,0,714.601
1,KGRK20210114_224846_V06,2,0.879,1.200,12971,0,731.958
1,KGRK20210114_224846_V06,4,1.318,1.200,12978,0,175.079
1,KGRK20210114_224846_V06,6,1.802,1.200,6518,0,5.250
1,KGRK20210114_224846_V06,7,2.417,1.200,6514,0,5.253
1,KGRK20210114_230252_V06,0,0.483,1.200,19294,0,894.620
1,KGRK20210114_230252_V06,2,0.879,1.200,19294,0,566.895
1,KGRK20210114_230252_V06,4,1.318,1.200,19297,0,122.880
1,KGRK20210114_230252_V06,6,1.802,1.200,9646,0,7.170
1,KGRK20210114_230252_V06,7,2.417,1.200,9652,0,15.450
1,KGRK20210114_230955_V06,0,0.483,1.200,14785,0,649.593
1,KGRK20210114_230955_V06,2,0.879,1.200,14790,0,448.946
1,KGRK20210114_230955_V06,4,1.318,1.200,14801,0,124.945
1,KGRK20210114_230955_V06,6,1.802,1.200,7400,0,4.413
1,KGRK20210114_230955_V06,7,2.417,1.200,7407,0,4.421
1,KGRK20210114_230955_V06,8,3.120,1.200,7418,0,5.790
4,KGRK20210114_235213_V06,0,0.483,1.200,2248,0,1344.935
4,KGRK20210114_235213_V06,2,0.879,1.200,2249,0,14.497
4,KGRK20210114_235213_V06,4,1.318,1.200,2249,0,3.744
4,KGRK20210114_235213_V06,6,1.802,1.200,1122,0,3.344
4,KGRK20210114_235213_V06,7,2.417,1.200,1123,0,0.855
4,KGRK20210114_235213_V06,8,3.120,1.200,1125,0,0.250
4,KGRK20210114_235213_V06,9,3.999,1.200,1126,0,0.251
4,KGRK20210114_235213_V06,10,5.098,1.200,1127,0,0.252
1,KGRK20210116_232755_V06,0,0.483,1.200,1233,0,3607.680
1,KGRK20210116_232755_V06,2,0.879,1.200,1233,0,246.970
1,KGRK20210116_232755_V06,4,1.318,1.200,1236,0,0.155
1,KGRK20210116_232755_V06,6,1.802,1.200,620,0,0.074
1,KGRK20210116_232755_V06,7,2.417,1.200,619,0,0.073
1,KGRK20210116_232755_V06,8,3.120,1.200,618,0,0.074
1,KGRK20210116_232755_V06,9,3.999,1.200,615,0,0.116
1,KGRK20210116_232755_V06,10,5.098,1.200,621,0,0.074
1,KGRK20210116_232755_V06,11,6.416,1.200,621,0,0.075
1,KGRK20210117_233925_V06,0,0.483,1.200,6474,0,15838.526
1,KGRK20210117_233925_V06,2,0.879,1.200,6474,0,1058.367
1,KGRK20210117_233925_V06,4,1.318,1.200,6473,0,1.685
1,KGRK20210117_233925_V06,6,1.802,1.200,3237,0,0.546
1,KGRK20210117_233925_V06,7,2.417,1.200,3238,0,0.546
1,KGRK20210117_233925_V06,8,3.120,1.200,3240,0,0.548
1,KGRK20210117_233925_V06,9,3.999,1.200,3247,0,0.550
1,KGRK20210117_233925_V06,10,5.098,1.200,3250,0,0.584
1,KGRK20210117_233925_V06,11,6.416,1.200,3257,0,0.556
2,KGRK20210117_234613_V06,0,0.483,1.200,1908,0,56294.833
2,KGRK20210117_234613_V06,2,0.879,1.200,1908,0,5699.702
2,KGRK20210117_234613_V06,4,1.318,1.200,1907,0,8.864
2,KGRK20210117_234613_V06,6,1.802,1.200,955,0,0.280
2,KGRK20210117_234613_V06,7,2.417,1.200,956,0,0.280
2,KGRK20210117_234613_V06,8,3.120,1.200,956,0,0.281
2,KGRK20210117_234613_V06,9,3.999,1.200,955,0,0.281
2,KGRK20210118_233623_V06,0,0.483,1.200,364,0,6510.419
2,KGRK20210118_233623_V06,2,0.879,1.200,365,0,389.816
2,KGRK20210118_233623_V06,4,1.318,1.200,364,0,1.097
2,KGRK20210118_233623_V06,6,1.802,1.200,181,0,0.284
2,KGRK20210118_233623_V06,7,2.417,1.200,181,0,0.197
2,KGRK20210118_233623_V06,8,3.120,1.200,182,0,0.021
2,KGRK20210118_233623_V06,9,3.999,1.200,181,0,0.021
2,KGRK20210118_233623_V06,10,5.098,1.200,184,0,0.022
2,KGRK20210118_233623_V06,11,6.416,1.200,185,0,0.022
2,KGRK20210118_234326_V06,0,0.483,1.200,2868,0,19994.286
2,KGRK20210118_234326_V06,2,0.879,1.200,2867,0,1260.818
2,KGRK20210118_234326_V06,4,1.318,1.200,2869,0,3.875
2,KGRK20210118_234326_V06,6,1.802,1.200,1436,0,2.176
2,KGRK20210118_234326_V06,7,2.417,1.200,1440,0,1.321
2,KGRK20210118_234326_V06,8,3.120,1.200,1438,0,0.170
2,KGRK20210118_234326_V06,9,3.999,1.200,1441,0,0.170
2,KGRK20210118_234326_V06,10,5.098,1.200,1439,0,0.213
2,KGRK20210118_234326_V06,11,6.416,1.200,1446,0,0.172
2,KGRK20210118_235029_V06,0,0.483,1.200,4101,0,20731.967
2,KGRK20210118_235029_V06,2,0.879,1.200,4102,0,933.120
2,KGRK20210118_235029_V06,4,1.318,1.200,4103,0,3.613
2,KGRK20210118_235029_V06,6,1.802,1.200,2046,0,1.020
2,KGRK20210118_235029_V06,7,2.417,1.200,2046,0,0.982
2,KGRK20210118_235029_V06,8,3.120,1.200,2052,0,0.282
2,KGRK20210118_235029_V06,9,3.999,1.200,2055,0,0.347
2,KGRK20210118_235029_V06,10,5.098,1.200,2058,0,0.285
2,KGRK20210118_235029_V06,11,6.416,1.200,2063,0,0.287
3,KGRK20210119_003931_V06,0,0.483,1.200,4729,0,11254.127
3,KGRK20210119_003931_V06,2,0.879,1.200,4729,0,1594.809
3,KGRK20210119_003931_V06,4,1.318,1.200,4730,0,60.153
3,KGRK20210119_003931_V06,6,1.802,1.200,2360,0,4.570
3,KGRK20210119_003931_V06,7,2.417,1.200,2361,0,9.303
3,KGRK20210119_003931_V06,8,3.120,1.200,2365,0,204.163
3,KGRK20210119_003931_V06,9,3.999,1.200,2369,0,1.072
3,KGRK20210119_003931_V06,10,5.098,1.200,2379,0,1.129
3,KGRK20210119_003931_V06,11,6.416,1.200,2379,0,1.069
3,KGRK20210119_004633_V06,0,0.483,1.200,11778,0,14980.918
3,KGRK20210119_004633_V06,2,0.879,1.200,11780,0,2211.668
3,KGRK20210119_004633_V06,4,1.318,1.200,11785,0,136.716
3,KGRK20210119_004633_V06,6,1.802,1.200,5884,0,8.156
3,KGRK20210119_004633_V06,7,2.417,1.200,5888,0,10.022
3,KGRK20210119_004633_V06,8,3.120,1.200,5895,0,249.804
3,KGRK20210119_004633_V06,9,3.999,1.200,5897,0,119.423
3,KGRK20210119_004633_V06,10,5.098,1.200,5914,0,3.382
3,KGRK20210119_004633_V06,11,6.416,1.200,5926,0,2.280
4,KGRK20210119_003931_V06,0,0.483,1.200,4613,0,940.331
4,KGRK20210119_003931_V06,2,0.879,1.200,4611,0,302.788
4,KGRK20210119_003931_V06,4,1.318,1.200,4612,0,43.197
4,KGRK20210119_004633_V06,0,0.483,1.200,6753,0,1858.229
4,KGRK20210119_004633_V06,2,0.879,1.200,6754,0,263.058
4,KGRK20210119_004633_V06,4,1.318,1.200,6756,0,55.073
13,KGRK20210120_001152_V06,0,0.483,1.200,2883,0,12106.336
13,KGRK20210120_001152_V06,2,0.879,1.200,2884,0,13540.875
13,KGRK20210120_001152_V06,4,1.318,1.200,2886,0,13279.281
13,KGRK20210120_001152_V06,6,1.802,1.200,1445,0,7161.682
13,KGRK20210120_001152_V06,7,2.417,1.200,1446,0,687.345
13,KGRK20210120_001152_V06,8,3.120,1.200,1446,0,2.817
13,KGRK20210120_001152_V06,9,3.999,1.200,1450,0,0.600
1,KGRK20210120_223622_V06,0,0.483,1.200,3984,0,1560.350
1,KGRK20210120_223622_V06,2,0.879,1.200,3988,0,3197.733
4,KGRK20210121_230602_V06,0,0.483,1.200,3242,0,38451.697
4,KGRK20210121_230602_V06,2,0.879,1.200,3242,0,2977.542
4,KGRK20210121_230602_V06,4,1.318,1.200,3241,0,225.796
4,KGRK20210121_230602_V06,6,1.802,1.200,1625,0,470.670
4,KGRK20210121_230602_V06,7,2.417,1.200,1625,0,929.364
4,KGRK20210121_230602_V06,8,3.120,1.200,1621,0,772.141
4,KGRK20210121_230602_V06,9,3.999,1.200,1624,0,25.530
4,KGRK20210121_231010_V06,0,0.483,1.200,5593,0,58069.653
4,KGRK20210121_231010_V06,2,0.879,1.200,5593,0,4801.519
4,KGRK20210121_231010_V06,4,1.318,1.200,5594,0,1846.387
4,KGRK20210121_231010_V06,6,1.802,1.200,2797,0,3220.142
4,KGRK20210121_231010_V06,7,2.417,1.200,2798,0,5462.963
4,KGRK20210121_231010_V06,8,3.120,1.200,2802,0,4009.077
4,KGRK20210121_231010_V06,9,3.999,1.200,2807,0,290.230
4,KGRK20210121_231418_V06,0,0.483,1.200,6811,0,51928.482
4,KGRK20210121_231418_V06,2,0.879,1.200,6814,0,6162.363
4,KGRK20210121_231418_V06,4,1.318,1.200,6817,0,2895.551
4,KGRK20210121_231418_V06,6,1.802,1.200,3407,0,5694.508
4,KGRK20210121_231418_V06,7,2.417,1.200,3412,0,8647.242
4,KGRK20210121_231418_V06,8,3.120,1.200,3414,0,14559.229
4,KGRK20210121_231418_V06,9,3.999,1.200,3417,0,867.192
4,KGRK20210121_231826_V06,0,0.483,1.200,6509,0,58750.589
4,KGRK20210121_231826_V06,2,0.879,1.200,6509,0,7822.060
4,KGRK20210121_231826_V06,4,1.318,1.200,6515,0,5580.046
4,KGRK20210121_231826_V06,6,1.802,1.200,3259,0,7921.537
4,KGRK20210121_231826_V06,7,2.417,1.200,3256,0,13103.604
4,KGRK20210121_231826_V06,8,3.120,1.200,3256,0,21076.091
4,KGRK20210121_231826_V06,9,3.999,1.200,3265,0,1805.862
4,KGRK20210121_232233_V06,0,0.483,1.200,4455,0,57221.057
4,KGRK20210121_232233_V06,2,0.879,1.200,4456,0,11164.990
4,KGRK20210121_232233_V06,4,1.318,1.200,4458,0,8969.080
4,KGRK20210121_232233_V06,6,1.802,1.200,2230,0,9383.170
4,KGRK20210121_232233_V06,7,2.417,1.200,2231,0,11511.593
4,KGRK20210121_232233_V06,8,3.120,1.200,2232,0,17503.412
4,KGRK20210121_232233_V06,9,3.999,1.200,2230,0,7693.713
10,KGRK20210121_233457_V06,0,0.483,1.200,3653,0,12342.281
10,KGRK20210121_233457_V06,2,0.879,1.200,3658,0,12016.184
10,KGRK20210121_233905_V06,0,0.483,1.200,5466,0,10621.583
10,KGRK20210121_233905_V06,2,0.879,1.200,5459,0,13814.556
10,KGRK20210121_234314_V06,0,0.483,1.200,6697,0,10492.989
10,KGRK20210121_234314_V06,2,0.879,1.200,6692,0,14548.448
10,KGRK20210121_234722_V06,0,0.483,1.200,7294,0,11562.981
10,KGRK20210121_234722_V06,2,0.879,1.200,7297,0,15275.107
10,KGRK20210121_235129_V06,0,0.483,1.200,8349,0,9918.675
10,KGRK20210121_235129_V06,2,0.879,1.200,8354,0,13415.498
10,KGRK20210121_235537_V06,0,0.483,1.200,4742,0,9033.609
10,KGRK20210121_235537_V06,2,0.879,1.200,4749,0,9568.270
10,KGRK20210121_235537_V06,4,1.318,1.200,4747,0,5592.155
10,KGRK20210122_000312_V06,0,0.483,1.200,7634,0,9162.933
10,KGRK20210122_000312_V06,2,0.879,1.200,7636,0,8634.299
10,KGRK20210122_000312_V06,4,1.318,1.200,7628,0,5296.787
10,KGRK20210122_000653_V06,0,0.483,1.200,5272,0,6742.027
10,KGRK20210122_000653_V06,2,0.879,1.200,5273,0,6061.868
10,KGRK20210122_000653_V06,4,1.318,1.200,5268,0,4769.905
35,KGRK20210122_011637_V06,0,0.483,1.200,5645,0,27755.592
35,KGRK20210122_011637_V06,2,0.879,1.200,5642,0,23210.806
35,KGRK20210122_011637_V06,4,1.318,1.200,5635,0,12365.836
35,KGRK20210122_011637_V06,6,1.802,1.200,2820,0,7780.259
35,KGRK20210122_011637_V06,7,2.417,1.200,2823,0,3961.611
35,KGRK20210122_011637_V06,8,3.120,1.200,2825,0,1046.303
35,KGRK20210122_012004_V06,0,0.483,1.200,7770,0,17969.452
35,KGRK20210122_012004_V06,2,0.879,1.200,7767,0,12646.072
35,KGRK20210122_012004_V06,4,1.318,1.200,7774,0,6779.879
35,KGRK20210122_012004_V06,6,1.802,1.200,3882,0,5201.713
35,KGRK20210122_012004_V06,7,2.417,1.200,3891,0,3730.026
35,KGRK20210122_012004_V06,8,3.120,1.200,3892,0,1355.611
37,KGRK20210122_012004_V06,0,0.483,1.200,97689,0,184615.940
37,KGRK20210122_012004_V06,2,0.879,1.200,97705,0,88030.133
37,KGRK20210122_012004_V06,4,1.318,1.200,97713,0,80594.518
37,KGRK20210122_012004_V06,6,1.802,1.200,48875,0,92925.180
37,KGRK20210122_012004_V06,7,2.417,1.200,48895,0,145904.797
37,KGRK20210122_012004_V06,8,3.120,1.200,48921,0,186874.504
37,KGRK20210122_012004_V06,9,3.999,1.200,48981,0,180389.893
37,KGRK20210122_012004_V06,10,5.098,1.200,49075,0,41171.813
37,KGRK20210122_012004_V06,11,6.416,1.200,49201,0,23325.970
37,KGRK20210122_012332_V06,0,0.483,1.200,106944,0,204035.377
37,KGRK20210122_012332_V06,2,0.879,1.200,106954,0,104731.403
37,KGRK20210122_012332_V06,4,1.318,1.200,106979,0,89412.826
37,KGRK20210122_012332_V06,6,1.802,1.200,53510,0,91668.586
37,KGRK20210122_012332_V06,7,2.417,1.200,53545,0,137080.105
37,KGRK20210122_012332_V06,8,3.120,1.200,53579,0,228838.011
37,KGRK20210122_012332_V06,9,3.999,1.200,53629,0,154344.956
37,KGRK20210122_012332_V06,10,5.098,1.200,53736,0,44374.571
37,KGRK20210122_012332_V06,11,6.416,1.200,53866,0,26984.596
37,KGRK20210122_012700_V06,0,0.483,1.200,108860,0,220671.547
37,KGRK20210122_012700_V06,2,0.879,1.200,108872,0,120955.952
37,KGRK20210122_012700_V06,4,1.318,1.200,108887,0,116204.207
