track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
4,KDFX19990102_013829,104.445,0.406,317.095,425.318,5.376,-100.193,28.707,2687.899,63239.394,19990101_193829
4,KDFX19990102_014419,110.278,0.205,321.396,424.889,12.946,-100.171,28.709,6472.764,63354.280,19990101_194419
4,KDFX19990102_015009,116.112,0.150,337.648,425.187,14.757,-100.088,28.708,7378.617,65362.904,19990101_195009
4,KDFX19990102_015559,121.945,0.170,349.404,426.535,15.842,-100.027,28.701,7921.242,67918.715,19990101_195559
7,KDFX19990102_013829,104.445,0.062,460.839,153.501,40.354,-99.447,29.931,20177.208,108778.723,19990101_193829
7,KDFX19990102_014419,110.278,0.058,459.180,152.893,51.904,-99.456,29.934,25952.175,108373.066,19990101_194419
7,KDFX19990102_015009,116.112,0.065,467.261,148.771,60.075,-99.414,29.952,30037.302,112745.664,19990101_195009
8,KDFX19990102_015009,116.112,0.385,149.199,243.960,59.795,-101.058,29.523,29897.449,80438.515,19990101_195009
8,KDFX19990102_015559,121.945,0.065,150.397,246.426,64.566,-101.052,29.512,32282.932,79453.135,19990101_195559
8,KDFX19990102_020740,133.628,0.052,155.613,269.313,61.184,-101.024,29.409,30591.843,73805.792,19990101_200740
1,KDFX19990101_230652,-47.172,0.058,17.328,239.828,16.138,-101.738,29.536,8068.877,144502.555,19990101_170652
2,KDFX19990102_005148,57.762,0.125,256.275,419.418,16.601,-100.504,28.734,8300.642,63585.843,19990101_185148
1,KDFX19990108_003739,39.194,0.443,335.929,329.700,8.832,-100.096,29.138,4416.035,23307.382,19990107_183739
3,KDFX19990108_003739,39.194,0.055,149.274,261.646,9.031,-101.057,29.443,4515.354,77764.357,19990107_183739
4,KDFX19990108_004729,49.027,0.055,255.084,185.697,9.396,-100.513,29.788,4698.170,61405.846,19990107_184729
3,KDFX19990109_003744,38.499,0.163,256.420,193.403,8.563,-100.506,29.753,4281.567,57580.650,19990108_183744
3,KDFX19990109_004734,48.333,0.922,254.888,194.550,13.197,-100.513,29.748,6598.347,57347.398,19990108_184734
3,KDFX19990109_005724,58.166,0.907,253.664,196.794,22.893,-100.520,29.738,11446.479,56565.211,19990108_185724
3,KDFX19990109_010715,68.016,0.716,251.979,200.974,29.679,-100.528,29.719,14839.632,55027.685,19990108_190715
1,KDFX19990109_002754,28.666,0.203,320.743,397.864,38.747,-100.174,28.831,19373.274,50018.847,19990108_182754
1,KDFX19990112_224724,-75.038,0.068,376.876,173.532,2.282,-99.883,29.842,1141.094,73999.910,19990112_164724
2,KDFX19990113_011641,74.246,0.097,385.291,411.414,20.862,-99.844,28.769,10430.845,70156.344,19990112_191641
2,KDFX19990114_004624,43.142,0.092,260.634,209.241,24.611,-100.484,29.682,12305.464,49464.523,19990113_184624
2,KDFX19990114_005615,52.992,0.722,256.533,210.131,34.327,-100.505,29.678,17163.264,49914.766,19990113_185615
2,KDFX19990114_010605,62.825,0.899,252.628,214.846,42.164,-100.525,29.656,21081.858,48721.752,19990113_190605
2,KDFX19990114_011555,72.659,0.262,249.008,218.525,49.465,-100.544,29.640,24732.405,48058.401,19990113_191555
1,KDFX19990113_223724,-85.858,0.201,415.312,279.169,9.639,-99.686,29.365,4819.725,58589.097,19990113_163724
3,KDFX19990114_005615,52.992,0.199,218.159,284.075,11.362,-100.702,29.344,5681.198,41688.172,19990113_185615
4,KDFX19990114_013533,92.292,0.090,342.432,429.954,19.971,-100.063,28.686,9985.548,68353.102,19990113_193533
1,KDFX19990115_004138,37.548,0.188,257.956,193.863,4.005,-100.498,29.751,2002.274,57080.472,19990114_184138
1,KDFX19990115_005232,48.448,0.070,259.188,194.622,13.896,-100.491,29.748,6947.981,56502.638,19990114_185232
1,KDFX19990115_010220,58.248,0.959,253.221,205.335,24.758,-100.522,29.699,12379.193,52796.158,19990114_190220
1,KDFX19990115_011208,68.048,0.943,251.482,211.492,29.385,-100.531,29.672,14692.498,50467.032,19990114_191208
1,KDFX19990115_012157,77.865,0.151,243.198,221.738,32.880,-100.574,29.625,16439.960,48351.252,19990114_192157
3,KDFX19990116_011736,72.683,0.635,428.895,262.052,29.026,-99.616,29.442,14512.810,67182.390,19990115_191736
3,KDFX19990116_012730,82.583,0.098,411.187,275.790,36.709,-99.708,29.380,18354.272,56896.022,19990115_192730
1,KDFX19990116_010742,62.783,0.704,211.038,268.707,8.448,-100.739,29.413,4223.955,47152.719,19990115_190742
4,KDFX19990116_015713,112.299,0.900,397.223,304.307,15.269,-99.780,29.252,7634.468,48659.278,19990115_195713
