filename,local_time
KBGM20230601_083544_V06,20230601_043544
KBGM20230601_084249_V06,20230601_044249
KBGM20230601_084955_V06,20230601_044955
KBGM20230601_090405_V06,20230601_050405
KBGM20230601_091111_V06,20230601_051111
KBGM20230601_091924_V06,20230601_051924
KBGM20230601_092630_V06,20230601_052630
KBGM20230601_093329_V06,20230601_053329
KBGM20230601_094035_V06,20230601_054035
KBGM20230601_094741_V06,20230601_054741
KBGM20230601_100152_V06,20230601_060152
KBGM20230601_100858_V06,20230601_060858
KBGM20230601_101603_V06,20230601_061603
KBGM20230601_102309_V06,20230601_062309
KBGM20230601_103014_V06,20230601_063014
KBGM20230601_103720_V06,20230601_063720
KBGM20230601_104426_V06,20230601_064426
KBGM20230601_105132_V06,20230601_065132
KBGM20230602_083543_V06,20230602_043543
KBGM20230602_084249_V06,20230602_044249
KBGM20230602_084948_V06,20230602_044948
KBGM20230602_090359_V06,20230602_050359
KBGM20230602_091105_V06,20230602_051105
KBGM20230602_091811_V06,20230602_051811
KBGM20230602_092625_V06,20230602_052625
KBGM20230602_093324_V06,20230602_053324
KBGM20230602_094023_V06,20230602_054023
KBGM20230602_094723_V06,20230602_054723
KBGM20230602_100121_V06,20230602_060121
KBGM20230602_100827_V06,20230602_060827
KBGM20230602_101533_V06,20230602_061533
KBGM20230602_102239_V06,20230602_062239
KBGM20230602_102944_V06,20230602_062944
KBGM20230602_103650_V06,20230602_063650
KBGM20230602_104356_V06,20230602_064356
KBGM20230602_105102_V06,20230602_065102
KBGM20230603_083434_V06,20230603_043434
KBGM20230603_084133_V06,20230603_044133
KBGM20230603_084837_V06,20230603_044837
KBGM20230603_090241_V06,20230603_050241
KBGM20230603_090936_V06,20230603_050936
KBGM20230603_091631_V06,20230603_051631
KBGM20230603_092326_V06,20230603_052326
KBGM20230603_093140_V06,20230603_053140
KBGM20230603_093834_V06,20230603_053834
KBGM20230603_094540_V06,20230603_054540
KBGM20230603_095234_V06,20230603_055234
KBGM20230603_100644_V06,20230603_060644
KBGM20230603_101343_V06,20230603_061343
KBGM20230603_102042_V06,20230603_062042
KBGM20230603_102747_V06,20230603_062747
KBGM20230603_103452_V06,20230603_063452
KBGM20230603_104158_V06,20230603_064158
KBGM20230603_104904_V06,20230603_064904
KBGM20230604_083314_V06,20230604_043314
KBGM20230604_084014_V06,20230604_044014
KBGM20230604_084715_V06,20230604_044715
KBGM20230604_090115_V06,20230604_050115
KBGM20230604_090814_V06,20230604_050814
KBGM20230604_091514_V06,20230604_051514
KBGM20230604_092214_V06,20230604_052214
KBGM20230604_092913_V06,20230604_052913
KBGM20230604_093730_V06,20230604_053730
KBGM20230604_094437_V06,20230604_054437
KBGM20230604_095143_V06,20230604_055143
KBGM20230604_100548_V06,20230604_060548
KBGM20230604_101249_V06,20230604_061249
KBGM20230604_101955_V06,20230604_061955
KBGM20230604_102657_V06,20230604_062657
KBGM20230604_103357_V06,20230604_063357
KBGM20230604_104104_V06,20230604_064104
KBGM20230604_104810_V06,20230604_064810
KBGM20230605_083237_V06,20230605_043237
KBGM20230605_083933_V06,20230605_043933
KBGM20230605_084633_V06,20230605_044633
KBGM20230605_090016_V06,20230605_050016
KBGM20230605_090708_V06,20230605_050708
KBGM20230605_091355_V06,20230605_051355
KBGM20230605_092101_V06,20230605_052101
KBGM20230605_092757_V06,20230605_052757
KBGM20230605_093456_V06,20230605_053456
KBGM20230605_094301_V06,20230605_054301
KBGM20230605_094948_V06,20230605_054948
KBGM20230605_100350_V06,20230605_060350
KBGM20230605_101040_V06,20230605_061040
KBGM20230605_101746_V06,20230605_061746
KBGM20230605_102437_V06,20230605_062437
KBGM20230605_103129_V06,20230605_063129
KBGM20230605_103815_V06,20230605_063815
KBGM20230605_104506_V06,20230605_064506
KBGM20230605_105153_V06,20230605_065153
KBGM20230606_082837_V06,20230606_042837
KBGM20230606_083216_V06,20230606_043216
KBGM20230606_083554_V06,20230606_043554
KBGM20230606_083933_V06,20230606_043933
KBGM20230606_084312_V06,20230606_044312
KBGM20230606_084651_V06,20230606_044651
KBGM20230606_085029_V06,20230606_045029
KBGM20230606_085408_V06,20230606_045408
KBGM20230606_090126_V06,20230606_050126
KBGM20230606_090504_V06,20230606_050504
KBGM20230606_090843_V06,20230606_050843
KBGM20230606_091234_V06,20230606_051234
KBGM20230606_091613_V06,20230606_051613
KBGM20230606_091952_V06,20230606_051952
KBGM20230606_092331_V06,20230606_052331
KBGM20230606_092722_V06,20230606_052722
KBGM20230606_093114_V06,20230606_053114
KBGM20230606_093453_V06,20230606_053453
KBGM20230606_093844_V06,20230606_053844
KBGM20230606_094236_V06,20230606_054236
KBGM20230606_094628_V06,20230606_054628
KBGM20230606_095007_V06,20230606_055007
KBGM20230606_095502_V06,20230606_055502
KBGM20230606_100221_V06,20230606_060221
KBGM20230606_100559_V06,20230606_060559
KBGM20230606_100939_V06,20230606_060939
KBGM20230606_101317_V06,20230606_061317
KBGM20230606_101656_V06,20230606_061656
KBGM20230606_102035_V06,20230606_062035
KBGM20230606_102414_V06,20230606_062414
KBGM20230606_102753_V06,20230606_062753
KBGM20230606_103132_V06,20230606_063132
KBGM20230606_103511_V06,20230606_063511
KBGM20230606_103849_V06,20230606_063849
KBGM20230606_104228_V06,20230606_064228
KBGM20230606_104607_V06,20230606_064607
KBGM20230606_104946_V06,20230606_064946
KBGM20230606_105325_V06,20230606_065325
KBGM20230607_083220_V06,20230607_043220
KBGM20230607_083907_V06,20230607_043907
KBGM20230607_084557_V06,20230607_044557
KBGM20230607_085248_V06,20230607_045248
KBGM20230607_090626_V06,20230607_050626
KBGM20230607_091317_V06,20230607_051317
KBGM20230607_092004_V06,20230607_052004
KBGM20230607_092651_V06,20230607_052651
KBGM20230607_093338_V06,20230607_053338
KBGM20230607_094034_V06,20230607_054034
KBGM20230607_094720_V06,20230607_054720
KBGM20230607_100209_V06,20230607_060209
KBGM20230607_100900_V06,20230607_060900
KBGM20230607_101547_V06,20230607_061547
KBGM20230607_102242_V06,20230607_062242
KBGM20230607_102930_V06,20230607_062930
KBGM20230607_103617_V06,20230607_063617
KBGM20230607_104305_V06,20230607_064305
KBGM20230607_104951_V06,20230607_064951
KBGM20230608_083021_V06,20230608_043021
KBGM20230608_083728_V06,20230608_043728
KBGM20230608_084433_V06,20230608_044433
KBGM20230608_085140_V06,20230608_045140
KBGM20230608_090554_V06,20230608_050554
KBGM20230608_091300_V06,20230608_051300
KBGM20230608_092007_V06,20230608_052007
KBGM20230608_092714_V06,20230608_052714
KBGM20230608_093421_V06,20230608_053421
KBGM20230608_094127_V06,20230608_054127
KBGM20230608_094834_V06,20230608_054834
KBGM20230608_100247_V06,20230608_060247
KBGM20230608_101104_V06,20230608_061104
KBGM20230608_101810_V06,20230608_061810
KBGM20230608_102516_V06,20230608_062516
KBGM20230608_103223_V06,20230608_063223
KBGM20230608_103930_V06,20230608_063930
KBGM20230608_104637_V06,20230608_064637
KBGM20230609_082919_V06,20230609_042919
KBGM20230609_083625_V06,20230609_043625
KBGM20230609_084332_V06,20230609_044332
KBGM20230609_085038_V06,20230609_045038
KBGM20230609_090451_V06,20230609_050451
KBGM20230609_091157_V06,20230609_051157
KBGM20230609_091903_V06,20230609_051903
KBGM20230609_092609_V06,20230609_052609
KBGM20230609_093315_V06,20230609_053315
KBGM20230609_094021_V06,20230609_054021
