filename,local_time
KBYX20150601_093932_V06,20150601_053932
KBYX20150601_094317_V06,20150601_054317
KBYX20150601_094702_V06,20150601_054702
KBYX20150601_095048_V06,20150601_055048
KBYX20150601_095433_V06,20150601_055433
KBYX20150601_095818_V06,20150601_055818
KBYX20150601_100203_V06,20150601_060203
KBYX20150601_100548_V06,20150601_060548
KBYX20150601_100933_V06,20150601_060933
KBYX20150601_101317_V06,20150601_061317
KBYX20150601_101702_V06,20150601_061702
KBYX20150601_102047_V06,20150601_062047
KBYX20150601_102433_V06,20150601_062433
KBYX20150601_102818_V06,20150601_062818
KBYX20150601_103202_V06,20150601_063202
KBYX20150601_103548_V06,20150601_063548
KBYX20150601_103933_V06,20150601_063933
KBYX20150601_104318_V06,20150601_064318
KBYX20150601_104716_V06,20150601_064716
KBYX20150601_105102_V06,20150601_065102
KBYX20150601_105448_V06,20150601_065448
KBYX20150601_105833_V06,20150601_065833
KBYX20150601_110218_V06,20150601_070218
KBYX20150601_110603_V06,20150601_070603
KBYX20150601_110948_V06,20150601_070948
KBYX20150601_111333_V06,20150601_071333
KBYX20150601_111718_V06,20150601_071718
KBYX20150601_112104_V06,20150601_072104
KBYX20150601_112450_V06,20150601_072450
KBYX20150601_112834_V06,20150601_072834
KBYX20150601_113219_V06,20150601_073219
KBYX20150601_113604_V06,20150601_073604
KBYX20150601_113950_V06,20150601_073950
KBYX20150601_114335_V06,20150601_074335
KBYX20150601_114720_V06,20150601_074720
KBYX20150601_115313_V06,20150601_075313
KBYX20150601_115659_V06,20150601_075659
KBYX20150601_120043_V06,20150601_080043
KBYX20150601_120428_V06,20150601_080428
KBYX20150602_093951_V06,20150602_053951
KBYX20150602_094336_V06,20150602_054336
KBYX20150602_094721_V06,20150602_054721
KBYX20150602_095108_V06,20150602_055108
KBYX20150602_095453_V06,20150602_055453
KBYX20150602_095951_V06,20150602_055951
KBYX20150602_100336_V06,20150602_060336
KBYX20150602_100734_V06,20150602_060734
KBYX20150602_101200_V06,20150602_061200
KBYX20150602_101641_V06,20150602_061641
KBYX20150602_102139_V06,20150602_062139
KBYX20150602_102635_V06,20150602_062635
KBYX20150602_103133_V06,20150602_063133
KBYX20150602_103627_V06,20150602_063627
KBYX20150602_104123_V06,20150602_064123
KBYX20150602_104619_V06,20150602_064619
KBYX20150602_105114_V06,20150602_065114
KBYX20150602_105610_V06,20150602_065610
KBYX20150602_110104_V06,20150602_070104
KBYX20150602_110600_V06,20150602_070600
KBYX20150602_111055_V06,20150602_071055
KBYX20150602_111550_V06,20150602_071550
KBYX20150602_112045_V06,20150602_072045
KBYX20150602_112540_V06,20150602_072540
KBYX20150602_113035_V06,20150602_073035
KBYX20150602_113533_V06,20150602_073533
KBYX20150602_114028_V06,20150602_074028
KBYX20150602_114523_V06,20150602_074523
KBYX20150602_115018_V06,20150602_075018
KBYX20150602_115514_V06,20150602_075514
KBYX20150602_120223_V06,20150602_080223
KBYX20150602_120718_V06,20150602_080718
KBYX20150603_094040_V06,20150603_054040
KBYX20150603_094514_V06,20150603_054514
KBYX20150603_095030_V06,20150603_055030
KBYX20150603_095511_V06,20150603_055511
KBYX20150603_100019_V06,20150603_060019
KBYX20150603_100531_V06,20150603_060531
KBYX20150603_101042_V06,20150603_061042
KBYX20150603_101554_V06,20150603_061554
KBYX20150603_102106_V06,20150603_062106
KBYX20150603_102616_V06,20150603_062616
KBYX20150603_103133_V06,20150603_063133
KBYX20150603_103651_V06,20150603_063651
KBYX20150603_104208_V06,20150603_064208
KBYX20150603_104726_V06,20150603_064726
KBYX20150603_105243_V06,20150603_065243
KBYX20150603_105800_V06,20150603_065800
KBYX20150603_110318_V06,20150603_070318
KBYX20150603_110835_V06,20150603_070835
KBYX20150603_111346_V06,20150603_071346
KBYX20150603_111857_V06,20150603_071857
KBYX20150603_112407_V06,20150603_072407
KBYX20150603_112922_V06,20150603_072922
KBYX20150603_113440_V06,20150603_073440
KBYX20150603_113959_V06,20150603_073959
KBYX20150603_114516_V06,20150603_074516
KBYX20150603_115034_V06,20150603_075034
KBYX20150603_115552_V06,20150603_075552
KBYX20150603_120110_V06,20150603_080110
KBYX20150604_093942_V06,20150604_053942
KBYX20150604_094354_V06,20150604_054354
KBYX20150604_094805_V06,20150604_054805
KBYX20150604_095219_V06,20150604_055219
KBYX20150604_095632_V06,20150604_055632
KBYX20150604_100031_V06,20150604_060031
KBYX20150604_100430_V06,20150604_060430
KBYX20150604_100830_V06,20150604_060830
KBYX20150604_101216_V06,20150604_061216
KBYX20150604_101600_V06,20150604_061600
KBYX20150604_101944_V06,20150604_061944
KBYX20150604_102330_V06,20150604_062330
KBYX20150604_102715_V06,20150604_062715
KBYX20150604_103100_V06,20150604_063100
KBYX20150604_103445_V06,20150604_063445
KBYX20150604_103831_V06,20150604_063831
KBYX20150604_104216_V06,20150604_064216
KBYX20150604_104601_V06,20150604_064601
KBYX20150604_104946_V06,20150604_064946
KBYX20150604_105332_V06,20150604_065332
KBYX20150604_105717_V06,20150604_065717
KBYX20150604_110102_V06,20150604_070102
KBYX20150604_110447_V06,20150604_070447
KBYX20150604_110832_V06,20150604_070832
KBYX20150604_111217_V06,20150604_071217
KBYX20150604_111602_V06,20150604_071602
KBYX20150604_111947_V06,20150604_071947
KBYX20150604_112333_V06,20150604_072333
KBYX20150604_112717_V06,20150604_072717
KBYX20150604_113102_V06,20150604_073102
KBYX20150604_113447_V06,20150604_073447
KBYX20150604_113832_V06,20150604_073832
KBYX20150604_114217_V06,20150604_074217
KBYX20150604_114602_V06,20150604_074602
KBYX20150604_114947_V06,20150604_074947
KBYX20150604_115333_V06,20150604_075333
KBYX20150604_115718_V06,20150604_075718
KBYX20150604_120103_V06,20150604_080103
KBYX20150604_120448_V06,20150604_080448
KBYX20150605_093823_V06,20150605_053823
KBYX20150605_094245_V06,20150605_054245
KBYX20150605_094707_V06,20150605_054707
KBYX20150605_095128_V06,20150605_055128
KBYX20150605_095549_V06,20150605_055549
KBYX20150605_100012_V06,20150605_060012
KBYX20150605_100433_V06,20150605_060433
KBYX20150605_100855_V06,20150605_060855
KBYX20150605_101319_V06,20150605_061319
KBYX20150605_101742_V06,20150605_061742
KBYX20150605_102203_V06,20150605_062203
KBYX20150605_102626_V06,20150605_062626
