filename,local_time
KCCX20160601_084733_V06,20160601_044733
KCCX20160601_085720_V06,20160601_045720
KCCX20160601_090706_V06,20160601_050706
KCCX20160601_091653_V06,20160601_051653
KCCX20160601_092639_V06,20160601_052639
KCCX20160601_093626_V06,20160601_053626
KCCX20160601_094613_V06,20160601_054613
KCCX20160601_095600_V06,20160601_055600
KCCX20160601_100546_V06,20160601_060546
KCCX20160601_101533_V06,20160601_061533
KCCX20160601_102519_V06,20160601_062519
KCCX20160601_103506_V06,20160601_063506
KCCX20160601_104453_V06,20160601_064453
KCCX20160601_105439_V06,20160601_065439
KCCX20160601_110426_V06,20160601_070426
KCCX20160602_084251_V06,20160602_044251
KCCX20160602_084728_V06,20160602_044728
KCCX20160602_085206_V06,20160602_045206
KCCX20160602_085642_V06,20160602_045642
KCCX20160602_090119_V06,20160602_050119
KCCX20160602_090603_V06,20160602_050603
KCCX20160602_091040_V06,20160602_051040
KCCX20160602_091541_V06,20160602_051541
KCCX20160602_092017_V06,20160602_052017
KCCX20160602_092510_V06,20160602_052510
KCCX20160602_092946_V06,20160602_052946
KCCX20160602_093421_V06,20160602_053421
KCCX20160602_093859_V06,20160602_053859
KCCX20160602_094335_V06,20160602_054335
KCCX20160602_094811_V06,20160602_054811
KCCX20160602_095248_V06,20160602_055248
KCCX20160602_095725_V06,20160602_055725
KCCX20160602_100201_V06,20160602_060201
KCCX20160602_100702_V06,20160602_060702
KCCX20160602_101204_V06,20160602_061204
KCCX20160602_101705_V06,20160602_061705
KCCX20160602_102157_V06,20160602_062157
KCCX20160602_102650_V06,20160602_062650
KCCX20160602_103143_V06,20160602_063143
KCCX20160602_103635_V06,20160602_063635
KCCX20160602_104120_V06,20160602_064120
KCCX20160602_104604_V06,20160602_064604
KCCX20160602_105048_V06,20160602_065048
KCCX20160602_105532_V06,20160602_065532
KCCX20160602_110009_V06,20160602_070009
KCCX20160602_110453_V06,20160602_070453
KCCX20160602_110931_V06,20160602_070931
KCCX20160603_084503_V06,20160603_044503
KCCX20160603_085111_V06,20160603_045111
KCCX20160603_085721_V06,20160603_045721
KCCX20160603_090329_V06,20160603_050329
KCCX20160603_090938_V06,20160603_050938
KCCX20160603_091521_V06,20160603_051521
KCCX20160603_092105_V06,20160603_052105
KCCX20160603_092635_V06,20160603_052635
KCCX20160603_093205_V06,20160603_053205
KCCX20160603_093737_V06,20160603_053737
KCCX20160603_094324_V06,20160603_054324
KCCX20160603_094907_V06,20160603_054907
KCCX20160603_095438_V06,20160603_055438
KCCX20160603_100047_V06,20160603_060047
KCCX20160603_100656_V06,20160603_060656
KCCX20160603_101305_V06,20160603_061305
KCCX20160603_101913_V06,20160603_061913
KCCX20160603_102456_V06,20160603_062456
KCCX20160603_103105_V06,20160603_063105
KCCX20160603_103713_V06,20160603_063713
KCCX20160603_104323_V06,20160603_064323
KCCX20160603_104931_V06,20160603_064931
KCCX20160603_105539_V06,20160603_065539
KCCX20160603_110148_V06,20160603_070148
KCCX20160603_110756_V06,20160603_070756
KCCX20160604_084410_V06,20160604_044410
KCCX20160604_085356_V06,20160604_045356
KCCX20160604_090341_V06,20160604_050341
KCCX20160604_091327_V06,20160604_051327
KCCX20160604_092313_V06,20160604_052313
KCCX20160604_093258_V06,20160604_053258
KCCX20160604_094245_V06,20160604_054245
KCCX20160604_095232_V06,20160604_055232
KCCX20160604_100218_V06,20160604_060218
KCCX20160604_101205_V06,20160604_061205
KCCX20160604_102151_V06,20160604_062151
KCCX20160604_103137_V06,20160604_063137
KCCX20160604_104124_V06,20160604_064124
KCCX20160604_105108_V06,20160604_065108
KCCX20160604_110055_V06,20160604_070055
KCCX20160604_111042_V06,20160604_071042
KCCX20160605_084415_V06,20160605_044415
KCCX20160605_084920_V06,20160605_044920
KCCX20160605_085427_V06,20160605_045427
KCCX20160605_085932_V06,20160605_045932
KCCX20160605_090438_V06,20160605_050438
KCCX20160605_090944_V06,20160605_050944
KCCX20160605_091436_V06,20160605_051436
KCCX20160605_091928_V06,20160605_051928
KCCX20160605_092421_V06,20160605_052421
KCCX20160605_092913_V06,20160605_052913
KCCX20160605_093414_V06,20160605_053414
KCCX20160605_093932_V06,20160605_053932
KCCX20160605_094915_V06,20160605_054915
KCCX20160605_095858_V06,20160605_055858
KCCX20160605_100841_V06,20160605_060841
KCCX20160605_101825_V06,20160605_061825
KCCX20160605_102810_V06,20160605_062810
KCCX20160605_103754_V06,20160605_063754
KCCX20160605_104757_V06,20160605_064757
KCCX20160605_105130_V06,20160605_065130
KCCX20160605_105609_V06,20160605_065609
KCCX20160605_110046_V06,20160605_070046
KCCX20160605_110523_V06,20160605_070523
KCCX20160605_111001_V06,20160605_071001
KCCX20160606_084730_V06,20160606_044730
KCCX20160606_085716_V06,20160606_045716
KCCX20160606_090702_V06,20160606_050702
KCCX20160606_091650_V06,20160606_051650
KCCX20160606_092636_V06,20160606_052636
KCCX20160606_093623_V06,20160606_053623
KCCX20160606_094610_V06,20160606_054610
KCCX20160606_095557_V06,20160606_055557
KCCX20160606_100543_V06,20160606_060543
KCCX20160606_101530_V06,20160606_061530
KCCX20160606_102516_V06,20160606_062516
KCCX20160606_103503_V06,20160606_063503
KCCX20160606_104449_V06,20160606_064449
KCCX20160606_105436_V06,20160606_065436
KCCX20160606_110423_V06,20160606_070423
KCCX20160607_084405_V06,20160607_044405
KCCX20160607_084754_V06,20160607_044754
KCCX20160607_085739_V06,20160607_045739
KCCX20160607_090723_V06,20160607_050723
KCCX20160607_091708_V06,20160607_051708
KCCX20160607_092653_V06,20160607_052653
KCCX20160607_093638_V06,20160607_053638
KCCX20160607_094623_V06,20160607_054623
KCCX20160607_095609_V06,20160607_055609
KCCX20160607_100554_V06,20160607_060554
KCCX20160607_101540_V06,20160607_061540
KCCX20160607_102525_V06,20160607_062525
KCCX20160607_103511_V06,20160607_063511
KCCX20160607_104456_V06,20160607_064456
KCCX20160607_105442_V06,20160607_065442
KCCX20160607_110428_V06,20160607_070428
KCCX20160608_084332_V06,20160608_044332
KCCX20160608_084941_V06,20160608_044941
KCCX20160608_085542_V06,20160608_045542
KCCX20160608_090128_V06,20160608_050128
KCCX20160608_090714_V06,20160608_050714
KCCX20160608_091314_V06,20160608_051314
KCCX20160608_091913_V06,20160608_051913
KCCX20160608_092504_V06,20160608_052504
KCCX20160608_093056_V06,20160608_053056
KCCX20160608_093647_V06,20160608_053647
KCCX20160608_094255_V06,20160608_054255
KCCX20160608_094833_V06,20160608_054833
KCCX20160608_095405_V06,20160608_055405
KCCX20160608_095946_V06,20160608_055946
KCCX20160608_100528_V06,20160608_060528
KCCX20160608_101109_V06,20160608_061109
KCCX20160608_101651_V06,20160608_061651
KCCX20160608_102246_V06,20160608_062246
KCCX20160608_102841_V06,20160608_062841
KCCX20160608_103452_V06,20160608_063452
KCCX20160608_104100_V06,20160608_064100
KCCX20160608_104655_V06,20160608_064655
KCCX20160608_105237_V06,20160608_065237
KCCX20160608_105805_V06,20160608_065805
KCCX20160608_110347_V06,20160608_070347
KCCX20160608_110955_V06,20160608_070955
KCCX20160609_084827_V06,20160609_044827
KCCX20160609_085815_V06,20160609_045815
KCCX20160609_090802_V06,20160609_050802
KCCX20160609_091748_V06,20160609_051748
KCCX20160609_092735_V06,20160609_052735
KCCX20160609_093721_V06,20160609_053721
KCCX20160609_094708_V06,20160609_054708
KCCX20160609_095655_V06,20160609_055655
KCCX20160609_100641_V06,20160609_060641
KCCX20160609_101628_V06,20160609_061628
