filename,local_time
KDIX20170601_083144_V06,20170601_043144
KDIX20170601_083510_V06,20170601_043510
KDIX20170601_083840_V06,20170601_043840
KDIX20170601_084205_V06,20170601_044205
KDIX20170601_084536_V06,20170601_044536
KDIX20170601_084908_V06,20170601_044908
KDIX20170601_085243_V06,20170601_045243
KDIX20170601_085609_V06,20170601_045609
KDIX20170601_085941_V06,20170601_045941
KDIX20170601_090317_V06,20170601_050317
KDIX20170601_090647_V06,20170601_050647
KDIX20170601_091028_V06,20170601_051028
KDIX20170601_091410_V06,20170601_051410
KDIX20170601_091751_V06,20170601_051751
KDIX20170601_092133_V06,20170601_052133
KDIX20170601_093125_V06,20170601_053125
KDIX20170601_094117_V06,20170601_054117
KDIX20170601_095110_V06,20170601_055110
KDIX20170601_100103_V06,20170601_060103
KDIX20170601_101056_V06,20170601_061056
KDIX20170601_102049_V06,20170601_062049
KDIX20170601_103041_V06,20170601_063041
KDIX20170601_104035_V06,20170601_064035
KDIX20170601_105029_V06,20170601_065029
KDIX20170601_110023_V06,20170601_070023
KDIX20170602_083630_V06,20170602_043630
KDIX20170602_084624_V06,20170602_044624
KDIX20170602_085618_V06,20170602_045618
KDIX20170602_090610_V06,20170602_050610
KDIX20170602_091604_V06,20170602_051604
KDIX20170602_092557_V06,20170602_052557
KDIX20170602_093550_V06,20170602_053550
KDIX20170602_094544_V06,20170602_054544
KDIX20170602_095537_V06,20170602_055537
KDIX20170602_100530_V06,20170602_060530
KDIX20170602_101524_V06,20170602_061524
KDIX20170602_102735_V06,20170602_062735
KDIX20170602_103728_V06,20170602_063728
KDIX20170602_104721_V06,20170602_064721
KDIX20170602_105715_V06,20170602_065715
KDIX20170603_083136_V06,20170603_043136
KDIX20170603_084130_V06,20170603_044130
KDIX20170603_085122_V06,20170603_045122
KDIX20170603_090116_V06,20170603_050116
KDIX20170603_091110_V06,20170603_051110
KDIX20170603_091610_V06,20170603_051610
KDIX20170603_092111_V06,20170603_052111
KDIX20170603_092638_V06,20170603_052638
KDIX20170603_093205_V06,20170603_053205
KDIX20170603_093758_V06,20170603_053758
KDIX20170603_094352_V06,20170603_054352
KDIX20170603_094947_V06,20170603_054947
KDIX20170603_095541_V06,20170603_055541
KDIX20170603_100134_V06,20170603_060134
KDIX20170603_100728_V06,20170603_060728
KDIX20170603_101321_V06,20170603_061321
KDIX20170603_101916_V06,20170603_061916
KDIX20170603_102510_V06,20170603_062510
KDIX20170603_103103_V06,20170603_063103
KDIX20170603_103911_V06,20170603_063911
KDIX20170603_104505_V06,20170603_064505
KDIX20170603_105059_V06,20170603_065059
KDIX20170603_105654_V06,20170603_065654
KDIX20170604_083813_V06,20170604_043813
KDIX20170604_084806_V06,20170604_044806
KDIX20170604_085800_V06,20170604_045800
KDIX20170604_090754_V06,20170604_050754
KDIX20170604_091748_V06,20170604_051748
KDIX20170604_092741_V06,20170604_052741
KDIX20170604_093736_V06,20170604_053736
KDIX20170604_094730_V06,20170604_054730
KDIX20170604_095724_V06,20170604_055724
KDIX20170604_100718_V06,20170604_060718
KDIX20170604_101711_V06,20170604_061711
KDIX20170604_102705_V06,20170604_062705
KDIX20170604_103659_V06,20170604_063659
KDIX20170604_104653_V06,20170604_064653
KDIX20170604_105901_V06,20170604_065901
KDIX20170605_083313_V06,20170605_043313
KDIX20170605_083640_V06,20170605_043640
KDIX20170605_084007_V06,20170605_044007
KDIX20170605_084335_V06,20170605_044335
KDIX20170605_084834_V06,20170605_044834
KDIX20170605_085333_V06,20170605_045333
KDIX20170605_085832_V06,20170605_045832
KDIX20170605_090331_V06,20170605_050331
KDIX20170605_090831_V06,20170605_050831
KDIX20170605_091330_V06,20170605_051330
KDIX20170605_091829_V06,20170605_051829
KDIX20170605_092329_V06,20170605_052329
KDIX20170605_092827_V06,20170605_052827
KDIX20170605_093327_V06,20170605_053327
KDIX20170605_093826_V06,20170605_053826
KDIX20170605_094325_V06,20170605_054325
KDIX20170605_094825_V06,20170605_054825
KDIX20170605_095324_V06,20170605_055324
KDIX20170605_095824_V06,20170605_055824
KDIX20170605_100323_V06,20170605_060323
KDIX20170605_100823_V06,20170605_060823
KDIX20170605_101322_V06,20170605_061322
KDIX20170605_101821_V06,20170605_061821
KDIX20170605_102321_V06,20170605_062321
KDIX20170605_102820_V06,20170605_062820
KDIX20170605_103320_V06,20170605_063320
KDIX20170605_103820_V06,20170605_063820
KDIX20170605_104320_V06,20170605_064320
KDIX20170605_104820_V06,20170605_064820
KDIX20170605_105319_V06,20170605_065319
KDIX20170605_105820_V06,20170605_065820
KDIX20170606_083325_V06,20170606_043325
KDIX20170606_083826_V06,20170606_043826
KDIX20170606_084325_V06,20170606_044325
KDIX20170606_084826_V06,20170606_044826
KDIX20170606_085326_V06,20170606_045326
KDIX20170606_085828_V06,20170606_045828
KDIX20170606_090328_V06,20170606_050328
KDIX20170606_090828_V06,20170606_050828
KDIX20170606_091328_V06,20170606_051328
KDIX20170606_091828_V06,20170606_051828
KDIX20170606_092328_V06,20170606_052328
KDIX20170606_092828_V06,20170606_052828
KDIX20170606_093328_V06,20170606_053328
KDIX20170606_093855_V06,20170606_053855
KDIX20170606_094355_V06,20170606_054355
KDIX20170606_094924_V06,20170606_054924
KDIX20170606_095424_V06,20170606_055424
KDIX20170606_095952_V06,20170606_055952
KDIX20170606_100519_V06,20170606_060519
KDIX20170606_101047_V06,20170606_061047
KDIX20170606_101613_V06,20170606_061613
KDIX20170606_102139_V06,20170606_062139
KDIX20170606_102707_V06,20170606_062707
KDIX20170606_103301_V06,20170606_063301
KDIX20170606_103828_V06,20170606_063828
KDIX20170606_104422_V06,20170606_064422
KDIX20170606_105016_V06,20170606_065016
KDIX20170606_105610_V06,20170606_065610
KDIX20170607_083009_V06,20170607_043009
KDIX20170607_083510_V06,20170607_043510
KDIX20170607_084010_V06,20170607_044010
KDIX20170607_084510_V06,20170607_044510
KDIX20170607_085011_V06,20170607_045011
KDIX20170607_085511_V06,20170607_045511
KDIX20170607_090012_V06,20170607_050012
KDIX20170607_090512_V06,20170607_050512
KDIX20170607_091011_V06,20170607_051011
KDIX20170607_091512_V06,20170607_051512
KDIX20170607_092011_V06,20170607_052011
KDIX20170607_093005_V06,20170607_053005
KDIX20170607_093959_V06,20170607_053959
KDIX20170607_094954_V06,20170607_054954
KDIX20170607_095949_V06,20170607_055949
KDIX20170607_100943_V06,20170607_060943
KDIX20170607_101938_V06,20170607_061938
KDIX20170607_102932_V06,20170607_062932
KDIX20170607_103927_V06,20170607_063927
KDIX20170607_104922_V06,20170607_064922
KDIX20170608_083304_V06,20170608_043304
KDIX20170608_084256_V06,20170608_044256
KDIX20170608_085249_V06,20170608_045249
KDIX20170608_090243_V06,20170608_050243
KDIX20170608_091237_V06,20170608_051237
KDIX20170608_092231_V06,20170608_052231
KDIX20170608_093225_V06,20170608_053225
KDIX20170608_094219_V06,20170608_054219
KDIX20170608_095212_V06,20170608_055212
KDIX20170608_100206_V06,20170608_060206
KDIX20170608_101200_V06,20170608_061200
KDIX20170608_102155_V06,20170608_062155
KDIX20170608_103148_V06,20170608_063148
KDIX20170608_104143_V06,20170608_064143
KDIX20170608_105138_V06,20170608_065138
KDIX20170609_083456_V06,20170609_043456
KDIX20170609_084450_V06,20170609_044450
KDIX20170609_085444_V06,20170609_045444
KDIX20170609_090437_V06,20170609_050437
KDIX20170609_091431_V06,20170609_051431
KDIX20170609_092425_V06,20170609_052425
KDIX20170609_093419_V06,20170609_053419
KDIX20170609_094413_V06,20170609_054413
KDIX20170609_095408_V06,20170609_055408
KDIX20170609_100402_V06,20170609_060402
KDIX20170609_101357_V06,20170609_061357
KDIX20170609_102353_V06,20170609_062353
KDIX20170609_103347_V06,20170609_063347
KDIX20170609_104341_V06,20170609_064341
KDIX20170609_105335_V06,20170609_065335
