filename,local_time
KDOX20200601_083850_V06,20200601_043850
KDOX20200601_084828_V06,20200601_044828
KDOX20200601_090743_V06,20200601_050743
KDOX20200601_091721_V06,20200601_051721
KDOX20200601_092700_V06,20200601_052700
KDOX20200601_093637_V06,20200601_053637
KDOX20200601_094615_V06,20200601_054615
KDOX20200601_100531_V06,20200601_060531
KDOX20200601_101508_V06,20200601_061508
KDOX20200601_102446_V06,20200601_062446
KDOX20200601_103425_V06,20200601_063425
KDOX20200601_104402_V06,20200601_064402
KDOX20200601_110317_V06,20200601_070317
KDOX20200602_084238_V06,20200602_044238
KDOX20200602_090154_V06,20200602_050154
KDOX20200602_091132_V06,20200602_051132
KDOX20200602_092110_V06,20200602_052110
KDOX20200602_093049_V06,20200602_053049
KDOX20200602_094027_V06,20200602_054027
KDOX20200602_095005_V06,20200602_055005
KDOX20200602_100921_V06,20200602_060921
KDOX20200602_101859_V06,20200602_061859
KDOX20200602_102837_V06,20200602_062837
KDOX20200602_103815_V06,20200602_063815
KDOX20200602_104753_V06,20200602_064753
KDOX20200602_110709_V06,20200602_070709
KDOX20200603_084053_V06,20200603_044053
KDOX20200603_084520_V06,20200603_044520
KDOX20200603_084938_V06,20200603_044938
KDOX20200603_085356_V06,20200603_045356
KDOX20200603_090247_V06,20200603_050247
KDOX20200603_090706_V06,20200603_050706
KDOX20200603_091139_V06,20200603_051139
KDOX20200603_091612_V06,20200603_051612
KDOX20200603_092040_V06,20200603_052040
KDOX20200603_092508_V06,20200603_052508
KDOX20200603_093001_V06,20200603_053001
KDOX20200603_093509_V06,20200603_053509
KDOX20200603_094011_V06,20200603_054011
KDOX20200603_094511_V06,20200603_054511
KDOX20200603_095018_V06,20200603_055018
KDOX20200603_100116_V06,20200603_060116
KDOX20200603_100711_V06,20200603_060711
KDOX20200603_101258_V06,20200603_061258
KDOX20200603_101845_V06,20200603_061845
KDOX20200603_102431_V06,20200603_062431
KDOX20200603_103019_V06,20200603_063019
KDOX20200603_103606_V06,20200603_063606
KDOX20200603_104151_V06,20200603_064151
KDOX20200603_104742_V06,20200603_064742
KDOX20200603_105330_V06,20200603_065330
KDOX20200603_110501_V06,20200603_070501
KDOX20200604_084206_V06,20200604_044206
KDOX20200604_090122_V06,20200604_050122
KDOX20200604_091100_V06,20200604_051100
KDOX20200604_092038_V06,20200604_052038
KDOX20200604_093015_V06,20200604_053015
KDOX20200604_093954_V06,20200604_053954
KDOX20200604_094932_V06,20200604_054932
KDOX20200604_100847_V06,20200604_060847
KDOX20200604_101825_V06,20200604_061825
KDOX20200604_102802_V06,20200604_062802
KDOX20200604_103740_V06,20200604_063740
KDOX20200604_104718_V06,20200604_064718
KDOX20200604_110634_V06,20200604_070634
KDOX20200605_083741_V06,20200605_043741
KDOX20200605_084159_V06,20200605_044159
KDOX20200605_084617_V06,20200605_044617
KDOX20200605_085035_V06,20200605_045035
KDOX20200605_085453_V06,20200605_045453
