filename,local_time
KEOX20220601_094119_V06,20220601_044119
KEOX20220601_094443_V06,20220601_044443
KEOX20220601_094819_V06,20220601_044819
KEOX20220601_095147_V06,20220601_045147
KEOX20220601_095523_V06,20220601_045523
KEOX20220601_100235_V06,20220601_050235
KEOX20220601_100611_V06,20220601_050611
KEOX20220601_100947_V06,20220601_050947
KEOX20220601_101323_V06,20220601_051323
KEOX20220601_101659_V06,20220601_051659
KEOX20220601_102036_V06,20220601_052036
KEOX20220601_102731_V06,20220601_052731
KEOX20220601_103538_V06,20220601_053538
KEOX20220601_104239_V06,20220601_054239
KEOX20220601_104941_V06,20220601_054941
KEOX20220601_110345_V06,20220601_060345
KEOX20220601_111045_V06,20220601_061045
KEOX20220601_111747_V06,20220601_061747
KEOX20220601_112449_V06,20220601_062449
KEOX20220601_113150_V06,20220601_063150
KEOX20220601_113514_V06,20220601_063514
KEOX20220601_113850_V06,20220601_063850
KEOX20220601_114227_V06,20220601_064227
KEOX20220601_114603_V06,20220601_064603
KEOX20220601_114940_V06,20220601_064940
KEOX20220601_120337_V06,20220601_070337
KEOX20220602_094159_V06,20220602_044159
KEOX20220602_095039_V06,20220602_045039
KEOX20220602_100758_V06,20220602_050758
KEOX20220602_101639_V06,20220602_051639
KEOX20220602_102519_V06,20220602_052519
KEOX20220602_103359_V06,20220602_053359
KEOX20220602_104238_V06,20220602_054238
KEOX20220602_105118_V06,20220602_055118
KEOX20220602_110836_V06,20220602_060836
KEOX20220602_111716_V06,20220602_061716
KEOX20220602_112557_V06,20220602_062557
KEOX20220602_113436_V06,20220602_063436
KEOX20220602_114316_V06,20220602_064316
KEOX20220602_120036_V06,20220602_070036
KEOX20220603_093917_V06,20220603_043917
KEOX20220603_094757_V06,20220603_044757
KEOX20220603_100518_V06,20220603_050518
KEOX20220603_101358_V06,20220603_051358
KEOX20220603_102238_V06,20220603_052238
KEOX20220603_103118_V06,20220603_053118
KEOX20220603_103959_V06,20220603_053959
KEOX20220603_104839_V06,20220603_054839
KEOX20220603_110559_V06,20220603_060559
KEOX20220603_111440_V06,20220603_061440
KEOX20220603_112320_V06,20220603_062320
KEOX20220603_113200_V06,20220603_063200
KEOX20220603_114040_V06,20220603_064040
KEOX20220603_114920_V06,20220603_064920
KEOX20220603_120640_V06,20220603_070640
KEOX20220604_094204_V06,20220604_044204
KEOX20220604_095044_V06,20220604_045044
KEOX20220604_100805_V06,20220604_050805
KEOX20220604_101644_V06,20220604_051644
KEOX20220604_102525_V06,20220604_052525
KEOX20220604_103405_V06,20220604_053405
KEOX20220604_104244_V06,20220604_054244
KEOX20220604_105125_V06,20220604_055125
KEOX20220604_110845_V06,20220604_060845
KEOX20220604_111726_V06,20220604_061726
KEOX20220604_112606_V06,20220604_062606
KEOX20220604_113445_V06,20220604_063445
KEOX20220604_113849_V06,20220604_063849
KEOX20220604_114307_V06,20220604_064307
KEOX20220604_114751_V06,20220604_064751
