filename,local_time
KFCX20220601_090433_V06,20220601_050433
KFCX20220601_091521_V06,20220601_051521
KFCX20220601_092452_V06,20220601_052452
KFCX20220601_093423_V06,20220601_053423
KFCX20220601_094355_V06,20220601_054355
KFCX20220601_100256_V06,20220601_060256
KFCX20220601_101227_V06,20220601_061227
KFCX20220601_102157_V06,20220601_062157
KFCX20220601_103128_V06,20220601_063128
KFCX20220601_104100_V06,20220601_064100
KFCX20220601_105030_V06,20220601_065030
KFCX20220601_110932_V06,20220601_070932
KFCX20220601_111904_V06,20220601_071904
KFCX20220601_112834_V06,20220601_072834
KFCX20220602_090515_V06,20220602_050515
KFCX20220602_090901_V06,20220602_050901
KFCX20220602_091248_V06,20220602_051248
KFCX20220602_091635_V06,20220602_051635
KFCX20220602_092152_V06,20220602_052152
KFCX20220602_092550_V06,20220602_052550
KFCX20220602_092949_V06,20220602_052949
KFCX20220602_093348_V06,20220602_053348
KFCX20220602_093747_V06,20220602_053747
KFCX20220602_094146_V06,20220602_054146
KFCX20220602_094545_V06,20220602_054545
KFCX20220602_094944_V06,20220602_054944
KFCX20220602_095355_V06,20220602_055355
KFCX20220602_100205_V06,20220602_060205
KFCX20220602_100605_V06,20220602_060605
KFCX20220602_101004_V06,20220602_061004
KFCX20220602_101402_V06,20220602_061402
KFCX20220602_101801_V06,20220602_061801
KFCX20220602_102159_V06,20220602_062159
KFCX20220602_102611_V06,20220602_062611
KFCX20220602_103022_V06,20220602_063022
KFCX20220602_103415_V06,20220602_063415
KFCX20220602_103808_V06,20220602_063808
KFCX20220602_104201_V06,20220602_064201
KFCX20220602_104548_V06,20220602_064548
KFCX20220602_104933_V06,20220602_064933
KFCX20220602_105319_V06,20220602_065319
KFCX20220602_110126_V06,20220602_070126
KFCX20220602_110541_V06,20220602_070541
KFCX20220602_110956_V06,20220602_070956
KFCX20220602_111412_V06,20220602_071412
KFCX20220602_111827_V06,20220602_071827
KFCX20220602_112231_V06,20220602_072231
KFCX20220602_112636_V06,20220602_072636
KFCX20220602_113042_V06,20220602_073042
KFCX20220603_090559_V06,20220603_050559
KFCX20220603_091531_V06,20220603_051531
KFCX20220603_092503_V06,20220603_052503
KFCX20220603_093542_V06,20220603_053542
KFCX20220603_094514_V06,20220603_054514
KFCX20220603_100415_V06,20220603_060415
KFCX20220603_101347_V06,20220603_061347
KFCX20220603_102319_V06,20220603_062319
KFCX20220603_103250_V06,20220603_063250
KFCX20220603_104222_V06,20220603_064222
