filename,local_time
KGSP20130601_092323_V06,20130601_052323
KGSP20130601_093302_V06,20130601_053302
KGSP20130601_094242_V06,20130601_054242
KGSP20130601_095221_V06,20130601_055221
KGSP20130601_100201_V06,20130601_060201
KGSP20130601_101139_V06,20130601_061139
KGSP20130601_102119_V06,20130601_062119
KGSP20130601_103059_V06,20130601_063059
KGSP20130601_104038_V06,20130601_064038
KGSP20130601_105018_V06,20130601_065018
KGSP20130601_105958_V06,20130601_065958
KGSP20130601_110937_V06,20130601_070937
KGSP20130601_111917_V06,20130601_071917
KGSP20130601_112857_V06,20130601_072857
KGSP20130601_113836_V06,20130601_073836
KGSP20130602_091659_V06,20130602_051659
KGSP20130602_092247_V06,20130602_052247
KGSP20130602_092834_V06,20130602_052834
KGSP20130602_093422_V06,20130602_053422
KGSP20130602_094010_V06,20130602_054010
KGSP20130602_094558_V06,20130602_054558
KGSP20130602_095145_V06,20130602_055145
KGSP20130602_095732_V06,20130602_055732
KGSP20130602_100320_V06,20130602_060320
KGSP20130602_100908_V06,20130602_060908
KGSP20130602_101455_V06,20130602_061455
KGSP20130602_102043_V06,20130602_062043
KGSP20130602_102630_V06,20130602_062630
KGSP20130602_103217_V06,20130602_063217
KGSP20130602_103806_V06,20130602_063806
KGSP20130602_104353_V06,20130602_064353
KGSP20130602_104941_V06,20130602_064941
KGSP20130602_105528_V06,20130602_065528
KGSP20130602_110117_V06,20130602_070117
KGSP20130602_110704_V06,20130602_070704
KGSP20130602_111251_V06,20130602_071251
KGSP20130602_111839_V06,20130602_071839
KGSP20130602_112600_V06,20130602_072600
KGSP20130602_113019_V06,20130602_073019
KGSP20130602_113439_V06,20130602_073439
KGSP20130602_113858_V06,20130602_073858
KGSP20130602_114317_V06,20130602_074317
KGSP20130603_091838_V06,20130603_051838
KGSP20130603_092148_V06,20130603_052148
KGSP20130603_092459_V06,20130603_052459
KGSP20130603_092809_V06,20130603_052809
KGSP20130603_093119_V06,20130603_053119
KGSP20130603_093429_V06,20130603_053429
KGSP20130603_093740_V06,20130603_053740
KGSP20130603_094050_V06,20130603_054050
KGSP20130603_094400_V06,20130603_054400
KGSP20130603_094710_V06,20130603_054710
KGSP20130603_095020_V06,20130603_055020
KGSP20130603_095331_V06,20130603_055331
KGSP20130603_095641_V06,20130603_055641
KGSP20130603_095951_V06,20130603_055951
KGSP20130603_100301_V06,20130603_060301
KGSP20130603_100611_V06,20130603_060611
KGSP20130603_100922_V06,20130603_060922
KGSP20130603_101232_V06,20130603_061232
KGSP20130603_101542_V06,20130603_061542
KGSP20130603_101852_V06,20130603_061852
KGSP20130603_102202_V06,20130603_062202
KGSP20130603_102513_V06,20130603_062513
KGSP20130603_102823_V06,20130603_062823
KGSP20130603_103133_V06,20130603_063133
KGSP20130603_103443_V06,20130603_063443
KGSP20130603_103754_V06,20130603_063754
KGSP20130603_104104_V06,20130603_064104
KGSP20130603_104414_V06,20130603_064414
KGSP20130603_104736_V06,20130603_064736
KGSP20130603_105046_V06,20130603_065046
KGSP20130603_105357_V06,20130603_065357
KGSP20130603_105707_V06,20130603_065707
KGSP20130603_110017_V06,20130603_070017
KGSP20130603_110327_V06,20130603_070327
KGSP20130603_110637_V06,20130603_070637
