filename,local_time
KHTX20180601_093352_V06,20180601_043352
KHTX20180601_093751_V06,20180601_043751
KHTX20180601_094149_V06,20180601_044149
KHTX20180601_094605_V06,20180601_044605
KHTX20180601_095027_V06,20180601_045027
KHTX20180601_095457_V06,20180601_045457
KHTX20180601_100356_V06,20180601_050356
KHTX20180601_100833_V06,20180601_050833
KHTX20180601_101308_V06,20180601_051308
KHTX20180601_101745_V06,20180601_051745
KHTX20180601_102216_V06,20180601_052216
KHTX20180601_102646_V06,20180601_052646
KHTX20180601_103130_V06,20180601_053130
KHTX20180601_103620_V06,20180601_053620
KHTX20180601_104110_V06,20180601_054110
KHTX20180601_104550_V06,20180601_054550
KHTX20180601_105041_V06,20180601_055041
KHTX20180601_110021_V06,20180601_060021
KHTX20180601_110505_V06,20180601_060505
KHTX20180601_110954_V06,20180601_060954
KHTX20180601_111445_V06,20180601_061445
KHTX20180601_111934_V06,20180601_061934
KHTX20180601_112424_V06,20180601_062424
KHTX20180601_112914_V06,20180601_062914
KHTX20180601_113355_V06,20180601_063355
KHTX20180601_113844_V06,20180601_063844
KHTX20180601_114900_V06,20180601_064900
KHTX20180601_115336_V06,20180601_065336
KHTX20180602_093402_V06,20180602_043402
KHTX20180602_093744_V06,20180602_043744
KHTX20180602_094125_V06,20180602_044125
KHTX20180602_094507_V06,20180602_044507
KHTX20180602_094848_V06,20180602_044848
KHTX20180602_095230_V06,20180602_045230
KHTX20180602_095612_V06,20180602_045612
KHTX20180602_100337_V06,20180602_050337
KHTX20180602_100719_V06,20180602_050719
KHTX20180602_101100_V06,20180602_051100
KHTX20180602_101441_V06,20180602_051441
KHTX20180602_101822_V06,20180602_051822
KHTX20180602_102204_V06,20180602_052204
KHTX20180602_102545_V06,20180602_052545
KHTX20180602_102925_V06,20180602_052925
KHTX20180602_103252_V06,20180602_053252
KHTX20180602_103620_V06,20180602_053620
KHTX20180602_103946_V06,20180602_053946
KHTX20180602_104312_V06,20180602_054312
KHTX20180602_104639_V06,20180602_054639
KHTX20180602_105012_V06,20180602_055012
KHTX20180602_105343_V06,20180602_055343
KHTX20180602_110045_V06,20180602_060045
KHTX20180602_110412_V06,20180602_060412
KHTX20180602_110745_V06,20180602_060745
KHTX20180602_111121_V06,20180602_061121
KHTX20180602_111456_V06,20180602_061456
KHTX20180602_111833_V06,20180602_061833
KHTX20180602_112208_V06,20180602_062208
KHTX20180602_112543_V06,20180602_062543
KHTX20180602_112918_V06,20180602_062918
KHTX20180602_113254_V06,20180602_063254
KHTX20180602_113630_V06,20180602_063630
KHTX20180602_114011_V06,20180602_064011
KHTX20180602_114353_V06,20180602_064353
KHTX20180602_114735_V06,20180602_064735
KHTX20180602_115103_V06,20180602_065103
KHTX20180602_115445_V06,20180602_065445
KHTX20180603_093139_V06,20180603_043139
KHTX20180603_093620_V06,20180603_043620
KHTX20180603_094100_V06,20180603_044100
KHTX20180603_094540_V06,20180603_044540
KHTX20180603_095020_V06,20180603_045020
KHTX20180603_095510_V06,20180603_045510
KHTX20180603_100439_V06,20180603_050439
KHTX20180603_100919_V06,20180603_050919
KHTX20180603_101400_V06,20180603_051400
KHTX20180603_101839_V06,20180603_051839
KHTX20180603_102329_V06,20180603_052329
KHTX20180603_102819_V06,20180603_052819
