filename,local_time
KJAX20160601_092950_V06,20160601_052950
KJAX20160601_093448_V06,20160601_053448
KJAX20160601_093946_V06,20160601_053946
KJAX20160601_094445_V06,20160601_054445
KJAX20160601_094943_V06,20160601_054943
KJAX20160601_095441_V06,20160601_055441
KJAX20160601_095939_V06,20160601_055939
KJAX20160601_100437_V06,20160601_060437
KJAX20160601_100934_V06,20160601_060934
KJAX20160601_101432_V06,20160601_061432
KJAX20160601_101930_V06,20160601_061930
KJAX20160601_102428_V06,20160601_062428
KJAX20160601_102925_V06,20160601_062925
KJAX20160601_103423_V06,20160601_063423
KJAX20160601_103921_V06,20160601_063921
KJAX20160601_104419_V06,20160601_064419
KJAX20160601_104935_V06,20160601_064935
KJAX20160601_105433_V06,20160601_065433
KJAX20160601_105931_V06,20160601_065931
KJAX20160601_110431_V06,20160601_070431
KJAX20160601_110929_V06,20160601_070929
KJAX20160601_111427_V06,20160601_071427
KJAX20160601_111925_V06,20160601_071925
KJAX20160601_112422_V06,20160601_072422
KJAX20160601_112921_V06,20160601_072921
KJAX20160601_113419_V06,20160601_073419
KJAX20160601_113917_V06,20160601_073917
KJAX20160601_114417_V06,20160601_074417
KJAX20160601_114914_V06,20160601_074914
KJAX20160601_115412_V06,20160601_075412
KJAX20160602_092847_V06,20160602_052847
KJAX20160602_093344_V06,20160602_053344
KJAX20160602_093842_V06,20160602_053842
KJAX20160602_094339_V06,20160602_054339
KJAX20160602_094837_V06,20160602_054837
KJAX20160602_095336_V06,20160602_055336
KJAX20160602_095833_V06,20160602_055833
KJAX20160602_100332_V06,20160602_060332
KJAX20160602_100829_V06,20160602_060829
KJAX20160602_101326_V06,20160602_061326
KJAX20160602_101824_V06,20160602_061824
KJAX20160602_102322_V06,20160602_062322
KJAX20160602_102821_V06,20160602_062821
KJAX20160602_103318_V06,20160602_063318
KJAX20160602_103816_V06,20160602_063816
KJAX20160602_104315_V06,20160602_064315
KJAX20160602_104813_V06,20160602_064813
KJAX20160602_105312_V06,20160602_065312
KJAX20160602_105809_V06,20160602_065809
KJAX20160602_110306_V06,20160602_070306
KJAX20160602_110805_V06,20160602_070805
KJAX20160602_111303_V06,20160602_071303
KJAX20160602_111801_V06,20160602_071801
KJAX20160602_112259_V06,20160602_072259
KJAX20160602_112757_V06,20160602_072757
KJAX20160602_113255_V06,20160602_073255
KJAX20160602_113754_V06,20160602_073754
KJAX20160602_114253_V06,20160602_074253
KJAX20160602_114751_V06,20160602_074751
KJAX20160602_115250_V06,20160602_075250
KJAX20160603_092507_V06,20160603_052507
KJAX20160603_093031_V06,20160603_053031
KJAX20160603_093557_V06,20160603_053557
KJAX20160603_094125_V06,20160603_054125
KJAX20160603_094650_V06,20160603_054650
KJAX20160603_095216_V06,20160603_055216
KJAX20160603_095742_V06,20160603_055742
KJAX20160603_100310_V06,20160603_060310
KJAX20160603_100838_V06,20160603_060838
KJAX20160603_101403_V06,20160603_061403
KJAX20160603_101901_V06,20160603_061901
KJAX20160603_102359_V06,20160603_062359
KJAX20160603_102857_V06,20160603_062857
KJAX20160603_103355_V06,20160603_063355
KJAX20160603_103852_V06,20160603_063852
KJAX20160603_104349_V06,20160603_064349
KJAX20160603_104903_V06,20160603_064903
KJAX20160603_105851_V06,20160603_065851
KJAX20160603_110839_V06,20160603_070839
KJAX20160603_111826_V06,20160603_071826
KJAX20160603_112814_V06,20160603_072814
KJAX20160603_113802_V06,20160603_073802
KJAX20160603_114749_V06,20160603_074749
KJAX20160604_092750_V06,20160604_052750
KJAX20160604_093248_V06,20160604_053248
KJAX20160604_093747_V06,20160604_053747
KJAX20160604_094245_V06,20160604_054245
KJAX20160604_094742_V06,20160604_054742
KJAX20160604_095239_V06,20160604_055239
KJAX20160604_095737_V06,20160604_055737
KJAX20160604_100236_V06,20160604_060236
KJAX20160604_100733_V06,20160604_060733
KJAX20160604_101232_V06,20160604_061232
KJAX20160604_101729_V06,20160604_061729
KJAX20160604_102228_V06,20160604_062228
KJAX20160604_102726_V06,20160604_062726
KJAX20160604_103223_V06,20160604_063223
KJAX20160604_103720_V06,20160604_063720
KJAX20160604_104219_V06,20160604_064219
KJAX20160604_104717_V06,20160604_064717
KJAX20160604_105216_V06,20160604_065216
KJAX20160604_105714_V06,20160604_065714
KJAX20160604_110212_V06,20160604_070212
KJAX20160604_110710_V06,20160604_070710
KJAX20160604_111230_V06,20160604_071230
KJAX20160604_112217_V06,20160604_072217
KJAX20160604_113205_V06,20160604_073205
KJAX20160604_114153_V06,20160604_074153
KJAX20160604_115141_V06,20160604_075141
KJAX20160605_092726_V06,20160605_052726
KJAX20160605_093224_V06,20160605_053224
KJAX20160605_093723_V06,20160605_053723
KJAX20160605_094220_V06,20160605_054220
KJAX20160605_094718_V06,20160605_054718
KJAX20160605_095217_V06,20160605_055217
KJAX20160605_095715_V06,20160605_055715
KJAX20160605_100214_V06,20160605_060214
KJAX20160605_100711_V06,20160605_060711
KJAX20160605_101209_V06,20160605_061209
KJAX20160605_101707_V06,20160605_061707
KJAX20160605_102205_V06,20160605_062205
KJAX20160605_102704_V06,20160605_062704
KJAX20160605_103202_V06,20160605_063202
KJAX20160605_103702_V06,20160605_063702
KJAX20160605_104200_V06,20160605_064200
KJAX20160605_104657_V06,20160605_064657
KJAX20160605_105213_V06,20160605_065213
KJAX20160605_110200_V06,20160605_070200
KJAX20160605_111148_V06,20160605_071148
KJAX20160605_112136_V06,20160605_072136
KJAX20160605_113122_V06,20160605_073122
KJAX20160605_114110_V06,20160605_074110
KJAX20160605_115058_V06,20160605_075058
KJAX20160606_092953_V06,20160606_052953
KJAX20160606_093540_V06,20160606_053540
KJAX20160606_094126_V06,20160606_054126
KJAX20160606_094714_V06,20160606_054714
KJAX20160606_095300_V06,20160606_055300
KJAX20160606_095847_V06,20160606_055847
KJAX20160606_100434_V06,20160606_060434
KJAX20160606_101021_V06,20160606_061021
KJAX20160606_101608_V06,20160606_061608
KJAX20160606_102155_V06,20160606_062155
KJAX20160606_102741_V06,20160606_062741
KJAX20160606_103328_V06,20160606_063328
KJAX20160606_103917_V06,20160606_063917
KJAX20160606_104504_V06,20160606_064504
KJAX20160606_105050_V06,20160606_065050
KJAX20160606_105637_V06,20160606_065637
KJAX20160606_110225_V06,20160606_070225
KJAX20160606_110812_V06,20160606_070812
KJAX20160606_111358_V06,20160606_071358
KJAX20160606_111946_V06,20160606_071946
KJAX20160606_112535_V06,20160606_072535
KJAX20160606_113123_V06,20160606_073123
KJAX20160606_113710_V06,20160606_073710
KJAX20160606_114257_V06,20160606_074257
KJAX20160606_114845_V06,20160606_074845
KJAX20160607_092812_V06,20160607_052812
KJAX20160607_093329_V06,20160607_053329
KJAX20160607_093847_V06,20160607_053847
KJAX20160607_094405_V06,20160607_054405
KJAX20160607_094924_V06,20160607_054924
KJAX20160607_095443_V06,20160607_055443
KJAX20160607_100002_V06,20160607_060002
KJAX20160607_100521_V06,20160607_060521
KJAX20160607_101039_V06,20160607_061039
KJAX20160607_101557_V06,20160607_061557
KJAX20160607_102115_V06,20160607_062115
KJAX20160607_102634_V06,20160607_062634
KJAX20160607_103152_V06,20160607_063152
KJAX20160607_103711_V06,20160607_063711
KJAX20160607_104229_V06,20160607_064229
KJAX20160607_104747_V06,20160607_064747
KJAX20160607_105306_V06,20160607_065306
KJAX20160607_105825_V06,20160607_065825
KJAX20160607_110346_V06,20160607_070346
KJAX20160607_110905_V06,20160607_070905
KJAX20160607_111425_V06,20160607_071425
KJAX20160607_111944_V06,20160607_071944
KJAX20160607_112503_V06,20160607_072503
KJAX20160607_113022_V06,20160607_073022
KJAX20160607_113540_V06,20160607_073540
KJAX20160607_114059_V06,20160607_074059
KJAX20160607_114618_V06,20160607_074618
KJAX20160607_115137_V06,20160607_075137
KJAX20160608_092434_V06,20160608_052434
KJAX20160608_092931_V06,20160608_052931
KJAX20160608_093430_V06,20160608_053430
KJAX20160608_093928_V06,20160608_053928
KJAX20160608_094427_V06,20160608_054427
KJAX20160608_094924_V06,20160608_054924
KJAX20160608_095421_V06,20160608_055421
KJAX20160608_095920_V06,20160608_055920
KJAX20160608_100418_V06,20160608_060418
KJAX20160608_100916_V06,20160608_060916
KJAX20160608_101415_V06,20160608_061415
KJAX20160608_101913_V06,20160608_061913
KJAX20160608_102412_V06,20160608_062412
KJAX20160608_102910_V06,20160608_062910
KJAX20160608_103408_V06,20160608_063408
KJAX20160608_103907_V06,20160608_063907
KJAX20160608_104405_V06,20160608_064405
KJAX20160608_104903_V06,20160608_064903
KJAX20160608_105400_V06,20160608_065400
KJAX20160608_105858_V06,20160608_065858
KJAX20160608_110355_V06,20160608_070355
KJAX20160608_110853_V06,20160608_070853
KJAX20160608_111351_V06,20160608_071351
KJAX20160608_111850_V06,20160608_071850
KJAX20160608_112348_V06,20160608_072348
KJAX20160608_112847_V06,20160608_072847
KJAX20160608_113344_V06,20160608_073344
KJAX20160608_113844_V06,20160608_073844
KJAX20160608_114342_V06,20160608_074342
KJAX20160608_114840_V06,20160608_074840
KJAX20160608_115338_V06,20160608_075338
KJAX20160609_092545_V06,20160609_052545
KJAX20160609_093532_V06,20160609_053532
KJAX20160609_094520_V06,20160609_054520
KJAX20160609_095509_V06,20160609_055509
KJAX20160609_100457_V06,20160609_060457
KJAX20160609_101445_V06,20160609_061445
KJAX20160609_102432_V06,20160609_062432
KJAX20160609_103421_V06,20160609_063421
KJAX20160609_104410_V06,20160609_064410
KJAX20160609_105357_V06,20160609_065357
KJAX20160609_110347_V06,20160609_070347
KJAX20160609_111335_V06,20160609_071335
KJAX20160609_112323_V06,20160609_072323
KJAX20160609_113310_V06,20160609_073310
KJAX20160609_114258_V06,20160609_074258
KJAX20160609_115246_V06,20160609_075246
KJAX20160610_092559_V06,20160610_052559
KJAX20160610_093547_V06,20160610_053547
KJAX20160610_094536_V06,20160610_054536
KJAX20160610_095524_V06,20160610_055524
KJAX20160610_100530_V06,20160610_060530
KJAX20160610_101028_V06,20160610_061028
KJAX20160610_101526_V06,20160610_061526
KJAX20160610_102024_V06,20160610_062024
KJAX20160610_102522_V06,20160610_062522
KJAX20160610_103022_V06,20160610_063022
KJAX20160610_103520_V06,20160610_063520
KJAX20160610_104018_V06,20160610_064018
KJAX20160610_104516_V06,20160610_064516
KJAX20160610_105015_V06,20160610_065015
KJAX20160610_105514_V06,20160610_065514
KJAX20160610_110011_V06,20160610_070011
KJAX20160610_110510_V06,20160610_070510
KJAX20160610_111008_V06,20160610_071008
KJAX20160610_111506_V06,20160610_071506
KJAX20160610_112005_V06,20160610_072005
KJAX20160610_112527_V06,20160610_072527
KJAX20160610_113514_V06,20160610_073514
KJAX20160610_114522_V06,20160610_074522
KJAX20160610_115020_V06,20160610_075020
KJAX20160611_093257_V06,20160611_053257
KJAX20160611_094244_V06,20160611_054244
KJAX20160611_095232_V06,20160611_055232
KJAX20160611_100220_V06,20160611_060220
KJAX20160611_101209_V06,20160611_061209
KJAX20160611_102156_V06,20160611_062156
KJAX20160611_103144_V06,20160611_063144
KJAX20160611_104132_V06,20160611_064132
KJAX20160611_105119_V06,20160611_065119
KJAX20160611_110107_V06,20160611_070107
KJAX20160611_111055_V06,20160611_071055
KJAX20160611_112044_V06,20160611_072044
KJAX20160611_113031_V06,20160611_073031
KJAX20160611_114020_V06,20160611_074020
KJAX20160611_115007_V06,20160611_075007
KJAX20160612_092832_V06,20160612_052832
KJAX20160612_093820_V06,20160612_053820
KJAX20160612_094807_V06,20160612_054807
KJAX20160612_095813_V06,20160612_055813
KJAX20160612_100312_V06,20160612_060312
KJAX20160612_100809_V06,20160612_060809
KJAX20160612_101308_V06,20160612_061308
KJAX20160612_101806_V06,20160612_061806
KJAX20160612_102304_V06,20160612_062304
KJAX20160612_102803_V06,20160612_062803
KJAX20160612_103301_V06,20160612_063301
KJAX20160612_103759_V06,20160612_063759
KJAX20160612_104259_V06,20160612_064259
KJAX20160612_104757_V06,20160612_064757
KJAX20160612_105254_V06,20160612_065254
KJAX20160612_105752_V06,20160612_065752
KJAX20160612_110251_V06,20160612_070251
KJAX20160612_110750_V06,20160612_070750
KJAX20160612_111247_V06,20160612_071247
KJAX20160612_111746_V06,20160612_071746
KJAX20160612_112243_V06,20160612_072243
KJAX20160612_112742_V06,20160612_072742
KJAX20160612_113240_V06,20160612_073240
KJAX20160612_113739_V06,20160612_073739
KJAX20160612_114237_V06,20160612_074237
KJAX20160612_114735_V06,20160612_074735
KJAX20160612_115233_V06,20160612_075233
KJAX20160613_092717_V06,20160613_052717
KJAX20160613_093216_V06,20160613_053216
KJAX20160613_093714_V06,20160613_053714
KJAX20160613_094212_V06,20160613_054212
KJAX20160613_094709_V06,20160613_054709
KJAX20160613_095227_V06,20160613_055227
KJAX20160613_100215_V06,20160613_060215
KJAX20160613_101203_V06,20160613_061203
KJAX20160613_102151_V06,20160613_062151
KJAX20160613_103138_V06,20160613_063138
KJAX20160613_104126_V06,20160613_064126
KJAX20160613_105114_V06,20160613_065114
KJAX20160613_110103_V06,20160613_070103
KJAX20160613_111050_V06,20160613_071050
KJAX20160613_112038_V06,20160613_072038
KJAX20160613_113026_V06,20160613_073026
KJAX20160613_114013_V06,20160613_074013
KJAX20160613_115001_V06,20160613_075001
KJAX20160614_092943_V06,20160614_052943
KJAX20160614_093931_V06,20160614_053931
KJAX20160614_094918_V06,20160614_054918
KJAX20160614_095906_V06,20160614_055906
KJAX20160614_100855_V06,20160614_060855
KJAX20160614_101843_V06,20160614_061843
KJAX20160614_102831_V06,20160614_062831
KJAX20160614_103819_V06,20160614_063819
KJAX20160614_104807_V06,20160614_064807
KJAX20160614_105754_V06,20160614_065754
KJAX20160614_110742_V06,20160614_070742
KJAX20160614_111731_V06,20160614_071731
KJAX20160614_112719_V06,20160614_072719
KJAX20160614_113708_V06,20160614_073708
KJAX20160614_114657_V06,20160614_074657
KJAX20160615_092626_V06,20160615_052626
KJAX20160615_093614_V06,20160615_053614
KJAX20160615_094602_V06,20160615_054602
KJAX20160615_095549_V06,20160615_055549
KJAX20160615_100538_V06,20160615_060538
KJAX20160615_101524_V06,20160615_061524
KJAX20160615_102512_V06,20160615_062512
