filename,local_time
KJKL20180601_091458_V06,20180601_051458
KJKL20180601_091908_V06,20180601_051908
KJKL20180601_092317_V06,20180601_052317
KJKL20180601_092727_V06,20180601_052727
KJKL20180601_093136_V06,20180601_053136
KJKL20180601_093545_V06,20180601_053545
KJKL20180601_093953_V06,20180601_053953
KJKL20180601_094401_V06,20180601_054401
KJKL20180601_094810_V06,20180601_054810
KJKL20180601_095232_V06,20180601_055232
KJKL20180601_100053_V06,20180601_060053
KJKL20180601_100515_V06,20180601_060515
KJKL20180601_100937_V06,20180601_060937
KJKL20180601_101359_V06,20180601_061359
KJKL20180601_101822_V06,20180601_061822
KJKL20180601_102245_V06,20180601_062245
KJKL20180601_102720_V06,20180601_062720
KJKL20180601_103142_V06,20180601_063142
KJKL20180601_103618_V06,20180601_063618
KJKL20180601_104108_V06,20180601_064108
KJKL20180601_104612_V06,20180601_064612
KJKL20180601_105100_V06,20180601_065100
KJKL20180601_110119_V06,20180601_070119
KJKL20180601_110636_V06,20180601_070636
KJKL20180601_111153_V06,20180601_071153
KJKL20180601_111710_V06,20180601_071710
KJKL20180601_112227_V06,20180601_072227
KJKL20180601_112746_V06,20180601_072746
KJKL20180601_113303_V06,20180601_073303
KJKL20180601_113819_V06,20180601_073819
KJKL20180602_091356_V06,20180602_051356
KJKL20180602_091834_V06,20180602_051834
KJKL20180602_092313_V06,20180602_052313
KJKL20180602_092751_V06,20180602_052751
KJKL20180602_093231_V06,20180602_053231
KJKL20180602_093713_V06,20180602_053713
KJKL20180602_094157_V06,20180602_054157
KJKL20180602_094625_V06,20180602_054625
KJKL20180602_095053_V06,20180602_055053
KJKL20180602_095523_V06,20180602_055523
KJKL20180602_100421_V06,20180602_060421
KJKL20180602_100855_V06,20180602_060855
KJKL20180602_101329_V06,20180602_061329
KJKL20180602_101754_V06,20180602_061754
KJKL20180602_102218_V06,20180602_062218
KJKL20180602_102646_V06,20180602_062646
KJKL20180602_103114_V06,20180602_063114
KJKL20180602_103542_V06,20180602_063542
KJKL20180602_104010_V06,20180602_064010
KJKL20180602_104438_V06,20180602_064438
KJKL20180602_104919_V06,20180602_064919
KJKL20180602_105400_V06,20180602_065400
KJKL20180602_110321_V06,20180602_070321
KJKL20180602_110801_V06,20180602_070801
KJKL20180602_111241_V06,20180602_071241
KJKL20180602_111714_V06,20180602_071714
KJKL20180602_112154_V06,20180602_072154
KJKL20180602_112634_V06,20180602_072634
KJKL20180602_113114_V06,20180602_073114
KJKL20180602_113554_V06,20180602_073554
KJKL20180602_114035_V06,20180602_074035
KJKL20180603_091633_V06,20180603_051633
KJKL20180603_092107_V06,20180603_052107
KJKL20180603_092540_V06,20180603_052540
KJKL20180603_093014_V06,20180603_053014
KJKL20180603_093447_V06,20180603_053447
KJKL20180603_093921_V06,20180603_053921
KJKL20180603_094355_V06,20180603_054355
KJKL20180603_094823_V06,20180603_054823
KJKL20180603_095258_V06,20180603_055258
KJKL20180603_100204_V06,20180603_060204
KJKL20180603_100645_V06,20180603_060645
KJKL20180603_101342_V06,20180603_061342
KJKL20180603_102046_V06,20180603_062046
KJKL20180603_102752_V06,20180603_062752
KJKL20180603_103455_V06,20180603_063455
KJKL20180603_104159_V06,20180603_064159
KJKL20180603_104904_V06,20180603_064904
KJKL20180603_110313_V06,20180603_070313
KJKL20180603_110742_V06,20180603_070742
KJKL20180603_111215_V06,20180603_071215
KJKL20180603_111651_V06,20180603_071651
KJKL20180603_112118_V06,20180603_072118
KJKL20180603_112546_V06,20180603_072546
KJKL20180603_113026_V06,20180603_073026
KJKL20180603_113506_V06,20180603_073506
KJKL20180603_114205_V06,20180603_074205
KJKL20180604_091751_V06,20180604_051751
KJKL20180604_092456_V06,20180604_052456
KJKL20180604_093200_V06,20180604_053200
KJKL20180604_093905_V06,20180604_053905
KJKL20180604_094610_V06,20180604_054610
KJKL20180604_100013_V06,20180604_060013
KJKL20180604_100719_V06,20180604_060719
KJKL20180604_101424_V06,20180604_061424
KJKL20180604_102128_V06,20180604_062128
KJKL20180604_102831_V06,20180604_062831
KJKL20180604_103536_V06,20180604_063536
KJKL20180604_104241_V06,20180604_064241
KJKL20180604_104946_V06,20180604_064946
KJKL20180604_110355_V06,20180604_070355
KJKL20180604_111054_V06,20180604_071054
KJKL20180604_111759_V06,20180604_071759
KJKL20180604_112503_V06,20180604_072503
KJKL20180604_113202_V06,20180604_073202
KJKL20180604_113907_V06,20180604_073907
KJKL20180605_091523_V06,20180605_051523
KJKL20180605_092229_V06,20180605_052229
KJKL20180605_092933_V06,20180605_052933
KJKL20180605_093637_V06,20180605_053637
KJKL20180605_094342_V06,20180605_054342
KJKL20180605_095047_V06,20180605_055047
KJKL20180605_100455_V06,20180605_060455
KJKL20180605_101200_V06,20180605_061200
KJKL20180605_101859_V06,20180605_061859
KJKL20180605_102553_V06,20180605_062553
KJKL20180605_103257_V06,20180605_063257
KJKL20180605_104002_V06,20180605_064002
KJKL20180605_104647_V06,20180605_064647
KJKL20180605_110057_V06,20180605_070057
KJKL20180605_110756_V06,20180605_070756
KJKL20180605_111454_V06,20180605_071454
KJKL20180605_112147_V06,20180605_072147
KJKL20180605_112851_V06,20180605_072851
KJKL20180605_113550_V06,20180605_073550
KJKL20180606_091714_V06,20180606_051714
KJKL20180606_092418_V06,20180606_052418
KJKL20180606_093122_V06,20180606_053122
KJKL20180606_093827_V06,20180606_053827
KJKL20180606_094531_V06,20180606_054531
KJKL20180606_095236_V06,20180606_055236
KJKL20180606_100646_V06,20180606_060646
KJKL20180606_101350_V06,20180606_061350
KJKL20180606_102055_V06,20180606_062055
KJKL20180606_102800_V06,20180606_062800
KJKL20180606_103504_V06,20180606_063504
KJKL20180606_104208_V06,20180606_064208
KJKL20180606_104912_V06,20180606_064912
KJKL20180606_110321_V06,20180606_070321
KJKL20180606_111025_V06,20180606_071025
KJKL20180606_111729_V06,20180606_071729
KJKL20180606_112433_V06,20180606_072433
KJKL20180606_113137_V06,20180606_073137
KJKL20180606_113841_V06,20180606_073841
KJKL20180607_091841_V06,20180607_051841
KJKL20180607_092545_V06,20180607_052545
KJKL20180607_093251_V06,20180607_053251
KJKL20180607_093956_V06,20180607_053956
KJKL20180607_094659_V06,20180607_054659
KJKL20180607_100103_V06,20180607_060103
KJKL20180607_100802_V06,20180607_060802
KJKL20180607_101500_V06,20180607_061500
KJKL20180607_102159_V06,20180607_062159
KJKL20180607_102849_V06,20180607_062849
KJKL20180607_103547_V06,20180607_063547
KJKL20180607_104246_V06,20180607_064246
KJKL20180607_104950_V06,20180607_064950
KJKL20180607_110353_V06,20180607_070353
KJKL20180607_111058_V06,20180607_071058
KJKL20180607_111802_V06,20180607_071802
KJKL20180607_112507_V06,20180607_072507
KJKL20180607_113210_V06,20180607_073210
KJKL20180607_113914_V06,20180607_073914
KJKL20180608_091306_V06,20180608_051306
KJKL20180608_092010_V06,20180608_052010
KJKL20180608_092716_V06,20180608_052716
KJKL20180608_093421_V06,20180608_053421
KJKL20180608_094126_V06,20180608_054126
KJKL20180608_094830_V06,20180608_054830
KJKL20180608_100239_V06,20180608_060239
KJKL20180608_100944_V06,20180608_060944
KJKL20180608_101649_V06,20180608_061649
KJKL20180608_102354_V06,20180608_062354
KJKL20180608_103057_V06,20180608_063057
KJKL20180608_103803_V06,20180608_063803
KJKL20180608_104507_V06,20180608_064507
KJKL20180608_104936_V06,20180608_064936
KJKL20180608_105417_V06,20180608_065417
KJKL20180608_110338_V06,20180608_070338
KJKL20180608_110819_V06,20180608_070819
KJKL20180608_111259_V06,20180608_071259
KJKL20180608_111739_V06,20180608_071739
KJKL20180608_112219_V06,20180608_072219
KJKL20180608_112659_V06,20180608_072659
