filename,local_time
KMRX20210601_091744_V06,20210601_051744
KMRX20210601_092604_V06,20210601_052604
KMRX20210601_093429_V06,20210601_053429
KMRX20210601_094248_V06,20210601_054248
KMRX20210601_095114_V06,20210601_055114
KMRX20210601_100804_V06,20210601_060804
KMRX20210601_101623_V06,20210601_061623
KMRX20210601_102442_V06,20210601_062442
KMRX20210601_103312_V06,20210601_063312
KMRX20210601_104142_V06,20210601_064142
KMRX20210601_110038_V06,20210601_070038
KMRX20210601_110904_V06,20210601_070904
KMRX20210601_111729_V06,20210601_071729
KMRX20210601_112544_V06,20210601_072544
KMRX20210601_113402_V06,20210601_073402
KMRX20210601_114216_V06,20210601_074216
KMRX20210602_091818_V06,20210602_051818
KMRX20210602_092341_V06,20210602_052341
KMRX20210602_092950_V06,20210602_052950
KMRX20210602_093543_V06,20210602_053543
KMRX20210602_094135_V06,20210602_054135
KMRX20210602_094714_V06,20210602_054714
KMRX20210602_095238_V06,20210602_055238
KMRX20210602_100326_V06,20210602_060326
KMRX20210602_100850_V06,20210602_060850
KMRX20210602_101427_V06,20210602_061427
KMRX20210602_102006_V06,20210602_062006
KMRX20210602_102544_V06,20210602_062544
KMRX20210602_103123_V06,20210602_063123
KMRX20210602_103702_V06,20210602_063702
KMRX20210602_104254_V06,20210602_064254
KMRX20210602_104833_V06,20210602_064833
KMRX20210602_105426_V06,20210602_065426
KMRX20210602_110543_V06,20210602_070543
KMRX20210602_111121_V06,20210602_071121
KMRX20210602_111658_V06,20210602_071658
KMRX20210602_112238_V06,20210602_072238
KMRX20210602_112817_V06,20210602_072817
KMRX20210602_113356_V06,20210602_073356
KMRX20210602_113935_V06,20210602_073935
KMRX20210602_114529_V06,20210602_074529
KMRX20210603_091955_V06,20210603_051955
KMRX20210603_092647_V06,20210603_052647
KMRX20210603_093347_V06,20210603_053347
KMRX20210603_094040_V06,20210603_054040
KMRX20210603_094740_V06,20210603_054740
KMRX20210603_100139_V06,20210603_060139
KMRX20210603_100810_V06,20210603_060810
KMRX20210603_101427_V06,20210603_061427
KMRX20210603_102035_V06,20210603_062035
KMRX20210603_102658_V06,20210603_062658
KMRX20210603_103320_V06,20210603_063320
KMRX20210603_103950_V06,20210603_063950
KMRX20210603_104607_V06,20210603_064607
KMRX20210603_105224_V06,20210603_065224
KMRX20210603_110425_V06,20210603_070425
KMRX20210603_111018_V06,20210603_071018
KMRX20210603_111620_V06,20210603_071620
KMRX20210603_112213_V06,20210603_072213
KMRX20210603_112821_V06,20210603_072821
KMRX20210603_113428_V06,20210603_073428
KMRX20210603_114036_V06,20210603_074036
KMRX20210603_114644_V06,20210603_074644
KMRX20210604_092118_V06,20210604_052118
KMRX20210604_092641_V06,20210604_052641
KMRX20210604_093204_V06,20210604_053204
KMRX20210604_093727_V06,20210604_053727
KMRX20210604_094251_V06,20210604_054251
KMRX20210604_094815_V06,20210604_054815
KMRX20210604_095346_V06,20210604_055346
KMRX20210604_100451_V06,20210604_060451
KMRX20210604_101022_V06,20210604_061022
KMRX20210604_101546_V06,20210604_061546
KMRX20210604_102109_V06,20210604_062109
KMRX20210604_102633_V06,20210604_062633
KMRX20210604_103207_V06,20210604_063207
KMRX20210604_104037_V06,20210604_064037
KMRX20210604_104916_V06,20210604_064916
KMRX20210604_110632_V06,20210604_070632
KMRX20210604_111512_V06,20210604_071512
KMRX20210604_112342_V06,20210604_072342
KMRX20210604_113220_V06,20210604_073220
KMRX20210604_114100_V06,20210604_074100
KMRX20210605_092034_V06,20210605_052034
KMRX20210605_092858_V06,20210605_052858
KMRX20210605_093729_V06,20210605_053729
KMRX20210605_094608_V06,20210605_054608
KMRX20210605_100258_V06,20210605_060258
KMRX20210605_101123_V06,20210605_061123
KMRX20210605_101943_V06,20210605_061943
KMRX20210605_102822_V06,20210605_062822
KMRX20210605_103701_V06,20210605_063701
KMRX20210605_104541_V06,20210605_064541
KMRX20210605_110301_V06,20210605_070301
KMRX20210605_111140_V06,20210605_071140
KMRX20210605_112019_V06,20210605_072019
KMRX20210605_112857_V06,20210605_072857
KMRX20210605_113736_V06,20210605_073736
KMRX20210605_114615_V06,20210605_074615
KMRX20210606_091910_V06,20210606_051910
KMRX20210606_092422_V06,20210606_052422
KMRX20210606_092942_V06,20210606_052942
KMRX20210606_093502_V06,20210606_053502
KMRX20210606_094037_V06,20210606_054037
KMRX20210606_094639_V06,20210606_054639
KMRX20210606_095227_V06,20210606_055227
KMRX20210606_100330_V06,20210606_060330
KMRX20210606_100903_V06,20210606_060903
KMRX20210606_101438_V06,20210606_061438
KMRX20210606_102042_V06,20210606_062042
KMRX20210606_102629_V06,20210606_062629
KMRX20210606_103212_V06,20210606_063212
KMRX20210606_103754_V06,20210606_063754
KMRX20210606_104358_V06,20210606_064358
KMRX20210606_105001_V06,20210606_065001
KMRX20210606_110153_V06,20210606_070153
KMRX20210606_110742_V06,20210606_070742
KMRX20210606_111315_V06,20210606_071315
KMRX20210606_111849_V06,20210606_071849
KMRX20210606_112416_V06,20210606_072416
KMRX20210606_112943_V06,20210606_072943
KMRX20210606_113540_V06,20210606_073540
KMRX20210606_114129_V06,20210606_074129
KMRX20210607_092026_V06,20210607_052026
KMRX20210607_092725_V06,20210607_052725
KMRX20210607_093425_V06,20210607_053425
KMRX20210607_093904_V06,20210607_053904
KMRX20210607_094354_V06,20210607_054354
KMRX20210607_094843_V06,20210607_054843
KMRX20210607_095333_V06,20210607_055333
KMRX20210607_100326_V06,20210607_060326
KMRX20210607_100816_V06,20210607_060816
KMRX20210607_101335_V06,20210607_061335
KMRX20210607_101825_V06,20210607_061825
KMRX20210607_102330_V06,20210607_062330
KMRX20210607_102820_V06,20210607_062820
KMRX20210607_103309_V06,20210607_063309
KMRX20210607_103759_V06,20210607_063759
KMRX20210607_104304_V06,20210607_064304
KMRX20210607_104824_V06,20210607_064824
KMRX20210607_105329_V06,20210607_065329
KMRX20210607_110340_V06,20210607_070340
KMRX20210607_110843_V06,20210607_070843
KMRX20210607_111333_V06,20210607_071333
KMRX20210607_111824_V06,20210607_071824
KMRX20210607_112314_V06,20210607_072314
KMRX20210607_112834_V06,20210607_072834
KMRX20210607_113324_V06,20210607_073324
KMRX20210607_113815_V06,20210607_073815
KMRX20210607_114305_V06,20210607_074305
KMRX20210608_091811_V06,20210608_051811
KMRX20210608_092248_V06,20210608_052248
KMRX20210608_092722_V06,20210608_052722
KMRX20210608_093158_V06,20210608_053158
KMRX20210608_093635_V06,20210608_053635
KMRX20210608_094112_V06,20210608_054112
KMRX20210608_094548_V06,20210608_054548
KMRX20210608_095024_V06,20210608_055024
KMRX20210608_095459_V06,20210608_055459
KMRX20210608_100409_V06,20210608_060409
KMRX20210608_100845_V06,20210608_060845
KMRX20210608_101322_V06,20210608_061322
KMRX20210608_101757_V06,20210608_061757
KMRX20210608_102451_V06,20210608_062451
KMRX20210608_103151_V06,20210608_063151
KMRX20210608_103846_V06,20210608_063846
KMRX20210608_104528_V06,20210608_064528
KMRX20210608_105224_V06,20210608_065224
KMRX20210608_110550_V06,20210608_070550
KMRX20210608_111236_V06,20210608_071236
KMRX20210608_111918_V06,20210608_071918
KMRX20210608_112618_V06,20210608_072618
KMRX20210608_113319_V06,20210608_073319
KMRX20210608_114020_V06,20210608_074020
KMRX20210609_091647_V06,20210609_051647
KMRX20210609_092116_V06,20210609_052116
KMRX20210609_092545_V06,20210609_052545
KMRX20210609_093014_V06,20210609_053014
KMRX20210609_093645_V06,20210609_053645
KMRX20210609_094115_V06,20210609_054115
KMRX20210609_094539_V06,20210609_054539
KMRX20210609_095003_V06,20210609_055003
KMRX20210609_095427_V06,20210609_055427
KMRX20210609_100315_V06,20210609_060315
KMRX20210609_100745_V06,20210609_060745
KMRX20210609_101214_V06,20210609_061214
KMRX20210609_101644_V06,20210609_061644
KMRX20210609_102109_V06,20210609_062109
KMRX20210609_102533_V06,20210609_062533
KMRX20210609_102956_V06,20210609_062956
KMRX20210609_103421_V06,20210609_063421
KMRX20210609_103845_V06,20210609_063845
KMRX20210609_104314_V06,20210609_064314
KMRX20210609_104742_V06,20210609_064742
KMRX20210609_105210_V06,20210609_065210
KMRX20210609_110102_V06,20210609_070102
KMRX20210609_110531_V06,20210609_070531
KMRX20210609_110954_V06,20210609_070954
KMRX20210609_111423_V06,20210609_071423
KMRX20210609_111852_V06,20210609_071852
KMRX20210609_112320_V06,20210609_072320
KMRX20210609_112749_V06,20210609_072749
KMRX20210609_113218_V06,20210609_073218
KMRX20210609_113648_V06,20210609_073648
KMRX20210609_114118_V06,20210609_074118
KMRX20210609_114547_V06,20210609_074547
KMRX20210610_091848_V06,20210610_051848
KMRX20210610_092353_V06,20210610_052353
KMRX20210610_092843_V06,20210610_052843
KMRX20210610_093333_V06,20210610_053333
KMRX20210610_093809_V06,20210610_053809
KMRX20210610_094451_V06,20210610_054451
KMRX20210610_094928_V06,20210610_054928
KMRX20210610_095357_V06,20210610_055357
KMRX20210610_100256_V06,20210610_060256
KMRX20210610_100717_V06,20210610_060717
KMRX20210610_101236_V06,20210610_061236
KMRX20210610_101655_V06,20210610_061655
KMRX20210610_102115_V06,20210610_062115
KMRX20210610_102535_V06,20210610_062535
KMRX20210610_102949_V06,20210610_062949
KMRX20210610_103425_V06,20210610_063425
KMRX20210610_103900_V06,20210610_063900
KMRX20210610_104335_V06,20210610_064335
KMRX20210610_104754_V06,20210610_064754
KMRX20210610_105215_V06,20210610_065215
KMRX20210610_110104_V06,20210610_070104
KMRX20210610_110529_V06,20210610_070529
KMRX20210610_111007_V06,20210610_071007
KMRX20210610_111436_V06,20210610_071436
KMRX20210610_111905_V06,20210610_071905
KMRX20210610_112349_V06,20210610_072349
KMRX20210610_112840_V06,20210610_072840
KMRX20210610_113331_V06,20210610_073331
KMRX20210610_113820_V06,20210610_073820
KMRX20210610_114310_V06,20210610_074310
KMRX20210611_091949_V06,20210611_051949
KMRX20210611_092501_V06,20210611_052501
KMRX20210611_093014_V06,20210611_053014
KMRX20210611_093542_V06,20210611_053542
KMRX20210611_094110_V06,20210611_054110
KMRX20210611_094637_V06,20210611_054637
